gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_343149,complete,LCP,2026.0,0.0,1.0,16.01,Blue,sup,Marco,EXILE esports,1.0,Rakan,Cho'Gath,Diana,Sylas,Rell,Ornn,1681.0,1.0,0.0,1.0,14.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.7139,1.2849,0.0,0.0,46.0,9.0,9.0,101.0,8037.0,4332.0,154.6222,7165.0,21.0,21.0,0.0,0.7496,2278.0,2701.0,10.0,2874.0,2991.0,12.0,-596.0,-290.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,3728.0,3861.0,16.0,4380.0,4568.0,15.0,-652.0,-707.0,1.0,0.0,2.0,1.0,2.0,5.0,1.0,4937.0,4645.0,20.0,5658.0,5847.0,19.0,-721.0,-1202.0,1.0,0.0,3.0,1.0,2.0,6.0,2.0,7029.0,9077.0,20.0,6833.0,7042.0,21.0,196.0,2035.0,-1.0,0.0,11.0,1.0,2.0,8.0,3.0
LOLTMNT01_332400,complete,HLL,2026.0,0.0,1.0,16.02,Red,sup,Marco,EXILE esports,0.0,Rakan,Gwen,Viego,Ryze,Alistar,Nautilus,1789.0,0.0,0.0,3.0,8.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.4025,1.1738,0.0,0.0,44.0,17.0,5.0,113.0,7433.0,3508.0,117.6523,6770.0,33.0,33.0,0.0,1.1068,2509.0,2472.0,19.0,2483.0,2182.0,11.0,26.0,290.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,3641.0,3596.0,24.0,3657.0,3171.0,18.0,-16.0,425.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,4708.0,5496.0,27.0,4804.0,3799.0,18.0,-96.0,1697.0,9.0,0.0,2.0,0.0,0.0,3.0,0.0,5928.0,7006.0,32.0,5769.0,5476.0,19.0,159.0,1530.0,13.0,0.0,5.0,0.0,0.0,4.0,1.0
LOLTMNT04_152588,complete,CCWS,2026.0,0.0,1.0,16.02,Red,sup,Marco,EXILE esports,0.0,Rakan,Varus,Zed,Gwen,Rell,Nautilus,2706.0,1.0,0.0,5.0,18.0,27.0,28.0,0.0,0.0,0.0,0.0,1.0,0.5987,1.1973,0.0,0.0,88.0,21.0,9.0,189.0,11641.0,5845.0,129.6009,10790.0,41.0,41.0,0.0,0.9091,2634.0,2771.0,14.0,2257.0,2476.0,10.0,377.0,295.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3651.0,4094.0,16.0,3475.0,4106.0,14.0,176.0,-12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5056.0,5434.0,18.0,4633.0,5389.0,19.0,423.0,45.0,-1.0,0.0,5.0,1.0,0.0,1.0,1.0,6516.0,7571.0,24.0,6179.0,8308.0,21.0,337.0,-737.0,3.0,0.0,7.0,3.0,0.0,5.0,2.0
LOLTMNT02_348803,complete,LJL,2026.0,0.0,1.0,16.02,Blue,sup,Marco,EXILE esports,1.0,Rell,Rek'Sai,Diana,Sivir,Braum,Janna,1929.0,1.0,1.0,5.0,13.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.8709,1.3997,0.0,0.0,44.0,12.0,9.0,101.0,8330.0,4119.0,128.1182,8170.0,25.0,25.0,0.0,0.7776,2283.0,2772.0,15.0,2329.0,2702.0,11.0,-46.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3574.0,3898.0,17.0,3567.0,4342.0,17.0,7.0,-444.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5218.0,5569.0,19.0,4836.0,5820.0,20.0,382.0,-251.0,-1.0,1.0,6.0,1.0,0.0,4.0,1.0,6455.0,6882.0,21.0,5976.0,7045.0,20.0,479.0,-163.0,1.0,1.0,10.0,2.0,0.0,5.0,2.0
LOLTMNT02_346787,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,Marco,EXILE esports,1.0,Galio,Rek'Sai,Diana,Aurora,Lulu,Karma,1379.0,1.0,0.0,4.0,17.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,1.1748,1.5664,0.0,0.0,25.0,8.0,2.0,62.0,7005.0,3916.0,170.3843,6945.0,25.0,25.0,0.0,1.0877,2372.0,2818.0,13.0,2383.0,2914.0,15.0,-11.0,-96.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4092.0,4385.0,20.0,3853.0,4456.0,19.0,239.0,-71.0,1.0,0.0,5.0,2.0,0.0,3.0,1.0,5910.0,6675.0,22.0,5068.0,5919.0,24.0,842.0,756.0,-2.0,0.0,14.0,3.0,0.0,6.0,4.0,,,,,,,,,,,,,,,
LOLTMNT02_356496,complete,HW,2026.0,0.0,1.0,16.03,Red,sup,Marco,EXILE esports,0.0,Rakan,Varus,Ambessa,Aurora,Naafiri,Wukong,1493.0,0.0,0.0,8.0,8.0,12.0,44.0,0.0,0.0,0.0,0.0,0.0,0.4823,2.2505,0.0,0.0,33.0,6.0,4.0,75.0,5994.0,2673.0,107.4213,5530.0,18.0,18.0,0.0,0.7234,2363.0,2443.0,9.0,3291.0,2663.0,14.0,-928.0,-220.0,-5.0,0.0,1.0,1.0,2.0,4.0,1.0,3675.0,3816.0,15.0,4523.0,4332.0,19.0,-848.0,-516.0,-4.0,0.0,5.0,3.0,2.0,8.0,3.0,4781.0,5762.0,16.0,6098.0,6677.0,20.0,-1317.0,-915.0,-4.0,0.0,6.0,5.0,2.0,14.0,3.0,5994.0,6928.0,18.0,8268.0,10126.0,24.0,-2274.0,-3198.0,-6.0,0.0,8.0,8.0,3.0,25.0,4.0
LOLTMNT02_356516,complete,HW,2026.0,0.0,2.0,16.03,Red,sup,Marco,EXILE esports,0.0,Nautilus,Varus,Ambessa,Aurora,Karma,Aphelios,1988.0,0.0,0.0,9.0,14.0,23.0,49.0,0.0,0.0,0.0,0.0,0.0,0.6942,2.173,0.0,0.0,46.0,7.0,10.0,82.0,8263.0,3932.0,118.672,8085.0,30.0,30.0,0.0,0.9054,2196.0,2682.0,14.0,2336.0,2544.0,14.0,-140.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3338.0,4003.0,21.0,4035.0,5074.0,19.0,-697.0,-1071.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,4576.0,5836.0,23.0,6661.0,7566.0,26.0,-2085.0,-1730.0,-3.0,0.0,2.0,6.0,3.0,12.0,1.0,6024.0,10141.0,24.0,8087.0,9755.0,29.0,-2063.0,386.0,-5.0,0.0,7.0,7.0,3.0,15.0,2.0
LOLTMNT02_355549,complete,LPLOL,2026.0,0.0,3.0,16.03,Red,sup,Marco,EXILE esports,0.0,Braum,Ambessa,Varus,Aurora,Aphelios,Alistar,1572.0,0.0,0.0,7.0,11.0,16.0,34.0,0.0,0.0,0.0,0.0,0.0,0.6107,1.9084,0.0,0.0,29.0,5.0,8.0,69.0,6911.0,3429.0,130.8779,6375.0,24.0,24.0,0.0,0.916,2253.0,2699.0,12.0,2400.0,2601.0,6.0,-147.0,98.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,3526.0,4111.0,18.0,4002.0,4047.0,11.0,-476.0,64.0,7.0,0.0,2.0,3.0,1.0,4.0,1.0,5056.0,6184.0,21.0,5518.0,5648.0,11.0,-462.0,536.0,10.0,0.0,4.0,4.0,1.0,6.0,2.0,6334.0,8253.0,24.0,7191.0,7727.0,19.0,-857.0,526.0,5.0,0.0,8.0,7.0,1.0,10.0,4.0
LOLTMNT02_357037,complete,LCKC,2026.0,0.0,1.0,16.03,Blue,sup,Marco,EXILE esports,0.0,Nautilus,Ambessa,Varus,Naafiri,Galio,Ornn,1666.0,1.0,0.0,6.0,14.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.9724,1.8727,1.0,0.0,27.0,9.0,3.0,67.0,7862.0,4188.0,150.8283,6655.0,39.0,35.0,4.0,1.4046,2371.0,2352.0,17.0,2673.0,2746.0,13.0,-302.0,-394.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,3725.0,4055.0,27.0,4122.0,4943.0,17.0,-397.0,-888.0,10.0,0.0,4.0,2.0,1.0,5.0,2.0,4926.0,4972.0,30.0,5818.0,6743.0,18.0,-892.0,-1771.0,12.0,0.0,4.0,5.0,1.0,11.0,3.0,6339.0,7665.0,34.0,6867.0,7590.0,21.0,-528.0,75.0,13.0,0.0,8.0,6.0,1.0,11.0,5.0
LOLTMNT02_357056,complete,LCKC,2026.0,0.0,2.0,16.03,Blue,sup,Marco,EXILE esports,1.0,Orianna,Naafiri,Akali,Ambessa,Diana,Sylas,1983.0,0.0,1.0,5.0,8.0,15.0,26.0,0.0,0.0,0.0,0.0,0.0,0.4539,1.2405,0.0,0.0,36.0,10.0,4.0,99.0,8670.0,4349.0,131.5885,9135.0,44.0,44.0,0.0,1.3313,2664.0,2864.0,10.0,2759.0,2790.0,14.0,-95.0,74.0,-4.0,0.0,4.0,2.0,1.0,1.0,1.0,3852.0,4042.0,21.0,4142.0,4351.0,20.0,-290.0,-309.0,1.0,0.0,5.0,3.0,1.0,5.0,2.0,4947.0,5533.0,26.0,5244.0,5560.0,21.0,-297.0,-27.0,5.0,0.0,5.0,4.0,1.0,7.0,2.0,6166.0,6925.0,31.0,6555.0,7111.0,26.0,-389.0,-186.0,5.0,0.0,7.0,4.0,1.0,9.0,2.0
