gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171133,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Mentos,Team Insidious,0.0,Anivia,Ambessa,Orianna,Jarvan IV,Caitlyn,Ezreal,1759.0,0.0,2.0,3.0,5.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.4775,0.9892,0.0,0.0,12.0,2.0,4.0,29.0,10409.0,6545.0,223.2518,10400.0,269.0,269.0,0.0,9.1757,3886.0,5582.0,104.0,3818.0,5368.0,100.0,68.0,214.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,5537.0,8369.0,153.0,5615.0,8030.0,150.0,-78.0,339.0,3.0,1.0,2.0,0.0,1.0,2.0,0.0,7553.0,11601.0,211.0,8065.0,10729.0,207.0,-512.0,872.0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,9205.0,15702.0,243.0,10161.0,15187.0,259.0,-956.0,515.0,-16.0,2.0,4.0,0.0,2.0,2.0,0.0
LOLTMNT03_336219,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Mentos,Team Insidious,1.0,Orianna,Jarvan IV,Ambessa,Ziggs,Gnar,Jax,2134.0,0.0,3.0,5.0,7.0,15.0,28.0,1.0,0.0,0.0,0.0,0.0,0.4217,1.209,0.0,0.0,3.0,8.0,2.0,24.0,14172.0,9543.0,268.313,14000.0,285.0,284.0,1.0,8.0131,3567.0,5047.0,100.0,4137.0,5262.0,100.0,-570.0,-215.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5249.0,7862.0,152.0,5789.0,8018.0,144.0,-540.0,-156.0,8.0,0.0,1.0,1.0,1.0,3.0,0.0,7207.0,10548.0,206.0,7778.0,10761.0,184.0,-571.0,-213.0,22.0,0.0,1.0,2.0,2.0,3.0,0.0,8737.0,14146.0,239.0,9418.0,12647.0,215.0,-681.0,1499.0,24.0,0.0,2.0,3.0,3.0,4.0,0.0
LOLTMNT02_343119,complete,HW,2026.0,0.0,1.0,16.01,Blue,mid,Mentos,Team Insidious,1.0,Ryze,Ambessa,Akali,Malphite,Varus,Yunara,1903.0,0.0,2.0,5.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1892,0.9143,0.0,0.0,15.0,7.0,5.0,32.0,12923.0,8765.0,276.3531,12775.0,347.0,343.0,4.0,10.9406,3619.0,5275.0,102.0,3788.0,5466.0,99.0,-169.0,-191.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5738.0,8576.0,154.0,6125.0,8842.0,154.0,-387.0,-266.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,7495.0,11222.0,211.0,8924.0,12349.0,220.0,-1429.0,-1127.0,-9.0,1.0,0.0,4.0,3.0,0.0,1.0,10224.0,16193.0,273.0,11556.0,15386.0,262.0,-1332.0,807.0,11.0,2.0,0.0,4.0,4.0,1.0,2.0
LOLTMNT05_174083,complete,LIT,2026.0,0.0,2.0,16.01,Red,mid,Mentos,Team Insidious,0.0,Galio,Orianna,Jayce,Malphite,Vi,Ambessa,1850.0,0.0,3.0,4.0,3.0,13.0,18.0,1.0,0.0,0.0,0.0,0.0,0.4216,1.0054,0.0,0.0,12.0,6.0,5.0,43.0,10563.0,6513.0,211.2324,10075.0,240.0,238.0,2.0,7.7838,4051.0,5165.0,92.0,3739.0,5146.0,106.0,312.0,19.0,-14.0,2.0,1.0,0.0,0.0,0.0,0.0,5374.0,6976.0,127.0,5425.0,7255.0,144.0,-51.0,-279.0,-17.0,2.0,1.0,0.0,1.0,0.0,0.0,6911.0,9061.0,164.0,7221.0,9925.0,189.0,-310.0,-864.0,-25.0,2.0,2.0,1.0,1.0,1.0,0.0,9098.0,12499.0,207.0,9892.0,12591.0,234.0,-794.0,-92.0,-27.0,3.0,3.0,2.0,2.0,6.0,1.0
LOLTMNT04_152059,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Mentos,Team Insidious,0.0,Anivia,Ambessa,Ryze,Dr. Mundo,Malphite,Vi,2053.0,1.0,5.0,3.0,12.0,22.0,21.0,1.0,0.0,0.0,0.0,0.0,0.643,1.2567,0.0,0.0,17.0,1.0,5.0,57.0,14309.0,9845.0,287.7253,13525.0,266.0,258.0,8.0,7.774,3398.0,5252.0,91.0,3549.0,5018.0,89.0,-151.0,234.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5780.0,7950.0,135.0,5567.0,7558.0,133.0,213.0,392.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,7860.0,11491.0,194.0,7121.0,9856.0,172.0,739.0,1635.0,22.0,2.0,2.0,1.0,2.0,3.0,2.0,10890.0,16404.0,218.0,8291.0,11530.0,190.0,2599.0,4874.0,28.0,5.0,4.0,2.0,2.0,7.0,4.0
LOLTMNT01_332441,complete,ROL,2026.0,0.0,2.0,16.02,Blue,mid,Mentos,Team Insidious,1.0,Azir,Ambessa,Dr. Mundo,Akali,Lulu,Tahm Kench,2485.0,1.0,2.0,3.0,2.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.3622,0.7485,0.0,0.0,17.0,9.0,5.0,49.0,18898.0,13553.0,327.2354,18425.0,417.0,399.0,18.0,10.0684,3677.0,5385.0,106.0,3553.0,5515.0,101.0,124.0,-130.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,5788.0,8338.0,165.0,5090.0,7636.0,140.0,698.0,702.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,8351.0,10818.0,216.0,6571.0,9783.0,178.0,1780.0,1035.0,38.0,0.0,0.0,0.0,0.0,3.0,1.0,10800.0,13721.0,267.0,8969.0,12298.0,219.0,1831.0,1423.0,48.0,0.0,0.0,1.0,1.0,4.0,1.0
LOLTMNT01_334193,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Mentos,Team Insidious,1.0,Azir,Akali,Taliyah,Jarvan IV,Vi,Wukong,1837.0,0.0,2.0,6.0,2.0,10.0,24.0,0.0,0.0,0.0,0.0,1.0,0.3266,1.1105,0.0,0.0,10.0,9.0,4.0,33.0,12035.0,8012.0,261.6875,11400.0,299.0,293.0,6.0,9.7659,4161.0,4562.0,81.0,4806.0,5130.0,92.0,-645.0,-568.0,-11.0,2.0,0.0,3.0,4.0,2.0,2.0,5933.0,7142.0,134.0,7246.0,8047.0,145.0,-1313.0,-905.0,-11.0,2.0,0.0,4.0,6.0,3.0,2.0,7862.0,9923.0,187.0,8884.0,9825.0,176.0,-1022.0,98.0,11.0,2.0,1.0,4.0,7.0,4.0,3.0,9712.0,12876.0,248.0,11242.0,13111.0,223.0,-1530.0,-235.0,25.0,2.0,1.0,4.0,8.0,6.0,3.0
LOLTMNT01_334199,complete,LJL,2026.0,0.0,2.0,16.02,Red,mid,Mentos,Team Insidious,0.0,Cassiopeia,Taliyah,Syndra,Akali,Rell,Braum,1346.0,1.0,6.0,0.0,6.0,18.0,4.0,1.0,1.0,0.0,0.0,1.0,0.8024,0.9807,0.0,0.0,9.0,3.0,3.0,25.0,12090.0,9069.0,404.2645,10325.0,241.0,239.0,2.0,10.7429,4150.0,5072.0,99.0,3047.0,4482.0,78.0,1103.0,590.0,21.0,1.0,2.0,0.0,0.0,0.0,1.0,6468.0,8075.0,160.0,4694.0,7089.0,134.0,1774.0,986.0,26.0,2.0,2.0,0.0,0.0,0.0,1.0,10138.0,11744.0,215.0,7548.0,9271.0,172.0,2590.0,2473.0,43.0,5.0,4.0,0.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
LOLTMNT02_346770,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,Mentos,Team Insidious,0.0,Ryze,Jarvan IV,Lee Sin,Nocturne,Akali,Galio,1562.0,1.0,5.0,0.0,3.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8835,1.2292,0.0,0.0,12.0,4.0,1.0,25.0,13212.0,9750.0,374.5198,11325.0,286.0,278.0,8.0,10.9859,3862.0,5105.0,96.0,3715.0,5368.0,96.0,147.0,-263.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5632.0,8075.0,154.0,5538.0,7800.0,146.0,94.0,275.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,9642.0,11970.0,225.0,7563.0,10688.0,189.0,2079.0,1282.0,36.0,2.0,1.0,0.0,1.0,3.0,0.0,12052.0,16740.0,275.0,9299.0,12457.0,227.0,2753.0,4283.0,48.0,4.0,2.0,0.0,1.0,3.0,0.0
LOLTMNT02_346772,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,Mentos,Team Insidious,1.0,Taliyah,Nocturne,Lee Sin,Akali,Lulu,Poppy,1589.0,1.0,2.0,2.0,12.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9062,1.5481,0.0,0.0,10.0,0.0,2.0,16.0,11446.0,7929.0,299.3958,9750.0,251.0,243.0,8.0,9.4777,3839.0,5247.0,95.0,3372.0,4683.0,89.0,467.0,564.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,5792.0,8235.0,152.0,5187.0,7370.0,141.0,605.0,865.0,11.0,1.0,0.0,0.0,0.0,3.0,0.0,8319.0,11289.0,198.0,6932.0,10052.0,190.0,1387.0,1237.0,8.0,2.0,6.0,1.0,0.0,5.0,0.0,10497.0,14192.0,240.0,8858.0,12758.0,226.0,1639.0,1434.0,14.0,2.0,9.0,2.0,1.0,8.0,1.0
LOLTMNT02_354186,complete,LPLOL,2026.0,0.0,1.0,16.03,Blue,mid,Mentos,Team Insidious,1.0,Ryze,K'Sante,Tristana,Varus,Viktor,Orianna,1365.0,1.0,6.0,1.0,3.0,18.0,5.0,2.0,0.0,0.0,0.0,0.0,0.7912,0.967,0.0,0.0,10.0,3.0,3.0,22.0,12232.0,9172.0,403.1648,10925.0,268.0,260.0,8.0,11.7802,3589.0,4976.0,99.0,3786.0,5399.0,97.0,-197.0,-423.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5747.0,8221.0,162.0,5817.0,8287.0,156.0,-70.0,-66.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,9199.0,12086.0,234.0,7643.0,11062.0,214.0,1556.0,1024.0,20.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_353235,complete,LCP,2026.0,1.0,2.0,16.03,Red,mid,Mentos,Team Insidious,0.0,Orianna,K'Sante,Varus,Sivir,Rakan,Alistar,1808.0,1.0,5.0,3.0,10.0,28.0,17.0,1.0,0.0,0.0,0.0,0.0,0.9292,1.4934,0.0,0.0,13.0,5.0,5.0,32.0,14393.0,10429.0,346.0951,12625.0,288.0,276.0,12.0,9.5575,3690.0,5148.0,98.0,3938.0,5351.0,107.0,-248.0,-203.0,-9.0,0.0,2.0,0.0,1.0,0.0,1.0,5799.0,8278.0,162.0,6445.0,8215.0,164.0,-646.0,63.0,-2.0,0.0,2.0,0.0,2.0,0.0,1.0,8316.0,11243.0,218.0,8188.0,10959.0,211.0,128.0,284.0,7.0,0.0,2.0,1.0,2.0,2.0,1.0,10753.0,14261.0,248.0,10646.0,14189.0,256.0,107.0,72.0,-8.0,2.0,3.0,3.0,3.0,7.0,3.0
