gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149251,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Mita,eSuba,1.0,Leona,Orianna,Yunara,Sion,Braum,Karma,1370.0,1.0,3.0,1.0,6.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0511,1.4891,0.0,0.0,25.0,16.0,5.0,81.0,7010.0,3940.0,172.5547,5935.0,29.0,29.0,0.0,1.2701,2483.0,2639.0,11.0,2361.0,2236.0,7.0,122.0,403.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,3692.0,3598.0,21.0,3785.0,3952.0,13.0,-93.0,-354.0,8.0,0.0,3.0,1.0,0.0,4.0,0.0,5519.0,4853.0,26.0,4942.0,4998.0,17.0,577.0,-145.0,9.0,2.0,4.0,1.0,0.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151156,complete,TCL,2026.0,0.0,1.0,16.02,Red,sup,Mita,eSuba,0.0,Rakan,Ambessa,Varus,Gwen,Lulu,Poppy,1901.0,1.0,0.0,3.0,11.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6312,1.1047,0.0,0.0,55.0,15.0,10.0,132.0,8917.0,4763.0,150.3314,7860.0,28.0,28.0,0.0,0.8837,2553.0,2860.0,12.0,2423.0,2592.0,17.0,130.0,268.0,-5.0,0.0,1.0,1.0,0.0,1.0,0.0,3944.0,4136.0,16.0,3547.0,3707.0,26.0,397.0,429.0,-10.0,0.0,3.0,2.0,0.0,1.0,0.0,5116.0,5353.0,19.0,4676.0,5538.0,31.0,440.0,-185.0,-12.0,0.0,3.0,2.0,0.0,1.0,0.0,6223.0,6209.0,22.0,5815.0,7837.0,32.0,408.0,-1628.0,-10.0,0.0,3.0,3.0,0.0,3.0,0.0
LOLTMNT01_334173,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Mita,eSuba,0.0,Leona,Jayce,Ryze,Orianna,Ezreal,Sivir,2202.0,0.0,0.0,6.0,16.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5722,1.1172,0.0,0.0,65.0,16.0,10.0,148.0,8985.0,4217.0,114.9046,8450.0,26.0,26.0,0.0,0.7084,2522.0,2454.0,7.0,2689.0,2521.0,10.0,-167.0,-67.0,-3.0,0.0,2.0,2.0,0.0,3.0,1.0,3635.0,3285.0,12.0,3854.0,4200.0,18.0,-219.0,-915.0,-6.0,0.0,3.0,2.0,0.0,4.0,2.0,4937.0,5053.0,20.0,5023.0,6406.0,20.0,-86.0,-1353.0,0.0,0.0,5.0,2.0,0.0,6.0,3.0,6101.0,5905.0,25.0,6195.0,7330.0,26.0,-94.0,-1425.0,-1.0,0.0,6.0,2.0,0.0,6.0,3.0
LOLTMNT01_334197,complete,LJL,2026.0,0.0,2.0,16.02,Red,sup,Mita,eSuba,0.0,Braum,Jayce,Ryze,Orianna,Lulu,Karma,1589.0,0.0,0.0,10.0,9.0,12.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4531,1.6237,0.0,0.0,31.0,2.0,6.0,60.0,6372.0,2855.0,107.8037,6010.0,13.0,13.0,0.0,0.4909,2465.0,2869.0,10.0,2515.0,3168.0,15.0,-50.0,-299.0,-5.0,0.0,3.0,2.0,0.0,3.0,1.0,3682.0,4275.0,12.0,4225.0,5066.0,23.0,-543.0,-791.0,-11.0,0.0,6.0,4.0,1.0,7.0,1.0,4777.0,5479.0,13.0,5726.0,6574.0,26.0,-949.0,-1095.0,-13.0,0.0,8.0,6.0,1.0,12.0,2.0,6105.0,6671.0,13.0,7553.0,9484.0,28.0,-1448.0,-2813.0,-15.0,0.0,9.0,9.0,1.0,20.0,2.0
LOLTMNT04_151797,complete,LFL,2026.0,0.0,1.0,16.02,Red,sup,Mita,eSuba,0.0,Alistar,Diana,Ambessa,Orianna,,Karma,1978.0,1.0,0.0,3.0,12.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5157,0.9707,0.0,0.0,54.0,18.0,10.0,135.0,8403.0,4092.0,124.1254,7205.0,33.0,33.0,0.0,1.001,2151.0,2463.0,15.0,2342.0,3060.0,16.0,-191.0,-597.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3387.0,3026.0,20.0,3783.0,4694.0,20.0,-396.0,-1668.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4650.0,4435.0,23.0,5127.0,6203.0,22.0,-477.0,-1768.0,1.0,0.0,3.0,2.0,0.0,7.0,1.0,5749.0,5870.0,27.0,6306.0,8079.0,25.0,-557.0,-2209.0,2.0,0.0,3.0,3.0,0.0,9.0,1.0
LOLTMNT02_346771,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,Mita,eSuba,1.0,Rakan,Taliyah,Orianna,Diana,Karma,Poppy,1447.0,1.0,0.0,3.0,23.0,29.0,6.0,0.0,0.0,0.0,0.0,1.0,1.2025,1.4098,0.0,0.0,21.0,7.0,8.0,67.0,7648.0,4421.0,183.3172,6395.0,15.0,15.0,0.0,0.622,2461.0,2041.0,8.0,2227.0,2400.0,14.0,234.0,-359.0,-6.0,0.0,4.0,0.0,0.0,0.0,0.0,4028.0,3787.0,13.0,3302.0,3855.0,22.0,726.0,-68.0,-9.0,0.0,8.0,1.0,0.0,0.0,2.0,5734.0,5998.0,15.0,4581.0,6355.0,25.0,1153.0,-357.0,-10.0,0.0,13.0,3.0,0.0,3.0,3.0,7648.0,9887.0,15.0,5321.0,8811.0,26.0,2327.0,1076.0,-11.0,0.0,23.0,3.0,0.0,3.0,6.0
LOLTMNT02_356496,complete,HW,2026.0,0.0,1.0,16.03,Blue,sup,Mita,eSuba,1.0,Rell,Ivern,Syndra,Viktor,K'Sante,Ornn,1493.0,1.0,3.0,4.0,25.0,44.0,12.0,0.0,0.0,0.0,0.0,0.0,1.7683,2.2505,0.0,0.0,30.0,9.0,8.0,90.0,8268.0,4947.0,198.8078,7325.0,24.0,23.0,1.0,0.9645,3291.0,2663.0,14.0,2363.0,2443.0,9.0,928.0,220.0,5.0,2.0,4.0,1.0,0.0,1.0,1.0,4523.0,4332.0,19.0,3675.0,3816.0,15.0,848.0,516.0,4.0,2.0,8.0,3.0,0.0,5.0,3.0,6098.0,6677.0,20.0,4781.0,5762.0,16.0,1317.0,915.0,4.0,2.0,14.0,3.0,0.0,6.0,5.0,8268.0,10126.0,24.0,5994.0,6928.0,18.0,2274.0,3198.0,6.0,3.0,25.0,4.0,0.0,8.0,8.0
LOLTMNT02_356516,complete,HW,2026.0,0.0,2.0,16.03,Blue,sup,Mita,eSuba,1.0,Neeko,Ivern,Syndra,Viktor,Corki,Sivir,1988.0,1.0,3.0,5.0,22.0,49.0,23.0,1.0,0.0,0.0,0.0,0.0,1.4789,2.173,0.0,0.0,35.0,12.0,9.0,105.0,10695.0,6364.0,192.0724,10365.0,33.0,32.0,1.0,0.996,2336.0,2544.0,14.0,2196.0,2682.0,14.0,140.0,-138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4035.0,5074.0,19.0,3338.0,4003.0,21.0,697.0,1071.0,-2.0,0.0,7.0,0.0,0.0,0.0,4.0,6661.0,7566.0,26.0,4576.0,5836.0,23.0,2085.0,1730.0,3.0,3.0,12.0,1.0,0.0,2.0,6.0,8087.0,9755.0,29.0,6024.0,10141.0,24.0,2063.0,-386.0,5.0,3.0,15.0,2.0,0.0,7.0,7.0
LOLTMNT02_355549,complete,LPLOL,2026.0,0.0,3.0,16.03,Blue,sup,Mita,eSuba,1.0,Leona,Ivern,Viktor,Vladimir,Lulu,Karma,1572.0,1.0,1.0,4.0,11.0,34.0,16.0,0.0,0.0,0.0,0.0,0.0,1.2977,1.9084,0.0,0.0,32.0,11.0,4.0,86.0,7786.0,4304.0,164.2748,6930.0,19.0,19.0,0.0,0.7252,2400.0,2601.0,6.0,2253.0,2699.0,12.0,147.0,-98.0,-6.0,1.0,1.0,0.0,0.0,0.0,2.0,4002.0,4047.0,11.0,3526.0,4111.0,18.0,476.0,-64.0,-7.0,1.0,4.0,1.0,0.0,2.0,3.0,5518.0,5648.0,11.0,5056.0,6184.0,21.0,462.0,-536.0,-10.0,1.0,6.0,2.0,0.0,4.0,4.0,7191.0,7727.0,19.0,6334.0,8253.0,24.0,857.0,-526.0,-5.0,1.0,10.0,4.0,0.0,8.0,7.0
LOLTMNT06_168053,complete,LIT,2026.0,0.0,1.0,16.03,Red,sup,Mita,eSuba,0.0,Leona,Sivir,Ambessa,Orianna,Pantheon,Vi,2003.0,0.0,1.0,5.0,13.0,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5392,1.1682,0.0,0.0,50.0,13.0,9.0,112.0,8477.0,4115.0,123.2651,7975.0,33.0,33.0,0.0,0.9885,2116.0,2893.0,13.0,2324.0,3170.0,15.0,-208.0,-277.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3496.0,4245.0,23.0,3455.0,4236.0,25.0,41.0,9.0,-2.0,0.0,3.0,0.0,0.0,0.0,1.0,5528.0,6702.0,29.0,4794.0,6098.0,28.0,734.0,604.0,1.0,1.0,10.0,0.0,0.0,2.0,3.0,6545.0,7237.0,32.0,6265.0,7322.0,30.0,280.0,-85.0,2.0,1.0,10.0,1.0,1.0,3.0,3.0
LOLTMNT05_177030,complete,LEC,2026.0,1.0,2.0,16.03,Red,sup,Mita,eSuba,0.0,Karma,Sivir,Taliyah,Ambessa,Pantheon,Vi,1982.0,0.0,0.0,4.0,6.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2725,1.2412,0.0,0.0,54.0,8.0,8.0,121.0,7509.0,3190.0,96.5691,7135.0,18.0,18.0,0.0,0.5449,2164.0,2197.0,11.0,2467.0,2802.0,12.0,-303.0,-605.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,3340.0,3364.0,14.0,4337.0,4630.0,26.0,-997.0,-1266.0,-12.0,0.0,1.0,1.0,1.0,3.0,0.0,4547.0,4814.0,15.0,5338.0,5412.0,26.0,-791.0,-598.0,-11.0,0.0,3.0,1.0,1.0,4.0,1.0,5701.0,5582.0,16.0,6476.0,7059.0,28.0,-775.0,-1477.0,-12.0,0.0,4.0,1.0,1.0,6.0,1.0
