gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_324980,complete,LCS,2026.0,0.0,1.0,16.01,Blue,jng,MrJackson,Nightbirds,1.0,Jayce,Bel'Veth,Nunu & Willump,Varus,Malphite,Jarvan IV,1441.0,1.0,8.0,2.0,4.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.8744,1.0826,1.0,0.0,6.0,3.0,5.0,29.0,13361.0,10146.0,422.4566,13075.0,188.0,8.0,180.0,7.8279,4432.0,5057.0,90.0,3441.0,3671.0,67.0,991.0,1386.0,23.0,1.0,1.0,0.0,0.0,1.0,2.0,7289.0,7806.0,123.0,5442.0,6470.0,111.0,1847.0,1336.0,12.0,4.0,3.0,1.0,0.0,3.0,4.0,10516.0,11557.0,171.0,7056.0,8687.0,148.0,3460.0,2870.0,23.0,6.0,3.0,1.0,0.0,3.0,5.0,13361.0,14021.0,188.0,7852.0,9278.0,154.0,5509.0,4743.0,34.0,8.0,4.0,2.0,0.0,4.0,8.0
LOLTMNT01_332667,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,MrJackson,Nightbirds,1.0,Pantheon,Vi,Varus,Syndra,Jarvan IV,Nautilus,1594.0,1.0,9.0,2.0,10.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0916,1.3174,1.0,0.0,8.0,6.0,6.0,37.0,12591.0,9064.0,341.1794,10350.0,165.0,21.0,144.0,6.2108,3994.0,3478.0,63.0,3675.0,3726.0,71.0,319.0,-248.0,-8.0,3.0,0.0,1.0,1.0,1.0,1.0,5352.0,5235.0,87.0,5427.0,6383.0,112.0,-75.0,-1148.0,-25.0,3.0,1.0,1.0,1.0,2.0,2.0,9022.0,9200.0,129.0,7610.0,9259.0,142.0,1412.0,-59.0,-13.0,6.0,4.0,1.0,2.0,3.0,4.0,11296.0,12305.0,160.0,9439.0,11277.0,172.0,1857.0,1028.0,-12.0,7.0,9.0,2.0,2.0,4.0,5.0
LOLTMNT01_334173,complete,LJL,2026.0,0.0,1.0,16.02,Blue,jng,MrJackson,Nightbirds,1.0,Ambessa,Malphite,Syndra,Taliyah,Nautilus,Rell,2202.0,1.0,7.0,5.0,8.0,20.0,21.0,2.0,1.0,0.0,0.0,0.0,0.545,1.1172,1.0,0.0,12.0,9.0,8.0,52.0,15888.0,11120.0,302.9973,13250.0,229.0,20.0,209.0,6.2398,3277.0,3744.0,70.0,4073.0,4375.0,81.0,-796.0,-631.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,5103.0,6721.0,114.0,6421.0,7768.0,134.0,-1318.0,-1047.0,-20.0,0.0,1.0,1.0,2.0,0.0,0.0,7886.0,10254.0,162.0,8841.0,10190.0,171.0,-955.0,64.0,-9.0,2.0,2.0,1.0,2.0,2.0,2.0,8995.0,11340.0,177.0,12075.0,13677.0,226.0,-3080.0,-2337.0,-49.0,2.0,2.0,2.0,3.0,3.0,2.0
LOLTMNT01_334197,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,MrJackson,Nightbirds,1.0,Aatrox,Malphite,Syndra,Rengar,Jarvan IV,Vi,1589.0,1.0,11.0,4.0,14.0,31.0,12.0,2.0,1.0,0.0,0.0,1.0,1.1705,1.6237,0.0,0.0,6.0,3.0,4.0,31.0,13957.0,10440.0,394.2102,12800.0,195.0,13.0,182.0,7.3631,4717.0,4313.0,71.0,3482.0,3823.0,70.0,1235.0,490.0,1.0,4.0,1.0,0.0,0.0,3.0,1.0,7098.0,7556.0,122.0,5515.0,6006.0,102.0,1583.0,1550.0,20.0,5.0,5.0,2.0,1.0,4.0,3.0,9700.0,10528.0,157.0,7152.0,8498.0,133.0,2548.0,2030.0,24.0,6.0,9.0,3.0,1.0,6.0,5.0,12926.0,14603.0,193.0,9110.0,10886.0,153.0,3816.0,3717.0,40.0,10.0,11.0,4.0,2.0,6.0,7.0
LOLTMNT05_176646,complete,LIT,2026.0,0.0,1.0,16.03,Blue,jng,MrJackson,Nightbirds,1.0,Poppy,Corki,Neeko,Rumble,Lulu,Leona,1456.0,1.0,5.0,4.0,11.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,1.4423,1.9368,1.0,0.0,8.0,7.0,5.0,42.0,9495.0,6249.0,257.5137,9425.0,150.0,8.0,142.0,6.1813,4007.0,3993.0,74.0,3400.0,3820.0,60.0,607.0,173.0,14.0,2.0,2.0,0.0,0.0,2.0,2.0,5960.0,6469.0,104.0,5822.0,5898.0,83.0,138.0,571.0,21.0,4.0,4.0,1.0,2.0,2.0,4.0,7637.0,8528.0,133.0,9312.0,9543.0,116.0,-1675.0,-1015.0,17.0,4.0,7.0,3.0,5.0,4.0,4.0,9495.0,11274.0,150.0,11572.0,10928.0,130.0,-2077.0,346.0,20.0,5.0,11.0,4.0,7.0,4.0,7.0
LOLTMNT02_354876,complete,LCS,2026.0,0.0,2.0,16.03,Red,jng,MrJackson,Nightbirds,0.0,Vi,Corki,,Ryze,,Neeko,1608.0,1.0,5.0,3.0,13.0,28.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0448,1.5299,1.0,0.0,4.0,4.0,4.0,30.0,12388.0,8832.0,329.5522,12150.0,182.0,12.0,170.0,6.791,3843.0,4592.0,85.0,4713.0,4187.0,74.0,-870.0,405.0,11.0,1.0,0.0,2.0,3.0,1.0,0.0,5654.0,6940.0,113.0,6531.0,6459.0,112.0,-877.0,481.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,7793.0,10031.0,152.0,9715.0,9630.0,156.0,-1922.0,401.0,-4.0,1.0,6.0,3.0,6.0,3.0,4.0,10910.0,14188.0,178.0,11770.0,12220.0,190.0,-860.0,1968.0,-12.0,3.0,11.0,3.0,6.0,4.0,5.0
LOLTMNT05_176711,complete,LEC,2026.0,1.0,3.0,16.03,Blue,jng,MrJackson,Nightbirds,1.0,Pantheon,Corki,Qiyana,Akali,Xin Zhao,Wukong,1968.0,1.0,5.0,5.0,12.0,30.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9146,1.4329,2.0,0.0,6.0,7.0,6.0,32.0,14410.0,10120.0,308.5366,12800.0,225.0,24.0,201.0,6.8598,3512.0,4291.0,81.0,4040.0,4353.0,77.0,-528.0,-62.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,6202.0,7217.0,115.0,6416.0,7119.0,121.0,-214.0,98.0,-6.0,3.0,2.0,2.0,3.0,2.0,1.0,7949.0,9520.0,149.0,9585.0,11081.0,179.0,-1636.0,-1561.0,-30.0,3.0,3.0,3.0,5.0,4.0,1.0,10672.0,12988.0,185.0,12065.0,13151.0,205.0,-1393.0,-163.0,-20.0,4.0,5.0,4.0,7.0,4.0,2.0
LOLTMNT06_168053,complete,LIT,2026.0,0.0,1.0,16.03,Blue,jng,MrJackson,Nightbirds,1.0,Aatrox,Varus,Rumble,Qiyana,Braum,Rell,2003.0,1.0,5.0,6.0,7.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.6291,1.1682,1.0,0.0,8.0,11.0,7.0,63.0,14397.0,10035.0,300.5991,14225.0,240.0,19.0,221.0,7.1892,3843.0,4660.0,86.0,3604.0,3840.0,67.0,239.0,820.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,5455.0,6871.0,125.0,5878.0,7104.0,117.0,-423.0,-233.0,8.0,1.0,0.0,1.0,1.0,4.0,1.0,6855.0,8575.0,150.0,8495.0,10215.0,155.0,-1640.0,-1640.0,-5.0,1.0,0.0,4.0,2.0,10.0,2.0,9982.0,11955.0,191.0,10234.0,12747.0,197.0,-252.0,-792.0,-6.0,3.0,1.0,4.0,2.0,10.0,3.0
LOLTMNT05_177030,complete,LEC,2026.0,1.0,2.0,16.03,Blue,jng,MrJackson,Nightbirds,1.0,Cho'Gath,Varus,Rumble,Orianna,Jhin,Ashe,1982.0,1.0,13.0,4.0,7.0,32.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9687,1.2412,0.0,0.0,5.0,6.0,3.0,42.0,15620.0,11301.0,342.109,13975.0,211.0,13.0,198.0,6.3875,4176.0,3929.0,65.0,3473.0,3735.0,72.0,703.0,194.0,-7.0,3.0,1.0,1.0,0.0,1.0,1.0,6148.0,6957.0,103.0,5750.0,6934.0,117.0,398.0,23.0,-14.0,4.0,2.0,2.0,1.0,1.0,2.0,7787.0,9423.0,136.0,7910.0,9370.0,151.0,-123.0,53.0,-15.0,4.0,3.0,3.0,2.0,2.0,2.0,10698.0,12774.0,178.0,9768.0,11844.0,193.0,930.0,930.0,-15.0,7.0,4.0,3.0,2.0,2.0,3.0
LOLTMNT03_344400,complete,LCS,2026.0,0.0,3.0,16.03,Blue,jng,MrJackson,Nightbirds,1.0,Pantheon,Qiyana,Akali,Sivir,Jarvan IV,Nocturne,2750.0,1.0,9.0,7.0,14.0,32.0,29.0,0.0,0.0,0.0,0.0,1.0,0.6982,1.3309,2.0,0.0,13.0,8.0,10.0,54.0,17525.0,11639.0,253.9418,15650.0,226.0,12.0,214.0,4.9309,4008.0,3879.0,71.0,3473.0,3922.0,72.0,535.0,-43.0,-1.0,2.0,0.0,0.0,0.0,1.0,2.0,5516.0,6188.0,107.0,5632.0,6438.0,99.0,-116.0,-250.0,8.0,2.0,0.0,1.0,2.0,3.0,2.0,8064.0,8791.0,137.0,7039.0,8425.0,129.0,1025.0,366.0,8.0,4.0,2.0,1.0,2.0,3.0,3.0,9618.0,10617.0,143.0,8875.0,11010.0,162.0,743.0,-393.0,-19.0,5.0,5.0,3.0,2.0,6.0,3.0
