gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_175866,complete,TCL,2026.0,0.0,1.0,16.03,Red,sup,Myrtus,Movistar KOI Fénix,0.0,Nautilus,Varus,Rumble,Kindred,Lulu,Renekton,1510.0,1.0,0.0,2.0,14.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.7947,0.9934,0.0,0.0,36.0,8.0,6.0,88.0,6957.0,3601.0,143.0861,5585.0,25.0,25.0,0.0,0.9934,2153.0,2540.0,14.0,2439.0,2469.0,19.0,-286.0,71.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,3526.0,3760.0,18.0,3535.0,3030.0,26.0,-9.0,730.0,-8.0,0.0,5.0,2.0,0.0,2.0,2.0,4872.0,5203.0,23.0,4717.0,4812.0,28.0,155.0,391.0,-5.0,0.0,7.0,2.0,0.0,2.0,3.0,6926.0,8472.0,25.0,6167.0,6604.0,29.0,759.0,1868.0,-4.0,0.0,14.0,2.0,0.0,3.0,5.0
LOLTMNT05_176909,complete,TCL,2026.0,0.0,1.0,16.03,Red,sup,Myrtus,Movistar KOI Fénix,0.0,Rakan,Orianna,Rumble,Caitlyn,Lulu,Rell,1655.0,0.0,0.0,1.0,3.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1813,0.7613,0.0,0.0,45.0,14.0,10.0,110.0,6544.0,2892.0,104.8459,6035.0,32.0,32.0,0.0,1.1601,2431.0,2817.0,18.0,2365.0,2807.0,18.0,66.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3713.0,4196.0,22.0,3552.0,4149.0,22.0,161.0,47.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,4760.0,4576.0,26.0,4849.0,5523.0,23.0,-89.0,-947.0,3.0,0.0,3.0,1.0,0.0,5.0,2.0,6007.0,5597.0,29.0,6572.0,7691.0,23.0,-565.0,-2094.0,6.0,0.0,3.0,1.0,0.0,9.0,2.0
LOLTMNT05_176916,complete,LFL,2026.0,0.0,2.0,16.03,Blue,sup,Myrtus,Movistar KOI Fénix,1.0,Poppy,Nocturne,Ambessa,Rell,Braum,Lulu,1943.0,1.0,2.0,5.0,13.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.7411,1.3278,0.0,0.0,59.0,26.0,8.0,168.0,9853.0,5614.0,173.3608,9470.0,41.0,41.0,0.0,1.2661,2426.0,1900.0,12.0,2448.0,2388.0,17.0,-22.0,-488.0,-5.0,0.0,2.0,1.0,0.0,2.0,0.0,4173.0,3346.0,21.0,3988.0,3778.0,24.0,185.0,-432.0,-3.0,1.0,4.0,2.0,1.0,5.0,0.0,5767.0,4692.0,25.0,5401.0,5092.0,29.0,366.0,-400.0,-4.0,2.0,5.0,2.0,2.0,5.0,1.0,7092.0,5844.0,31.0,6684.0,6923.0,34.0,408.0,-1079.0,-3.0,2.0,6.0,4.0,2.0,9.0,2.0
LOLTMNT05_176936,complete,AL,2026.0,1.0,3.0,16.03,Red,sup,Myrtus,Movistar KOI Fénix,0.0,Neeko,Rumble,Varus,Rell,Syndra,Sylas,1741.0,0.0,1.0,4.0,7.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2757,0.965,0.0,0.0,46.0,25.0,10.0,131.0,8139.0,4312.0,148.6043,7980.0,46.0,44.0,2.0,1.5853,2788.0,2078.0,14.0,2255.0,2198.0,13.0,533.0,-120.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,4005.0,3294.0,22.0,3432.0,3454.0,18.0,573.0,-160.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,5542.0,4713.0,31.0,5040.0,4830.0,21.0,502.0,-117.0,10.0,0.0,7.0,2.0,0.0,7.0,3.0,7204.0,6852.0,37.0,6440.0,6941.0,22.0,764.0,-89.0,15.0,1.0,7.0,2.0,0.0,10.0,3.0
LOLTMNT05_175965,complete,TCL,2026.0,0.0,1.0,16.03,Blue,sup,Myrtus,Movistar KOI Fénix,1.0,Neeko,Ambessa,Akali,Diana,Syndra,Taliyah,1641.0,1.0,3.0,2.0,12.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8044,1.0603,0.0,0.0,40.0,10.0,8.0,90.0,8775.0,5152.0,188.3729,7240.0,40.0,36.0,4.0,1.4625,2798.0,3285.0,23.0,2226.0,2587.0,15.0,572.0,698.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3797.0,4169.0,27.0,3463.0,3612.0,23.0,334.0,557.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,5475.0,5943.0,31.0,4570.0,5342.0,28.0,905.0,601.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,7624.0,8635.0,34.0,6024.0,6487.0,30.0,1600.0,2148.0,4.0,2.0,10.0,2.0,0.0,4.0,4.0
LOLTMNT05_176994,complete,LEC,2026.0,1.0,2.0,16.03,Red,sup,Myrtus,Movistar KOI Fénix,0.0,Nautilus,Ambessa,Galio,Sion,Syndra,Hwei,1613.0,1.0,2.0,5.0,17.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,1.1159,1.7111,0.0,0.0,44.0,9.0,9.0,110.0,8399.0,4833.0,179.7768,7400.0,29.0,29.0,0.0,1.0787,2599.0,2207.0,13.0,3009.0,2317.0,19.0,-410.0,-110.0,-6.0,1.0,0.0,2.0,1.0,4.0,0.0,4310.0,3121.0,23.0,4148.0,2973.0,25.0,162.0,148.0,-2.0,1.0,4.0,2.0,1.0,5.0,1.0,5970.0,4615.0,24.0,5905.0,5447.0,32.0,65.0,-832.0,-8.0,2.0,7.0,3.0,1.0,10.0,3.0,7648.0,6786.0,28.0,7790.0,6438.0,33.0,-142.0,348.0,-5.0,2.0,13.0,4.0,3.0,11.0,6.0
LOLTMNT03_345308,complete,CBLOL,2026.0,0.0,1.0,16.03,Blue,sup,Myrtus,Movistar KOI Fénix,1.0,Nautilus,Jayce,Varus,Nocturne,Neeko,Braum,1850.0,1.0,0.0,4.0,8.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3568,0.5514,0.0,0.0,55.0,8.0,10.0,109.0,7763.0,3713.0,120.4216,6650.0,39.0,39.0,0.0,1.2649,2218.0,2856.0,22.0,2393.0,3016.0,17.0,-175.0,-160.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,3388.0,4182.0,28.0,3495.0,4288.0,24.0,-107.0,-106.0,4.0,0.0,1.0,2.0,0.0,1.0,1.0,4492.0,5496.0,34.0,4992.0,5698.0,28.0,-500.0,-202.0,6.0,0.0,1.0,2.0,1.0,1.0,1.0,5619.0,6533.0,37.0,6216.0,6986.0,30.0,-597.0,-453.0,7.0,0.0,1.0,3.0,1.0,2.0,1.0
LOLTMNT05_178014,complete,LEC,2026.0,1.0,2.0,16.03,Red,sup,Myrtus,Movistar KOI Fénix,0.0,Alistar,Jayce,Varus,Orianna,Karma,Bard,2206.0,1.0,1.0,3.0,19.0,20.0,17.0,0.0,0.0,0.0,0.0,1.0,0.544,1.0063,0.0,0.0,72.0,16.0,11.0,149.0,11009.0,6233.0,169.5286,9955.0,30.0,30.0,0.0,0.816,2713.0,2478.0,16.0,2414.0,2207.0,17.0,299.0,271.0,-1.0,0.0,3.0,0.0,0.0,0.0,2.0,4140.0,3880.0,23.0,3829.0,3549.0,27.0,311.0,331.0,-4.0,0.0,4.0,0.0,0.0,1.0,2.0,5822.0,5834.0,25.0,5053.0,5420.0,30.0,769.0,414.0,-5.0,1.0,9.0,0.0,0.0,5.0,3.0,7392.0,7753.0,28.0,6171.0,6294.0,33.0,1221.0,1459.0,-5.0,1.0,11.0,1.0,0.0,7.0,3.0
LOLTMNT02_356875,complete,LCK,2026.0,0.0,1.0,16.03,Blue,sup,Myrtus,Movistar KOI Fénix,1.0,Karma,Lux,Vi,Orianna,Aurora,Syndra,1511.0,1.0,1.0,2.0,18.0,27.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0721,1.3501,0.0,0.0,32.0,25.0,9.0,112.0,8265.0,4907.0,194.8511,6300.0,53.0,53.0,0.0,2.1046,2813.0,2543.0,24.0,2560.0,2373.0,10.0,253.0,170.0,14.0,0.0,3.0,2.0,0.0,3.0,1.0,4125.0,4138.0,32.0,3634.0,2728.0,18.0,491.0,1410.0,14.0,0.0,6.0,2.0,0.0,3.0,3.0,5556.0,5231.0,36.0,4581.0,3600.0,20.0,975.0,1631.0,16.0,0.0,9.0,2.0,0.0,3.0,5.0,8233.0,8776.0,53.0,5556.0,5451.0,20.0,2677.0,3325.0,33.0,1.0,18.0,2.0,0.0,4.0,7.0
LOLTMNT03_344449,complete,LJL,2026.0,1.0,2.0,16.03,Red,sup,Myrtus,Movistar KOI Fénix,0.0,Nautilus,Lux,Vi,Orianna,Poppy,Ornn,1834.0,1.0,4.0,2.0,12.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.6543,0.916,0.0,0.0,54.0,14.0,8.0,123.0,9421.0,5404.0,176.7939,8710.0,35.0,35.0,0.0,1.145,2654.0,2666.0,13.0,2473.0,2408.0,12.0,181.0,258.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4478.0,4090.0,24.0,3634.0,3863.0,17.0,844.0,227.0,7.0,3.0,1.0,0.0,0.0,3.0,2.0,5886.0,5653.0,27.0,4806.0,5052.0,18.0,1080.0,601.0,9.0,3.0,4.0,1.0,0.0,5.0,3.0,7966.0,7912.0,32.0,5847.0,6206.0,20.0,2119.0,1706.0,12.0,4.0,9.0,1.0,0.0,6.0,4.0
