gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338031,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Myrwn,Movistar KOI,1.0,K'Sante,Kled,Malphite,Dr. Mundo,Nami,Bard,1912.0,1.0,1.0,0.0,2.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5335,0.7531,0.0,0.0,12.0,11.0,5.0,50.0,13055.0,8879.0,278.6297,11275.0,311.0,310.0,1.0,9.7594,3418.0,5286.0,93.0,3722.0,5472.0,99.0,-304.0,-186.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5230.0,9365.0,151.0,5552.0,9558.0,162.0,-322.0,-193.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,7250.0,12856.0,215.0,6900.0,11850.0,196.0,350.0,1006.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,9318.0,16124.0,254.0,8131.0,13707.0,225.0,1187.0,2417.0,29.0,1.0,0.0,0.0,0.0,0.0,3.0
LOLTMNT01_323365,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Myrwn,Movistar KOI,1.0,Sion,Neeko,Malphite,Orianna,Nautilus,Alistar,1934.0,1.0,0.0,0.0,7.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4964,0.7446,0.0,0.0,13.0,7.0,2.0,41.0,11704.0,7483.0,232.151,10100.0,283.0,283.0,0.0,8.7797,3386.0,5101.0,92.0,3721.0,5379.0,104.0,-335.0,-278.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5370.0,8902.0,147.0,5444.0,8736.0,147.0,-74.0,166.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6822.0,11982.0,181.0,7185.0,11704.0,198.0,-363.0,278.0,-17.0,0.0,2.0,0.0,0.0,0.0,1.0,8834.0,15542.0,243.0,9679.0,15000.0,251.0,-845.0,542.0,-8.0,0.0,2.0,0.0,1.0,0.0,1.0
LOLTMNT03_338560,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Myrwn,Movistar KOI,1.0,Rumble,Wukong,K'Sante,Malphite,Taliyah,Renekton,1601.0,0.0,2.0,2.0,1.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1499,0.9744,0.0,0.0,11.0,4.0,3.0,29.0,10034.0,6492.0,243.2979,9425.0,259.0,259.0,0.0,9.7064,3298.0,5162.0,88.0,3651.0,5211.0,97.0,-353.0,-49.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5010.0,9194.0,146.0,5455.0,8789.0,145.0,-445.0,405.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6817.0,12510.0,204.0,8012.0,12418.0,193.0,-1195.0,92.0,11.0,0.0,0.0,0.0,1.0,3.0,1.0,9140.0,15753.0,256.0,10220.0,16834.0,234.0,-1080.0,-1081.0,22.0,1.0,1.0,1.0,2.0,6.0,1.0
LOLTMNT01_327617,complete,ROL,2026.0,0.0,1.0,16.02,Red,top,Myrwn,Movistar KOI,0.0,Rumble,Jayce,Varus,Vi,Poppy,Kai'Sa,1925.0,1.0,7.0,1.0,10.0,22.0,11.0,1.0,0.0,0.0,0.0,0.0,0.6857,1.0286,0.0,0.0,16.0,7.0,5.0,54.0,13727.0,9524.0,296.8519,12425.0,279.0,274.0,5.0,8.6961,4018.0,5435.0,97.0,3207.0,4576.0,87.0,811.0,859.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,5931.0,8805.0,135.0,5010.0,8198.0,143.0,921.0,607.0,-8.0,2.0,2.0,0.0,0.0,0.0,2.0,7718.0,12331.0,192.0,6676.0,11279.0,193.0,1042.0,1052.0,-1.0,2.0,2.0,0.0,0.0,0.0,2.0,9766.0,14971.0,221.0,8766.0,14048.0,243.0,1000.0,923.0,-22.0,4.0,3.0,1.0,0.0,0.0,2.0
LOLTMNT04_150462,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,Myrwn,Movistar KOI,1.0,Rumble,Neeko,Varus,Akali,Lulu,Jarvan IV,1555.0,1.0,5.0,1.0,8.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0418,1.2733,0.0,0.0,10.0,2.0,1.0,34.0,11436.0,7988.0,308.2186,10325.0,247.0,247.0,0.0,9.5305,3481.0,5193.0,98.0,3463.0,5224.0,96.0,18.0,-31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5195.0,8931.0,149.0,5130.0,8810.0,145.0,65.0,121.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7869.0,12054.0,195.0,6561.0,11062.0,185.0,1308.0,992.0,10.0,2.0,1.0,0.0,0.0,0.0,2.0,10630.0,16463.0,235.0,7969.0,13396.0,214.0,2661.0,3067.0,21.0,4.0,5.0,1.0,0.0,1.0,4.0
LOLTMNT06_166095,complete,AL,2026.0,0.0,1.0,16.02,Blue,top,Myrwn,Movistar KOI,1.0,Renekton,Neeko,Orianna,Jarvan IV,Gnar,Aurora,1961.0,0.0,1.0,5.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.153,0.5201,0.0,0.0,16.0,4.0,2.0,49.0,11486.0,7210.0,220.6017,11000.0,294.0,290.0,4.0,8.9954,3900.0,5489.0,98.0,3600.0,5009.0,89.0,300.0,480.0,9.0,1.0,0.0,1.0,0.0,1.0,1.0,5428.0,8592.0,143.0,5618.0,9061.0,139.0,-190.0,-469.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,7845.0,12630.0,218.0,7253.0,11995.0,187.0,592.0,635.0,31.0,1.0,0.0,2.0,0.0,2.0,1.0,9413.0,15148.0,251.0,8928.0,14156.0,216.0,485.0,992.0,35.0,1.0,2.0,4.0,0.0,4.0,2.0
LOLTMNT01_335992,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,top,Myrwn,Movistar KOI,1.0,K'Sante,Sion,Ryze,Jayce,Bard,Jax,2397.0,0.0,2.0,2.0,3.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2503,0.6008,0.0,0.0,17.0,5.0,3.0,43.0,14878.0,9713.0,243.1289,14975.0,353.0,352.0,1.0,8.836,3554.0,5193.0,98.0,3331.0,5007.0,89.0,223.0,186.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5409.0,9151.0,158.0,5147.0,9116.0,151.0,262.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7907.0,12613.0,216.0,7233.0,12807.0,208.0,674.0,-194.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,10421.0,16216.0,284.0,8967.0,15773.0,253.0,1454.0,443.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0
LOLTMNT04_152714,complete,EBL,2026.0,0.0,1.0,16.02,Red,top,Myrwn,Movistar KOI,1.0,Rumble,Akali,Yone,Irelia,Neeko,Xayah,2172.0,1.0,5.0,2.0,7.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.663,1.0221,0.0,0.0,21.0,12.0,6.0,62.0,18331.0,13625.0,376.3812,16750.0,352.0,348.0,4.0,9.7238,3673.0,5348.0,86.0,3313.0,5038.0,91.0,360.0,310.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5772.0,8981.0,144.0,4860.0,8578.0,140.0,912.0,403.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8287.0,11935.0,183.0,7841.0,13068.0,206.0,446.0,-1133.0,-23.0,1.0,1.0,1.0,1.0,1.0,0.0,10280.0,15825.0,241.0,9304.0,16381.0,234.0,976.0,-556.0,7.0,1.0,3.0,1.0,1.0,3.0,1.0
LOLTMNT01_338508,complete,HW,2026.0,0.0,1.0,16.02,Red,top,Myrwn,Movistar KOI,1.0,Rumble,Dr. Mundo,Ambessa,Malphite,Neeko,Lulu,2269.0,0.0,1.0,3.0,4.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3438,0.952,0.0,0.0,19.0,8.0,5.0,48.0,15590.0,10686.0,282.5738,14675.0,335.0,327.0,8.0,8.8585,3810.0,5410.0,99.0,3507.0,5348.0,102.0,303.0,62.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5624.0,8784.0,142.0,5673.0,9881.0,157.0,-49.0,-1097.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,7861.0,12554.0,206.0,7715.0,13192.0,215.0,146.0,-638.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0,10048.0,16059.0,269.0,9666.0,16684.0,278.0,382.0,-625.0,-9.0,0.0,0.0,1.0,1.0,0.0,0.0
LOLTMNT02_352429,complete,LCK,2026.0,0.0,1.0,16.03,Blue,top,Myrwn,Movistar KOI,1.0,Poppy,Malphite,Orianna,Dr. Mundo,Nautilus,Ambessa,2200.0,0.0,1.0,5.0,3.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2455,0.9,0.0,0.0,18.0,8.0,5.0,64.0,12278.0,7514.0,204.9273,11175.0,286.0,286.0,0.0,7.8,3513.0,5441.0,93.0,3526.0,5326.0,100.0,-13.0,115.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4997.0,8481.0,131.0,6518.0,10791.0,153.0,-1521.0,-2310.0,-22.0,0.0,0.0,3.0,3.0,0.0,0.0,7295.0,11519.0,177.0,9005.0,14254.0,214.0,-1710.0,-2735.0,-37.0,1.0,0.0,3.0,4.0,1.0,0.0,9029.0,14443.0,230.0,10720.0,17219.0,265.0,-1691.0,-2776.0,-35.0,1.0,0.0,3.0,4.0,1.0,0.0
LOLTMNT05_175526,complete,PRM,2026.0,0.0,1.0,16.03,Blue,top,Myrwn,Movistar KOI,1.0,Sion,Yunara,Orianna,Ambessa,Aphelios,Xayah,1738.0,1.0,2.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4488,0.5178,0.0,0.0,11.0,7.0,2.0,34.0,13371.0,9550.0,329.6893,12450.0,292.0,291.0,1.0,10.0806,3345.0,5069.0,85.0,3650.0,5348.0,98.0,-305.0,-279.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,4825.0,8664.0,132.0,5550.0,9260.0,161.0,-725.0,-596.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,6922.0,11845.0,182.0,7752.0,12771.0,210.0,-830.0,-926.0,-28.0,0.0,1.0,0.0,0.0,1.0,0.0,9452.0,15827.0,258.0,9679.0,16056.0,269.0,-227.0,-229.0,-11.0,0.0,1.0,0.0,0.0,1.0,0.0
