gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152462,complete,LIT,2026.0,0.0,1.0,16.02,Blue,bot,NVX Aquila,NOVEX,1.0,Varus,Irelia,Zaahen,Gwen,Jax,Fiora,1776.0,1.0,9.0,3.0,13.0,29.0,14.0,2.0,1.0,0.0,0.0,0.0,0.9797,1.4527,0.0,0.0,13.0,5.0,5.0,29.0,16536.0,12637.0,426.9257,15025.0,258.0,254.0,4.0,8.7162,3482.0,3842.0,75.0,3913.0,3704.0,84.0,-431.0,138.0,-9.0,1.0,1.0,1.0,0.0,2.0,1.0,5830.0,6694.0,137.0,6190.0,6063.0,142.0,-360.0,631.0,-5.0,1.0,1.0,1.0,0.0,2.0,1.0,10056.0,10279.0,188.0,9896.0,9342.0,196.0,160.0,937.0,-8.0,4.0,4.0,2.0,2.0,3.0,2.0,13502.0,14280.0,227.0,12083.0,11277.0,229.0,1419.0,3003.0,-2.0,7.0,8.0,3.0,3.0,3.0,4.0
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Red,bot,NVX Aquila,NOVEX,0.0,Corki,Jayce,Poppy,Yunara,Aphelios,Kai'Sa,1420.0,0.0,2.0,6.0,2.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.3803,1.6901,0.0,0.0,9.0,1.0,2.0,16.0,9477.0,6305.0,266.4085,8833.0,203.0,203.0,0.0,8.5775,3204.0,3550.0,83.0,4796.0,3991.0,105.0,-1592.0,-441.0,-22.0,0.0,0.0,0.0,2.0,2.0,0.0,5229.0,5517.0,121.0,8954.0,6615.0,150.0,-3725.0,-1098.0,-29.0,1.0,2.0,1.0,6.0,4.0,1.0,7716.0,7685.0,169.0,13583.0,10053.0,207.0,-5867.0,-2368.0,-38.0,1.0,2.0,3.0,10.0,8.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_152497,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,NVX Aquila,NOVEX,0.0,Sivir,Elise,Bard,Neeko,Jayce,Taliyah,2084.0,0.0,7.0,3.0,5.0,20.0,21.0,2.0,0.0,0.0,0.0,0.0,0.5758,1.1804,0.0,0.0,20.0,8.0,9.0,46.0,17087.0,12560.0,361.6123,16075.0,336.0,328.0,8.0,9.6737,3419.0,3663.0,90.0,3238.0,3722.0,82.0,181.0,-59.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,5944.0,6280.0,144.0,5367.0,6515.0,131.0,577.0,-235.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,7625.0,8703.0,193.0,7700.0,8778.0,179.0,-75.0,-75.0,14.0,1.0,0.0,1.0,0.0,0.0,2.0,10666.0,11363.0,247.0,9817.0,10949.0,224.0,849.0,414.0,23.0,3.0,1.0,2.0,0.0,2.0,3.0
LOLTMNT04_151516,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,NVX Aquila,NOVEX,0.0,Varus,Jayce,Gwen,Yunara,Lulu,Leona,1556.0,1.0,8.0,2.0,8.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9254,1.3111,1.0,0.0,9.0,1.0,5.0,17.0,14026.0,10576.0,407.8149,13125.0,211.0,203.0,8.0,8.1362,3669.0,3837.0,85.0,3536.0,3223.0,79.0,133.0,614.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,6622.0,6135.0,135.0,6004.0,5314.0,127.0,618.0,821.0,8.0,2.0,2.0,1.0,2.0,0.0,1.0,9800.0,9112.0,175.0,9165.0,7856.0,178.0,635.0,1256.0,-3.0,5.0,5.0,2.0,3.0,1.0,3.0,13015.0,11496.0,205.0,11219.0,9997.0,220.0,1796.0,1499.0,-15.0,7.0,6.0,2.0,3.0,2.0,4.0
LOLTMNT01_337217,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,NVX Aquila,NOVEX,0.0,Sivir,Jarvan IV,Jayce,Malphite,Orianna,Neeko,1558.0,0.0,1.0,2.0,1.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2696,0.9243,0.0,0.0,10.0,2.0,2.0,21.0,10083.0,6629.0,255.2888,9800.0,225.0,221.0,4.0,8.665,3128.0,3829.0,77.0,3766.0,3603.0,100.0,-638.0,226.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,5171.0,6100.0,120.0,7265.0,5785.0,149.0,-2094.0,315.0,-29.0,0.0,0.0,0.0,2.0,0.0,0.0,7453.0,9149.0,174.0,11026.0,8793.0,216.0,-3573.0,356.0,-42.0,0.0,1.0,1.0,5.0,0.0,0.0,9863.0,11481.0,219.0,15393.0,11870.0,256.0,-5530.0,-389.0,-37.0,1.0,1.0,1.0,9.0,1.0,0.0
LOLTMNT04_152660,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,NVX Aquila,NOVEX,0.0,Aphelios,Yunara,Rumble,Varus,Kai'Sa,Miss Fortune,1689.0,1.0,5.0,4.0,6.0,24.0,13.0,1.0,0.0,0.0,0.0,0.0,0.8526,1.2789,0.0,0.0,13.0,5.0,4.0,29.0,14103.0,10382.0,368.8099,12200.0,260.0,232.0,28.0,9.2362,3813.0,3368.0,85.0,4143.0,3113.0,69.0,-330.0,255.0,16.0,1.0,0.0,2.0,3.0,1.0,0.0,5840.0,5385.0,125.0,6069.0,5014.0,119.0,-229.0,371.0,6.0,1.0,0.0,2.0,3.0,1.0,0.0,9018.0,7907.0,173.0,8914.0,7372.0,164.0,104.0,535.0,9.0,4.0,0.0,3.0,4.0,2.0,0.0,11708.0,10970.0,231.0,10676.0,9535.0,206.0,1032.0,1435.0,25.0,4.0,4.0,4.0,4.0,4.0,2.0
LOLTMNT04_151699,complete,TCL,2026.0,0.0,1.0,16.02,Red,bot,NVX Aquila,NOVEX,0.0,Kai'Sa,Vi,Varus,Neeko,Karma,Leona,1332.0,1.0,15.0,0.0,12.0,43.0,7.0,2.0,0.0,0.0,0.0,1.0,1.9369,2.2072,0.0,0.0,9.0,3.0,1.0,16.0,16642.0,13649.0,614.8198,14800.0,227.0,217.0,10.0,10.2252,4501.0,3122.0,74.0,3865.0,3638.0,79.0,636.0,-516.0,-5.0,4.0,2.0,0.0,2.0,0.0,2.0,8427.0,6403.0,139.0,5885.0,5415.0,125.0,2542.0,988.0,14.0,8.0,3.0,0.0,2.0,0.0,4.0,14363.0,10279.0,201.0,8647.0,7707.0,160.0,5716.0,2572.0,41.0,13.0,8.0,0.0,3.0,0.0,7.0,,,,,,,,,,,,,,,
LOLTMNT02_349894,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,NVX Aquila,NOVEX,0.0,Aphelios,Riven,Vi,Gwen,Akali,Galio,1710.0,1.0,10.0,2.0,9.0,24.0,9.0,3.0,1.0,0.0,0.0,1.0,0.8421,1.1579,0.0,0.0,14.0,2.0,7.0,27.0,16593.0,12829.0,450.1404,14975.0,261.0,253.0,8.0,9.1579,3887.0,3805.0,90.0,3418.0,3586.0,87.0,469.0,219.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,6689.0,6444.0,141.0,5516.0,5464.0,121.0,1173.0,980.0,20.0,2.0,3.0,0.0,0.0,2.0,2.0,10386.0,9562.0,197.0,7694.0,7405.0,167.0,2692.0,2157.0,30.0,6.0,4.0,1.0,0.0,3.0,4.0,13131.0,12896.0,243.0,10431.0,9331.0,214.0,2700.0,3565.0,29.0,6.0,6.0,1.0,1.0,3.0,5.0
LOLTMNT05_176343,complete,AL,2026.0,0.0,1.0,16.03,Blue,bot,NVX Aquila,NOVEX,1.0,Kai'Sa,Skarner,Neeko,Varus,Braum,Ezreal,1390.0,1.0,9.0,2.0,9.0,31.0,11.0,2.0,0.0,0.0,0.0,0.0,1.3381,1.8129,0.0,0.0,9.0,1.0,5.0,19.0,13675.0,10564.0,456.0,13125.0,204.0,200.0,4.0,8.8058,3991.0,3712.0,91.0,3216.0,3009.0,80.0,775.0,703.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,7305.0,6125.0,129.0,5559.0,5113.0,118.0,1746.0,1012.0,11.0,2.0,6.0,1.0,1.0,1.0,2.0,11398.0,9417.0,188.0,7388.0,7337.0,163.0,4010.0,2080.0,25.0,6.0,7.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_352158,complete,HW,2026.0,0.0,1.0,16.03,Blue,bot,NVX Aquila,NOVEX,1.0,Yunara,Rumble,Gwen,Varus,Vi,Jarvan IV,2338.0,1.0,10.0,3.0,7.0,20.0,19.0,3.0,0.0,0.0,0.0,0.0,0.5133,1.0009,0.0,0.0,20.0,9.0,8.0,45.0,22597.0,17552.0,450.4363,19500.0,373.0,367.0,6.0,9.5723,3475.0,3591.0,75.0,3234.0,3138.0,66.0,241.0,453.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,6075.0,5332.0,115.0,5556.0,5129.0,100.0,519.0,203.0,15.0,2.0,0.0,2.0,1.0,4.0,2.0,8936.0,7870.0,173.0,8276.0,7569.0,149.0,660.0,301.0,24.0,3.0,0.0,3.0,1.0,7.0,3.0,12275.0,10222.0,217.0,10162.0,9529.0,191.0,2113.0,693.0,26.0,6.0,1.0,3.0,1.0,9.0,4.0
