gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_173040,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,NattyNatt,French Flair,1.0,Vi,Malphite,Ambessa,Zoe,Jax,Neeko,1337.0,1.0,2.0,0.0,11.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9424,1.0322,1.0,0.0,9.0,3.0,3.0,32.0,11062.0,8059.0,361.6604,7725.0,191.0,4.0,187.0,8.5714,3833.0,4433.0,82.0,3264.0,3776.0,71.0,569.0,657.0,11.0,0.0,2.0,0.0,0.0,0.0,1.0,6250.0,7855.0,136.0,4856.0,5983.0,108.0,1394.0,1872.0,28.0,0.0,6.0,0.0,0.0,0.0,2.0,9853.0,11427.0,181.0,6586.0,8060.0,135.0,3267.0,3367.0,46.0,2.0,8.0,0.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT06_166106,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,NattyNatt,French Flair,1.0,Jarvan IV,Caitlyn,Kai'Sa,Jayce,Neeko,Nautilus,1473.0,1.0,5.0,1.0,11.0,21.0,6.0,1.0,0.0,0.0,0.0,0.0,0.8554,1.0998,1.0,0.0,8.0,6.0,3.0,41.0,12057.0,8776.0,357.4745,10575.0,195.0,13.0,182.0,7.943,3641.0,4502.0,82.0,3850.0,4383.0,84.0,-209.0,119.0,-2.0,0.0,1.0,1.0,1.0,0.0,0.0,6445.0,7256.0,118.0,5345.0,6318.0,115.0,1100.0,938.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,9368.0,11187.0,171.0,6807.0,8088.0,141.0,2561.0,3099.0,30.0,3.0,6.0,1.0,1.0,2.0,2.0,12057.0,14715.0,195.0,7800.0,9567.0,151.0,4257.0,5148.0,44.0,5.0,11.0,1.0,1.0,3.0,4.0
LOLTMNT01_338644,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,NattyNatt,French Flair,1.0,Xin Zhao,Zoe,Yunara,Jarvan IV,Ezreal,Jinx,2313.0,0.0,0.0,6.0,5.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3372,0.9079,1.0,1.0,7.0,18.0,4.0,71.0,12378.0,7384.0,191.5435,11800.0,240.0,26.0,214.0,6.2257,3569.0,4364.0,86.0,3522.0,3868.0,69.0,47.0,496.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,5604.0,7428.0,135.0,6002.0,6675.0,107.0,-398.0,753.0,28.0,0.0,1.0,1.0,3.0,1.0,1.0,7554.0,9672.0,176.0,8106.0,9286.0,143.0,-552.0,386.0,33.0,0.0,1.0,2.0,4.0,2.0,1.0,9266.0,12176.0,198.0,9217.0,10412.0,161.0,49.0,1764.0,37.0,0.0,4.0,2.0,4.0,2.0,3.0
LOLTMNT02_349150,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,NattyNatt,French Flair,0.0,Aatrox,Caitlyn,Jayce,Qiyana,Draven,Corki,1654.0,1.0,3.0,1.0,15.0,28.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0157,1.1245,1.0,0.0,4.0,5.0,1.0,28.0,12398.0,8748.0,317.3398,10775.0,229.0,18.0,211.0,8.3071,3672.0,4306.0,84.0,3418.0,4369.0,78.0,254.0,-63.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6532.0,8361.0,130.0,4964.0,6601.0,116.0,1568.0,1760.0,14.0,2.0,6.0,0.0,0.0,0.0,1.0,9108.0,11876.0,180.0,6288.0,8047.0,134.0,2820.0,3829.0,46.0,3.0,8.0,0.0,0.0,0.0,2.0,10680.0,14299.0,213.0,7765.0,10542.0,158.0,2915.0,3757.0,55.0,3.0,9.0,1.0,0.0,3.0,3.0
LOLTMNT02_350846,complete,HLL,2026.0,0.0,1.0,16.02,Red,jng,NattyNatt,French Flair,0.0,Jarvan IV,Jayce,Varus,Ambessa,Zaahen,Alistar,2321.0,0.0,1.0,7.0,9.0,14.0,27.0,0.0,0.0,0.0,0.0,1.0,0.3619,1.0599,0.0,3.0,7.0,17.0,5.0,55.0,13049.0,8039.0,207.8156,11775.0,236.0,27.0,209.0,6.1008,3734.0,4242.0,84.0,3408.0,3907.0,79.0,326.0,335.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5927.0,7060.0,134.0,5701.0,6465.0,112.0,226.0,595.0,22.0,1.0,1.0,0.0,1.0,1.0,2.0,7518.0,8658.0,161.0,7358.0,8674.0,145.0,160.0,-16.0,16.0,1.0,2.0,3.0,1.0,5.0,2.0,9319.0,10438.0,187.0,10356.0,11967.0,179.0,-1037.0,-1529.0,8.0,1.0,2.0,4.0,2.0,9.0,2.0
LOLTMNT02_354347,complete,LES,2026.0,0.0,1.0,16.03,Blue,jng,NattyNatt,French Flair,1.0,Xin Zhao,Caitlyn,Kai'Sa,Tristana,Pantheon,Gnar,2565.0,1.0,3.0,3.0,12.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.7485,1.0058,2.0,1.0,9.0,20.0,7.0,78.0,15560.0,10052.0,235.1345,14575.0,282.0,35.0,247.0,6.5965,3637.0,4272.0,83.0,3509.0,4037.0,71.0,128.0,235.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,5542.0,5951.0,113.0,4952.0,5422.0,92.0,590.0,529.0,21.0,2.0,2.0,1.0,0.0,2.0,2.0,7828.0,9264.0,158.0,6544.0,7646.0,124.0,1284.0,1618.0,34.0,2.0,3.0,1.0,0.0,2.0,3.0,9799.0,12254.0,201.0,8375.0,10857.0,140.0,1424.0,1397.0,61.0,2.0,6.0,1.0,0.0,4.0,4.0
LOLTMNT02_353753,complete,HW,2026.0,0.0,1.0,16.03,Blue,jng,NattyNatt,French Flair,1.0,Jarvan IV,Orianna,Rumble,Fiora,Yunara,Corki,1667.0,1.0,4.0,1.0,18.0,26.0,4.0,0.0,0.0,0.0,0.0,1.0,0.9358,1.0798,1.0,0.0,7.0,12.0,4.0,49.0,14106.0,10430.0,375.4049,12350.0,226.0,29.0,197.0,8.1344,3970.0,3844.0,72.0,3324.0,3942.0,72.0,646.0,-98.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,6848.0,7706.0,133.0,5473.0,5549.0,94.0,1375.0,2157.0,39.0,3.0,4.0,1.0,1.0,0.0,3.0,9406.0,11184.0,181.0,8076.0,8525.0,129.0,1330.0,2659.0,52.0,3.0,6.0,1.0,2.0,0.0,3.0,12203.0,14939.0,216.0,9428.0,10083.0,152.0,2775.0,4856.0,64.0,4.0,12.0,1.0,2.0,0.0,5.0
LOLTMNT05_176840,complete,PRM,2026.0,0.0,1.0,16.03,Blue,jng,NattyNatt,French Flair,1.0,Vi,Pantheon,Orianna,Rumble,Jarvan IV,Jax,2173.0,0.0,2.0,6.0,3.0,12.0,21.0,0.0,0.0,0.0,0.0,1.0,0.3313,0.9112,0.0,0.0,7.0,6.0,6.0,47.0,12958.0,8249.0,227.7681,12200.0,259.0,25.0,234.0,7.1514,3545.0,4452.0,84.0,3365.0,4065.0,77.0,180.0,387.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5228.0,6483.0,120.0,5397.0,6959.0,125.0,-169.0,-476.0,-5.0,0.0,1.0,1.0,0.0,2.0,1.0,7650.0,9458.0,166.0,7935.0,9950.0,159.0,-285.0,-492.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,9101.0,11048.0,194.0,10198.0,12695.0,198.0,-1097.0,-1647.0,-4.0,1.0,1.0,2.0,3.0,3.0,1.0
LOLTMNT05_176948,complete,PRM,2026.0,0.0,1.0,16.03,Blue,jng,NattyNatt,French Flair,1.0,Sylas,Ambessa,Yunara,Jarvan IV,K'Sante,Nautilus,1568.0,1.0,9.0,1.0,3.0,17.0,3.0,1.0,1.0,0.0,0.0,1.0,0.6505,0.7653,1.0,0.0,4.0,8.0,3.0,43.0,12999.0,9525.0,364.477,11025.0,206.0,10.0,196.0,7.8827,3957.0,4134.0,83.0,3452.0,3856.0,73.0,505.0,278.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,6514.0,6938.0,125.0,5434.0,7171.0,130.0,1080.0,-233.0,-5.0,3.0,1.0,0.0,0.0,0.0,1.0,8866.0,9942.0,165.0,7576.0,10244.0,183.0,1290.0,-302.0,-18.0,4.0,2.0,1.0,0.0,1.0,1.0,11438.0,13291.0,202.0,9286.0,12145.0,217.0,2152.0,1146.0,-15.0,6.0,2.0,1.0,0.0,1.0,2.0
LOLTMNT02_357237,complete,HLL,2026.0,0.0,1.0,16.03,Red,jng,NattyNatt,French Flair,0.0,Sylas,Rumble,Azir,Varus,Nocturne,Vi,2243.0,1.0,5.0,4.0,9.0,17.0,13.0,2.0,0.0,0.0,0.0,1.0,0.4547,0.8025,2.0,0.0,8.0,16.0,6.0,51.0,16275.0,11424.0,305.5907,15850.0,297.0,34.0,263.0,7.9447,3579.0,4196.0,82.0,3475.0,4114.0,81.0,104.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5786.0,6999.0,126.0,5270.0,6623.0,128.0,516.0,376.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,7909.0,10025.0,172.0,7082.0,9137.0,168.0,827.0,888.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,10687.0,13207.0,208.0,8587.0,10949.0,197.0,2100.0,2258.0,11.0,3.0,2.0,1.0,0.0,3.0,2.0
