gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_165020,complete,AL,2026.0,0.0,1.0,16.01,Red,bot,Neramin,Dark Passage,0.0,Aphelios,Orianna,Jayce,Rumble,Sivir,Yunara,1871.0,1.0,5.0,0.0,6.0,15.0,4.0,1.0,1.0,0.0,0.0,1.0,0.481,0.6093,0.0,0.0,11.0,8.0,1.0,30.0,17336.0,13244.0,424.7141,15025.0,317.0,302.0,15.0,10.1657,3657.0,4099.0,91.0,3537.0,3950.0,98.0,120.0,149.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,7445.0,6607.0,147.0,5833.0,5992.0,149.0,1612.0,615.0,-2.0,1.0,3.0,0.0,0.0,0.0,1.0,10184.0,9170.0,200.0,7808.0,7743.0,194.0,2376.0,1427.0,6.0,2.0,5.0,0.0,0.0,1.0,2.0,12798.0,12018.0,251.0,9579.0,9316.0,237.0,3219.0,2702.0,14.0,2.0,5.0,0.0,0.0,1.0,2.0
LOLTMNT02_344020,complete,HW,2026.0,0.0,2.0,16.01,Blue,bot,Neramin,Dark Passage,1.0,Jhin,Syndra,Varus,Jayce,Neeko,Karma,3418.0,0.0,10.0,3.0,11.0,24.0,24.0,2.0,0.0,0.0,0.0,0.0,0.4213,0.8426,0.0,0.0,14.0,9.0,2.0,34.0,28554.0,21306.0,374.0082,30000.0,513.0,446.0,67.0,9.0053,3982.0,4207.0,82.0,3816.0,3423.0,79.0,166.0,784.0,3.0,1.0,2.0,1.0,2.0,0.0,1.0,6610.0,6519.0,141.0,6231.0,5435.0,133.0,379.0,1084.0,8.0,1.0,2.0,1.0,2.0,2.0,1.0,9163.0,8933.0,185.0,8218.0,7315.0,174.0,945.0,1618.0,11.0,3.0,4.0,1.0,3.0,3.0,2.0,12579.0,11903.0,233.0,10797.0,9768.0,203.0,1782.0,2135.0,30.0,6.0,6.0,1.0,4.0,4.0,4.0
LOLTMNT02_344034,complete,HW,2026.0,0.0,3.0,16.01,Red,bot,Neramin,Dark Passage,0.0,Corki,Jayce,Orianna,Sivir,Rakan,Lulu,2482.0,1.0,9.0,3.0,9.0,23.0,15.0,0.0,0.0,0.0,0.0,1.0,0.556,0.9186,0.0,0.0,10.0,7.0,1.0,31.0,24254.0,18915.0,457.2522,22758.0,416.0,375.0,41.0,10.0564,4548.0,3842.0,74.0,3369.0,3222.0,71.0,1179.0,620.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,7472.0,6533.0,131.0,6094.0,5214.0,116.0,1378.0,1319.0,15.0,3.0,2.0,1.0,2.0,1.0,2.0,10067.0,9780.0,193.0,7842.0,7210.0,164.0,2225.0,2570.0,29.0,4.0,2.0,1.0,2.0,2.0,2.0,12798.0,12642.0,258.0,10495.0,10217.0,208.0,2303.0,2425.0,50.0,4.0,2.0,2.0,2.0,5.0,2.0
LOLTMNT01_333999,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,Neramin,Dark Passage,1.0,Varus,Rumble,Malphite,Orianna,LeBlanc,Sylas,1751.0,0.0,2.0,3.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1713,0.7196,0.0,0.0,6.0,3.0,0.0,13.0,12578.0,8730.0,299.1433,10500.0,284.0,280.0,4.0,9.7316,3636.0,3779.0,95.0,3509.0,3961.0,92.0,127.0,-182.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6026.0,6457.0,151.0,7104.0,6480.0,142.0,-1078.0,-23.0,9.0,0.0,1.0,1.0,3.0,1.0,0.0,8578.0,8800.0,196.0,9395.0,8968.0,192.0,-817.0,-168.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,10895.0,11244.0,259.0,11534.0,11832.0,253.0,-639.0,-588.0,6.0,1.0,1.0,2.0,3.0,3.0,1.0
LOLTMNT01_335002,complete,LJL,2026.0,0.0,2.0,16.02,Red,bot,Neramin,Dark Passage,0.0,Aphelios,Rumble,Orianna,Malphite,Leona,Neeko,2278.0,1.0,8.0,9.0,4.0,28.0,23.0,1.0,0.0,0.0,0.0,1.0,0.7375,1.3433,0.0,0.0,10.0,9.0,0.0,36.0,21075.0,16152.0,425.4258,19350.0,379.0,355.0,24.0,9.9824,3983.0,3507.0,75.0,4360.0,3756.0,80.0,-377.0,-249.0,-5.0,2.0,0.0,3.0,3.0,1.0,1.0,6371.0,5447.0,121.0,7785.0,6701.0,142.0,-1414.0,-1254.0,-21.0,2.0,0.0,6.0,3.0,5.0,1.0,8616.0,8260.0,182.0,11580.0,10066.0,210.0,-2964.0,-1806.0,-28.0,2.0,0.0,7.0,5.0,5.0,1.0,12681.0,11950.0,246.0,13281.0,11913.0,243.0,-600.0,37.0,3.0,6.0,1.0,7.0,6.0,5.0,2.0
LOLTMNT01_335065,complete,LCP,2026.0,0.0,3.0,16.02,Blue,bot,Neramin,Dark Passage,1.0,Corki,Rumble,Malphite,Neeko,Fiora,Volibear,2523.0,1.0,6.0,5.0,8.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.5707,1.0939,0.0,0.0,12.0,8.0,1.0,36.0,21250.0,15827.0,376.3853,20158.0,392.0,357.0,35.0,9.3222,3096.0,3344.0,74.0,4648.0,3471.0,92.0,-1552.0,-127.0,-18.0,0.0,2.0,3.0,1.0,3.0,0.0,5251.0,5509.0,126.0,7247.0,5975.0,144.0,-1996.0,-466.0,-18.0,0.0,2.0,3.0,2.0,4.0,0.0,7821.0,7832.0,178.0,10465.0,9338.0,203.0,-2644.0,-1506.0,-25.0,1.0,3.0,4.0,3.0,7.0,1.0,10159.0,10340.0,229.0,13334.0,11620.0,248.0,-3175.0,-1280.0,-19.0,2.0,4.0,4.0,6.0,7.0,2.0
LOLTMNT02_349530,complete,LCKC,2026.0,0.0,1.0,16.02,Red,bot,Neramin,Dark Passage,0.0,Aphelios,Varus,Rumble,Orianna,Nautilus,Leona,1637.0,0.0,0.0,5.0,3.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2932,1.2095,0.0,0.0,8.0,4.0,0.0,24.0,10830.0,7215.0,264.4472,10700.0,252.0,250.0,2.0,9.2364,3319.0,3466.0,84.0,4047.0,3971.0,87.0,-728.0,-505.0,-3.0,0.0,0.0,1.0,2.0,1.0,0.0,5677.0,5404.0,136.0,7066.0,6474.0,149.0,-1389.0,-1070.0,-13.0,0.0,1.0,2.0,2.0,2.0,1.0,8181.0,8285.0,193.0,10542.0,9790.0,198.0,-2361.0,-1505.0,-5.0,0.0,3.0,3.0,5.0,4.0,1.0,10126.0,10501.0,236.0,13436.0,12878.0,238.0,-3310.0,-2377.0,-2.0,0.0,3.0,4.0,6.0,7.0,1.0
LOLTMNT05_175233,complete,TCL,2026.0,0.0,2.0,16.02,Red,bot,Neramin,Dark Passage,0.0,Jhin,Rumble,Orianna,Jarvan IV,Sylas,Taliyah,1771.0,0.0,4.0,5.0,2.0,9.0,21.0,1.0,0.0,0.0,0.0,0.0,0.3049,0.9825,0.0,0.0,7.0,1.0,0.0,12.0,13836.0,9948.0,337.0299,13200.0,263.0,259.0,4.0,8.9102,3538.0,3917.0,88.0,3691.0,3968.0,95.0,-153.0,-51.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,6020.0,6823.0,152.0,5997.0,6502.0,153.0,23.0,321.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,7426.0,8755.0,187.0,9265.0,9142.0,204.0,-1839.0,-387.0,-17.0,1.0,0.0,2.0,1.0,3.0,0.0,9579.0,10895.0,235.0,11698.0,11364.0,243.0,-2119.0,-469.0,-8.0,1.0,0.0,3.0,2.0,4.0,0.0
LOLTMNT05_175583,complete,AL,2026.0,0.0,2.0,16.03,Red,bot,Neramin,Dark Passage,0.0,Jhin,Jayce,Varus,Rumble,Sivir,Kalista,2273.0,0.0,2.0,4.0,9.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4487,0.9767,0.0,0.0,9.0,5.0,2.0,23.0,16765.0,11852.0,312.8553,16200.0,345.0,332.0,13.0,9.1069,3455.0,4126.0,90.0,3329.0,3937.0,89.0,126.0,189.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5961.0,6604.0,137.0,5445.0,6270.0,137.0,516.0,334.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8037.0,8850.0,174.0,7375.0,8258.0,168.0,662.0,592.0,6.0,0.0,5.0,2.0,2.0,0.0,1.0,10708.0,11920.0,236.0,11417.0,10971.0,224.0,-709.0,949.0,12.0,1.0,6.0,2.0,4.0,1.0,1.0
LOLTMNT02_353790,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Neramin,Dark Passage,0.0,Corki,Ryze,Yunara,Rumble,Caitlyn,Sivir,2291.0,0.0,11.0,5.0,4.0,19.0,28.0,1.0,0.0,0.0,0.0,0.0,0.4976,1.2309,0.0,0.0,7.0,5.0,0.0,20.0,21635.0,16686.0,436.9969,20283.0,324.0,312.0,12.0,8.4854,3737.0,3323.0,84.0,3536.0,3792.0,88.0,201.0,-469.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,6284.0,5756.0,130.0,5926.0,5978.0,131.0,358.0,-222.0,-1.0,2.0,2.0,0.0,1.0,0.0,1.0,8879.0,8238.0,187.0,8407.0,9162.0,191.0,472.0,-924.0,-4.0,2.0,2.0,0.0,1.0,1.0,1.0,10596.0,10313.0,234.0,10689.0,11673.0,245.0,-93.0,-1360.0,-11.0,2.0,2.0,1.0,2.0,1.0,1.0
