gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT02_343149,complete,LCP,2026.0,0.0,1.0,16.01,Red,mid,NikiBombka,Priority,0.0,Orianna,Ivern,Ryze,Gangplank,Poppy,Neeko,1681.0,0.0,6.0,3.0,2.0,16.0,20.0,1.0,1.0,0.0,0.0,0.0,0.5711,1.2849,0.0,0.0,10.0,7.0,2.0,30.0,11098.0,7393.0,263.8786,11050.0,247.0,247.0,0.0,8.8162,3236.0,4808.0,85.0,3912.0,5067.0,96.0,-676.0,-259.0,-11.0,0.0,0.0,1.0,0.0,1.0,0.0,6163.0,7540.0,131.0,6277.0,7567.0,146.0,-114.0,-27.0,-15.0,4.0,1.0,1.0,1.0,2.0,1.0,8381.0,10756.0,187.0,8844.0,10742.0,203.0,-463.0,14.0,-16.0,5.0,1.0,1.0,2.0,2.0,2.0,10430.0,13762.0,232.0,12137.0,14494.0,249.0,-1707.0,-732.0,-17.0,6.0,2.0,2.0,3.0,7.0,2.0
LOLTMNT06_166105,complete,AL,2026.0,0.0,1.0,16.02,Blue,mid,NikiBombka,Priority,1.0,Ahri,Ryze,Jarvan IV,Renekton,,,1995.0,1.0,0.0,5.0,8.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6917,1.1429,0.0,0.0,6.0,4.0,0.0,24.0,11030.0,6685.0,201.0526,10250.0,212.0,212.0,0.0,6.3759,2907.0,4093.0,68.0,4523.0,5703.0,99.0,-1616.0,-1610.0,-31.0,0.0,0.0,2.0,2.0,1.0,0.0,5101.0,6473.0,112.0,6183.0,7830.0,141.0,-1082.0,-1357.0,-29.0,0.0,1.0,2.0,2.0,2.0,0.0,6621.0,8881.0,150.0,8112.0,10806.0,197.0,-1491.0,-1925.0,-47.0,0.0,2.0,3.0,2.0,4.0,0.0,8030.0,10491.0,171.0,10277.0,14146.0,257.0,-2247.0,-3655.0,-86.0,0.0,4.0,4.0,3.0,4.0,0.0
LOLTMNT01_336659,complete,LCKC,2026.0,0.0,1.0,16.02,Red,mid,NikiBombka,Priority,0.0,Syndra,Ryze,Orianna,Ambessa,Jax,Aatrox,2477.0,1.0,8.0,3.0,5.0,19.0,20.0,1.0,1.0,0.0,0.0,0.0,0.4602,0.9205,0.0,0.0,17.0,1.0,0.0,32.0,20134.0,14805.0,358.6193,18950.0,356.0,352.0,4.0,8.6233,3408.0,4998.0,90.0,3814.0,5287.0,95.0,-406.0,-289.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,4912.0,7128.0,134.0,6234.0,8413.0,149.0,-1322.0,-1285.0,-15.0,0.0,0.0,1.0,2.0,2.0,0.0,6976.0,9640.0,185.0,9152.0,12264.0,196.0,-2176.0,-2624.0,-11.0,0.0,0.0,2.0,4.0,2.0,0.0,8892.0,12055.0,228.0,11847.0,15509.0,243.0,-2955.0,-3454.0,-15.0,0.0,2.0,2.0,5.0,2.0,2.0
LOLTMNT04_151797,complete,LFL,2026.0,0.0,1.0,16.02,Blue,mid,NikiBombka,Priority,1.0,Syndra,Aphelios,Ryze,Qiyana,Rell,Neeko,1978.0,0.0,4.0,3.0,5.0,15.0,17.0,0.0,0.0,0.0,0.0,1.0,0.455,0.9707,0.0,0.0,12.0,2.0,0.0,21.0,12487.0,8176.0,248.0081,11800.0,259.0,258.0,1.0,7.8564,3314.0,4481.0,75.0,3570.0,5408.0,104.0,-256.0,-927.0,-29.0,0.0,1.0,0.0,0.0,0.0,1.0,5497.0,7296.0,119.0,5738.0,7805.0,149.0,-241.0,-509.0,-30.0,1.0,3.0,1.0,1.0,0.0,2.0,7561.0,10656.0,163.0,7493.0,10080.0,188.0,68.0,576.0,-25.0,2.0,5.0,2.0,1.0,3.0,3.0,9255.0,13201.0,215.0,9011.0,12126.0,225.0,244.0,1075.0,-10.0,2.0,5.0,2.0,1.0,3.0,4.0
LOLTMNT02_346771,complete,LJL,2026.0,0.0,2.0,16.02,Red,mid,NikiBombka,Priority,0.0,Azir,Aphelios,Ryze,Qiyana,Rell,Neeko,1447.0,0.0,1.0,8.0,1.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2073,1.4098,0.0,0.0,6.0,0.0,0.0,10.0,7271.0,4044.0,167.6849,6800.0,191.0,191.0,0.0,7.9198,3071.0,4705.0,83.0,4129.0,5178.0,81.0,-1058.0,-473.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,4366.0,6805.0,121.0,6995.0,8593.0,129.0,-2629.0,-1788.0,-8.0,0.0,0.0,4.0,4.0,3.0,1.0,6307.0,9196.0,166.0,10103.0,11933.0,175.0,-3796.0,-2737.0,-9.0,1.0,1.0,6.0,6.0,5.0,1.0,7271.0,10590.0,191.0,13281.0,15232.0,199.0,-6010.0,-4642.0,-8.0,1.0,1.0,8.0,12.0,8.0,1.0
LOLTMNT02_350825,complete,HW,2026.0,0.0,1.0,16.02,Blue,mid,NikiBombka,Priority,1.0,Taliyah,Jarvan IV,Gwen,Dr. Mundo,Alistar,Rell,1973.0,1.0,5.0,9.0,3.0,27.0,20.0,1.0,0.0,0.0,0.0,0.0,0.8211,1.4293,0.0,0.0,11.0,3.0,0.0,24.0,12536.0,8235.0,250.4308,12100.0,237.0,237.0,0.0,7.2073,3384.0,4530.0,73.0,4410.0,5138.0,87.0,-1026.0,-608.0,-14.0,1.0,0.0,4.0,3.0,2.0,0.0,4955.0,7202.0,120.0,7168.0,8793.0,148.0,-2213.0,-1591.0,-28.0,1.0,2.0,5.0,5.0,2.0,0.0,7617.0,10725.0,158.0,9506.0,11098.0,190.0,-1889.0,-373.0,-32.0,3.0,2.0,5.0,6.0,2.0,1.0,9270.0,13486.0,198.0,10728.0,12847.0,217.0,-1458.0,639.0,-19.0,3.0,2.0,6.0,6.0,4.0,2.0
LOLTMNT05_175298,complete,TCL,2026.0,0.0,2.0,16.02,Blue,mid,NikiBombka,Priority,1.0,Ryze,Jarvan IV,Gwen,Dr. Mundo,Varus,Mel,1483.0,1.0,2.0,3.0,9.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.8901,1.2947,0.0,0.0,12.0,0.0,2.0,24.0,10204.0,6903.0,279.2852,8850.0,243.0,243.0,0.0,9.8314,3615.0,4938.0,93.0,3472.0,5102.0,90.0,143.0,-164.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,5625.0,7687.0,140.0,5318.0,7663.0,139.0,307.0,24.0,1.0,1.0,3.0,2.0,0.0,4.0,2.0,7980.0,11137.0,202.0,7455.0,10869.0,200.0,525.0,268.0,2.0,2.0,5.0,3.0,0.0,5.0,2.0,10204.0,15875.0,243.0,9307.0,14614.0,234.0,897.0,1261.0,9.0,2.0,9.0,3.0,1.0,5.0,3.0
LOLTMNT02_353141,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,mid,NikiBombka,Priority,0.0,Akali,Galio,Viego,Jarvan IV,Ryze,Ahri,1742.0,1.0,7.0,4.0,5.0,29.0,8.0,0.0,0.0,0.0,0.0,1.0,0.9989,1.2744,0.0,0.0,3.0,2.0,1.0,17.0,12190.0,8361.0,287.9793,11685.0,223.0,223.0,0.0,7.6808,3902.0,5034.0,76.0,3820.0,5084.0,78.0,82.0,-50.0,-2.0,2.0,1.0,1.0,1.0,0.0,2.0,5232.0,7031.0,114.0,5694.0,7839.0,124.0,-462.0,-808.0,-10.0,2.0,1.0,2.0,2.0,0.0,3.0,7296.0,10029.0,165.0,7267.0,9983.0,166.0,29.0,46.0,-1.0,3.0,1.0,2.0,2.0,0.0,4.0,9759.0,13086.0,190.0,9385.0,13120.0,202.0,374.0,-34.0,-12.0,5.0,4.0,3.0,3.0,1.0,5.0
LOLTMNT02_353164,complete,LPLOL,2026.0,0.0,2.0,16.03,Red,mid,NikiBombka,Priority,0.0,Irelia,Galio,Viego,Jarvan IV,Ryze,Ahri,1599.0,0.0,3.0,9.0,0.0,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4503,1.576,0.0,0.0,3.0,2.0,0.0,11.0,11577.0,8039.0,301.651,11800.0,265.0,260.0,5.0,9.9437,4063.0,4832.0,81.0,4465.0,5547.0,85.0,-402.0,-715.0,-4.0,1.0,0.0,4.0,4.0,0.0,1.0,6035.0,6693.0,113.0,7072.0,8015.0,114.0,-1037.0,-1322.0,-1.0,2.0,0.0,8.0,7.0,2.0,2.0,7951.0,9729.0,177.0,9219.0,11082.0,168.0,-1268.0,-1353.0,9.0,2.0,0.0,8.0,8.0,2.0,2.0,10441.0,12686.0,241.0,11713.0,14428.0,208.0,-1272.0,-1742.0,33.0,2.0,0.0,8.0,9.0,2.0,2.0
LOLTMNT02_354231,complete,LCP,2026.0,1.0,3.0,16.03,Blue,mid,NikiBombka,Priority,1.0,Mel,Galio,Aphelios,Jarvan IV,Xin Zhao,Pantheon,1738.0,0.0,9.0,6.0,5.0,18.0,26.0,1.0,0.0,0.0,0.0,0.0,0.6214,1.519,0.0,0.0,8.0,3.0,0.0,14.0,13510.0,9689.0,334.4879,13350.0,243.0,243.0,0.0,8.389,3688.0,4833.0,92.0,3371.0,5026.0,90.0,317.0,-193.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5821.0,8157.0,147.0,5894.0,7917.0,141.0,-73.0,240.0,6.0,2.0,0.0,2.0,2.0,1.0,2.0,9929.0,11814.0,200.0,7744.0,9384.0,165.0,2185.0,2430.0,35.0,5.0,3.0,3.0,3.0,2.0,3.0,12410.0,13550.0,217.0,9327.0,11697.0,181.0,3083.0,1853.0,36.0,9.0,5.0,5.0,4.0,3.0,4.0
