gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171133,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Nikiyas,Team Insidious,0.0,Corki,Ambessa,Orianna,Jarvan IV,Caitlyn,Ezreal,1759.0,0.0,9.0,1.0,3.0,14.0,15.0,0.0,0.0,0.0,0.0,1.0,0.4775,0.9892,0.0,0.0,13.0,9.0,4.0,32.0,13502.0,9638.0,328.755,13450.0,268.0,264.0,4.0,9.1416,4334.0,3739.0,75.0,3464.0,3414.0,89.0,870.0,325.0,-14.0,4.0,2.0,0.0,0.0,0.0,3.0,6331.0,6111.0,121.0,6275.0,6197.0,144.0,56.0,-86.0,-23.0,5.0,2.0,0.0,1.0,0.0,3.0,8623.0,8938.0,192.0,8877.0,8749.0,208.0,-254.0,189.0,-16.0,5.0,2.0,0.0,1.0,0.0,3.0,11344.0,11249.0,245.0,10889.0,11186.0,259.0,455.0,63.0,-14.0,7.0,2.0,0.0,1.0,1.0,4.0
LOLTMNT03_336219,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,Nikiyas,Team Insidious,1.0,Ezreal,Jarvan IV,Ambessa,Ziggs,Gnar,Jax,2134.0,0.0,1.0,9.0,6.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.4217,1.209,0.0,0.0,13.0,9.0,1.0,40.0,13707.0,9078.0,255.239,12883.0,274.0,274.0,0.0,7.7038,3357.0,3067.0,69.0,3984.0,3821.0,99.0,-627.0,-754.0,-30.0,0.0,2.0,3.0,1.0,2.0,0.0,5364.0,5044.0,118.0,7048.0,5976.0,142.0,-1684.0,-932.0,-24.0,0.0,2.0,4.0,2.0,5.0,0.0,7477.0,7996.0,179.0,10793.0,9348.0,209.0,-3316.0,-1352.0,-30.0,0.0,2.0,4.0,3.0,5.0,0.0,9367.0,10081.0,216.0,13900.0,11959.0,271.0,-4533.0,-1878.0,-55.0,0.0,3.0,5.0,5.0,6.0,1.0
LOLTMNT02_343119,complete,HW,2026.0,0.0,1.0,16.01,Blue,bot,Nikiyas,Team Insidious,1.0,Kai'Sa,Ambessa,Akali,Malphite,Varus,Yunara,1903.0,0.0,2.0,3.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,1.0,0.1892,0.9143,0.0,0.0,12.0,1.0,2.0,17.0,13646.0,9488.0,299.1487,13600.0,318.0,314.0,4.0,10.0263,3743.0,3424.0,89.0,3783.0,3647.0,101.0,-40.0,-223.0,-12.0,1.0,0.0,0.0,0.0,0.0,0.0,6262.0,5521.0,137.0,7083.0,6159.0,156.0,-821.0,-638.0,-19.0,1.0,0.0,0.0,1.0,1.0,0.0,8711.0,8267.0,191.0,10260.0,9634.0,223.0,-1549.0,-1367.0,-32.0,2.0,0.0,1.0,3.0,1.0,0.0,11084.0,10500.0,251.0,13713.0,13375.0,276.0,-2629.0,-2875.0,-25.0,2.0,0.0,1.0,6.0,2.0,0.0
LOLTMNT05_174083,complete,LIT,2026.0,0.0,2.0,16.01,Red,bot,Nikiyas,Team Insidious,0.0,Varus,Orianna,Jayce,Malphite,Vi,Ambessa,1850.0,0.0,4.0,4.0,5.0,13.0,18.0,0.0,0.0,0.0,0.0,1.0,0.4216,1.0054,0.0,0.0,14.0,9.0,6.0,33.0,15035.0,10985.0,356.2703,14550.0,319.0,307.0,12.0,10.3459,3911.0,3766.0,94.0,3309.0,3084.0,84.0,602.0,682.0,10.0,1.0,3.0,0.0,0.0,0.0,1.0,7692.0,5916.0,147.0,4961.0,4749.0,123.0,2731.0,1167.0,24.0,3.0,4.0,1.0,0.0,0.0,2.0,10271.0,8588.0,211.0,7441.0,7225.0,176.0,2830.0,1363.0,35.0,4.0,5.0,1.0,0.0,0.0,3.0,12657.0,10708.0,267.0,11097.0,10217.0,225.0,1560.0,491.0,42.0,4.0,5.0,3.0,3.0,3.0,3.0
LOLTMNT04_152059,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,Nikiyas,Team Insidious,0.0,Miss Fortune,Ambessa,Ryze,Dr. Mundo,Malphite,Vi,2053.0,1.0,3.0,1.0,8.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.643,1.2567,0.0,0.0,17.0,11.0,6.0,49.0,17335.0,12871.0,376.1617,15400.0,366.0,353.0,13.0,10.6965,3540.0,4060.0,101.0,4148.0,3898.0,90.0,-608.0,162.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,5784.0,6452.0,153.0,7006.0,5944.0,142.0,-1222.0,508.0,11.0,0.0,0.0,0.0,3.0,2.0,0.0,8335.0,9557.0,222.0,9472.0,8269.0,189.0,-1137.0,1288.0,33.0,0.0,1.0,0.0,4.0,4.0,0.0,11042.0,12385.0,271.0,11694.0,10465.0,217.0,-652.0,1920.0,54.0,1.0,2.0,1.0,5.0,6.0,1.0
LOLTMNT01_332441,complete,ROL,2026.0,0.0,2.0,16.02,Blue,bot,Nikiyas,Team Insidious,1.0,Yunara,Ambessa,Dr. Mundo,Akali,Lulu,Tahm Kench,2485.0,1.0,8.0,1.0,4.0,15.0,16.0,3.0,1.0,0.0,0.0,0.0,0.3622,0.7485,3.0,0.0,14.0,3.0,2.0,29.0,22270.0,16925.0,408.6519,22530.0,381.0,335.0,46.0,9.1992,3396.0,3743.0,88.0,3979.0,3529.0,88.0,-583.0,214.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6289.0,5903.0,147.0,6695.0,5513.0,140.0,-406.0,390.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,10632.0,8980.0,190.0,9465.0,7586.0,191.0,1167.0,1394.0,-1.0,5.0,2.0,0.0,3.0,1.0,1.0,13171.0,11351.0,237.0,12087.0,9512.0,239.0,1084.0,1839.0,-2.0,5.0,2.0,0.0,4.0,2.0,1.0
LOLTMNT01_334193,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,Nikiyas,Team Insidious,1.0,Varus,Akali,Taliyah,Jarvan IV,Vi,Wukong,1837.0,0.0,1.0,2.0,3.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.3266,1.1105,0.0,0.0,13.0,5.0,3.0,29.0,13200.0,9177.0,299.7387,12925.0,313.0,313.0,0.0,10.2232,3587.0,3700.0,96.0,4095.0,3827.0,98.0,-508.0,-127.0,-2.0,0.0,1.0,0.0,1.0,2.0,0.0,6643.0,6456.0,155.0,6732.0,5945.0,146.0,-89.0,511.0,9.0,1.0,2.0,0.0,1.0,3.0,1.0,9224.0,9489.0,222.0,8928.0,8727.0,204.0,296.0,762.0,18.0,1.0,2.0,0.0,1.0,4.0,1.0,11079.0,11089.0,265.0,13193.0,11510.0,252.0,-2114.0,-421.0,13.0,1.0,2.0,1.0,5.0,5.0,2.0
LOLTMNT01_334199,complete,LJL,2026.0,0.0,2.0,16.02,Red,bot,Nikiyas,Team Insidious,0.0,Corki,Taliyah,Syndra,Akali,Rell,Braum,1346.0,1.0,3.0,0.0,6.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8024,0.9807,1.0,0.0,10.0,6.0,3.0,31.0,12132.0,9111.0,406.1367,10708.0,250.0,234.0,16.0,11.1441,3666.0,3723.0,91.0,3512.0,3272.0,92.0,154.0,451.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,7004.0,6774.0,159.0,5658.0,5618.0,138.0,1346.0,1156.0,21.0,1.0,4.0,0.0,0.0,1.0,2.0,10113.0,10030.0,224.0,8455.0,7887.0,188.0,1658.0,2143.0,36.0,2.0,5.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_346770,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Nikiyas,Team Insidious,0.0,Ezreal,Jarvan IV,Lee Sin,Nocturne,Akali,Galio,1562.0,1.0,3.0,1.0,10.0,23.0,9.0,0.0,0.0,0.0,0.0,1.0,0.8835,1.2292,1.0,0.0,12.0,6.0,3.0,26.0,14277.0,10815.0,415.4289,11758.0,280.0,264.0,16.0,10.7554,3798.0,3132.0,90.0,4299.0,3400.0,79.0,-501.0,-268.0,11.0,1.0,0.0,1.0,3.0,1.0,1.0,7126.0,5713.0,150.0,6185.0,5024.0,127.0,941.0,689.0,23.0,2.0,2.0,1.0,3.0,1.0,3.0,10414.0,9083.0,222.0,8768.0,7786.0,184.0,1646.0,1297.0,38.0,2.0,4.0,1.0,4.0,1.0,3.0,12839.0,12463.0,275.0,10749.0,10141.0,243.0,2090.0,2322.0,32.0,2.0,6.0,1.0,4.0,1.0,3.0
LOLTMNT02_346772,complete,LJL,2026.0,0.0,2.0,16.02,Blue,bot,Nikiyas,Team Insidious,1.0,Corki,Nocturne,Lee Sin,Akali,Lulu,Poppy,1589.0,1.0,9.0,3.0,8.0,24.0,17.0,1.0,0.0,0.0,0.0,0.0,0.9062,1.5481,0.0,0.0,10.0,7.0,1.0,23.0,14561.0,11044.0,417.017,12308.0,226.0,217.0,9.0,8.5337,3571.0,3707.0,85.0,3486.0,3910.0,76.0,85.0,-203.0,9.0,1.0,0.0,1.0,1.0,1.0,1.0,6392.0,5955.0,135.0,6484.0,5850.0,116.0,-92.0,105.0,19.0,2.0,1.0,3.0,4.0,2.0,2.0,9836.0,9371.0,195.0,8862.0,8514.0,170.0,974.0,857.0,25.0,4.0,4.0,3.0,5.0,5.0,4.0,12743.0,11992.0,215.0,10816.0,11091.0,220.0,1927.0,901.0,-5.0,7.0,6.0,3.0,5.0,7.0,5.0
