gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163158,complete,AL,2026.0,0.0,1.0,16.01,Red,jng,Nikolex,Howl Esports,0.0,Poppy,Gwen,Jarvan IV,Orianna,Nautilus,K'Sante,1687.0,1.0,4.0,2.0,12.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.818,1.1381,1.0,0.0,8.0,5.0,7.0,37.0,11518.0,7801.0,277.4511,11075.0,176.0,19.0,157.0,6.2596,3796.0,4388.0,75.0,3356.0,3795.0,76.0,440.0,593.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,6346.0,7329.0,116.0,4891.0,6327.0,108.0,1455.0,1002.0,8.0,3.0,5.0,0.0,0.0,1.0,2.0,9076.0,10871.0,155.0,6228.0,7762.0,128.0,2848.0,3109.0,27.0,4.0,9.0,0.0,0.0,2.0,4.0,10496.0,12447.0,166.0,8465.0,10710.0,157.0,2031.0,1737.0,9.0,4.0,10.0,1.0,1.0,4.0,4.0
LOLTMNT01_320336,complete,ROL,2026.0,0.0,2.0,16.01,Blue,jng,Nikolex,Howl Esports,1.0,Sejuani,Gwen,Jarvan IV,K'Sante,Kog'Maw,Vayne,1738.0,1.0,3.0,4.0,19.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.9666,1.6916,0.0,0.0,8.0,4.0,4.0,42.0,11763.0,7942.0,274.1772,10650.0,174.0,9.0,165.0,6.0069,4127.0,4323.0,83.0,3742.0,4259.0,81.0,385.0,64.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,5766.0,6682.0,112.0,6019.0,6441.0,114.0,-253.0,241.0,-2.0,1.0,7.0,0.0,2.0,4.0,3.0,7772.0,9379.0,136.0,8970.0,8888.0,143.0,-1198.0,491.0,-7.0,2.0,11.0,2.0,5.0,6.0,6.0,9382.0,11649.0,158.0,10704.0,11556.0,175.0,-1322.0,93.0,-17.0,2.0,13.0,3.0,5.0,8.0,6.0
LOLTMNT06_166014,complete,LFL,2026.0,0.0,1.0,16.01,Red,jng,Nikolex,Howl Esports,0.0,Jarvan IV,Rumble,Ryze,Jayce,Neeko,Wukong,1488.0,0.0,2.0,5.0,6.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3629,1.25,0.0,1.0,10.0,7.0,4.0,28.0,9188.0,5877.0,236.9758,9000.0,170.0,31.0,139.0,6.8548,3937.0,3402.0,56.0,3983.0,4019.0,78.0,-46.0,-617.0,-22.0,2.0,2.0,2.0,1.0,3.0,0.0,5787.0,6008.0,101.0,5941.0,6329.0,112.0,-154.0,-321.0,-11.0,2.0,3.0,2.0,2.0,6.0,1.0,7510.0,8230.0,134.0,8423.0,9030.0,150.0,-913.0,-800.0,-16.0,2.0,4.0,3.0,3.0,6.0,2.0,9188.0,10679.0,170.0,11491.0,12333.0,174.0,-2303.0,-1654.0,-4.0,2.0,6.0,5.0,5.0,12.0,2.0
LOLTMNT04_148375,complete,NLC,2026.0,0.0,2.0,16.01,Blue,jng,Nikolex,Howl Esports,1.0,Ambessa,Rumble,Neeko,Jayce,Syndra,Alistar,1399.0,0.0,2.0,5.0,6.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.5575,1.6297,0.0,0.0,9.0,2.0,1.0,30.0,8376.0,5246.0,224.9893,7925.0,153.0,23.0,130.0,6.5618,3823.0,4334.0,77.0,3743.0,4178.0,81.0,80.0,156.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,5819.0,6240.0,108.0,6211.0,6658.0,111.0,-392.0,-418.0,-3.0,2.0,2.0,2.0,1.0,4.0,2.0,7733.0,9150.0,147.0,8230.0,9082.0,140.0,-497.0,68.0,7.0,2.0,6.0,3.0,1.0,9.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_152059,complete,EBL,2026.0,0.0,1.0,16.02,Blue,jng,Nikolex,Howl Esports,1.0,Pantheon,Varus,K'Sante,Orianna,Hwei,Corki,2053.0,0.0,8.0,6.0,8.0,21.0,22.0,1.0,0.0,0.0,0.0,0.0,0.6137,1.2567,0.0,2.0,11.0,6.0,8.0,37.0,12641.0,8177.0,238.9771,12100.0,216.0,28.0,188.0,6.3127,3619.0,3815.0,74.0,3772.0,3915.0,77.0,-153.0,-100.0,-3.0,1.0,1.0,0.0,0.0,0.0,1.0,5331.0,6124.0,107.0,5557.0,6290.0,121.0,-226.0,-166.0,-14.0,2.0,3.0,1.0,0.0,0.0,2.0,7755.0,8783.0,151.0,7780.0,8445.0,151.0,-25.0,338.0,0.0,4.0,4.0,1.0,1.0,1.0,3.0,9597.0,10664.0,175.0,10097.0,11336.0,180.0,-500.0,-672.0,-5.0,7.0,4.0,3.0,2.0,2.0,4.0
LOLTMNT01_332441,complete,ROL,2026.0,0.0,2.0,16.02,Red,jng,Nikolex,Howl Esports,0.0,Ivern,Varus,Orianna,Ryze,Olaf,Rell,2485.0,0.0,5.0,3.0,10.0,16.0,15.0,1.0,0.0,0.0,0.0,1.0,0.3863,0.7485,0.0,0.0,4.0,9.0,2.0,40.0,13897.0,8552.0,206.4869,12750.0,183.0,35.0,148.0,4.4185,3321.0,3406.0,64.0,3452.0,3749.0,73.0,-131.0,-343.0,-9.0,0.0,2.0,0.0,0.0,1.0,0.0,5405.0,5697.0,100.0,5147.0,5919.0,112.0,258.0,-222.0,-12.0,1.0,2.0,0.0,0.0,1.0,1.0,7677.0,7635.0,124.0,7486.0,9074.0,143.0,191.0,-1439.0,-19.0,3.0,3.0,2.0,0.0,9.0,3.0,9131.0,9975.0,143.0,9613.0,12134.0,180.0,-482.0,-2159.0,-37.0,3.0,5.0,2.0,0.0,9.0,3.0
LOLTMNT04_152253,complete,LCP,2026.0,0.0,1.0,16.02,Red,jng,Nikolex,Howl Esports,0.0,Sejuani,Rumble,Ryze,Trundle,Jax,Braum,2131.0,1.0,2.0,2.0,17.0,19.0,12.0,0.0,0.0,0.0,0.0,1.0,0.535,0.8728,1.0,0.0,9.0,9.0,7.0,47.0,14687.0,10064.0,283.3599,13075.0,251.0,38.0,213.0,7.0671,4161.0,4708.0,87.0,3322.0,4051.0,73.0,839.0,657.0,14.0,0.0,7.0,1.0,0.0,0.0,2.0,5867.0,6895.0,132.0,5207.0,6388.0,110.0,660.0,507.0,22.0,0.0,7.0,1.0,1.0,0.0,2.0,8041.0,9641.0,167.0,7083.0,8781.0,148.0,958.0,860.0,19.0,0.0,9.0,1.0,1.0,1.0,2.0,9778.0,11910.0,193.0,8919.0,11124.0,173.0,859.0,786.0,20.0,0.0,12.0,2.0,2.0,4.0,2.0
LOLTMNT04_151280,complete,LIT,2026.0,0.0,2.0,16.02,Blue,jng,Nikolex,Howl Esports,1.0,Vi,Rumble,Jayce,Yone,Gnar,Taliyah,1406.0,0.0,1.0,6.0,3.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.3841,1.4083,0.0,0.0,7.0,3.0,4.0,26.0,7769.0,4625.0,197.3684,7600.0,145.0,11.0,134.0,6.1878,3320.0,3662.0,72.0,3574.0,4097.0,71.0,-254.0,-435.0,1.0,0.0,1.0,2.0,0.0,5.0,1.0,4897.0,4854.0,90.0,5662.0,6178.0,99.0,-765.0,-1324.0,-9.0,1.0,2.0,3.0,2.0,9.0,1.0,6915.0,7720.0,128.0,8616.0,10642.0,154.0,-1701.0,-2922.0,-26.0,1.0,3.0,3.0,4.0,9.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_354619,complete,LCK,2026.0,0.0,1.0,16.03,Blue,jng,Nikolex,Howl Esports,1.0,Zaahen,Cassiopeia,Syndra,Varus,Braum,Smolder,1734.0,1.0,4.0,4.0,12.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.7958,1.3495,1.0,0.0,7.0,4.0,5.0,32.0,11880.0,8067.0,279.1349,9733.0,180.0,8.0,172.0,6.2284,3498.0,4142.0,81.0,3226.0,3598.0,64.0,272.0,544.0,17.0,0.0,1.0,1.0,0.0,1.0,1.0,4987.0,5829.0,110.0,5395.0,6325.0,102.0,-408.0,-496.0,8.0,0.0,2.0,2.0,1.0,4.0,1.0,6998.0,8850.0,147.0,7258.0,9187.0,139.0,-260.0,-337.0,8.0,0.0,4.0,3.0,1.0,8.0,2.0,8703.0,10979.0,163.0,9255.0,11196.0,161.0,-552.0,-217.0,2.0,1.0,8.0,4.0,2.0,13.0,3.0
LOLTMNT02_353660,complete,HW,2026.0,0.0,2.0,16.03,Red,jng,Nikolex,Howl Esports,0.0,Trundle,Cassiopeia,Syndra,Smolder,Lillia,Orianna,1801.0,0.0,2.0,2.0,6.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2998,0.9994,0.0,1.0,7.0,16.0,5.0,61.0,10993.0,7043.0,234.6363,11058.0,202.0,34.0,168.0,6.7296,3886.0,4347.0,82.0,3346.0,3537.0,63.0,540.0,810.0,19.0,1.0,0.0,0.0,0.0,2.0,0.0,6563.0,7124.0,115.0,5419.0,6129.0,105.0,1144.0,995.0,10.0,2.0,5.0,0.0,1.0,3.0,1.0,7916.0,8931.0,136.0,8029.0,9347.0,145.0,-113.0,-416.0,-9.0,2.0,5.0,2.0,4.0,4.0,1.0,9440.0,11120.0,170.0,9702.0,11494.0,171.0,-262.0,-374.0,-1.0,2.0,6.0,2.0,4.0,6.0,2.0
