gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_334169,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,Notiko,Eintracht Frankfurt,1.0,Varus,Taliyah,Rumble,Yunara,Cassiopeia,Anivia,1826.0,1.0,9.0,1.0,8.0,20.0,13.0,2.0,0.0,0.0,0.0,0.0,0.6572,1.0843,0.0,0.0,13.0,2.0,3.0,22.0,16040.0,12039.0,395.586,14575.0,261.0,259.0,2.0,8.5761,4064.0,3504.0,86.0,4094.0,3642.0,81.0,-30.0,-138.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,6014.0,5620.0,122.0,7187.0,5941.0,129.0,-1173.0,-321.0,-7.0,3.0,1.0,1.0,3.0,3.0,1.0,9071.0,8246.0,163.0,9248.0,8271.0,179.0,-177.0,-25.0,-16.0,4.0,4.0,1.0,3.0,3.0,1.0,11954.0,11281.0,219.0,11335.0,10491.0,241.0,619.0,790.0,-22.0,6.0,5.0,1.0,3.0,3.0,1.0
LOLTMNT01_334194,complete,LJL,2026.0,0.0,2.0,16.02,Blue,bot,Notiko,Eintracht Frankfurt,1.0,Yunara,Taliyah,Rumble,Neeko,Vi,Malphite,1780.0,1.0,7.0,0.0,12.0,26.0,8.0,2.0,0.0,0.0,0.0,0.0,0.8764,1.1461,1.0,0.0,15.0,7.0,6.0,36.0,17743.0,13836.0,466.382,16100.0,287.0,253.0,34.0,9.6742,3543.0,3870.0,92.0,3505.0,3856.0,90.0,38.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7053.0,6744.0,141.0,5241.0,5644.0,126.0,1812.0,1100.0,15.0,2.0,2.0,0.0,0.0,0.0,1.0,10579.0,9643.0,190.0,7107.0,7602.0,169.0,3472.0,2041.0,21.0,4.0,4.0,0.0,0.0,0.0,3.0,14775.0,13341.0,248.0,8885.0,9929.0,210.0,5890.0,3412.0,38.0,6.0,9.0,0.0,0.0,2.0,5.0
LOLTMNT02_346807,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,Notiko,Eintracht Frankfurt,1.0,Lucian,Neeko,Ryze,Caitlyn,Bard,Sivir,1833.0,0.0,1.0,2.0,4.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.3601,1.2439,0.0,0.0,8.0,8.0,1.0,27.0,12009.0,7994.0,261.6694,11800.0,265.0,264.0,1.0,8.6743,3010.0,3382.0,66.0,4158.0,3769.0,103.0,-1148.0,-387.0,-37.0,0.0,1.0,1.0,1.0,1.0,0.0,4798.0,5630.0,112.0,7772.0,6194.0,167.0,-2974.0,-564.0,-55.0,0.0,1.0,1.0,2.0,1.0,0.0,7522.0,8601.0,169.0,10215.0,8710.0,219.0,-2693.0,-109.0,-50.0,0.0,3.0,1.0,3.0,1.0,1.0,9194.0,10264.0,214.0,13885.0,12247.0,270.0,-4691.0,-1983.0,-56.0,0.0,3.0,2.0,6.0,2.0,1.0
LOLTMNT02_346809,complete,LJL,2026.0,0.0,2.0,16.02,Red,bot,Notiko,Eintracht Frankfurt,0.0,Caitlyn,Varus,Orianna,Rumble,Sivir,Jhin,1739.0,0.0,5.0,7.0,4.0,15.0,27.0,1.0,0.0,0.0,0.0,0.0,0.5175,1.4491,0.0,0.0,12.0,10.0,5.0,36.0,13374.0,9551.0,329.5342,13225.0,249.0,249.0,0.0,8.5911,3852.0,3651.0,82.0,3779.0,3621.0,74.0,73.0,30.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,7073.0,6488.0,136.0,6390.0,6271.0,120.0,683.0,217.0,16.0,4.0,1.0,2.0,1.0,6.0,2.0,9698.0,8811.0,182.0,9931.0,9166.0,165.0,-233.0,-355.0,17.0,5.0,1.0,4.0,4.0,9.0,3.0,12013.0,11314.0,227.0,13025.0,11886.0,199.0,-1012.0,-572.0,28.0,5.0,4.0,6.0,6.0,11.0,3.0
LOLTMNT01_338589,complete,LCK,2026.0,0.0,3.0,16.02,Red,bot,Notiko,Eintracht Frankfurt,0.0,Sivir,Rumble,Neeko,Orianna,Qiyana,Pantheon,1890.0,0.0,3.0,4.0,5.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.5079,1.3016,0.0,1.0,8.0,5.0,2.0,22.0,16206.0,12075.0,383.3333,16250.0,344.0,344.0,0.0,10.9206,3385.0,4258.0,79.0,4077.0,4902.0,101.0,-692.0,-644.0,-22.0,1.0,0.0,1.0,1.0,0.0,0.0,6527.0,6749.0,123.0,7173.0,7587.0,151.0,-646.0,-838.0,-28.0,2.0,0.0,1.0,1.0,3.0,1.0,8478.0,9655.0,176.0,11789.0,11135.0,199.0,-3311.0,-1480.0,-23.0,2.0,2.0,2.0,6.0,3.0,1.0,11034.0,12412.0,232.0,14667.0,13519.0,234.0,-3633.0,-1107.0,-2.0,2.0,4.0,3.0,7.0,4.0,2.0
LOLTMNT05_175806,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Notiko,Eintracht Frankfurt,0.0,Yunara,Varus,Vi,Orianna,Tristana,Aphelios,2210.0,0.0,5.0,3.0,1.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3258,0.8145,0.0,0.0,14.0,6.0,8.0,35.0,16779.0,11995.0,325.6561,15575.0,361.0,357.0,4.0,9.8009,3385.0,3705.0,94.0,3639.0,3623.0,103.0,-254.0,82.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,6146.0,6384.0,154.0,6109.0,5839.0,157.0,37.0,545.0,-3.0,1.0,0.0,0.0,0.0,1.0,1.0,9011.0,9404.0,205.0,9071.0,8565.0,220.0,-60.0,839.0,-15.0,3.0,1.0,1.0,1.0,4.0,2.0,10807.0,11579.0,254.0,11555.0,10945.0,283.0,-748.0,634.0,-29.0,3.0,1.0,1.0,1.0,5.0,2.0
LOLTMNT05_176857,complete,PRM,2026.0,0.0,1.0,16.03,Blue,bot,Notiko,Eintracht Frankfurt,1.0,Yunara,Taliyah,Rumble,Neeko,Nami,Rakan,2160.0,1.0,7.0,1.0,6.0,19.0,10.0,1.0,1.0,1.0,0.0,0.0,0.5278,0.7778,0.0,0.0,18.0,12.0,6.0,50.0,19638.0,14956.0,415.4444,17150.0,367.0,343.0,24.0,10.1944,3291.0,3939.0,85.0,3741.0,3490.0,92.0,-450.0,449.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,5987.0,6284.0,139.0,6378.0,5756.0,149.0,-391.0,528.0,-10.0,0.0,0.0,1.0,2.0,0.0,0.0,9195.0,9204.0,194.0,8633.0,8251.0,201.0,562.0,953.0,-7.0,1.0,2.0,1.0,3.0,0.0,1.0,12041.0,12810.0,248.0,10929.0,11259.0,273.0,1112.0,1551.0,-25.0,2.0,3.0,1.0,3.0,0.0,1.0
LOLTMNT03_347053,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Notiko,Eintracht Frankfurt,0.0,Yunara,Varus,Ryze,Azir,Taliyah,Nami,1650.0,0.0,7.0,4.0,4.0,12.0,21.0,1.0,0.0,0.0,0.0,1.0,0.4364,1.2,0.0,0.0,11.0,10.0,3.0,36.0,13187.0,9545.0,347.0909,12525.0,271.0,257.0,14.0,9.8545,4492.0,3725.0,87.0,3978.0,3893.0,99.0,514.0,-168.0,-12.0,4.0,1.0,1.0,1.0,0.0,1.0,7794.0,7095.0,141.0,6401.0,6897.0,158.0,1393.0,198.0,-17.0,6.0,1.0,1.0,1.0,0.0,1.0,9828.0,9939.0,199.0,9747.0,10231.0,225.0,81.0,-292.0,-26.0,6.0,2.0,2.0,3.0,0.0,1.0,12203.0,12306.0,258.0,13237.0,13628.0,288.0,-1034.0,-1322.0,-30.0,7.0,2.0,3.0,5.0,4.0,1.0
LOLTMNT06_168220,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Notiko,Eintracht Frankfurt,0.0,Corki,Viego,Varus,Ambessa,Pyke,Alistar,2295.0,0.0,1.0,4.0,2.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.1307,0.8627,0.0,0.0,14.0,12.0,3.0,42.0,18128.0,13171.0,344.3399,17508.0,425.0,413.0,12.0,11.1111,3376.0,3863.0,90.0,3942.0,4019.0,94.0,-566.0,-156.0,-4.0,0.0,0.0,0.0,2.0,1.0,0.0,5439.0,5793.0,136.0,6554.0,6436.0,147.0,-1115.0,-643.0,-11.0,0.0,0.0,1.0,3.0,1.0,0.0,8585.0,8634.0,203.0,9404.0,9479.0,210.0,-819.0,-845.0,-7.0,1.0,0.0,1.0,4.0,2.0,0.0,10818.0,11693.0,273.0,12730.0,13320.0,268.0,-1912.0,-1627.0,5.0,1.0,0.0,2.0,6.0,2.0,0.0
LOLTMNT03_348025,complete,HW,2026.0,0.0,1.0,16.03,Blue,bot,Notiko,Eintracht Frankfurt,1.0,Varus,Taliyah,Rumble,Neeko,Rakan,Ryze,1456.0,1.0,6.0,2.0,6.0,22.0,5.0,1.0,0.0,0.0,0.0,0.0,0.9066,1.1126,0.0,0.0,10.0,4.0,4.0,23.0,12172.0,8926.0,367.8297,11700.0,206.0,204.0,2.0,8.489,3863.0,3774.0,82.0,3327.0,3173.0,88.0,536.0,601.0,-6.0,2.0,3.0,0.0,0.0,0.0,1.0,6523.0,6638.0,137.0,5536.0,5189.0,134.0,987.0,1449.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,9204.0,9084.0,178.0,8849.0,8243.0,201.0,355.0,841.0,-23.0,3.0,5.0,1.0,1.0,0.0,2.0,12172.0,11698.0,206.0,10956.0,9665.0,224.0,1216.0,2033.0,-18.0,6.0,6.0,2.0,2.0,2.0,4.0
