gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150239,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,ONLY,Meavedron,0.0,Varus,Jayce,Aurora,Rumble,Sion,K'Sante,2118.0,0.0,6.0,7.0,7.0,13.0,32.0,2.0,0.0,0.0,0.0,0.0,0.3683,1.2748,0.0,0.0,15.0,10.0,4.0,43.0,16647.0,12051.0,341.3881,16275.0,305.0,305.0,0.0,8.6402,3085.0,3633.0,79.0,4252.0,4221.0,87.0,-1167.0,-588.0,-8.0,0.0,0.0,2.0,2.0,1.0,0.0,6328.0,6033.0,135.0,6902.0,6735.0,135.0,-574.0,-702.0,0.0,2.0,0.0,3.0,2.0,5.0,1.0,9269.0,8796.0,189.0,10259.0,9806.0,194.0,-990.0,-1010.0,-5.0,3.0,1.0,3.0,4.0,5.0,1.0,11067.0,10786.0,224.0,13716.0,13160.0,247.0,-2649.0,-2374.0,-23.0,3.0,4.0,5.0,7.0,6.0,1.0
LOLTMNT04_151072,complete,TCL,2026.0,0.0,1.0,16.02,Red,bot,ONLY,Meavedron,0.0,Yunara,Ambessa,Orianna,Jayce,Aphelios,Corki,2309.0,0.0,3.0,6.0,9.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.4158,1.1174,0.0,0.0,13.0,9.0,2.0,37.0,18285.0,13299.0,345.5782,18330.0,348.0,339.0,9.0,9.0429,3502.0,3635.0,97.0,3408.0,3833.0,92.0,94.0,-198.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5646.0,6171.0,145.0,6120.0,6574.0,144.0,-474.0,-403.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,8195.0,8609.0,198.0,9193.0,9549.0,202.0,-998.0,-940.0,-4.0,0.0,1.0,2.0,2.0,5.0,0.0,10657.0,10920.0,247.0,11702.0,12021.0,253.0,-1045.0,-1101.0,-6.0,1.0,2.0,3.0,2.0,8.0,0.0
LOLTMNT01_334000,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,ONLY,Meavedron,1.0,Varus,Ekko,Syndra,Malphite,Darius,Yorick,2199.0,1.0,6.0,4.0,5.0,24.0,20.0,1.0,0.0,0.0,0.0,0.0,0.6548,1.2005,0.0,0.0,12.0,5.0,0.0,31.0,17258.0,12496.0,340.955,15700.0,309.0,305.0,4.0,8.4311,3772.0,4039.0,94.0,3505.0,3706.0,88.0,267.0,333.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5908.0,6261.0,140.0,6138.0,6005.0,135.0,-230.0,256.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,8218.0,8930.0,179.0,9525.0,8861.0,181.0,-1307.0,69.0,-2.0,2.0,2.0,3.0,2.0,5.0,1.0,10500.0,11530.0,229.0,11781.0,11531.0,238.0,-1281.0,-1.0,-9.0,3.0,2.0,3.0,2.0,5.0,1.0
LOLTMNT01_334943,complete,LJL,2026.0,0.0,2.0,16.02,Blue,bot,ONLY,Meavedron,1.0,Corki,Ekko,Syndra,Sylas,Darius,Rakan,1413.0,1.0,7.0,4.0,12.0,34.0,12.0,0.0,0.0,0.0,0.0,1.0,1.4437,1.9533,0.0,0.0,7.0,3.0,0.0,19.0,14139.0,10981.0,466.2845,13450.0,203.0,203.0,0.0,8.62,4653.0,4091.0,92.0,3707.0,3374.0,72.0,946.0,717.0,20.0,1.0,4.0,0.0,1.0,1.0,1.0,8381.0,6623.0,144.0,5878.0,4995.0,114.0,2503.0,1628.0,30.0,3.0,8.0,0.0,1.0,1.0,3.0,10824.0,8473.0,175.0,8452.0,7430.0,148.0,2372.0,1043.0,27.0,5.0,8.0,3.0,2.0,1.0,5.0,,,,,,,,,,,,,,,
LOLTMNT02_348955,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,bot,ONLY,Meavedron,1.0,Caitlyn,Nunu & Willump,Malphite,Varus,Orianna,Renekton,1580.0,1.0,4.0,0.0,7.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8354,1.1013,0.0,0.0,10.0,11.0,0.0,30.0,13606.0,10107.0,383.8101,11350.0,276.0,271.0,5.0,10.481,4013.0,4263.0,113.0,3559.0,3596.0,98.0,454.0,667.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6587.0,6838.0,156.0,6499.0,5613.0,140.0,88.0,1225.0,16.0,1.0,2.0,0.0,1.0,0.0,1.0,9013.0,9278.0,209.0,8733.0,7799.0,191.0,280.0,1479.0,18.0,1.0,3.0,0.0,2.0,1.0,1.0,12152.0,13414.0,259.0,10308.0,9723.0,230.0,1844.0,3691.0,29.0,3.0,6.0,0.0,2.0,2.0,2.0
LOLTMNT05_176049,complete,LEC,2026.0,0.0,2.0,16.02,Blue,bot,ONLY,Meavedron,1.0,Corki,Nunu & Willump,Malphite,Gnar,Thresh,Alistar,2557.0,1.0,6.0,5.0,7.0,24.0,25.0,1.0,0.0,0.0,0.0,0.0,0.5632,1.1498,0.0,0.0,17.0,18.0,2.0,63.0,21497.0,16005.0,375.5573,19050.0,378.0,366.0,12.0,8.8698,4046.0,3659.0,82.0,4056.0,3513.0,88.0,-10.0,146.0,-6.0,2.0,0.0,1.0,1.0,1.0,1.0,6314.0,5942.0,118.0,7025.0,5522.0,124.0,-711.0,420.0,-6.0,3.0,0.0,3.0,4.0,2.0,1.0,8894.0,9104.0,181.0,8985.0,7613.0,168.0,-91.0,1491.0,13.0,3.0,0.0,3.0,5.0,2.0,2.0,11249.0,11011.0,229.0,11343.0,10480.0,223.0,-94.0,531.0,6.0,3.0,0.0,3.0,6.0,2.0,2.0
LOLTMNT02_350488,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,bot,ONLY,Meavedron,1.0,Jhin,Zed,Malphite,Ambessa,Sion,Ornn,1394.0,1.0,3.0,0.0,10.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,1.076,1.3773,0.0,0.0,8.0,2.0,0.0,22.0,12036.0,8917.0,383.802,10725.0,222.0,222.0,0.0,9.5552,3695.0,3862.0,102.0,3964.0,3885.0,93.0,-269.0,-23.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6749.0,6651.0,151.0,6411.0,5952.0,139.0,338.0,699.0,12.0,1.0,4.0,0.0,1.0,1.0,3.0,9702.0,9665.0,200.0,8332.0,8620.0,195.0,1370.0,1045.0,5.0,1.0,7.0,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_350496,complete,LCKC,2026.0,0.0,2.0,16.02,Blue,bot,ONLY,Meavedron,1.0,Corki,Zed,Malphite,Orianna,Wukong,Xin Zhao,1751.0,1.0,6.0,1.0,8.0,31.0,13.0,1.0,1.0,0.0,0.0,0.0,1.0623,1.5077,0.0,0.0,11.0,8.0,0.0,31.0,15925.0,12077.0,413.8321,14433.0,274.0,270.0,4.0,9.3889,3481.0,3857.0,93.0,3445.0,3746.0,93.0,36.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6196.0,6498.0,141.0,6080.0,6176.0,149.0,116.0,322.0,-8.0,0.0,3.0,0.0,0.0,2.0,2.0,10297.0,10135.0,193.0,10035.0,8469.0,192.0,262.0,1666.0,1.0,4.0,5.0,1.0,3.0,3.0,4.0,12982.0,13029.0,232.0,13668.0,12546.0,260.0,-686.0,483.0,-28.0,5.0,6.0,1.0,4.0,4.0,4.0
LOLTMNT05_176646,complete,LIT,2026.0,0.0,1.0,16.03,Red,bot,ONLY,Meavedron,0.0,Sivir,Ryze,Orianna,Jayce,K'Sante,Renekton,1456.0,0.0,1.0,9.0,2.0,12.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4945,1.9368,0.0,0.0,7.0,0.0,0.0,10.0,8970.0,5724.0,235.8791,8450.0,156.0,156.0,0.0,6.4286,3068.0,3026.0,64.0,4482.0,3887.0,89.0,-1414.0,-861.0,-25.0,0.0,0.0,2.0,2.0,2.0,0.0,5587.0,5344.0,97.0,7975.0,6606.0,136.0,-2388.0,-1262.0,-39.0,1.0,0.0,4.0,7.0,3.0,1.0,7599.0,6992.0,127.0,10678.0,8713.0,173.0,-3079.0,-1721.0,-46.0,1.0,2.0,7.0,10.0,3.0,2.0,8970.0,9130.0,156.0,15776.0,12757.0,212.0,-6806.0,-3627.0,-56.0,1.0,2.0,9.0,16.0,8.0,2.0
LOLTMNT02_354876,complete,LCS,2026.0,0.0,2.0,16.03,Blue,bot,ONLY,Meavedron,1.0,Ezreal,,Orianna,Malphite,Gnar,,1608.0,0.0,1.0,5.0,7.0,13.0,28.0,0.0,0.0,0.0,0.0,1.0,0.4851,1.5299,0.0,0.0,8.0,5.0,0.0,22.0,10366.0,6810.0,254.1045,9583.0,227.0,227.0,0.0,8.4701,3548.0,3354.0,81.0,4249.0,3811.0,97.0,-701.0,-457.0,-16.0,1.0,2.0,2.0,2.0,1.0,1.0,5496.0,5478.0,116.0,8061.0,6403.0,152.0,-2565.0,-925.0,-36.0,1.0,3.0,3.0,6.0,2.0,1.0,7697.0,8188.0,170.0,10819.0,8950.0,210.0,-3122.0,-762.0,-40.0,1.0,5.0,3.0,7.0,3.0,2.0,9935.0,10764.0,220.0,14699.0,12235.0,253.0,-4764.0,-1471.0,-33.0,1.0,7.0,4.0,11.0,5.0,2.0
