gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,PerfecT,KT Rolster,1.0,K'Sante,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,0.0,2.0,1.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,0.0,15.0,4.0,6.0,36.0,10882.0,6755.0,214.6716,10750.0,284.0,284.0,0.0,9.0254,3368.0,5100.0,89.0,3733.0,5586.0,105.0,-365.0,-486.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.0,5115.0,8875.0,147.0,5426.0,9375.0,162.0,-311.0,-500.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,6937.0,12157.0,201.0,7979.0,13869.0,223.0,-1042.0,-1712.0,-22.0,0.0,0.0,1.0,1.0,1.0,0.0,8606.0,15273.0,246.0,10015.0,17408.0,283.0,-1409.0,-2135.0,-37.0,0.0,1.0,1.0,1.0,1.0,0.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,PerfecT,KT Rolster,1.0,Renekton,Neeko,Vi,Cassiopeia,Renata Glasc,Lulu,1650.0,1.0,2.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5091,0.5091,0.0,0.0,12.0,6.0,6.0,38.0,12546.0,8904.0,323.7818,11550.0,300.0,299.0,1.0,10.9091,3508.0,5344.0,91.0,3708.0,5410.0,100.0,-200.0,-66.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,5729.0,9290.0,150.0,5450.0,9078.0,153.0,279.0,212.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,7739.0,12871.0,216.0,7390.0,12589.0,218.0,349.0,282.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,10548.0,16580.0,271.0,9097.0,15255.0,269.0,1451.0,1325.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0
LOLTMNT03_337109,complete,LCK,2026.0,0.0,3.0,16.01,Blue,top,PerfecT,KT Rolster,0.0,Rek'Sai,Vi,Neeko,Orianna,Nautilus,Leona,2197.0,1.0,3.0,1.0,5.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.4643,0.8466,0.0,0.0,10.0,10.0,5.0,45.0,15687.0,10930.0,298.498,14075.0,361.0,353.0,8.0,9.8589,3409.0,4945.0,85.0,3500.0,5255.0,92.0,-91.0,-310.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5321.0,8993.0,143.0,5320.0,9028.0,143.0,1.0,-35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7764.0,12603.0,208.0,7344.0,12897.0,211.0,420.0,-294.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,9558.0,15720.0,262.0,9262.0,15794.0,258.0,296.0,-74.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0
LOLTMNT01_322115,complete,LCP,2026.0,0.0,1.0,16.01,Blue,top,PerfecT,KT Rolster,0.0,K'Sante,Jayce,Azir,Ambessa,Bard,Poppy,1872.0,0.0,1.0,5.0,2.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2244,0.9295,0.0,0.0,17.0,3.0,10.0,44.0,10372.0,6278.0,201.2179,10375.0,259.0,259.0,0.0,8.3013,3530.0,5348.0,98.0,3994.0,5379.0,104.0,-464.0,-31.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5103.0,8595.0,148.0,6308.0,9157.0,155.0,-1205.0,-562.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,6965.0,11811.0,204.0,9352.0,12842.0,211.0,-2387.0,-1031.0,-7.0,0.0,1.0,1.0,2.0,0.0,0.0,8426.0,13823.0,239.0,12160.0,16777.0,257.0,-3734.0,-2954.0,-18.0,0.0,1.0,2.0,3.0,3.0,0.0
LOLTMNT01_322119,complete,LCP,2026.0,0.0,2.0,16.01,Red,top,PerfecT,KT Rolster,1.0,Renekton,Neeko,Jayce,Cassiopeia,Lulu,Poppy,1682.0,0.0,2.0,3.0,1.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2854,1.2485,0.0,0.0,13.0,5.0,6.0,43.0,9425.0,5718.0,203.9715,8800.0,251.0,250.0,1.0,8.9536,3811.0,5201.0,98.0,3309.0,4619.0,85.0,502.0,582.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,5480.0,8871.0,154.0,5034.0,8399.0,145.0,446.0,472.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,7410.0,11666.0,201.0,7118.0,11909.0,200.0,292.0,-243.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,8838.0,14300.0,238.0,8852.0,15378.0,240.0,-14.0,-1078.0,-2.0,2.0,1.0,2.0,1.0,7.0,1.0
LOLTMNT03_341399,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,PerfecT,KT Rolster,1.0,Renekton,Bard,Neeko,Azir,Yunara,Poppy,1849.0,0.0,0.0,2.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1622,0.6814,0.0,0.0,15.0,3.0,8.0,33.0,9442.0,5394.0,175.0352,9550.0,253.0,253.0,0.0,8.2098,3561.0,5162.0,96.0,3325.0,5286.0,87.0,236.0,-124.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.0,8784.0,150.0,5736.0,9422.0,154.0,-528.0,-638.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,6857.0,12165.0,202.0,7877.0,12147.0,200.0,-1020.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8407.0,14500.0,239.0,9564.0,14774.0,244.0,-1157.0,-274.0,-5.0,0.0,1.0,0.0,0.0,2.0,2.0
LOLTMNT02_344221,complete,LCP,2026.0,0.0,2.0,16.01,Red,top,PerfecT,KT Rolster,0.0,Rek'Sai,Bard,Jayce,Ambessa,Poppy,Xin Zhao,2796.0,0.0,2.0,1.0,6.0,18.0,10.0,0.0,0.0,0.0,0.0,1.0,0.3863,0.5794,0.0,0.0,12.0,10.0,6.0,52.0,19832.0,13853.0,297.2747,20325.0,452.0,445.0,7.0,9.6996,3752.0,5672.0,99.0,3698.0,5317.0,98.0,54.0,355.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5521.0,9227.0,152.0,5398.0,9125.0,152.0,123.0,102.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7802.0,12401.0,208.0,7546.0,12549.0,210.0,256.0,-148.0,-2.0,1.0,3.0,0.0,0.0,0.0,1.0,10213.0,16766.0,259.0,9251.0,15518.0,260.0,962.0,1248.0,-1.0,2.0,5.0,0.0,0.0,0.0,2.0
LOLTMNT01_328073,complete,HW,2026.0,0.0,1.0,16.01,Red,top,PerfecT,KT Rolster,1.0,K'Sante,Malphite,Neeko,Renekton,Varus,Nocturne,2279.0,0.0,1.0,3.0,3.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1843,0.5529,0.0,0.0,15.0,8.0,10.0,52.0,12979.0,8054.0,212.0404,11825.0,323.0,319.0,4.0,8.5037,3511.0,5194.0,91.0,3682.0,5453.0,102.0,-171.0,-259.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5106.0,8604.0,141.0,5401.0,9532.0,147.0,-295.0,-928.0,-6.0,0.0,0.0,1.0,0.0,1.0,0.0,7380.0,12249.0,207.0,7541.0,13257.0,212.0,-161.0,-1008.0,-5.0,0.0,0.0,1.0,0.0,1.0,0.0,9207.0,15933.0,256.0,9458.0,16367.0,263.0,-251.0,-434.0,-7.0,0.0,0.0,1.0,0.0,2.0,0.0
LOLTMNT04_150451,complete,LIT,2026.0,1.0,2.0,16.01,Red,top,PerfecT,KT Rolster,0.0,Gnar,Jayce,Rumble,Wukong,Aphelios,Nautilus,2735.0,1.0,3.0,3.0,9.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4388,0.8117,0.0,0.0,20.0,14.0,8.0,70.0,16876.0,11021.0,241.777,15633.0,383.0,375.0,8.0,8.4022,3349.0,5131.0,91.0,3849.0,5472.0,105.0,-500.0,-341.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5097.0,9023.0,149.0,5865.0,9914.0,172.0,-768.0,-891.0,-23.0,0.0,0.0,1.0,0.0,1.0,0.0,7372.0,12170.0,198.0,8018.0,13331.0,227.0,-646.0,-1161.0,-29.0,1.0,1.0,1.0,0.0,1.0,0.0,9360.0,16053.0,264.0,10047.0,16836.0,289.0,-687.0,-783.0,-25.0,1.0,1.0,1.0,0.0,1.0,0.0
LOLTMNT06_165067,complete,AL,2026.0,0.0,3.0,16.01,Blue,top,PerfecT,KT Rolster,0.0,Kennen,Jayce,Rumble,Nocturne,Ahri,Alistar,1801.0,1.0,3.0,1.0,8.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5664,0.7329,0.0,0.0,13.0,4.0,8.0,39.0,12083.0,8133.0,270.9495,9975.0,264.0,264.0,0.0,8.7951,3799.0,5472.0,100.0,2742.0,5074.0,65.0,1057.0,398.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5516.0,8706.0,138.0,5351.0,9181.0,126.0,165.0,-475.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,7389.0,11825.0,192.0,7489.0,12197.0,171.0,-100.0,-372.0,21.0,2.0,1.0,1.0,1.0,2.0,0.0,9103.0,14807.0,236.0,9254.0,15388.0,229.0,-151.0,-581.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0
