gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321834,complete,LCP,2026.0,0.0,1.0,16.01,Blue,bot,Peyz,T1,0.0,Lucian,Jayce,Azir,Varus,Rell,Nautilus,2205.0,0.0,4.0,4.0,3.0,13.0,16.0,1.0,0.0,0.0,0.0,0.0,0.3537,0.7891,0.0,1.0,17.0,20.0,5.0,62.0,18346.0,13572.0,369.3061,17925.0,397.0,385.0,12.0,10.8027,3718.0,3425.0,97.0,3326.0,3331.0,90.0,392.0,94.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6441.0,5450.0,153.0,6528.0,5785.0,161.0,-87.0,-335.0,-8.0,1.0,0.0,1.0,1.0,1.0,0.0,8572.0,7556.0,210.0,9290.0,8384.0,225.0,-718.0,-828.0,-15.0,1.0,0.0,2.0,2.0,2.0,0.0,10986.0,10043.0,275.0,11681.0,10876.0,298.0,-695.0,-833.0,-23.0,1.0,0.0,2.0,2.0,2.0,0.0
LOLTMNT01_321853,complete,LCP,2026.0,0.0,2.0,16.01,Red,bot,Peyz,T1,0.0,Aphelios,Jayce,Azir,Varus,Yone,Gwen,1603.0,1.0,5.0,1.0,6.0,22.0,6.0,2.0,0.0,0.0,0.0,0.0,0.8235,1.048,0.0,0.0,12.0,15.0,4.0,43.0,14676.0,11130.0,416.5939,12600.0,300.0,300.0,0.0,11.2289,3625.0,3701.0,94.0,3692.0,4069.0,101.0,-67.0,-368.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,6965.0,5995.0,160.0,6279.0,6808.0,159.0,686.0,-813.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,10038.0,8619.0,221.0,8676.0,9459.0,217.0,1362.0,-840.0,4.0,3.0,2.0,0.0,0.0,2.0,2.0,13254.0,12093.0,290.0,11901.0,12398.0,272.0,1353.0,-305.0,18.0,3.0,3.0,1.0,1.0,3.0,3.0
LOLTMNT01_321867,complete,LCP,2026.0,0.0,3.0,16.01,Blue,bot,Peyz,T1,0.0,Sivir,Jayce,Varus,Rell,Renata Glasc,Ashe,1700.0,1.0,9.0,0.0,17.0,32.0,9.0,2.0,0.0,0.0,0.0,0.0,1.1294,1.4471,0.0,0.0,17.0,9.0,7.0,44.0,17859.0,14115.0,498.1765,15825.0,282.0,274.0,8.0,9.9529,3274.0,3616.0,84.0,3378.0,3399.0,93.0,-104.0,217.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,6883.0,6573.0,141.0,5722.0,5900.0,148.0,1161.0,673.0,-7.0,2.0,4.0,0.0,1.0,0.0,0.0,10575.0,10188.0,198.0,8122.0,8725.0,205.0,2453.0,1463.0,-7.0,3.0,8.0,0.0,1.0,1.0,1.0,14232.0,13458.0,245.0,9720.0,10585.0,238.0,4512.0,2873.0,7.0,5.0,13.0,0.0,1.0,3.0,3.0
LOLTMNT06_163424,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Peyz,T1,0.0,Aphelios,Jayce,Varus,Jarvan IV,Renekton,Rek'Sai,1766.0,1.0,8.0,6.0,8.0,26.0,18.0,2.0,2.0,0.0,0.0,0.0,0.8834,1.4609,0.0,0.0,14.0,13.0,6.0,42.0,16732.0,12854.0,436.7157,14225.0,306.0,282.0,24.0,10.3964,3780.0,3845.0,92.0,3401.0,3840.0,88.0,379.0,5.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,8113.0,6681.0,138.0,5544.0,5666.0,127.0,2569.0,1015.0,11.0,5.0,5.0,3.0,0.0,4.0,3.0,10500.0,8658.0,190.0,9428.0,8434.0,170.0,1072.0,224.0,20.0,5.0,6.0,5.0,3.0,6.0,3.0,12988.0,12352.0,257.0,12931.0,11768.0,222.0,57.0,584.0,35.0,5.0,6.0,6.0,5.0,8.0,4.0
LOLTMNT06_164476,complete,LEC,2026.0,0.0,2.0,16.01,Blue,bot,Peyz,T1,1.0,Kai'Sa,Varus,Malphite,Vi,Nami,Karma,1832.0,0.0,1.0,4.0,6.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3275,1.048,0.0,0.0,11.0,10.0,2.0,31.0,13584.0,9571.0,313.4607,12850.0,306.0,298.0,8.0,10.0218,3487.0,3634.0,88.0,4502.0,3693.0,79.0,-1015.0,-59.0,9.0,0.0,1.0,1.0,4.0,0.0,0.0,6444.0,6067.0,149.0,6688.0,6378.0,135.0,-244.0,-311.0,14.0,0.0,1.0,1.0,4.0,0.0,0.0,9068.0,8775.0,217.0,9210.0,8684.0,190.0,-142.0,91.0,27.0,1.0,2.0,1.0,4.0,0.0,0.0,11153.0,11114.0,247.0,12283.0,11893.0,231.0,-1130.0,-779.0,16.0,1.0,5.0,3.0,6.0,4.0,1.0
LOLTMNT03_338312,complete,LCKC,2026.0,0.0,3.0,16.01,Red,bot,Peyz,T1,0.0,Kalista,Jayce,Rumble,Akali,K'Sante,Kennen,2102.0,1.0,5.0,5.0,11.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8278,1.2559,2.0,0.0,15.0,12.0,5.0,55.0,15928.0,11364.0,324.3768,14500.0,303.0,287.0,16.0,8.6489,3452.0,3383.0,92.0,3435.0,3386.0,75.0,17.0,-3.0,17.0,0.0,2.0,1.0,1.0,0.0,0.0,5806.0,5568.0,138.0,5988.0,5756.0,122.0,-182.0,-188.0,16.0,1.0,4.0,2.0,2.0,1.0,1.0,8127.0,8242.0,194.0,8462.0,7946.0,167.0,-335.0,296.0,27.0,2.0,6.0,3.0,3.0,2.0,2.0,10756.0,10516.0,226.0,10415.0,10050.0,204.0,341.0,466.0,22.0,3.0,9.0,4.0,3.0,5.0,3.0
LOLTMNT03_341399,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,Peyz,T1,0.0,Ezreal,Jayce,Rumble,Orianna,Nautilus,Malphite,1849.0,1.0,2.0,0.0,7.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5192,0.6814,0.0,0.0,11.0,11.0,3.0,33.0,15822.0,11774.0,382.066,14508.0,356.0,352.0,4.0,11.5522,3859.0,4165.0,103.0,3785.0,4167.0,92.0,74.0,-2.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,6827.0,6887.0,167.0,6731.0,6811.0,153.0,96.0,76.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,9181.0,9549.0,225.0,9100.0,9717.0,216.0,81.0,-168.0,9.0,1.0,3.0,0.0,2.0,1.0,0.0,11949.0,12551.0,291.0,11740.0,12485.0,273.0,209.0,66.0,18.0,1.0,4.0,0.0,3.0,1.0,0.0
LOLTMNT02_344221,complete,LCP,2026.0,0.0,2.0,16.01,Blue,bot,Peyz,T1,1.0,Aphelios,Malphite,Nocturne,Rumble,Jarvan IV,Pantheon,2796.0,1.0,3.0,5.0,4.0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0.1931,0.5794,0.0,0.0,17.0,16.0,6.0,61.0,25988.0,20009.0,429.3777,23250.0,551.0,526.0,25.0,11.824,3706.0,3419.0,90.0,3756.0,3572.0,82.0,-50.0,-153.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,6777.0,5443.0,140.0,6293.0,5732.0,129.0,484.0,-289.0,11.0,1.0,0.0,2.0,1.0,2.0,0.0,8573.0,7389.0,190.0,10055.0,8836.0,196.0,-1482.0,-1447.0,-6.0,1.0,0.0,4.0,3.0,4.0,0.0,10514.0,10035.0,239.0,13058.0,12876.0,258.0,-2544.0,-2841.0,-19.0,1.0,0.0,5.0,4.0,7.0,0.0
LOLTMNT01_326904,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Peyz,T1,1.0,Corki,Malphite,Yunara,Akali,Ambessa,Pantheon,2364.0,1.0,14.0,2.0,7.0,25.0,18.0,3.0,1.0,0.0,0.0,0.0,0.6345,1.0914,0.0,0.0,17.0,15.0,5.0,52.0,25948.0,20850.0,529.1878,25208.0,436.0,425.0,11.0,11.066,4001.0,3693.0,95.0,3601.0,3558.0,85.0,400.0,135.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,6451.0,6100.0,150.0,5766.0,6199.0,138.0,685.0,-99.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,9493.0,8875.0,210.0,8369.0,9352.0,195.0,1124.0,-477.0,15.0,3.0,2.0,1.0,1.0,4.0,2.0,12206.0,11447.0,280.0,10633.0,12411.0,258.0,1573.0,-964.0,22.0,4.0,2.0,1.0,1.0,5.0,2.0
LOLTMNT04_150427,complete,CCWS,2026.0,0.0,2.0,16.01,Blue,bot,Peyz,T1,1.0,Aphelios,Malphite,Yunara,Pantheon,Akali,Rek'Sai,2580.0,0.0,7.0,5.0,4.0,15.0,26.0,0.0,0.0,0.0,0.0,1.0,0.3488,0.9535,0.0,0.0,14.0,13.0,2.0,43.0,23919.0,18380.0,427.4419,22650.0,459.0,443.0,16.0,10.6744,3728.0,3435.0,88.0,3996.0,3737.0,88.0,-268.0,-302.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6829.0,5775.0,138.0,6155.0,5492.0,135.0,674.0,283.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,9611.0,9386.0,216.0,8765.0,8210.0,204.0,846.0,1176.0,12.0,1.0,2.0,2.0,1.0,0.0,0.0,11977.0,11925.0,289.0,11231.0,10533.0,273.0,746.0,1392.0,16.0,1.0,2.0,2.0,1.0,0.0,0.0
