gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335584,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,0.0,Alistar,Rumble,Azir,Orianna,Poppy,Ezreal,1817.0,1.0,0.0,4.0,20.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.8586,1.1888,0.0,0.0,55.0,13.0,11.0,122.0,8628.0,4646.0,153.4177,7665.0,42.0,42.0,0.0,1.3869,2855.0,2941.0,23.0,2652.0,2771.0,12.0,203.0,170.0,11.0,0.0,4.0,2.0,0.0,3.0,1.0,4151.0,4055.0,32.0,3791.0,3895.0,24.0,360.0,160.0,8.0,0.0,6.0,3.0,0.0,3.0,1.0,5566.0,4771.0,37.0,4892.0,4299.0,30.0,674.0,472.0,7.0,0.0,8.0,3.0,0.0,3.0,2.0,7069.0,6879.0,39.0,6274.0,6430.0,36.0,795.0,449.0,3.0,0.0,13.0,4.0,0.0,6.0,3.0
LOLTMNT03_334607,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,0.0,Rell,Azir,Rumble,Orianna,Lucian,Leona,2074.0,1.0,1.0,3.0,20.0,31.0,15.0,0.0,0.0,0.0,0.0,0.0,0.8968,1.3308,0.0,0.0,73.0,14.0,14.0,140.0,10052.0,5545.0,160.4147,8935.0,48.0,48.0,0.0,1.3886,2571.0,2736.0,25.0,2505.0,2627.0,10.0,66.0,109.0,15.0,1.0,0.0,0.0,0.0,1.0,1.0,3845.0,3847.0,35.0,3627.0,3826.0,17.0,218.0,21.0,18.0,1.0,1.0,0.0,0.0,1.0,1.0,5303.0,6193.0,38.0,5243.0,5684.0,22.0,60.0,509.0,16.0,1.0,6.0,0.0,1.0,2.0,2.0,7055.0,8498.0,40.0,7114.0,7572.0,28.0,-59.0,926.0,12.0,1.0,11.0,2.0,2.0,5.0,3.0
LOLTMNT03_336511,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,0.0,Leona,Rumble,Orianna,Azir,Galio,Sion,2126.0,1.0,2.0,1.0,11.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,0.508,0.6209,0.0,0.0,75.0,16.0,11.0,135.0,9838.0,5225.0,147.46,8830.0,47.0,47.0,0.0,1.3264,3022.0,3071.0,19.0,2619.0,2835.0,15.0,403.0,236.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,4365.0,4572.0,29.0,3794.0,3949.0,26.0,571.0,623.0,3.0,2.0,3.0,0.0,1.0,0.0,2.0,5647.0,6501.0,35.0,5029.0,6447.0,32.0,618.0,54.0,3.0,2.0,6.0,0.0,1.0,1.0,3.0,6820.0,8562.0,41.0,6136.0,7837.0,36.0,684.0,725.0,5.0,2.0,7.0,0.0,1.0,1.0,4.0
LOLTMNT06_164172,complete,AL,2026.0,0.0,2.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,0.0,Rakan,Azir,Orianna,Rumble,Poppy,Lulu,1700.0,1.0,0.0,0.0,11.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5647,0.7765,0.0,0.0,59.0,13.0,10.0,130.0,8036.0,4292.0,151.4824,7000.0,30.0,30.0,0.0,1.0588,2644.0,2774.0,12.0,2441.0,2794.0,12.0,203.0,-20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4063.0,4047.0,22.0,3559.0,4102.0,20.0,504.0,-55.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5532.0,5191.0,26.0,5124.0,6276.0,25.0,408.0,-1085.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,6754.0,6802.0,28.0,6167.0,7507.0,28.0,587.0,-705.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0
LOLTMNT05_172225,complete,CCWS,2026.0,0.0,1.0,16.01,Red,sup,Pleata,Nongshim Esports Academy,1.0,Bard,Malphite,Jayce,Rumble,Lulu,Ambessa,1988.0,1.0,1.0,1.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2716,0.3924,0.0,0.0,73.0,32.0,17.0,176.0,9013.0,4682.0,141.3078,7220.0,50.0,50.0,0.0,1.5091,2326.0,2584.0,16.0,2186.0,2406.0,15.0,140.0,178.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3492.0,3662.0,29.0,3210.0,3498.0,21.0,282.0,164.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5142.0,5285.0,37.0,4476.0,5104.0,25.0,666.0,181.0,12.0,1.0,0.0,1.0,0.0,3.0,0.0,6338.0,6939.0,43.0,5558.0,5910.0,28.0,780.0,1029.0,15.0,1.0,1.0,1.0,0.0,3.0,0.0
LOLTMNT06_163502,complete,AL,2026.0,0.0,2.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,0.0,Neeko,Azir,Rumble,Jayce,Nautilus,Rell,1571.0,1.0,0.0,1.0,11.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7257,0.8784,0.0,0.0,53.0,16.0,10.0,120.0,7844.0,4364.0,166.6709,5855.0,37.0,37.0,0.0,1.4131,2498.0,2838.0,12.0,2298.0,3207.0,17.0,200.0,-369.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,4124.0,4150.0,20.0,3536.0,4135.0,22.0,588.0,15.0,-2.0,0.0,4.0,0.0,0.0,1.0,1.0,5594.0,5495.0,28.0,4608.0,5975.0,25.0,986.0,-480.0,3.0,0.0,7.0,1.0,0.0,2.0,2.0,7226.0,7148.0,36.0,5815.0,7478.0,33.0,1411.0,-330.0,3.0,0.0,8.0,1.0,0.0,3.0,2.0
LOLTMNT03_341109,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,Pleata,Nongshim Esports Academy,1.0,Alistar,Malphite,Vi,Jayce,Nautilus,Yunara,2153.0,0.0,0.0,5.0,11.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.418,0.9754,0.0,0.0,80.0,17.0,19.0,152.0,8519.0,3851.0,107.32,8070.0,46.0,46.0,0.0,1.2819,2277.0,2979.0,23.0,2419.0,2597.0,21.0,-142.0,382.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3334.0,4298.0,30.0,3718.0,3898.0,34.0,-384.0,400.0,-4.0,0.0,1.0,0.0,0.0,1.0,1.0,4798.0,5998.0,33.0,5035.0,5232.0,40.0,-237.0,766.0,-7.0,0.0,7.0,1.0,0.0,4.0,2.0,6010.0,7427.0,37.0,6660.0,7901.0,42.0,-650.0,-474.0,-5.0,0.0,7.0,3.0,0.0,7.0,2.0
LOLTMNT02_344078,complete,LCP,2026.0,0.0,2.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,1.0,Neeko,Malphite,Jayce,Yunara,Gnar,Gwen,1996.0,1.0,5.0,2.0,11.0,19.0,17.0,1.0,0.0,0.0,0.0,0.0,0.5711,1.0822,0.0,0.0,70.0,20.0,10.0,156.0,11289.0,6942.0,208.6774,10665.0,42.0,42.0,0.0,1.2625,2668.0,3036.0,13.0,2497.0,2652.0,22.0,171.0,384.0,-9.0,0.0,2.0,0.0,0.0,1.0,1.0,4090.0,4230.0,20.0,3764.0,3758.0,23.0,326.0,472.0,-3.0,1.0,2.0,1.0,0.0,5.0,3.0,6422.0,6392.0,25.0,4988.0,4765.0,28.0,1434.0,1627.0,-3.0,3.0,5.0,1.0,0.0,6.0,5.0,7769.0,7421.0,32.0,6197.0,5959.0,33.0,1572.0,1462.0,-1.0,3.0,5.0,1.0,0.0,7.0,5.0
LOLTMNT02_343084,complete,LCP,2026.0,0.0,3.0,16.01,Blue,sup,Pleata,Nongshim Esports Academy,1.0,Leona,Malphite,Jayce,Yunara,Poppy,Rell,2655.0,0.0,2.0,6.0,16.0,29.0,19.0,0.0,0.0,0.0,0.0,1.0,0.6554,1.0847,0.0,0.0,118.0,35.0,12.0,247.0,12234.0,6542.0,147.8418,11530.0,54.0,54.0,0.0,1.2203,3018.0,2325.0,21.0,2382.0,2264.0,11.0,636.0,61.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,4268.0,3640.0,26.0,3470.0,3132.0,20.0,798.0,508.0,6.0,1.0,3.0,1.0,0.0,0.0,2.0,5591.0,5167.0,30.0,4837.0,4182.0,25.0,754.0,985.0,5.0,1.0,5.0,1.0,0.0,2.0,2.0,6788.0,5972.0,39.0,6026.0,4927.0,28.0,762.0,1045.0,11.0,1.0,5.0,1.0,0.0,3.0,2.0
LOLTMNT01_332056,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,sup,Pleata,Nongshim Esports Academy,0.0,Nami,Orianna,Azir,Varus,Nautilus,Aphelios,2476.0,1.0,0.0,4.0,8.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.727,0.0,0.0,66.0,20.0,12.0,147.0,9884.0,4557.0,110.4281,7605.0,43.0,43.0,0.0,1.042,2310.0,2785.0,19.0,2313.0,3271.0,19.0,-3.0,-486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3487.0,3916.0,23.0,3541.0,4638.0,32.0,-54.0,-722.0,-9.0,0.0,1.0,1.0,0.0,1.0,0.0,4618.0,6253.0,26.0,4605.0,5725.0,36.0,13.0,528.0,-10.0,0.0,2.0,1.0,0.0,2.0,1.0,5781.0,7760.0,30.0,6056.0,7964.0,42.0,-275.0,-204.0,-12.0,0.0,4.0,2.0,0.0,6.0,2.0
