gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166065,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Potent,Vitality.Bee,1.0,Renekton,Wukong,Akali,Rumble,Dr. Mundo,Nocturne,3166.0,1.0,4.0,5.0,17.0,35.0,30.0,0.0,0.0,0.0,0.0,1.0,0.6633,1.2318,0.0,0.0,31.0,15.0,7.0,93.0,22342.0,15608.0,295.7928,19050.0,444.0,432.0,12.0,8.4144,4347.0,5323.0,96.0,3570.0,4995.0,87.0,777.0,328.0,9.0,2.0,0.0,1.0,1.0,0.0,2.0,6751.0,10002.0,164.0,4924.0,8228.0,124.0,1827.0,1774.0,40.0,3.0,0.0,1.0,1.0,0.0,3.0,9816.0,14134.0,233.0,6929.0,12194.0,171.0,2887.0,1940.0,62.0,3.0,2.0,1.0,2.0,3.0,3.0,11645.0,16944.0,282.0,8342.0,14759.0,210.0,3303.0,2185.0,72.0,3.0,2.0,1.0,2.0,3.0,3.0
LOLTMNT04_152129,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,Potent,Vitality.Bee,0.0,Zaahen,Aphelios,Varus,Jayce,Vi,Wukong,1556.0,0.0,0.0,6.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0771,0.8483,0.0,0.0,9.0,4.0,0.0,31.0,7733.0,4283.0,165.1542,7550.0,204.0,204.0,0.0,7.8663,3073.0,4835.0,81.0,3902.0,5322.0,92.0,-829.0,-487.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,4770.0,8161.0,128.0,5574.0,8851.0,143.0,-804.0,-690.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,6066.0,10244.0,161.0,8273.0,12802.0,203.0,-2207.0,-2558.0,-42.0,0.0,0.0,3.0,2.0,0.0,0.0,7598.0,12714.0,203.0,10362.0,16540.0,245.0,-2764.0,-3826.0,-42.0,0.0,1.0,5.0,2.0,2.0,1.0
LOLTMNT04_152447,complete,LEC,2026.0,0.0,1.0,16.02,Blue,top,Potent,Vitality.Bee,1.0,Renekton,Aatrox,Jayce,Irelia,Neeko,Smolder,1908.0,1.0,3.0,0.0,8.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5031,0.6918,0.0,0.0,16.0,7.0,3.0,47.0,14856.0,10688.0,336.1006,13675.0,313.0,313.0,0.0,9.8428,3958.0,5303.0,98.0,3123.0,4870.0,82.0,835.0,433.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6794.0,9542.0,142.0,4194.0,7108.0,107.0,2600.0,2434.0,35.0,3.0,1.0,0.0,0.0,0.0,3.0,8613.0,13006.0,201.0,5977.0,10648.0,164.0,2636.0,2358.0,37.0,3.0,1.0,0.0,0.0,0.0,3.0,11301.0,16372.0,262.0,7501.0,13540.0,212.0,3800.0,2832.0,50.0,3.0,1.0,0.0,0.0,0.0,3.0
LOLTMNT05_175079,complete,LIT,2026.0,0.0,1.0,16.02,Red,top,Potent,Vitality.Bee,0.0,Ornn,Varus,Azir,Rumble,Kai'Sa,Rek'Sai,2288.0,0.0,1.0,3.0,6.0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5507,1.0752,0.0,0.0,23.0,7.0,6.0,55.0,12218.0,7275.0,190.778,11550.0,301.0,299.0,2.0,7.8934,3627.0,4933.0,87.0,4316.0,5516.0,94.0,-689.0,-583.0,-7.0,1.0,1.0,1.0,2.0,1.0,0.0,5302.0,8621.0,143.0,7100.0,10080.0,154.0,-1798.0,-1459.0,-11.0,1.0,1.0,2.0,3.0,1.0,0.0,6813.0,11563.0,185.0,8809.0,12723.0,192.0,-1996.0,-1160.0,-7.0,1.0,1.0,2.0,3.0,3.0,0.0,8457.0,14909.0,234.0,10620.0,15621.0,242.0,-2163.0,-712.0,-8.0,1.0,1.0,2.0,3.0,3.0,0.0
LOLTMNT02_349163,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Potent,Vitality.Bee,0.0,Renekton,Varus,Yunara,Rumble,Alistar,Sivir,1845.0,0.0,1.0,5.0,1.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2602,1.1707,0.0,0.0,15.0,3.0,3.0,44.0,12036.0,7997.0,260.065,11725.0,266.0,258.0,8.0,8.6504,3659.0,5532.0,96.0,2878.0,4842.0,66.0,781.0,690.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,5792.0,8764.0,138.0,5254.0,9267.0,117.0,538.0,-503.0,21.0,1.0,1.0,2.0,1.0,1.0,2.0,7899.0,12166.0,196.0,7455.0,13015.0,162.0,444.0,-849.0,34.0,1.0,1.0,2.0,2.0,3.0,2.0,9908.0,15067.0,236.0,9246.0,15564.0,204.0,662.0,-497.0,32.0,1.0,1.0,3.0,2.0,4.0,2.0
LOLTMNT02_350741,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,top,Potent,Vitality.Bee,1.0,Rumble,Ahri,Yunara,Jayce,Alistar,Caitlyn,2171.0,0.0,2.0,5.0,4.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.304,0.8291,0.0,0.0,18.0,3.0,4.0,43.0,13547.0,8843.0,244.3943,12950.0,263.0,263.0,0.0,7.2685,3331.0,4259.0,72.0,3879.0,5031.0,84.0,-548.0,-772.0,-12.0,0.0,1.0,2.0,1.0,0.0,0.0,4813.0,7387.0,119.0,6020.0,9128.0,143.0,-1207.0,-1741.0,-24.0,0.0,1.0,3.0,1.0,1.0,0.0,7317.0,11141.0,179.0,8360.0,12508.0,204.0,-1043.0,-1367.0,-25.0,1.0,1.0,3.0,1.0,2.0,0.0,9535.0,13450.0,207.0,10329.0,15344.0,233.0,-794.0,-1894.0,-26.0,1.0,3.0,4.0,1.0,2.0,1.0
LOLTMNT02_353339,complete,LES,2026.0,0.0,1.0,16.03,Blue,top,Potent,Vitality.Bee,1.0,Rumble,Ezreal,Azir,Jayce,Sivir,Corki,1946.0,0.0,2.0,4.0,3.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2158,0.74,0.0,0.0,19.0,3.0,8.0,51.0,12403.0,8158.0,251.5313,11650.0,287.0,273.0,14.0,8.8489,4177.0,5195.0,96.0,3087.0,5115.0,78.0,1090.0,80.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,5695.0,8523.0,142.0,5023.0,8862.0,129.0,672.0,-339.0,13.0,1.0,1.0,1.0,0.0,1.0,0.0,7837.0,12603.0,204.0,7331.0,12512.0,190.0,506.0,91.0,14.0,1.0,1.0,1.0,0.0,1.0,0.0,10068.0,16338.0,238.0,9408.0,15365.0,229.0,660.0,973.0,9.0,2.0,3.0,2.0,1.0,2.0,1.0
LOLTMNT02_353753,complete,HW,2026.0,0.0,1.0,16.03,Red,top,Potent,Vitality.Bee,0.0,Ambessa,Dr. Mundo,Azir,Varus,Bard,Neeko,1667.0,0.0,0.0,7.0,2.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.144,1.0798,0.0,0.0,11.0,1.0,2.0,29.0,10339.0,6663.0,239.82,9975.0,243.0,235.0,8.0,8.7463,3433.0,5304.0,90.0,3264.0,5096.0,90.0,169.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,8468.0,133.0,6105.0,9824.0,148.0,-992.0,-1356.0,-15.0,0.0,0.0,2.0,2.0,1.0,0.0,7584.0,11499.0,179.0,8309.0,12823.0,187.0,-725.0,-1324.0,-8.0,0.0,1.0,4.0,3.0,2.0,0.0,9392.0,14398.0,225.0,10774.0,16715.0,231.0,-1382.0,-2317.0,-6.0,0.0,1.0,5.0,3.0,7.0,0.0
LOLTMNT05_175735,complete,LEC,2026.0,1.0,1.0,16.03,Red,top,Potent,Vitality.Bee,0.0,Rumble,Varus,Ambessa,Yunara,K'Sante,Sion,2020.0,0.0,4.0,7.0,5.0,12.0,29.0,1.0,0.0,0.0,0.0,0.0,0.3564,1.2178,0.0,0.0,14.0,4.0,4.0,39.0,15362.0,10966.0,325.7228,14255.0,310.0,302.0,8.0,9.2079,3429.0,4919.0,82.0,3762.0,4618.0,75.0,-333.0,301.0,7.0,0.0,1.0,2.0,2.0,0.0,0.0,5657.0,8470.0,124.0,5169.0,7847.0,118.0,488.0,623.0,6.0,1.0,1.0,3.0,2.0,0.0,1.0,8780.0,12296.0,186.0,7355.0,11313.0,176.0,1425.0,983.0,10.0,2.0,1.0,3.0,2.0,2.0,1.0,10509.0,15131.0,230.0,9553.0,14697.0,224.0,956.0,434.0,6.0,2.0,2.0,4.0,3.0,3.0,1.0
LOLTMNT05_176944,complete,EBL,2026.0,1.0,1.0,16.03,Red,top,Potent,Vitality.Bee,0.0,Renekton,Dr. Mundo,Neeko,Jayce,K'Sante,Braum,2283.0,1.0,4.0,3.0,4.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6045,0.9724,0.0,0.0,16.0,10.0,6.0,65.0,16678.0,11745.0,308.6728,15350.0,351.0,343.0,8.0,9.2247,4128.0,5472.0,104.0,3318.0,5348.0,90.0,810.0,124.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6350.0,8997.0,154.0,5588.0,9781.0,153.0,762.0,-784.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8698.0,12385.0,211.0,7357.0,13014.0,213.0,1341.0,-629.0,-2.0,1.0,0.0,1.0,1.0,0.0,0.0,11313.0,16030.0,276.0,9815.0,16059.0,266.0,1498.0,-29.0,10.0,2.0,0.0,1.0,2.0,1.0,0.0
