gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Wukong,Jayce,Azir,Orianna,Ambessa,Nautilus,1888.0,1.0,6.0,1.0,9.0,19.0,8.0,1.0,0.0,0.0,0.0,1.0,0.6038,0.8581,1.0,0.0,12.0,21.0,10.0,73.0,14244.0,10117.0,321.5148,12733.0,245.0,26.0,219.0,7.786,4597.0,4419.0,82.0,3712.0,3525.0,69.0,885.0,894.0,13.0,3.0,0.0,0.0,1.0,0.0,1.0,6340.0,6945.0,129.0,5633.0,6125.0,112.0,707.0,820.0,17.0,3.0,0.0,1.0,1.0,2.0,1.0,9366.0,10387.0,171.0,7705.0,7319.0,126.0,1661.0,3068.0,45.0,5.0,4.0,1.0,3.0,2.0,3.0,11651.0,12610.0,211.0,9126.0,8640.0,142.0,2525.0,3970.0,69.0,6.0,5.0,1.0,4.0,2.0,4.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Dr. Mundo,Jayce,Azir,Orianna,Jarvan IV,Nocturne,1650.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.0,1.0,12.0,16.0,12.0,57.0,9081.0,5439.0,197.7818,8850.0,205.0,20.0,185.0,7.4545,3814.0,4953.0,97.0,4204.0,4485.0,85.0,-390.0,468.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,5474.0,7503.0,138.0,6109.0,6866.0,125.0,-635.0,637.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,7279.0,9578.0,175.0,8617.0,10221.0,179.0,-1338.0,-643.0,-4.0,0.0,0.0,0.0,1.0,2.0,0.0,8646.0,11148.0,200.0,11419.0,14060.0,237.0,-2773.0,-2912.0,-37.0,0.0,0.0,1.0,2.0,6.0,0.0
LOLTMNT03_337109,complete,LCK,2026.0,0.0,3.0,16.01,Red,jng,Pyosik,DN SOOPers,1.0,Nocturne,Poppy,Jayce,Azir,Akali,Mel,2197.0,0.0,3.0,4.0,9.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3823,0.8466,0.0,0.0,15.0,16.0,15.0,68.0,13622.0,8865.0,242.1029,12675.0,256.0,37.0,219.0,6.9914,3491.0,4039.0,78.0,4254.0,4124.0,81.0,-763.0,-85.0,-3.0,0.0,0.0,1.0,2.0,1.0,0.0,5850.0,6670.0,115.0,5955.0,6317.0,122.0,-105.0,353.0,-7.0,1.0,3.0,1.0,2.0,2.0,1.0,8033.0,10091.0,165.0,8275.0,9021.0,163.0,-242.0,1070.0,2.0,1.0,6.0,2.0,3.0,3.0,2.0,9731.0,11523.0,186.0,9851.0,10796.0,196.0,-120.0,727.0,-10.0,2.0,7.0,2.0,3.0,4.0,2.0
LOLTMNT06_164179,complete,AL,2026.0,0.0,1.0,16.01,Red,jng,Pyosik,DN SOOPers,1.0,Wukong,Qiyana,Jayce,Cassiopeia,Jarvan IV,Nautilus,1505.0,0.0,1.0,4.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,0.1196,0.7973,0.0,0.0,6.0,9.0,5.0,36.0,8240.0,4894.0,195.1096,7758.0,161.0,10.0,151.0,6.4186,3667.0,3797.0,69.0,3556.0,4580.0,89.0,111.0,-783.0,-20.0,1.0,1.0,0.0,0.0,0.0,0.0,5247.0,6022.0,107.0,5450.0,6545.0,120.0,-203.0,-523.0,-13.0,1.0,1.0,1.0,1.0,1.0,0.0,6832.0,8495.0,139.0,7726.0,9191.0,165.0,-894.0,-696.0,-26.0,1.0,1.0,2.0,2.0,2.0,0.0,8229.0,9756.0,161.0,10509.0,11620.0,189.0,-2280.0,-1864.0,-28.0,1.0,1.0,4.0,6.0,5.0,0.0
LOLTMNT05_172150,complete,LIT,2026.0,0.0,2.0,16.01,Red,jng,Pyosik,DN SOOPers,1.0,Jarvan IV,Qiyana,Jayce,LeBlanc,Bard,Neeko,1536.0,0.0,3.0,4.0,3.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,0.2344,0.8203,0.0,0.0,8.0,8.0,7.0,40.0,8738.0,5329.0,208.1641,8075.0,163.0,15.0,148.0,6.3672,3552.0,3509.0,65.0,3883.0,4726.0,90.0,-331.0,-1217.0,-25.0,1.0,1.0,1.0,0.0,2.0,0.0,5811.0,6129.0,106.0,5911.0,7857.0,145.0,-100.0,-1728.0,-39.0,3.0,1.0,1.0,0.0,2.0,0.0,7388.0,8337.0,141.0,7919.0,10524.0,196.0,-531.0,-2187.0,-55.0,3.0,1.0,1.0,0.0,3.0,0.0,8666.0,10535.0,163.0,11757.0,14572.0,227.0,-3091.0,-4037.0,-64.0,3.0,3.0,4.0,3.0,7.0,1.0
LOLTMNT03_339605,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Xin Zhao,Jayce,Ambessa,Bard,Poppy,Rakan,1880.0,0.0,0.0,5.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.6383,0.0,0.0,10.0,14.0,9.0,52.0,9791.0,5680.0,181.2766,9325.0,211.0,20.0,191.0,6.734,3512.0,3984.0,80.0,3617.0,4432.0,89.0,-105.0,-448.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4907.0,5776.0,109.0,5572.0,7650.0,139.0,-665.0,-1874.0,-30.0,0.0,0.0,1.0,0.0,1.0,0.0,6662.0,9053.0,155.0,7643.0,11024.0,189.0,-981.0,-1971.0,-34.0,0.0,0.0,1.0,0.0,1.0,0.0,8158.0,11290.0,185.0,9472.0,13489.0,228.0,-1314.0,-2199.0,-43.0,0.0,0.0,2.0,0.0,1.0,0.0
LOLTMNT03_339627,complete,LCK,2026.0,0.0,2.0,16.01,Red,jng,Pyosik,DN SOOPers,0.0,Lee Sin,Jayce,Ambessa,Rumble,Bard,Nautilus,1943.0,1.0,2.0,1.0,14.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6794,0.9573,1.0,0.0,25.0,7.0,11.0,59.0,13472.0,9233.0,285.1158,11575.0,226.0,11.0,215.0,6.9789,3520.0,3959.0,76.0,3777.0,4065.0,74.0,-257.0,-106.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,5679.0,6895.0,111.0,5638.0,6947.0,124.0,41.0,-52.0,-13.0,1.0,4.0,1.0,1.0,1.0,1.0,7663.0,9717.0,148.0,7336.0,8772.0,154.0,327.0,945.0,-6.0,1.0,7.0,1.0,1.0,4.0,2.0,9895.0,12688.0,188.0,8778.0,10502.0,174.0,1117.0,2186.0,14.0,1.0,11.0,1.0,1.0,4.0,2.0
LOLTMNT06_166007,complete,AL,2026.0,0.0,3.0,16.01,Blue,jng,Pyosik,DN SOOPers,1.0,Jayce,Malphite,Bard,Ambessa,Miss Fortune,Ashe,2003.0,1.0,4.0,3.0,9.0,21.0,16.0,1.0,0.0,0.0,0.0,0.0,0.6291,1.1083,1.0,0.0,12.0,8.0,10.0,53.0,15453.0,11091.0,332.2317,13650.0,252.0,28.0,224.0,7.5487,3878.0,4285.0,81.0,3516.0,3392.0,60.0,362.0,893.0,21.0,1.0,0.0,0.0,1.0,3.0,0.0,6212.0,6991.0,130.0,5590.0,5807.0,104.0,622.0,1184.0,26.0,1.0,0.0,0.0,2.0,3.0,0.0,8467.0,10200.0,172.0,7565.0,8705.0,140.0,902.0,1495.0,32.0,1.0,1.0,1.0,3.0,4.0,0.0,11761.0,13335.0,203.0,8993.0,10739.0,167.0,2768.0,2596.0,36.0,3.0,5.0,1.0,3.0,4.0,1.0
LOLTMNT04_149305,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Jarvan IV,Jayce,Ambessa,Rumble,Poppy,Gnar,2243.0,0.0,0.0,6.0,14.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,0.4012,1.1235,0.0,1.0,14.0,29.0,14.0,102.0,12945.0,8094.0,216.5136,12100.0,259.0,34.0,225.0,6.9282,3662.0,4251.0,83.0,3603.0,4275.0,81.0,59.0,-24.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,5693.0,7151.0,126.0,5742.0,6705.0,120.0,-49.0,446.0,6.0,0.0,6.0,2.0,1.0,3.0,2.0,7209.0,8690.0,157.0,7990.0,9548.0,161.0,-781.0,-858.0,-4.0,0.0,6.0,3.0,2.0,5.0,2.0,9115.0,11421.0,193.0,10926.0,12209.0,189.0,-1811.0,-788.0,4.0,0.0,10.0,4.0,6.0,5.0,3.0
LOLTMNT04_150332,complete,LEC,2026.0,0.0,2.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Wukong,Jayce,Ambessa,Rumble,Nautilus,Gnar,2371.0,1.0,3.0,1.0,10.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.4302,0.658,1.0,1.0,18.0,21.0,18.0,102.0,15963.0,10851.0,274.593,15433.0,293.0,32.0,261.0,7.4146,3482.0,4402.0,82.0,3594.0,4284.0,83.0,-112.0,118.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5334.0,7081.0,130.0,5190.0,6350.0,119.0,144.0,731.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7914.0,10558.0,189.0,7164.0,9269.0,164.0,750.0,1289.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,9791.0,12674.0,214.0,9024.0,10627.0,186.0,767.0,2047.0,28.0,1.0,3.0,0.0,1.0,1.0,2.0
LOLTMNT01_327359,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,jng,Pyosik,DN SOOPers,0.0,Hecarim,Jayce,Ambessa,Rumble,Gnar,Qiyana,1748.0,0.0,4.0,5.0,2.0,8.0,18.0,1.0,0.0,0.0,0.0,0.0,0.2746,0.8924,0.0,1.0,13.0,13.0,12.0,54.0,11024.0,7182.0,246.5217,10200.0,218.0,20.0,198.0,7.4828,3555.0,4076.0,79.0,3636.0,4425.0,86.0,-81.0,-349.0,-7.0,0.0,1.0,1.0,0.0,1.0,0.0,6732.0,7048.0,124.0,6841.0,6970.0,111.0,-109.0,78.0,13.0,4.0,1.0,2.0,4.0,2.0,1.0,8371.0,9562.0,164.0,9044.0,9244.0,150.0,-673.0,318.0,14.0,4.0,1.0,3.0,5.0,2.0,1.0,9913.0,11915.0,196.0,11427.0,12248.0,187.0,-1514.0,-333.0,9.0,4.0,2.0,3.0,5.0,3.0,1.0
