gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164546,complete,LFL,2026.0,0.0,1.0,16.01,Red,mid,RKR,Berlin International Gaming,0.0,Ekko,Rumble,Jayce,Varus,Karma,Leona,1485.0,1.0,6.0,2.0,3.0,25.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0101,1.2525,0.0,0.0,13.0,1.0,5.0,24.0,10687.0,7382.0,298.2626,16905.0,197.0,197.0,0.0,7.9596,3560.0,5276.0,85.0,3455.0,5575.0,98.0,105.0,-299.0,-13.0,0.0,1.0,0.0,0.0,0.0,0.0,6169.0,8061.0,126.0,5789.0,8365.0,149.0,380.0,-304.0,-23.0,4.0,1.0,0.0,1.0,1.0,1.0,8747.0,11399.0,171.0,7598.0,10593.0,199.0,1149.0,806.0,-28.0,5.0,2.0,0.0,1.0,1.0,2.0,10687.0,13634.0,197.0,9034.0,12839.0,236.0,1653.0,795.0,-39.0,6.0,3.0,2.0,1.0,3.0,4.0
LOLTMNT05_172226,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,mid,RKR,Berlin International Gaming,1.0,Orianna,Varus,Malphite,Azir,Ambessa,Gwen,1907.0,0.0,7.0,4.0,3.0,12.0,26.0,1.0,0.0,0.0,0.0,1.0,0.3776,1.1956,0.0,0.0,23.0,3.0,9.0,50.0,15066.0,10900.0,342.947,13985.0,287.0,283.0,4.0,9.0299,3869.0,4776.0,85.0,3205.0,4760.0,82.0,664.0,16.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,5826.0,7190.0,131.0,5949.0,8127.0,139.0,-123.0,-937.0,-8.0,2.0,2.0,2.0,2.0,4.0,2.0,9624.0,11405.0,200.0,8032.0,10820.0,185.0,1592.0,585.0,15.0,4.0,2.0,2.0,3.0,6.0,2.0,12313.0,14685.0,262.0,9703.0,12761.0,218.0,2610.0,1924.0,44.0,5.0,2.0,2.0,4.0,8.0,3.0
LOLTMNT01_333368,complete,LCP,2026.0,0.0,1.0,16.02,Blue,mid,RKR,Berlin International Gaming,1.0,Azir,Jarvan IV,Wukong,Ambessa,Kai'Sa,Corki,1881.0,0.0,1.0,8.0,3.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3509,1.2121,0.0,0.0,14.0,6.0,4.0,29.0,9918.0,5805.0,185.1675,9300.0,216.0,216.0,0.0,6.89,3504.0,4703.0,82.0,3893.0,5113.0,87.0,-389.0,-410.0,-5.0,1.0,0.0,1.0,1.0,0.0,0.0,5199.0,7382.0,137.0,6146.0,8286.0,145.0,-947.0,-904.0,-8.0,1.0,1.0,2.0,2.0,1.0,0.0,7232.0,9760.0,173.0,8739.0,11322.0,200.0,-1507.0,-1562.0,-27.0,1.0,3.0,3.0,3.0,3.0,0.0,8220.0,11434.0,185.0,11811.0,14448.0,234.0,-3591.0,-3014.0,-49.0,1.0,3.0,5.0,5.0,9.0,0.0
LOLTMNT01_333561,complete,HW,2026.0,0.0,2.0,16.02,Red,mid,RKR,Berlin International Gaming,0.0,Anivia,Pantheon,Varus,Wukong,Karma,Alistar,1222.0,1.0,3.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8347,0.8347,0.0,0.0,10.0,1.0,3.0,21.0,10198.0,7430.0,364.8118,8375.0,210.0,210.0,0.0,10.311,3956.0,5302.0,92.0,3107.0,4336.0,77.0,849.0,966.0,15.0,1.0,2.0,0.0,0.0,0.0,1.0,6777.0,8172.0,146.0,4444.0,6809.0,117.0,2333.0,1363.0,29.0,2.0,2.0,0.0,0.0,0.0,1.0,9952.0,12504.0,210.0,6153.0,9041.0,162.0,3799.0,3463.0,48.0,3.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_151303,complete,LEC,2026.0,0.0,3.0,16.02,Red,mid,RKR,Berlin International Gaming,0.0,Sion,Varus,Caitlyn,Wukong,Alistar,Lulu,1435.0,1.0,3.0,0.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7526,0.7944,0.0,0.0,12.0,0.0,3.0,20.0,11430.0,8227.0,343.9861,9775.0,227.0,223.0,4.0,9.4913,4237.0,4948.0,87.0,3434.0,4599.0,83.0,803.0,349.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,6622.0,7817.0,136.0,5049.0,7076.0,118.0,1573.0,741.0,18.0,2.0,1.0,0.0,0.0,0.0,1.0,8867.0,11274.0,195.0,7135.0,10406.0,181.0,1732.0,868.0,14.0,2.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_346807,complete,LJL,2026.0,0.0,1.0,16.02,Red,mid,RKR,Berlin International Gaming,0.0,Ekko,Varus,Jayce,Yunara,Ezreal,Alistar,1833.0,1.0,10.0,5.0,8.0,27.0,11.0,2.0,0.0,0.0,0.0,1.0,0.8838,1.2439,0.0,0.0,13.0,4.0,4.0,28.0,14578.0,10563.0,345.761,12200.0,251.0,250.0,1.0,8.216,4005.0,4736.0,75.0,4281.0,5279.0,80.0,-276.0,-543.0,-5.0,2.0,2.0,2.0,3.0,0.0,1.0,7072.0,8199.0,129.0,6015.0,7446.0,122.0,1057.0,753.0,7.0,4.0,4.0,2.0,4.0,0.0,3.0,9183.0,10740.0,175.0,8303.0,10314.0,169.0,880.0,426.0,6.0,5.0,4.0,3.0,5.0,0.0,4.0,11478.0,13944.0,209.0,9860.0,12820.0,215.0,1618.0,1124.0,-6.0,7.0,5.0,4.0,5.0,0.0,5.0
LOLTMNT02_346809,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,RKR,Berlin International Gaming,1.0,Ryze,Vi,Galio,Yunara,Bard,Ambessa,1739.0,1.0,6.0,2.0,8.0,27.0,15.0,1.0,0.0,0.0,0.0,0.0,0.9316,1.4491,0.0,0.0,14.0,2.0,3.0,29.0,14639.0,10816.0,373.18,12925.0,306.0,290.0,16.0,10.5578,3445.0,5213.0,92.0,3425.0,5211.0,77.0,20.0,2.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,5532.0,7484.0,128.0,5955.0,8279.0,121.0,-423.0,-795.0,7.0,2.0,1.0,2.0,2.0,3.0,1.0,8695.0,11715.0,188.0,8900.0,11540.0,174.0,-205.0,175.0,14.0,3.0,4.0,2.0,4.0,4.0,1.0,12466.0,17965.0,262.0,11109.0,13941.0,207.0,1357.0,4024.0,55.0,6.0,5.0,2.0,5.0,5.0,4.0
LOLTMNT01_338589,complete,LCK,2026.0,0.0,3.0,16.02,Blue,mid,RKR,Berlin International Gaming,1.0,Varus,Vi,Yunara,Galio,Ornn,Lulu,1890.0,1.0,8.0,1.0,7.0,25.0,16.0,0.0,0.0,0.0,0.0,1.0,0.7937,1.3016,0.0,0.0,13.0,0.0,4.0,17.0,14475.0,10344.0,328.381,12100.0,259.0,259.0,0.0,8.2222,3832.0,4735.0,86.0,3048.0,4780.0,82.0,784.0,-45.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5932.0,7039.0,125.0,5301.0,7155.0,128.0,631.0,-116.0,-3.0,3.0,1.0,0.0,1.0,1.0,0.0,8368.0,9856.0,170.0,7431.0,9521.0,165.0,937.0,335.0,5.0,4.0,2.0,1.0,2.0,3.0,2.0,10619.0,13415.0,208.0,9265.0,11814.0,207.0,1354.0,1601.0,1.0,5.0,4.0,1.0,2.0,3.0,3.0
LOLTMNT02_349098,complete,LCS,2026.0,0.0,1.0,16.02,Red,mid,RKR,Berlin International Gaming,0.0,Cassiopeia,Varus,Jayce,Orianna,Neeko,Sivir,1782.0,1.0,4.0,1.0,15.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8081,1.0774,0.0,0.0,13.0,6.0,3.0,27.0,13490.0,9579.0,322.5253,11475.0,274.0,272.0,2.0,9.2256,3570.0,4876.0,92.0,3417.0,4924.0,95.0,153.0,-48.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,5276.0,7463.0,142.0,5511.0,7995.0,148.0,-235.0,-532.0,-6.0,0.0,1.0,1.0,0.0,2.0,0.0,7877.0,10860.0,199.0,7627.0,10421.0,189.0,250.0,439.0,10.0,1.0,4.0,1.0,1.0,3.0,1.0,10785.0,15729.0,240.0,9419.0,12830.0,236.0,1366.0,2899.0,4.0,3.0,8.0,1.0,1.0,3.0,2.0
LOLTMNT02_349142,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,RKR,Berlin International Gaming,1.0,Ekko,Jarvan IV,Orianna,Yunara,Braum,Sivir,1721.0,0.0,4.0,2.0,2.0,9.0,22.0,0.0,0.0,0.0,0.0,1.0,0.3138,1.0808,0.0,0.0,11.0,7.0,2.0,32.0,11884.0,8098.0,282.3242,11950.0,269.0,265.0,4.0,9.3783,4200.0,5171.0,92.0,4107.0,4994.0,81.0,93.0,177.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,6193.0,8217.0,154.0,5926.0,8055.0,141.0,267.0,162.0,13.0,2.0,1.0,1.0,3.0,0.0,1.0,7965.0,11074.0,209.0,8251.0,11287.0,205.0,-286.0,-213.0,4.0,2.0,1.0,2.0,4.0,0.0,1.0,10723.0,13554.0,252.0,10359.0,13444.0,229.0,364.0,110.0,23.0,4.0,2.0,2.0,6.0,4.0,2.0
