gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Red,top,RVX Poro,Revolution Victory X,0.0,Kennen,Jayce,Elise,Taliyah,LeBlanc,Galio,1531.0,0.0,2.0,5.0,5.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2743,1.4108,0.0,0.0,10.0,1.0,3.0,24.0,8994.0,5595.0,219.2685,8125.0,157.0,157.0,0.0,6.1528,3063.0,4235.0,63.0,2940.0,4517.0,69.0,123.0,-282.0,-6.0,0.0,1.0,1.0,0.0,0.0,1.0,4549.0,6961.0,96.0,5114.0,7135.0,102.0,-565.0,-174.0,-6.0,0.0,2.0,3.0,3.0,2.0,2.0,6781.0,9545.0,131.0,7640.0,10660.0,151.0,-859.0,-1115.0,-20.0,1.0,3.0,3.0,3.0,2.0,2.0,8393.0,11974.0,156.0,9374.0,14818.0,191.0,-981.0,-2844.0,-35.0,1.0,5.0,4.0,3.0,3.0,2.0
LOLTMNT04_152504,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,RVX Poro,Revolution Victory X,0.0,Rumble,Ambessa,Naafiri,Varus,Ryze,Galio,1561.0,0.0,4.0,9.0,3.0,17.0,31.0,0.0,0.0,0.0,0.0,1.0,0.6534,1.845,0.0,0.0,16.0,2.0,5.0,50.0,9643.0,6183.0,237.6553,8775.0,160.0,159.0,1.0,6.1499,4226.0,5324.0,80.0,3013.0,4312.0,66.0,1213.0,1012.0,14.0,2.0,2.0,0.0,0.0,0.0,3.0,6059.0,8142.0,119.0,5467.0,8007.0,113.0,592.0,135.0,6.0,2.0,2.0,2.0,0.0,1.0,3.0,7599.0,10197.0,140.0,8068.0,11114.0,154.0,-469.0,-917.0,-14.0,3.0,2.0,4.0,1.0,5.0,4.0,9406.0,11418.0,156.0,10251.0,14553.0,175.0,-845.0,-3135.0,-19.0,4.0,3.0,7.0,2.0,12.0,4.0
LOLTMNT01_337197,complete,HW,2026.0,0.0,1.0,16.02,Red,top,RVX Poro,Revolution Victory X,0.0,Kennen,Varus,Yorick,Ambessa,LeBlanc,Akali,1577.0,0.0,2.0,7.0,1.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2663,1.0653,0.0,0.0,14.0,3.0,2.0,39.0,8747.0,5254.0,199.8985,7350.0,184.0,184.0,0.0,7.0006,3285.0,4561.0,61.0,3102.0,4002.0,66.0,183.0,559.0,-5.0,1.0,1.0,1.0,0.0,0.0,3.0,4894.0,7684.0,92.0,5721.0,7832.0,113.0,-827.0,-148.0,-21.0,2.0,1.0,4.0,1.0,1.0,4.0,6533.0,9997.0,135.0,8305.0,10821.0,153.0,-1772.0,-824.0,-18.0,2.0,1.0,5.0,3.0,2.0,4.0,7837.0,11772.0,168.0,11193.0,15805.0,203.0,-3356.0,-4033.0,-35.0,2.0,1.0,7.0,5.0,4.0,4.0
LOLTMNT01_337230,complete,HW,2026.0,0.0,1.0,16.02,Red,top,RVX Poro,Revolution Victory X,0.0,K'Sante,Zyra,Jarvan IV,Malphite,Nocturne,Neeko,1594.0,0.0,0.0,8.0,2.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4141,1.5433,0.0,0.0,13.0,1.0,2.0,30.0,8073.0,4546.0,171.1167,8250.0,182.0,182.0,0.0,6.8507,3152.0,4643.0,78.0,3110.0,4976.0,77.0,42.0,-333.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4242.0,7066.0,100.0,6182.0,9472.0,122.0,-1940.0,-2406.0,-22.0,0.0,0.0,3.0,2.0,1.0,0.0,5939.0,10347.0,150.0,8607.0,12358.0,166.0,-2668.0,-2011.0,-16.0,0.0,0.0,4.0,3.0,2.0,0.0,7254.0,12301.0,168.0,10689.0,15733.0,195.0,-3435.0,-3432.0,-27.0,0.0,2.0,7.0,4.0,6.0,1.0
LOLTMNT01_337244,complete,HW,2026.0,0.0,1.0,16.02,Red,top,RVX Poro,Revolution Victory X,0.0,Zaahen,Varus,Ambessa,Akali,Nocturne,Neeko,1285.0,0.0,0.0,8.0,1.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1868,1.3074,0.0,0.0,9.0,0.0,1.0,19.0,5841.0,2944.0,137.463,5718.0,136.0,136.0,0.0,6.3502,2803.0,4600.0,64.0,4141.0,5645.0,87.0,-1338.0,-1045.0,-23.0,0.0,0.0,3.0,2.0,1.0,0.0,4448.0,7914.0,105.0,6835.0,9362.0,135.0,-2387.0,-1448.0,-30.0,0.0,1.0,4.0,2.0,2.0,1.0,5643.0,9566.0,132.0,10174.0,13033.0,187.0,-4531.0,-3467.0,-55.0,0.0,1.0,7.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151699,complete,TCL,2026.0,0.0,1.0,16.02,Blue,top,RVX Poro,Revolution Victory X,1.0,Aatrox,Aurora,Jayce,Akali,Ashe,Jhin,1332.0,0.0,2.0,5.0,0.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.2703,2.2072,0.0,0.0,10.0,0.0,2.0,22.0,7373.0,4380.0,197.2973,7300.0,153.0,151.0,2.0,6.8919,3275.0,5087.0,81.0,3628.0,5502.0,89.0,-353.0,-415.0,-8.0,0.0,0.0,1.0,0.0,2.0,0.0,5241.0,8710.0,122.0,5213.0,8783.0,124.0,28.0,-73.0,-2.0,1.0,0.0,2.0,2.0,3.0,1.0,6389.0,12011.0,147.0,7727.0,12469.0,176.0,-1338.0,-458.0,-29.0,1.0,0.0,3.0,3.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_350896,complete,ROL,2026.0,1.0,1.0,16.03,Blue,top,RVX Poro,Revolution Victory X,1.0,Ryze,Ambessa,Jayce,Skarner,Nautilus,Nocturne,1715.0,0.0,4.0,7.0,4.0,19.0,36.0,1.0,0.0,0.0,0.0,0.0,0.6647,1.9242,0.0,0.0,15.0,4.0,5.0,39.0,11468.0,7694.0,269.1778,10625.0,206.0,206.0,0.0,7.207,3450.0,4839.0,87.0,3448.0,4953.0,69.0,2.0,-114.0,18.0,0.0,0.0,1.0,1.0,2.0,1.0,5632.0,8329.0,137.0,5528.0,8709.0,117.0,104.0,-380.0,20.0,1.0,1.0,2.0,2.0,3.0,2.0,7456.0,9802.0,148.0,7969.0,11611.0,141.0,-513.0,-1809.0,7.0,2.0,3.0,4.0,5.0,6.0,3.0,9780.0,14462.0,195.0,9921.0,14700.0,177.0,-141.0,-238.0,18.0,2.0,4.0,5.0,6.0,6.0,3.0
LOLTMNT05_176344,complete,AL,2026.0,0.0,1.0,16.03,Blue,top,RVX Poro,Revolution Victory X,1.0,K'Sante,Ambessa,Nidalee,Jayce,Rumble,Ahri,1840.0,0.0,5.0,9.0,3.0,17.0,26.0,1.0,0.0,0.0,0.0,0.0,0.5543,1.4022,0.0,0.0,15.0,5.0,6.0,57.0,10438.0,6409.0,208.9891,10210.0,183.0,183.0,0.0,5.9674,3823.0,5478.0,73.0,3556.0,4950.0,87.0,267.0,528.0,-14.0,2.0,0.0,1.0,0.0,1.0,1.0,6370.0,9251.0,117.0,5431.0,8990.0,127.0,939.0,261.0,-10.0,3.0,0.0,2.0,1.0,1.0,2.0,7641.0,10783.0,140.0,9437.0,12879.0,166.0,-1796.0,-2096.0,-26.0,4.0,0.0,4.0,5.0,2.0,2.0,9090.0,12735.0,160.0,12645.0,16826.0,206.0,-3555.0,-4091.0,-46.0,5.0,3.0,6.0,9.0,2.0,2.0
LOLTMNT05_176358,complete,PRM,2026.0,0.0,1.0,16.03,Blue,top,RVX Poro,Revolution Victory X,1.0,Aatrox,Ambessa,Varus,Neeko,Lulu,Braum,1478.0,0.0,0.0,6.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.203,1.4614,0.0,0.0,12.0,3.0,5.0,43.0,7853.0,4562.0,185.1962,7575.0,185.0,179.0,6.0,7.5101,3312.0,5072.0,82.0,3335.0,5215.0,78.0,-23.0,-143.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,5072.0,8690.0,133.0,5227.0,8796.0,118.0,-155.0,-106.0,15.0,0.0,1.0,2.0,0.0,6.0,1.0,7040.0,11248.0,174.0,6956.0,12248.0,169.0,84.0,-1000.0,5.0,0.0,1.0,3.0,0.0,6.0,1.0,7853.0,12094.0,185.0,9421.0,16231.0,202.0,-1568.0,-4137.0,-17.0,0.0,1.0,6.0,2.0,11.0,1.0
LOLTMNT05_175367,complete,EBL,2026.0,0.0,1.0,16.03,Blue,top,RVX Poro,Revolution Victory X,1.0,Gnar,Qiyana,Graves,Neeko,Vi,Viktor,1823.0,0.0,3.0,4.0,0.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.395,1.3165,0.0,0.0,11.0,4.0,2.0,39.0,12609.0,8614.0,283.5107,12643.0,254.0,254.0,0.0,8.3598,3264.0,5162.0,82.0,3171.0,4964.0,66.0,93.0,198.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,5179.0,9121.0,143.0,4784.0,8771.0,119.0,395.0,350.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,7169.0,12739.0,193.0,6492.0,12247.0,173.0,677.0,492.0,20.0,1.0,0.0,1.0,1.0,0.0,0.0,10051.0,15860.0,226.0,8814.0,16039.0,217.0,1237.0,-179.0,9.0,2.0,0.0,2.0,1.0,2.0,0.0
LOLTMNT05_175474,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,RVX Poro,Revolution Victory X,1.0,Rumble,Zyra,Ambessa,Neeko,Jarvan IV,Orianna,1681.0,0.0,3.0,5.0,3.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.464,1.392,0.0,0.0,13.0,2.0,3.0,25.0,8612.0,4907.0,175.1457,8275.0,161.0,151.0,10.0,5.7466,3703.0,4748.0,75.0,4090.0,5155.0,63.0,-387.0,-407.0,12.0,1.0,1.0,2.0,4.0,0.0,1.0,5327.0,7868.0,109.0,5824.0,8597.0,113.0,-497.0,-729.0,-4.0,2.0,2.0,2.0,4.0,0.0,1.0,6398.0,9360.0,126.0,7777.0,10391.0,130.0,-1379.0,-1031.0,-4.0,2.0,3.0,3.0,5.0,1.0,2.0,7931.0,11265.0,150.0,9584.0,12950.0,134.0,-1653.0,-1685.0,16.0,3.0,3.0,4.0,5.0,6.0,2.0
LOLTMNT05_176471,complete,PRM,2026.0,0.0,1.0,16.03,Blue,top,RVX Poro,Revolution Victory X,1.0,Sion,Neeko,Ivern,Yorick,Seraphine,K'Sante,1781.0,1.0,0.0,1.0,11.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6738,0.7748,0.0,0.0,16.0,4.0,4.0,38.0,10370.0,6461.0,217.6642,8730.0,214.0,214.0,0.0,7.2094,2928.0,4600.0,62.0,3224.0,5202.0,79.0,-296.0,-602.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4574.0,8253.0,107.0,4994.0,9149.0,134.0,-420.0,-896.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,6572.0,11195.0,150.0,6921.0,12132.0,181.0,-349.0,-937.0,-31.0,0.0,3.0,1.0,0.0,1.0,1.0,8012.0,13720.0,177.0,8707.0,14452.0,209.0,-695.0,-732.0,-32.0,0.0,6.0,1.0,0.0,1.0,3.0
LOLTMNT05_176488,complete,AL,2026.0,0.0,1.0,16.03,Red,top,RVX Poro,Revolution Victory X,0.0,Renekton,Irelia,Jarvan IV,Nocturne,Orianna,Anivia,1392.0,0.0,1.0,9.0,1.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.2586,1.5517,0.0,0.0,7.0,0.0,0.0,20.0,6739.0,3624.0,156.2069,6300.0,143.0,143.0,0.0,6.1638,3232.0,4619.0,60.0,3752.0,5190.0,72.0,-520.0,-571.0,-12.0,1.0,1.0,3.0,2.0,1.0,1.0,4286.0,6921.0,83.0,6383.0,9903.0,129.0,-2097.0,-2982.0,-46.0,1.0,1.0,5.0,4.0,1.0,1.0,5720.0,9476.0,125.0,10844.0,14946.0,198.0,-5124.0,-5470.0,-73.0,1.0,1.0,7.0,9.0,1.0,1.0,,,,,,,,,,,,,,,
