gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Red,sup,RVX RefK,Revolution Victory X,0.0,Nautilus,Jayce,Elise,Taliyah,LeBlanc,Galio,1531.0,0.0,0.0,8.0,3.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2743,1.4108,0.0,0.0,37.0,8.0,13.0,73.0,5600.0,2201.0,86.2573,5600.0,21.0,21.0,0.0,0.823,2143.0,1635.0,7.0,3976.0,2513.0,10.0,-1833.0,-878.0,-3.0,0.0,0.0,2.0,4.0,4.0,0.0,3181.0,2893.0,14.0,5474.0,3968.0,18.0,-2293.0,-1075.0,-4.0,0.0,0.0,4.0,4.0,9.0,0.0,4215.0,4946.0,16.0,6754.0,5229.0,19.0,-2539.0,-283.0,-3.0,0.0,1.0,5.0,4.0,11.0,1.0,5508.0,6889.0,21.0,8371.0,7441.0,23.0,-2863.0,-552.0,-2.0,0.0,3.0,7.0,5.0,14.0,2.0
LOLTMNT04_152504,complete,LEC,2026.0,0.0,1.0,16.02,Red,sup,RVX RefK,Revolution Victory X,0.0,Rakan,Ambessa,Naafiri,Varus,Ryze,Galio,1561.0,0.0,0.0,9.0,13.0,17.0,31.0,0.0,0.0,0.0,0.0,0.0,0.6534,1.845,0.0,0.0,32.0,7.0,11.0,70.0,6529.0,3069.0,117.9628,6045.0,28.0,28.0,0.0,1.0762,2650.0,2576.0,13.0,2430.0,2561.0,11.0,220.0,15.0,2.0,0.0,7.0,2.0,0.0,3.0,2.0,3708.0,3620.0,21.0,5129.0,5344.0,16.0,-1421.0,-1724.0,5.0,0.0,8.0,3.0,2.0,5.0,2.0,5121.0,6556.0,22.0,6555.0,7432.0,16.0,-1434.0,-876.0,6.0,0.0,11.0,4.0,2.0,10.0,2.0,6350.0,7535.0,28.0,8108.0,9416.0,16.0,-1758.0,-1881.0,12.0,0.0,13.0,7.0,2.0,17.0,3.0
LOLTMNT01_337197,complete,HW,2026.0,0.0,1.0,16.02,Red,sup,RVX RefK,Revolution Victory X,0.0,Braum,Varus,Yorick,Ambessa,LeBlanc,Akali,1577.0,0.0,0.0,4.0,2.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2663,1.0653,0.0,0.0,32.0,7.0,12.0,60.0,5846.0,2353.0,89.5244,5615.0,24.0,24.0,0.0,0.9131,2192.0,2659.0,12.0,2466.0,2959.0,17.0,-274.0,-300.0,-5.0,0.0,1.0,0.0,0.0,0.0,1.0,3258.0,4101.0,20.0,4184.0,4850.0,27.0,-926.0,-749.0,-7.0,0.0,1.0,1.0,0.0,2.0,1.0,4523.0,5392.0,23.0,5990.0,6288.0,30.0,-1467.0,-896.0,-7.0,0.0,2.0,2.0,1.0,4.0,1.0,5470.0,6661.0,24.0,7681.0,8988.0,35.0,-2211.0,-2327.0,-11.0,0.0,2.0,3.0,2.0,9.0,1.0
LOLTMNT01_337230,complete,HW,2026.0,0.0,1.0,16.02,Red,sup,RVX RefK,Revolution Victory X,0.0,Rakan,Zyra,Jarvan IV,Malphite,Nocturne,Neeko,1594.0,0.0,1.0,6.0,7.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4141,1.5433,0.0,0.0,43.0,14.0,12.0,115.0,6821.0,3294.0,123.99,6710.0,30.0,30.0,0.0,1.1292,2337.0,2445.0,11.0,2571.0,3017.0,17.0,-234.0,-572.0,-6.0,0.0,1.0,1.0,0.0,3.0,1.0,3658.0,3928.0,20.0,3821.0,4400.0,22.0,-163.0,-472.0,-2.0,0.0,4.0,1.0,0.0,5.0,2.0,4992.0,4517.0,24.0,5084.0,5795.0,22.0,-92.0,-1278.0,2.0,1.0,4.0,2.0,0.0,9.0,3.0,6291.0,6815.0,27.0,6822.0,8734.0,22.0,-531.0,-1919.0,5.0,1.0,7.0,5.0,1.0,17.0,4.0
LOLTMNT01_337244,complete,HW,2026.0,0.0,1.0,16.02,Red,sup,RVX RefK,Revolution Victory X,0.0,Rakan,Varus,Ambessa,Akali,Nocturne,Neeko,1285.0,0.0,0.0,7.0,1.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1868,1.3074,0.0,0.0,31.0,7.0,11.0,63.0,4758.0,1861.0,86.8949,4435.0,28.0,28.0,0.0,1.3074,2281.0,2614.0,16.0,2500.0,2669.0,10.0,-219.0,-55.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,3556.0,4048.0,27.0,4281.0,3988.0,20.0,-725.0,60.0,7.0,0.0,1.0,3.0,0.0,4.0,0.0,4508.0,5520.0,28.0,5699.0,6259.0,21.0,-1191.0,-739.0,7.0,0.0,1.0,5.0,0.0,10.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151699,complete,TCL,2026.0,0.0,1.0,16.02,Blue,sup,RVX RefK,Revolution Victory X,1.0,Nautilus,Aurora,Jayce,Akali,Ashe,Jhin,1332.0,0.0,0.0,11.0,2.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.2703,2.2072,0.0,0.0,23.0,3.0,7.0,47.0,4858.0,1865.0,84.009,4675.0,30.0,30.0,0.0,1.3514,2364.0,2419.0,15.0,2741.0,2908.0,11.0,-377.0,-489.0,4.0,0.0,2.0,3.0,0.0,6.0,1.0,3376.0,3440.0,23.0,4305.0,4682.0,13.0,-929.0,-1242.0,10.0,0.0,2.0,5.0,0.0,13.0,1.0,4373.0,4814.0,25.0,6272.0,7476.0,17.0,-1899.0,-2662.0,8.0,0.0,2.0,9.0,0.0,22.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_350896,complete,ROL,2026.0,1.0,1.0,16.03,Blue,sup,RVX RefK,Revolution Victory X,1.0,Seraphine,Ambessa,Jayce,Skarner,Nautilus,Nocturne,1715.0,0.0,1.0,8.0,14.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6647,1.9242,0.0,0.0,41.0,8.0,12.0,91.0,8663.0,4889.0,171.0437,8075.0,22.0,22.0,0.0,0.7697,2509.0,2917.0,12.0,3034.0,3025.0,16.0,-525.0,-108.0,-4.0,0.0,3.0,1.0,1.0,3.0,0.0,3633.0,3713.0,16.0,3989.0,4234.0,18.0,-356.0,-521.0,-2.0,0.0,5.0,3.0,1.0,4.0,0.0,5638.0,5437.0,19.0,5346.0,5775.0,20.0,292.0,-338.0,-1.0,1.0,6.0,4.0,1.0,8.0,0.0,7175.0,7021.0,19.0,6612.0,7210.0,21.0,563.0,-189.0,-2.0,1.0,8.0,5.0,1.0,11.0,1.0
LOLTMNT05_176344,complete,AL,2026.0,0.0,1.0,16.03,Blue,sup,RVX RefK,Revolution Victory X,1.0,Karma,Ambessa,Nidalee,Jayce,Rumble,Ahri,1840.0,0.0,0.0,4.0,14.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5543,1.4022,0.0,0.0,42.0,15.0,16.0,109.0,7722.0,3693.0,120.4239,7665.0,33.0,32.0,1.0,1.0761,2689.0,2427.0,16.0,2451.0,2699.0,12.0,238.0,-272.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,3994.0,4059.0,25.0,3498.0,3215.0,17.0,496.0,844.0,8.0,0.0,5.0,0.0,0.0,1.0,2.0,5430.0,5534.0,30.0,4926.0,5191.0,27.0,504.0,343.0,3.0,0.0,10.0,1.0,0.0,4.0,3.0,6671.0,7765.0,31.0,6748.0,7847.0,31.0,-77.0,-82.0,0.0,0.0,14.0,2.0,1.0,8.0,4.0
LOLTMNT05_176358,complete,PRM,2026.0,0.0,1.0,16.03,Blue,sup,RVX RefK,Revolution Victory X,1.0,Rell,Ambessa,Varus,Neeko,Lulu,Braum,1478.0,0.0,1.0,7.0,3.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.203,1.4614,0.0,0.0,30.0,11.0,14.0,78.0,6350.0,3059.0,124.1813,6170.0,28.0,28.0,0.0,1.1367,2661.0,2803.0,16.0,2544.0,2753.0,11.0,117.0,50.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,4022.0,3888.0,22.0,4056.0,4104.0,18.0,-34.0,-216.0,4.0,1.0,3.0,3.0,0.0,8.0,1.0,5449.0,5254.0,27.0,5233.0,5794.0,21.0,216.0,-540.0,6.0,1.0,3.0,3.0,0.0,8.0,1.0,6350.0,6027.0,28.0,7066.0,9402.0,21.0,-716.0,-3375.0,7.0,1.0,3.0,7.0,0.0,22.0,1.0
LOLTMNT05_175367,complete,EBL,2026.0,0.0,1.0,16.03,Blue,sup,RVX RefK,Revolution Victory X,1.0,Karma,Qiyana,Graves,Neeko,Vi,Viktor,1823.0,0.0,0.0,8.0,8.0,12.0,28.0,0.0,0.0,0.0,0.0,1.0,0.395,1.3165,0.0,0.0,45.0,10.0,13.0,105.0,7237.0,3242.0,106.7032,7030.0,31.0,31.0,0.0,1.0203,2655.0,2465.0,15.0,2443.0,2400.0,17.0,212.0,65.0,-2.0,0.0,4.0,2.0,0.0,1.0,1.0,3682.0,3268.0,20.0,4123.0,3724.0,22.0,-441.0,-456.0,-2.0,0.0,4.0,4.0,2.0,2.0,1.0,4843.0,5154.0,27.0,5165.0,4932.0,27.0,-322.0,222.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,5986.0,6814.0,31.0,6931.0,9443.0,32.0,-945.0,-2629.0,-1.0,0.0,6.0,7.0,2.0,8.0,2.0
