gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Red,bot,RVX jisyoku,Revolution Victory X,0.0,Varus,Jayce,Elise,Taliyah,LeBlanc,Galio,1531.0,0.0,2.0,5.0,3.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2743,1.4108,0.0,0.0,10.0,4.0,4.0,24.0,11798.0,8399.0,329.1574,11410.0,249.0,249.0,0.0,9.7583,3200.0,3522.0,75.0,3853.0,3816.0,88.0,-653.0,-294.0,-13.0,0.0,0.0,2.0,1.0,1.0,0.0,5428.0,6041.0,129.0,8187.0,6650.0,138.0,-2759.0,-609.0,-9.0,0.0,0.0,4.0,3.0,4.0,0.0,8769.0,8979.0,195.0,10547.0,9518.0,204.0,-1778.0,-539.0,-9.0,1.0,1.0,4.0,3.0,4.0,0.0,11585.0,12024.0,249.0,14055.0,12049.0,240.0,-2470.0,-25.0,9.0,2.0,2.0,4.0,6.0,5.0,0.0
LOLTMNT04_152504,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,RVX jisyoku,Revolution Victory X,0.0,Corki,Ambessa,Naafiri,Varus,Ryze,Galio,1561.0,0.0,2.0,4.0,6.0,17.0,31.0,1.0,0.0,0.0,0.0,0.0,0.6534,1.845,0.0,0.0,15.0,3.0,6.0,36.0,11048.0,7588.0,291.6592,10693.0,247.0,247.0,0.0,9.4939,4070.0,3743.0,86.0,3635.0,3586.0,82.0,435.0,157.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,6459.0,6105.0,140.0,7017.0,6184.0,131.0,-558.0,-79.0,9.0,2.0,4.0,2.0,3.0,4.0,3.0,8523.0,8450.0,187.0,10153.0,8921.0,174.0,-1630.0,-471.0,13.0,2.0,5.0,3.0,3.0,9.0,4.0,10923.0,10907.0,247.0,12547.0,11095.0,195.0,-1624.0,-188.0,52.0,2.0,6.0,3.0,4.0,13.0,5.0
LOLTMNT01_337197,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,RVX jisyoku,Revolution Victory X,0.0,Yunara,Varus,Yorick,Ambessa,LeBlanc,Akali,1577.0,0.0,2.0,1.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2663,1.0653,0.0,0.0,13.0,7.0,4.0,35.0,11891.0,8398.0,319.5181,11500.0,256.0,248.0,8.0,9.74,3671.0,3385.0,80.0,3738.0,3601.0,89.0,-67.0,-216.0,-9.0,1.0,0.0,0.0,1.0,0.0,0.0,5964.0,5438.0,129.0,7004.0,5961.0,147.0,-1040.0,-523.0,-18.0,1.0,0.0,0.0,3.0,0.0,0.0,9080.0,7821.0,185.0,9315.0,7852.0,194.0,-235.0,-31.0,-9.0,2.0,0.0,0.0,3.0,2.0,0.0,11001.0,9762.0,243.0,12342.0,11274.0,237.0,-1341.0,-1512.0,6.0,2.0,0.0,1.0,5.0,5.0,0.0
LOLTMNT01_337230,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,RVX jisyoku,Revolution Victory X,0.0,Sivir,Zyra,Jarvan IV,Malphite,Nocturne,Neeko,1594.0,0.0,6.0,4.0,3.0,11.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4141,1.5433,0.0,1.0,11.0,4.0,3.0,26.0,14735.0,11208.0,421.8821,14375.0,253.0,247.0,6.0,9.5232,4026.0,3477.0,89.0,4251.0,3668.0,87.0,-225.0,-191.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,7077.0,6084.0,136.0,6182.0,5898.0,134.0,895.0,186.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,9205.0,9489.0,201.0,9064.0,8361.0,184.0,141.0,1128.0,17.0,3.0,2.0,1.0,2.0,2.0,0.0,13644.0,11735.0,234.0,12922.0,11134.0,215.0,722.0,601.0,19.0,6.0,3.0,3.0,7.0,6.0,1.0
LOLTMNT01_337244,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,RVX jisyoku,Revolution Victory X,0.0,Aphelios,Varus,Ambessa,Akali,Nocturne,Neeko,1285.0,0.0,0.0,3.0,0.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1868,1.3074,0.0,0.0,10.0,7.0,2.0,27.0,7841.0,4944.0,230.8482,7025.0,185.0,185.0,0.0,8.6381,3138.0,3513.0,79.0,3770.0,3919.0,90.0,-632.0,-406.0,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,4890.0,5770.0,135.0,7349.0,6305.0,148.0,-2459.0,-535.0,-13.0,0.0,0.0,1.0,2.0,1.0,0.0,7653.0,8019.0,184.0,11413.0,9613.0,214.0,-3760.0,-1594.0,-30.0,0.0,0.0,2.0,5.0,1.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_151699,complete,TCL,2026.0,0.0,1.0,16.02,Blue,bot,RVX jisyoku,Revolution Victory X,1.0,Ezreal,Aurora,Jayce,Akali,Ashe,Jhin,1332.0,0.0,4.0,9.0,1.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.2703,2.2072,0.0,0.0,11.0,4.0,3.0,27.0,9615.0,6622.0,298.2883,9433.0,166.0,166.0,0.0,7.4775,3865.0,3638.0,79.0,4501.0,3122.0,74.0,-636.0,516.0,5.0,2.0,0.0,2.0,4.0,2.0,0.0,5885.0,5415.0,125.0,8427.0,6403.0,139.0,-2542.0,-988.0,-14.0,2.0,0.0,4.0,8.0,3.0,0.0,8647.0,7707.0,160.0,14363.0,10279.0,201.0,-5716.0,-2572.0,-41.0,3.0,0.0,7.0,13.0,8.0,0.0,,,,,,,,,,,,,,,
LOLTMNT02_350896,complete,ROL,2026.0,1.0,1.0,16.03,Blue,bot,RVX jisyoku,Revolution Victory X,1.0,Varus,Ambessa,Jayce,Skarner,Nautilus,Nocturne,1715.0,0.0,10.0,7.0,6.0,19.0,36.0,1.0,0.0,0.0,0.0,0.0,0.6647,1.9242,0.0,0.0,13.0,4.0,6.0,32.0,16645.0,12871.0,450.2974,16285.0,212.0,212.0,0.0,7.4169,3756.0,3319.0,80.0,3835.0,3322.0,77.0,-79.0,-3.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,5678.0,5309.0,122.0,6970.0,5923.0,130.0,-1292.0,-614.0,-8.0,2.0,1.0,1.0,2.0,2.0,2.0,9065.0,8345.0,159.0,10262.0,8713.0,169.0,-1197.0,-368.0,-10.0,4.0,3.0,3.0,3.0,7.0,3.0,12954.0,11053.0,196.0,12646.0,11288.0,210.0,308.0,-235.0,-14.0,6.0,4.0,4.0,4.0,8.0,3.0
LOLTMNT05_176344,complete,AL,2026.0,0.0,1.0,16.03,Blue,bot,RVX jisyoku,Revolution Victory X,1.0,Varus,Ambessa,Nidalee,Jayce,Rumble,Ahri,1840.0,0.0,7.0,3.0,4.0,17.0,26.0,3.0,0.0,0.0,0.0,0.0,0.5543,1.4022,0.0,0.0,15.0,3.0,5.0,32.0,15165.0,11136.0,363.1304,14135.0,310.0,310.0,0.0,10.1087,3981.0,3902.0,90.0,3525.0,3688.0,89.0,456.0,214.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,6687.0,6356.0,144.0,5720.0,5998.0,137.0,967.0,358.0,7.0,3.0,0.0,1.0,0.0,1.0,1.0,9972.0,9556.0,197.0,8097.0,8527.0,183.0,1875.0,1029.0,14.0,6.0,1.0,2.0,0.0,3.0,3.0,12854.0,12406.0,252.0,10675.0,11933.0,222.0,2179.0,473.0,30.0,7.0,4.0,2.0,0.0,8.0,4.0
LOLTMNT05_176358,complete,PRM,2026.0,0.0,1.0,16.03,Blue,bot,RVX jisyoku,Revolution Victory X,1.0,Xayah,Ambessa,Varus,Neeko,Lulu,Braum,1478.0,0.0,2.0,7.0,2.0,5.0,31.0,1.0,0.0,0.0,0.0,0.0,0.203,1.4614,0.0,0.0,11.0,10.0,4.0,35.0,10784.0,7493.0,304.1813,10425.0,211.0,207.0,4.0,8.5656,3447.0,3597.0,85.0,3897.0,3688.0,91.0,-450.0,-91.0,-6.0,0.0,1.0,1.0,1.0,2.0,1.0,6233.0,4564.0,109.0,8502.0,6446.0,139.0,-2269.0,-1882.0,-30.0,2.0,2.0,4.0,5.0,6.0,1.0,9441.0,7410.0,176.0,10963.0,8968.0,200.0,-1522.0,-1558.0,-24.0,2.0,2.0,4.0,5.0,6.0,1.0,10784.0,9118.0,211.0,15786.0,12823.0,238.0,-5002.0,-3705.0,-27.0,2.0,2.0,7.0,12.0,12.0,1.0
LOLTMNT05_175367,complete,EBL,2026.0,0.0,1.0,16.03,Blue,bot,RVX jisyoku,Revolution Victory X,1.0,Varus,Qiyana,Graves,Neeko,Vi,Viktor,1823.0,0.0,3.0,6.0,4.0,12.0,28.0,0.0,0.0,0.0,0.0,1.0,0.395,1.3165,0.0,0.0,13.0,2.0,4.0,23.0,12381.0,8386.0,276.0066,12100.0,267.0,267.0,0.0,8.7877,3493.0,3069.0,77.0,3415.0,3622.0,80.0,78.0,-553.0,-3.0,1.0,2.0,0.0,0.0,3.0,1.0,5686.0,5121.0,117.0,5970.0,6013.0,121.0,-284.0,-892.0,-4.0,2.0,2.0,2.0,1.0,5.0,2.0,7467.0,7382.0,166.0,8365.0,9056.0,177.0,-898.0,-1674.0,-11.0,2.0,2.0,3.0,2.0,5.0,2.0,9650.0,9640.0,212.0,11192.0,12207.0,223.0,-1542.0,-2567.0,-11.0,3.0,2.0,5.0,2.0,9.0,3.0
