gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,jng,Racon,CAG OSAKA,0.0,Ambessa,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,5.0,2.0,3.0,9.0,20.0,1.0,1.0,0.0,0.0,0.0,0.3253,1.0482,0.0,1.0,6.0,10.0,5.0,34.0,10550.0,6888.0,248.9639,10225.0,185.0,15.0,170.0,6.6867,4756.0,3502.0,64.0,3753.0,3813.0,74.0,1003.0,-311.0,-10.0,4.0,1.0,0.0,2.0,1.0,1.0,6539.0,6215.0,114.0,5496.0,6409.0,117.0,1043.0,-194.0,-3.0,4.0,1.0,0.0,2.0,1.0,1.0,8312.0,9041.0,155.0,7870.0,9380.0,160.0,442.0,-339.0,-5.0,4.0,1.0,0.0,3.0,1.0,1.0,9995.0,11337.0,185.0,11022.0,13079.0,205.0,-1027.0,-1742.0,-20.0,4.0,3.0,1.0,6.0,3.0,1.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Red,jng,Racon,CAG OSAKA,0.0,Ambessa,Qiyana,Varus,Jayce,Jarvan IV,Xin Zhao,1621.0,0.0,0.0,6.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1851,1.3325,0.0,1.0,10.0,6.0,7.0,34.0,8299.0,4717.0,174.5959,8075.0,143.0,10.0,133.0,5.293,3825.0,4071.0,84.0,3798.0,4094.0,77.0,27.0,-23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,5206.0,5697.0,112.0,6391.0,7717.0,119.0,-1185.0,-2020.0,-7.0,0.0,0.0,2.0,3.0,3.0,0.0,6515.0,7465.0,133.0,8665.0,10821.0,154.0,-2150.0,-3356.0,-21.0,0.0,1.0,3.0,5.0,5.0,0.0,7584.0,8502.0,142.0,11276.0,13612.0,184.0,-3692.0,-5110.0,-42.0,0.0,1.0,5.0,9.0,5.0,1.0
LOLTMNT01_335472,complete,LCKC,2026.0,0.0,1.0,16.02,Red,jng,Racon,CAG OSAKA,0.0,Jayce,Qiyana,Ekko,Viego,Bard,Alistar,1610.0,0.0,5.0,10.0,8.0,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6708,1.9752,0.0,1.0,7.0,8.0,6.0,40.0,11673.0,8113.0,302.3478,10250.0,145.0,18.0,127.0,5.4037,4297.0,3767.0,73.0,5320.0,4371.0,87.0,-1023.0,-604.0,-14.0,2.0,1.0,2.0,4.0,1.0,0.0,6469.0,6136.0,107.0,8279.0,7999.0,135.0,-1810.0,-1863.0,-28.0,3.0,4.0,3.0,7.0,1.0,1.0,8138.0,7430.0,124.0,13951.0,12680.0,206.0,-5813.0,-5250.0,-82.0,3.0,7.0,6.0,13.0,5.0,1.0,9953.0,9096.0,137.0,17159.0,16649.0,269.0,-7206.0,-7553.0,-132.0,4.0,7.0,8.0,17.0,7.0,1.0
LOLTMNT04_151521,complete,LIT,2026.0,0.0,1.0,16.02,Blue,jng,Racon,CAG OSAKA,1.0,Malphite,Qiyana,Riven,Orianna,Cassiopeia,Irelia,1952.0,0.0,1.0,9.0,6.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,0.4303,1.291,0.0,0.0,10.0,4.0,10.0,36.0,9616.0,5358.0,164.6926,8725.0,152.0,15.0,137.0,4.6721,3105.0,3436.0,63.0,4472.0,3662.0,70.0,-1367.0,-226.0,-7.0,0.0,0.0,1.0,4.0,1.0,0.0,4379.0,5127.0,88.0,6504.0,6405.0,114.0,-2125.0,-1278.0,-26.0,0.0,0.0,2.0,5.0,2.0,0.0,6346.0,7926.0,118.0,8500.0,8646.0,148.0,-2154.0,-720.0,-30.0,1.0,1.0,2.0,6.0,2.0,1.0,7722.0,9556.0,131.0,10302.0,12338.0,190.0,-2580.0,-2782.0,-59.0,1.0,2.0,4.0,6.0,2.0,1.0
LOLTMNT04_151638,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,jng,Racon,CAG OSAKA,1.0,Qiyana,Skarner,Orianna,K'Sante,Yunara,Corki,1733.0,1.0,8.0,2.0,6.0,17.0,9.0,2.0,0.0,0.0,0.0,0.0,0.5886,0.9002,1.0,0.0,8.0,10.0,3.0,50.0,14493.0,10682.0,369.8327,12775.0,197.0,20.0,177.0,6.8205,3735.0,3636.0,73.0,3180.0,3423.0,62.0,555.0,213.0,11.0,1.0,0.0,1.0,0.0,1.0,1.0,6901.0,5540.0,101.0,5061.0,5511.0,91.0,1840.0,29.0,10.0,4.0,0.0,2.0,1.0,4.0,2.0,8785.0,8058.0,139.0,6568.0,7703.0,123.0,2217.0,355.0,16.0,4.0,2.0,2.0,1.0,4.0,4.0,11863.0,11076.0,170.0,7946.0,9670.0,146.0,3917.0,1406.0,24.0,5.0,4.0,2.0,1.0,6.0,4.0
LOLTMNT04_151644,complete,LIT,2026.0,1.0,1.0,16.02,Blue,jng,Racon,CAG OSAKA,1.0,Jayce,Irelia,Camille,Sivir,Gwen,Aatrox,1846.0,0.0,3.0,6.0,1.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2925,1.0726,1.0,0.0,8.0,7.0,3.0,42.0,12185.0,8144.0,264.7021,11900.0,204.0,20.0,184.0,6.6306,3990.0,4412.0,87.0,3641.0,3650.0,67.0,349.0,762.0,20.0,1.0,0.0,1.0,0.0,4.0,0.0,6069.0,5891.0,111.0,5679.0,6351.0,111.0,390.0,-460.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,7983.0,8425.0,143.0,7553.0,9149.0,155.0,430.0,-724.0,-12.0,2.0,1.0,3.0,0.0,5.0,0.0,9807.0,11299.0,185.0,9889.0,12014.0,189.0,-82.0,-715.0,-4.0,2.0,1.0,4.0,1.0,6.0,0.0
LOLTMNT04_151666,complete,LIT,2026.0,1.0,1.0,16.02,Blue,jng,Racon,CAG OSAKA,1.0,Jayce,Qiyana,Kha'Zix,Neeko,Kai'Sa,Lucian,1542.0,0.0,1.0,6.0,4.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.4669,1.5564,0.0,1.0,5.0,6.0,0.0,22.0,9009.0,5588.0,217.4319,8675.0,163.0,32.0,131.0,6.3424,3130.0,3182.0,56.0,4320.0,3674.0,67.0,-1190.0,-492.0,-11.0,0.0,1.0,2.0,3.0,2.0,0.0,5010.0,4974.0,81.0,7179.0,6488.0,107.0,-2169.0,-1514.0,-26.0,1.0,2.0,3.0,6.0,3.0,1.0,7118.0,8793.0,134.0,9974.0,9239.0,148.0,-2856.0,-446.0,-14.0,1.0,3.0,3.0,6.0,4.0,2.0,8858.0,10816.0,163.0,14402.0,13699.0,175.0,-5544.0,-2883.0,-12.0,1.0,3.0,5.0,12.0,5.0,2.0
LOLTMNT01_338306,complete,HW,2026.0,0.0,1.0,16.02,Blue,jng,Racon,CAG OSAKA,1.0,Xin Zhao,Qiyana,Orianna,Kha'Zix,Cassiopeia,Renekton,1839.0,0.0,0.0,6.0,6.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.261,1.1093,0.0,2.0,11.0,10.0,7.0,48.0,9574.0,5547.0,180.9788,9125.0,178.0,24.0,154.0,5.8075,3236.0,3469.0,71.0,3654.0,3905.0,64.0,-418.0,-436.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,4898.0,5951.0,107.0,6275.0,7224.0,105.0,-1377.0,-1273.0,2.0,0.0,1.0,1.0,2.0,6.0,1.0,6200.0,8005.0,133.0,9529.0,10841.0,151.0,-3329.0,-2836.0,-18.0,0.0,2.0,4.0,5.0,8.0,1.0,8418.0,11088.0,165.0,11996.0,14515.0,196.0,-3578.0,-3427.0,-31.0,0.0,4.0,4.0,5.0,10.0,1.0
LOLTMNT02_350911,complete,HLL,2026.0,0.0,1.0,16.03,Blue,jng,Racon,CAG OSAKA,1.0,Zaahen,Qiyana,Ambessa,Orianna,Viego,Ahri,1639.0,0.0,4.0,5.0,1.0,9.0,23.0,1.0,0.0,0.0,0.0,0.0,0.3295,1.1714,0.0,0.0,5.0,5.0,5.0,33.0,10068.0,6449.0,236.083,9658.0,137.0,12.0,125.0,5.0153,3261.0,3793.0,67.0,3649.0,4185.0,78.0,-388.0,-392.0,-11.0,0.0,1.0,1.0,0.0,2.0,1.0,5008.0,5749.0,99.0,6554.0,7542.0,131.0,-1546.0,-1793.0,-32.0,1.0,1.0,2.0,2.0,4.0,1.0,6246.0,7714.0,123.0,9978.0,10646.0,180.0,-3732.0,-2932.0,-57.0,1.0,1.0,3.0,4.0,5.0,1.0,9176.0,9289.0,136.0,13251.0,15441.0,240.0,-4075.0,-6152.0,-104.0,3.0,1.0,4.0,5.0,7.0,1.0
LOLTMNT05_176357,complete,AL,2026.0,0.0,1.0,16.03,Blue,jng,Racon,CAG OSAKA,1.0,Naafiri,LeBlanc,Illaoi,Yorick,Karma,Gwen,2515.0,0.0,1.0,6.0,9.0,16.0,20.0,0.0,0.0,0.0,0.0,1.0,0.3817,0.8588,1.0,1.0,10.0,8.0,8.0,52.0,14446.0,9040.0,215.666,13750.0,267.0,34.0,233.0,6.3698,3433.0,3749.0,68.0,3266.0,3787.0,69.0,167.0,-38.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,4951.0,5726.0,105.0,5187.0,6678.0,111.0,-236.0,-952.0,-6.0,0.0,2.0,1.0,0.0,2.0,1.0,6708.0,8820.0,150.0,7031.0,9009.0,152.0,-323.0,-189.0,-2.0,0.0,3.0,1.0,0.0,2.0,1.0,8539.0,10569.0,180.0,8921.0,11717.0,190.0,-382.0,-1148.0,-10.0,1.0,3.0,3.0,0.0,5.0,1.0
