gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,mid,Ramune,Rising Gaming,1.0,Taliyah,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,6.0,0.0,16.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3099,1.6901,0.0,0.0,11.0,1.0,4.0,25.0,10622.0,7450.0,314.7887,9250.0,218.0,206.0,12.0,9.2113,3583.0,4928.0,87.0,3607.0,4671.0,88.0,-24.0,257.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,5850.0,7777.0,131.0,5883.0,7600.0,142.0,-33.0,177.0,-11.0,3.0,5.0,0.0,2.0,2.0,1.0,8452.0,11339.0,180.0,8299.0,11019.0,202.0,153.0,320.0,-22.0,5.0,10.0,0.0,3.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,LeBlanc,Skarner,Ryze,Galio,Neeko,Rakan,1566.0,1.0,11.0,3.0,12.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,1.6092,1.9157,0.0,0.0,4.0,6.0,2.0,23.0,12929.0,9459.0,362.4138,12150.0,218.0,218.0,0.0,8.3525,4952.0,5552.0,104.0,2737.0,3938.0,54.0,2215.0,1614.0,50.0,4.0,0.0,0.0,0.0,0.0,3.0,7457.0,8595.0,152.0,4466.0,6739.0,106.0,2991.0,1856.0,46.0,6.0,2.0,0.0,0.0,0.0,4.0,9523.0,10645.0,178.0,8194.0,9595.0,146.0,1329.0,1050.0,32.0,8.0,6.0,3.0,2.0,2.0,6.0,12269.0,13552.0,212.0,9418.0,11246.0,177.0,2851.0,2306.0,35.0,10.0,9.0,3.0,2.0,2.0,9.0
LOLTMNT04_151500,complete,LIT,2026.0,0.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,Orianna,Rumble,Ryze,Ambessa,Gnar,Gwen,1490.0,1.0,6.0,2.0,15.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,1.2081,1.5705,0.0,0.0,10.0,5.0,2.0,20.0,11633.0,8318.0,334.953,10360.0,225.0,225.0,0.0,9.0604,3622.0,5189.0,91.0,3689.0,5224.0,78.0,-67.0,-35.0,13.0,1.0,1.0,1.0,1.0,0.0,1.0,5488.0,7852.0,140.0,5332.0,7642.0,125.0,156.0,210.0,15.0,1.0,2.0,2.0,1.0,0.0,2.0,8472.0,11440.0,195.0,7016.0,10123.0,176.0,1456.0,1317.0,19.0,3.0,7.0,2.0,1.0,0.0,3.0,11633.0,15388.0,225.0,9390.0,12370.0,219.0,2243.0,3018.0,6.0,6.0,15.0,2.0,1.0,2.0,5.0
LOLTMNT01_338084,complete,HW,2026.0,0.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,Ryze,Azir,Ambessa,Orianna,Alistar,Gnar,2039.0,0.0,3.0,3.0,6.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.3237,0.7357,0.0,0.0,16.0,7.0,7.0,54.0,13529.0,9094.0,267.6018,13575.0,282.0,282.0,0.0,8.2982,3444.0,5058.0,91.0,3265.0,5034.0,87.0,179.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5453.0,7653.0,140.0,4754.0,7584.0,133.0,699.0,69.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7529.0,10609.0,191.0,6639.0,9609.0,174.0,890.0,1000.0,17.0,1.0,5.0,0.0,0.0,0.0,3.0,9482.0,14101.0,209.0,9414.0,13095.0,235.0,68.0,1006.0,-26.0,2.0,6.0,0.0,0.0,0.0,3.0
LOLTMNT04_151641,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,Akali,Rumble,Ryze,Qiyana,Galio,Gnar,1371.0,1.0,10.0,3.0,6.0,35.0,9.0,1.0,0.0,0.0,0.0,1.0,1.5317,1.9256,0.0,0.0,8.0,0.0,3.0,14.0,10932.0,7860.0,343.9825,9700.0,177.0,177.0,0.0,7.7462,3452.0,4838.0,66.0,2767.0,4023.0,57.0,685.0,815.0,9.0,2.0,1.0,1.0,0.0,1.0,3.0,6766.0,8136.0,111.0,4264.0,6334.0,98.0,2502.0,1802.0,13.0,6.0,2.0,2.0,0.0,1.0,5.0,8872.0,11099.0,156.0,6180.0,8674.0,129.0,2692.0,2425.0,27.0,7.0,4.0,3.0,1.0,1.0,8.0,,,,,,,,,,,,,,,
LOLTMNT04_151666,complete,LIT,2026.0,1.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,Orianna,Varus,Ambessa,Galio,Yone,Akali,1542.0,1.0,4.0,1.0,13.0,28.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0895,1.5564,0.0,0.0,9.0,2.0,1.0,17.0,13797.0,10376.0,403.7354,12525.0,252.0,244.0,8.0,9.8054,4261.0,5364.0,96.0,2948.0,4215.0,66.0,1313.0,1149.0,30.0,1.0,2.0,0.0,0.0,1.0,3.0,6749.0,8132.0,143.0,5680.0,7531.0,112.0,1069.0,601.0,31.0,1.0,4.0,1.0,2.0,1.0,4.0,9458.0,10936.0,193.0,7835.0,9924.0,156.0,1623.0,1012.0,37.0,2.0,4.0,1.0,2.0,1.0,4.0,13161.0,15557.0,246.0,9393.0,12240.0,201.0,3768.0,3317.0,45.0,3.0,10.0,1.0,2.0,1.0,7.0
LOLTMNT01_338225,complete,LCP,2026.0,0.0,1.0,16.02,Red,mid,Ramune,Rising Gaming,0.0,Azir,Seraphine,Varus,Ambessa,Gnar,K'Sante,1223.0,1.0,4.0,1.0,7.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0793,1.1774,0.0,0.0,8.0,3.0,2.0,13.0,9672.0,6901.0,338.5609,8650.0,202.0,199.0,3.0,9.9101,3826.0,5377.0,97.0,3219.0,4775.0,77.0,607.0,602.0,20.0,0.0,3.0,1.0,0.0,1.0,2.0,6464.0,8427.0,152.0,4925.0,7300.0,130.0,1539.0,1127.0,22.0,1.0,3.0,1.0,0.0,1.0,2.0,9384.0,11284.0,200.0,6469.0,9235.0,174.0,2915.0,2049.0,26.0,4.0,6.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT02_349885,complete,HLL,2026.0,0.0,1.0,16.03,Red,mid,Ramune,Rising Gaming,0.0,Azir,Orianna,Rumble,Ambessa,Gnar,Gwen,2008.0,1.0,2.0,1.0,10.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.8964,1.3745,0.0,0.0,12.0,11.0,4.0,50.0,15074.0,10702.0,319.7809,13850.0,326.0,326.0,0.0,9.741,3543.0,5579.0,104.0,3901.0,5326.0,101.0,-358.0,253.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5513.0,8192.0,146.0,5896.0,8478.0,159.0,-383.0,-286.0,-13.0,0.0,2.0,0.0,0.0,1.0,0.0,7776.0,11559.0,207.0,9142.0,12306.0,225.0,-1366.0,-747.0,-18.0,0.0,3.0,0.0,2.0,1.0,0.0,10115.0,15280.0,265.0,10845.0,14408.0,269.0,-730.0,872.0,-4.0,0.0,6.0,0.0,2.0,1.0,1.0
LOLTMNT02_349929,complete,HLL,2026.0,0.0,1.0,16.03,Blue,mid,Ramune,Rising Gaming,1.0,Azir,Akali,Orianna,Ambessa,Sylas,Ahri,2169.0,0.0,0.0,5.0,3.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4426,1.0235,0.0,0.0,13.0,9.0,3.0,44.0,12532.0,7832.0,216.6528,11225.0,306.0,306.0,0.0,8.4647,3021.0,4428.0,76.0,3219.0,5056.0,81.0,-198.0,-628.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5029.0,7677.0,132.0,5006.0,7699.0,135.0,23.0,-22.0,-3.0,0.0,2.0,0.0,0.0,0.0,1.0,6071.0,8898.0,148.0,7444.0,10829.0,187.0,-1373.0,-1931.0,-39.0,0.0,2.0,2.0,0.0,3.0,1.0,7790.0,11495.0,201.0,9798.0,14964.0,250.0,-2008.0,-3469.0,-49.0,0.0,2.0,2.0,0.0,3.0,1.0
LOLTMNT05_175361,complete,LFL,2026.0,0.0,1.0,16.03,Blue,mid,Ramune,Rising Gaming,1.0,Ryze,Azir,Orianna,Caitlyn,Varus,Ornn,2130.0,0.0,3.0,3.0,2.0,13.0,20.0,0.0,0.0,0.0,0.0,1.0,0.3662,0.9296,0.0,0.0,16.0,5.0,5.0,39.0,13575.0,8954.0,252.2254,13135.0,303.0,303.0,0.0,8.5352,3784.0,4879.0,94.0,3274.0,4418.0,81.0,510.0,461.0,13.0,1.0,1.0,0.0,0.0,1.0,2.0,5456.0,7845.0,149.0,5492.0,7630.0,145.0,-36.0,215.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,7234.0,10537.0,196.0,8038.0,11176.0,199.0,-804.0,-639.0,-3.0,1.0,1.0,1.0,3.0,2.0,2.0,8441.0,13504.0,215.0,10260.0,14073.0,234.0,-1819.0,-569.0,-19.0,1.0,2.0,3.0,4.0,4.0,2.0
