gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,RaptoSauros,Zena Esports,0.0,Miss Fortune,Qiyana,Naafiri,Akali,Poppy,Xin Zhao,2243.0,0.0,8.0,2.0,2.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.4012,0.7757,0.0,0.0,16.0,4.0,3.0,33.0,14981.0,10130.0,270.9764,14875.0,274.0,274.0,0.0,7.3295,3361.0,3416.0,74.0,3198.0,3779.0,85.0,163.0,-363.0,-11.0,1.0,0.0,0.0,0.0,0.0,0.0,6003.0,5900.0,118.0,5043.0,5994.0,126.0,960.0,-94.0,-8.0,3.0,0.0,0.0,0.0,0.0,1.0,7837.0,8416.0,170.0,7186.0,8501.0,180.0,651.0,-85.0,-10.0,3.0,0.0,0.0,0.0,0.0,1.0,10102.0,10468.0,210.0,9543.0,10849.0,231.0,559.0,-381.0,-21.0,4.0,1.0,0.0,0.0,1.0,1.0
LOLTMNT05_172033,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,RaptoSauros,Zena Esports,0.0,Corki,Wukong,Zaahen,Diana,Fiora,Alistar,1934.0,0.0,2.0,2.0,6.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3723,0.9307,0.0,0.0,13.0,7.0,3.0,31.0,13466.0,9245.0,286.8149,12708.0,267.0,267.0,0.0,8.2834,3158.0,3309.0,77.0,3267.0,3647.0,85.0,-109.0,-338.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5423.0,5507.0,120.0,5657.0,5939.0,126.0,-234.0,-432.0,-6.0,0.0,2.0,0.0,1.0,0.0,0.0,7343.0,8009.0,165.0,7563.0,8325.0,178.0,-220.0,-316.0,-13.0,0.0,3.0,0.0,1.0,0.0,1.0,9500.0,10509.0,208.0,10312.0,10867.0,206.0,-812.0,-358.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0
LOLTMNT03_337247,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,bot,RaptoSauros,Zena Esports,1.0,Ezreal,Lucian,Smolder,Ambessa,Leona,Nautilus,3079.0,1.0,7.0,3.0,9.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4677,0.8964,0.0,0.0,18.0,8.0,3.0,58.0,23732.0,17175.0,334.6866,21405.0,355.0,347.0,8.0,6.9178,3418.0,3374.0,84.0,3600.0,3538.0,99.0,-182.0,-164.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5900.0,5306.0,133.0,5605.0,5526.0,144.0,295.0,-220.0,-11.0,1.0,0.0,1.0,0.0,1.0,1.0,7784.0,7130.0,173.0,9073.0,8946.0,215.0,-1289.0,-1816.0,-42.0,1.0,0.0,2.0,1.0,2.0,1.0,10153.0,9172.0,199.0,11638.0,11348.0,268.0,-1485.0,-2176.0,-69.0,2.0,1.0,2.0,3.0,2.0,1.0
LOLTMNT01_320319,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,RaptoSauros,Zena Esports,1.0,Ezreal,Ambessa,Gwen,Neeko,Orianna,Galio,2241.0,1.0,6.0,2.0,8.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.6426,1.1513,0.0,0.0,13.0,4.0,4.0,31.0,18335.0,13488.0,361.1245,15000.0,321.0,321.0,0.0,8.5944,3577.0,4137.0,97.0,2975.0,3936.0,78.0,602.0,201.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,5810.0,6566.0,144.0,5251.0,6509.0,129.0,559.0,57.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,7943.0,8782.0,188.0,7940.0,9425.0,188.0,3.0,-643.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,10292.0,11259.0,238.0,10101.0,12053.0,243.0,191.0,-794.0,-5.0,1.0,3.0,1.0,1.0,2.0,0.0
LOLTMNT03_337813,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,bot,RaptoSauros,Zena Esports,0.0,Ezreal,Neeko,Kai'Sa,Bard,Rell,Alistar,1727.0,0.0,2.0,2.0,1.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2085,1.0423,0.0,1.0,10.0,6.0,1.0,28.0,10663.0,6864.0,238.4713,10325.0,239.0,239.0,0.0,8.3034,3180.0,3653.0,83.0,3483.0,3388.0,89.0,-303.0,265.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5510.0,5881.0,129.0,5840.0,5775.0,142.0,-330.0,106.0,-13.0,1.0,0.0,0.0,0.0,0.0,1.0,7210.0,7863.0,174.0,8325.0,8169.0,198.0,-1115.0,-306.0,-24.0,1.0,0.0,0.0,0.0,0.0,1.0,8788.0,9748.0,213.0,11556.0,11343.0,250.0,-2768.0,-1595.0,-37.0,1.0,0.0,1.0,2.0,3.0,1.0
LOLTMNT02_343127,complete,HW,2026.0,0.0,1.0,16.01,Blue,bot,RaptoSauros,Zena Esports,1.0,Varus,Aphelios,Corki,Syndra,Bard,Rell,1590.0,0.0,3.0,3.0,2.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.1887,1.3962,0.0,1.0,9.0,0.0,1.0,9.0,10796.0,7277.0,274.6038,10725.0,202.0,202.0,0.0,7.6226,3278.0,3119.0,63.0,4148.0,3735.0,85.0,-870.0,-616.0,-22.0,2.0,0.0,1.0,3.0,0.0,0.0,4738.0,4969.0,96.0,7135.0,6256.0,134.0,-2397.0,-1287.0,-38.0,2.0,1.0,1.0,3.0,2.0,0.0,7181.0,7978.0,159.0,10155.0,9394.0,188.0,-2974.0,-1416.0,-29.0,2.0,1.0,2.0,3.0,7.0,0.0,10140.0,10092.0,197.0,13033.0,12000.0,234.0,-2893.0,-1908.0,-37.0,3.0,1.0,2.0,4.0,8.0,0.0
LOLTMNT01_327016,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,RaptoSauros,Zena Esports,0.0,Corki,Neeko,Dr. Mundo,Jayce,Braum,Poppy,1983.0,1.0,7.0,0.0,13.0,29.0,10.0,1.0,0.0,0.0,0.0,0.0,0.8775,1.18,0.0,0.0,16.0,4.0,5.0,32.0,16714.0,12393.0,374.9773,14483.0,255.0,255.0,0.0,7.7156,3453.0,4319.0,95.0,3251.0,3712.0,85.0,202.0,607.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5631.0,6450.0,139.0,5203.0,6220.0,133.0,428.0,230.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,7928.0,9083.0,183.0,7061.0,8103.0,175.0,867.0,980.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,10824.0,11398.0,217.0,9521.0,9879.0,212.0,1303.0,1519.0,5.0,2.0,5.0,0.0,2.0,0.0,2.0
LOLTMNT02_349144,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,RaptoSauros,Zena Esports,1.0,Sivir,Ambessa,Nami,Varus,Alistar,Caitlyn,2222.0,0.0,2.0,5.0,7.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.324,1.1071,0.0,0.0,14.0,6.0,3.0,33.0,15499.0,10691.0,288.6859,15275.0,294.0,290.0,4.0,7.9388,3346.0,3737.0,87.0,3875.0,4199.0,102.0,-529.0,-462.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,5806.0,5612.0,133.0,6584.0,7335.0,161.0,-778.0,-1723.0,-28.0,0.0,0.0,1.0,0.0,2.0,0.0,7660.0,8014.0,188.0,10215.0,10751.0,230.0,-2555.0,-2737.0,-42.0,0.0,0.0,1.0,2.0,2.0,0.0,9826.0,9843.0,215.0,12190.0,12687.0,264.0,-2364.0,-2844.0,-49.0,0.0,4.0,3.0,2.0,6.0,2.0
LOLTMNT02_350142,complete,LJL,2026.0,0.0,2.0,16.02,Red,bot,RaptoSauros,Zena Esports,0.0,Ezreal,Varus,Wukong,Nocturne,Caitlyn,Aphelios,1696.0,0.0,3.0,2.0,2.0,6.0,15.0,1.0,0.0,0.0,0.0,1.0,0.2123,0.7429,0.0,0.0,10.0,5.0,2.0,23.0,11665.0,7930.0,280.5425,11383.0,240.0,240.0,0.0,8.4906,4103.0,3715.0,90.0,3759.0,3481.0,91.0,344.0,234.0,-1.0,2.0,1.0,0.0,1.0,0.0,1.0,6164.0,5478.0,133.0,6473.0,5760.0,146.0,-309.0,-282.0,-13.0,2.0,2.0,0.0,2.0,0.0,1.0,7701.0,7386.0,174.0,9844.0,8910.0,208.0,-2143.0,-1524.0,-34.0,2.0,2.0,1.0,4.0,0.0,1.0,10587.0,9648.0,222.0,13219.0,11887.0,254.0,-2632.0,-2239.0,-32.0,3.0,2.0,1.0,6.0,2.0,1.0
LOLTMNT02_349162,complete,LJL,2026.0,0.0,3.0,16.02,Red,bot,RaptoSauros,Zena Esports,0.0,Ashe,Varus,Wukong,Nocturne,Vi,Malphite,1754.0,0.0,2.0,5.0,4.0,8.0,20.0,0.0,0.0,0.0,0.0,1.0,0.2737,0.9578,0.0,0.0,11.0,3.0,1.0,31.0,9929.0,6075.0,207.8107,9700.0,202.0,202.0,0.0,6.9099,3805.0,3581.0,81.0,3474.0,3434.0,90.0,331.0,147.0,-9.0,2.0,0.0,0.0,0.0,0.0,2.0,5823.0,5471.0,121.0,5600.0,5165.0,129.0,223.0,306.0,-8.0,2.0,2.0,2.0,0.0,1.0,3.0,7225.0,6862.0,148.0,8682.0,7701.0,182.0,-1457.0,-839.0,-34.0,2.0,3.0,3.0,1.0,4.0,3.0,8991.0,8953.0,187.0,10713.0,10267.0,235.0,-1722.0,-1314.0,-48.0,2.0,4.0,3.0,1.0,4.0,3.0
