gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Rooster,Shifters,0.0,K'Sante,Nidalee,Sion,Varus,Neeko,Jhin,2125.0,0.0,4.0,3.0,7.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5647,1.1012,0.0,0.0,14.0,3.0,4.0,38.0,14049.0,9438.0,266.4847,14360.0,282.0,282.0,0.0,7.9624,3715.0,5410.0,106.0,3722.0,5496.0,107.0,-7.0,-86.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5570.0,9587.0,161.0,5218.0,8781.0,153.0,352.0,806.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,7837.0,13527.0,212.0,6942.0,11595.0,201.0,895.0,1932.0,11.0,1.0,1.0,0.0,0.0,0.0,2.0,9462.0,15684.0,229.0,9822.0,15235.0,244.0,-360.0,449.0,-15.0,2.0,3.0,2.0,2.0,4.0,3.0
LOLTMNT03_339218,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Rooster,Shifters,0.0,K'Sante,Jayce,Aphelios,Orianna,Varus,Alistar,2419.0,1.0,1.0,1.0,5.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3473,0.5457,0.0,0.0,17.0,6.0,4.0,54.0,14978.0,9768.0,242.2819,14300.0,326.0,326.0,0.0,8.086,3473.0,5348.0,93.0,3620.0,5472.0,105.0,-147.0,-124.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5325.0,9202.0,152.0,5413.0,9256.0,157.0,-88.0,-54.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.0,12234.0,200.0,7550.0,13026.0,226.0,50.0,-792.0,-26.0,0.0,2.0,0.0,0.0,0.0,0.0,9621.0,15703.0,261.0,9836.0,17025.0,295.0,-215.0,-1322.0,-34.0,0.0,2.0,0.0,0.0,0.0,0.0
LOLTMNT03_338560,complete,HLL,2026.0,0.0,1.0,16.01,Blue,top,Rooster,Shifters,0.0,Aurora,Yunara,Poppy,Jayce,Bard,Jarvan IV,1601.0,1.0,5.0,1.0,8.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8245,0.9744,0.0,0.0,11.0,2.0,2.0,27.0,11758.0,8216.0,307.9076,10050.0,243.0,243.0,0.0,9.1068,3651.0,5211.0,97.0,3298.0,5162.0,88.0,353.0,49.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5455.0,8789.0,145.0,5010.0,9194.0,146.0,445.0,-405.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,8012.0,12418.0,193.0,6817.0,12510.0,204.0,1195.0,-92.0,-11.0,1.0,3.0,1.0,0.0,0.0,0.0,10220.0,16834.0,234.0,9140.0,15753.0,256.0,1080.0,1081.0,-22.0,2.0,6.0,1.0,1.0,1.0,1.0
LOLTMNT06_166082,complete,AL,2026.0,0.0,1.0,16.02,Red,top,Rooster,Shifters,0.0,K'Sante,Jayce,Varus,Orianna,Sivir,Nautilus,1769.0,0.0,1.0,3.0,1.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2374,1.0854,0.0,0.0,13.0,4.0,3.0,40.0,10920.0,7036.0,238.6433,10875.0,280.0,278.0,2.0,9.4969,3722.0,5431.0,106.0,3901.0,5472.0,96.0,-179.0,-41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5477.0,8918.0,153.0,5731.0,9291.0,148.0,-254.0,-373.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,7781.0,12907.0,221.0,8110.0,13026.0,215.0,-329.0,-119.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,9424.0,15544.0,265.0,10614.0,16273.0,258.0,-1190.0,-729.0,7.0,0.0,0.0,1.0,1.0,4.0,0.0
LOLTMNT04_150459,complete,CCWS,2026.0,0.0,1.0,16.02,Red,top,Rooster,Shifters,1.0,Rumble,Renekton,Pantheon,Jayce,Rakan,Orianna,1977.0,0.0,2.0,5.0,4.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3642,0.9408,0.0,0.0,12.0,2.0,2.0,35.0,13349.0,9040.0,274.3551,12950.0,256.0,248.0,8.0,7.7693,3818.0,5348.0,103.0,3507.0,5397.0,103.0,311.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5746.0,8962.0,156.0,5998.0,9697.0,167.0,-252.0,-735.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,7374.0,11751.0,201.0,8692.0,12959.0,219.0,-1318.0,-1208.0,-18.0,0.0,0.0,2.0,1.0,0.0,0.0,10526.0,15277.0,226.0,10354.0,14749.0,243.0,172.0,528.0,-17.0,2.0,3.0,2.0,2.0,0.0,1.0
LOLTMNT01_332152,complete,LCK,2026.0,0.0,1.0,16.02,Blue,top,Rooster,Shifters,0.0,Nidalee,Sion,Dr. Mundo,Orianna,Karma,Bard,2245.0,0.0,4.0,3.0,5.0,14.0,20.0,0.0,0.0,0.0,0.0,1.0,0.3742,0.9087,0.0,0.0,15.0,10.0,3.0,65.0,16721.0,11866.0,317.1314,16308.0,356.0,344.0,12.0,9.5145,4557.0,5706.0,106.0,3209.0,4839.0,80.0,1348.0,867.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,6600.0,9136.0,156.0,4827.0,8082.0,132.0,1773.0,1054.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,8989.0,12697.0,222.0,7249.0,11674.0,195.0,1740.0,1023.0,27.0,1.0,0.0,0.0,1.0,0.0,2.0,11577.0,14619.0,251.0,8595.0,13761.0,229.0,2982.0,858.0,22.0,3.0,2.0,0.0,1.0,0.0,4.0
LOLTMNT01_335948,complete,HW,2026.0,0.0,1.0,16.02,Red,top,Rooster,Shifters,0.0,Rek'Sai,Jayce,Jarvan IV,Orianna,Alistar,Nautilus,2000.0,1.0,6.0,2.0,3.0,14.0,15.0,1.0,0.0,0.0,0.0,0.0,0.42,0.87,0.0,0.0,16.0,4.0,4.0,41.0,14718.0,10362.0,310.86,13430.0,284.0,284.0,0.0,8.52,3559.0,5410.0,103.0,3594.0,5180.0,107.0,-35.0,230.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5962.0,8901.0,150.0,4991.0,8113.0,146.0,971.0,788.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,8354.0,12206.0,202.0,6515.0,10698.0,187.0,1839.0,1508.0,15.0,2.0,2.0,0.0,0.0,2.0,2.0,10575.0,15425.0,250.0,8412.0,13631.0,238.0,2163.0,1794.0,12.0,3.0,2.0,0.0,0.0,2.0,2.0
LOLTMNT04_152698,complete,LFL,2026.0,0.0,1.0,16.02,Blue,top,Rooster,Shifters,0.0,K'Sante,Sion,Yunara,Poppy,Alistar,Rakan,2466.0,0.0,2.0,4.0,4.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3406,0.8273,0.0,0.0,18.0,3.0,6.0,40.0,15265.0,9959.0,242.3114,14400.0,350.0,350.0,0.0,8.5158,3466.0,5144.0,90.0,3702.0,5100.0,96.0,-236.0,44.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4992.0,8648.0,136.0,5599.0,8873.0,152.0,-607.0,-225.0,-16.0,0.0,1.0,0.0,0.0,0.0,0.0,6946.0,12104.0,192.0,7874.0,12344.0,217.0,-928.0,-240.0,-25.0,0.0,1.0,0.0,0.0,0.0,0.0,8790.0,15106.0,248.0,9942.0,16278.0,283.0,-1152.0,-1172.0,-35.0,0.0,1.0,0.0,0.0,0.0,0.0
LOLTMNT04_151778,complete,AL,2026.0,0.0,1.0,16.02,Red,top,Rooster,Shifters,0.0,K'Sante,Yunara,Azir,Jarvan IV,Ryze,Akali,1876.0,0.0,2.0,4.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1919,0.9915,0.0,0.0,17.0,3.0,7.0,41.0,11107.0,7004.0,224.0085,11325.0,276.0,276.0,0.0,8.8273,3621.0,5012.0,90.0,4026.0,5105.0,98.0,-405.0,-93.0,-8.0,1.0,0.0,0.0,1.0,0.0,0.0,5463.0,8731.0,149.0,6003.0,8746.0,155.0,-540.0,-15.0,-6.0,1.0,0.0,0.0,1.0,0.0,0.0,6934.0,10917.0,186.0,9058.0,12067.0,206.0,-2124.0,-1150.0,-20.0,1.0,0.0,2.0,3.0,3.0,1.0,9062.0,14562.0,250.0,11001.0,15068.0,247.0,-1939.0,-506.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0
LOLTMNT05_175418,complete,LFL,2026.0,0.0,1.0,16.03,Red,top,Rooster,Shifters,1.0,Ambessa,Rumble,Pantheon,Jarvan IV,Renekton,Nautilus,2008.0,1.0,5.0,1.0,3.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.5677,0.747,0.0,0.0,14.0,9.0,4.0,47.0,16134.0,11762.0,351.4542,14750.0,346.0,337.0,9.0,10.3386,3563.0,5348.0,97.0,3410.0,5318.0,94.0,153.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5539.0,9225.0,156.0,5006.0,8882.0,147.0,533.0,343.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7810.0,13199.0,224.0,7073.0,12469.0,210.0,737.0,730.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10163.0,16974.0,276.0,9761.0,16475.0,277.0,402.0,499.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0
