gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_331902,complete,HW,2026.0,0.0,1.0,16.02,Red,jng,Ryuzaki,The Secret Club,0.0,Aatrox,Varus,Jayce,Orianna,Neeko,Braum,1565.0,0.0,2.0,2.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1917,0.8051,0.0,1.0,11.0,6.0,10.0,40.0,9811.0,6343.0,243.1821,9500.0,191.0,19.0,172.0,7.3227,3434.0,3915.0,78.0,3477.0,4185.0,82.0,-43.0,-270.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5961.0,6979.0,125.0,5302.0,6643.0,128.0,659.0,336.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,7895.0,9249.0,158.0,8114.0,9828.0,175.0,-219.0,-579.0,-17.0,2.0,0.0,1.0,1.0,2.0,0.0,9621.0,11816.0,191.0,10552.0,13073.0,212.0,-931.0,-1257.0,-21.0,2.0,0.0,1.0,1.0,4.0,0.0
LOLTMNT04_152152,complete,EBL,2026.0,0.0,2.0,16.02,Blue,jng,Ryuzaki,The Secret Club,1.0,Vi,Gwen,Orianna,Malphite,Darius,Olaf,1615.0,1.0,7.0,0.0,10.0,20.0,4.0,1.0,1.0,0.0,0.0,1.0,0.743,0.8916,1.0,0.0,11.0,9.0,8.0,41.0,12792.0,9222.0,342.613,11750.0,209.0,20.0,189.0,7.7647,4158.0,4278.0,78.0,3518.0,4112.0,76.0,640.0,166.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,5808.0,6529.0,122.0,5578.0,6277.0,111.0,230.0,252.0,11.0,2.0,0.0,0.0,1.0,2.0,0.0,7919.0,9333.0,158.0,7429.0,9096.0,154.0,490.0,237.0,4.0,2.0,5.0,0.0,1.0,2.0,1.0,11873.0,13278.0,199.0,8557.0,10348.0,174.0,3316.0,2930.0,25.0,7.0,6.0,0.0,1.0,2.0,3.0
LOLTMNT04_152172,complete,LFL,2026.0,0.0,3.0,16.02,Blue,jng,Ryuzaki,The Secret Club,1.0,Pantheon,Gwen,Malphite,Orianna,Darius,Irelia,1927.0,1.0,8.0,0.0,15.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8407,1.1209,1.0,0.0,9.0,5.0,6.0,41.0,14924.0,10717.0,333.6897,13350.0,232.0,9.0,223.0,7.2237,3887.0,4341.0,77.0,3013.0,3191.0,62.0,874.0,1150.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,5713.0,6723.0,115.0,5142.0,5835.0,104.0,571.0,888.0,11.0,2.0,1.0,0.0,1.0,0.0,1.0,9053.0,10223.0,158.0,6845.0,7884.0,130.0,2208.0,2339.0,28.0,5.0,6.0,0.0,1.0,2.0,3.0,10889.0,13144.0,205.0,8038.0,9829.0,151.0,2851.0,3315.0,54.0,5.0,6.0,0.0,1.0,2.0,3.0
LOLTMNT04_152437,complete,LIT,2026.0,0.0,1.0,16.02,Red,jng,Ryuzaki,The Secret Club,0.0,Vi,Rumble,Ambessa,Neeko,Rakan,Bard,2328.0,0.0,8.0,2.0,7.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.567,1.1856,1.0,1.0,12.0,11.0,8.0,68.0,17121.0,12096.0,311.7526,16400.0,275.0,28.0,247.0,7.0876,3460.0,4220.0,82.0,3728.0,4159.0,79.0,-268.0,61.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,6421.0,7313.0,125.0,5277.0,6451.0,115.0,1144.0,862.0,10.0,2.0,2.0,0.0,2.0,0.0,2.0,8900.0,10692.0,176.0,7329.0,9078.0,163.0,1571.0,1614.0,13.0,3.0,3.0,0.0,2.0,0.0,3.0,11333.0,13470.0,197.0,8983.0,11140.0,198.0,2350.0,2330.0,-1.0,4.0,5.0,0.0,2.0,1.0,4.0
LOLTMNT04_152444,complete,LIT,2026.0,0.0,2.0,16.02,Blue,jng,Ryuzaki,The Secret Club,1.0,Dr. Mundo,Ambessa,Neeko,Rumble,Corki,Ezreal,2216.0,1.0,3.0,3.0,14.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6498,1.0289,1.0,0.0,12.0,10.0,11.0,61.0,14727.0,9931.0,268.8899,13725.0,251.0,19.0,232.0,6.796,3368.0,3942.0,79.0,4150.0,4069.0,69.0,-782.0,-127.0,10.0,0.0,0.0,1.0,2.0,1.0,0.0,5311.0,7042.0,128.0,5707.0,6202.0,104.0,-396.0,840.0,24.0,0.0,1.0,1.0,2.0,1.0,1.0,7100.0,9530.0,163.0,7680.0,9159.0,150.0,-580.0,371.0,13.0,0.0,2.0,2.0,2.0,3.0,2.0,8675.0,11733.0,197.0,9420.0,11509.0,187.0,-745.0,224.0,10.0,0.0,2.0,2.0,2.0,4.0,2.0
LOLTMNT01_337737,complete,LCP,2026.0,0.0,1.0,16.02,Blue,jng,Ryuzaki,The Secret Club,1.0,Jarvan IV,Rumble,Ambessa,Taliyah,K'Sante,Sion,2125.0,0.0,3.0,6.0,12.0,19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5365,1.5247,0.0,1.0,10.0,10.0,8.0,54.0,14050.0,9439.0,266.5129,13375.0,221.0,25.0,196.0,6.24,3884.0,4087.0,84.0,4804.0,3457.0,60.0,-920.0,630.0,24.0,1.0,2.0,0.0,4.0,1.0,2.0,6474.0,7180.0,130.0,7480.0,6714.0,113.0,-1006.0,466.0,17.0,2.0,3.0,1.0,6.0,1.0,2.0,8620.0,9802.0,169.0,9473.0,9565.0,163.0,-853.0,237.0,6.0,2.0,6.0,1.0,6.0,1.0,3.0,10307.0,11307.0,192.0,12936.0,13760.0,210.0,-2629.0,-2453.0,-18.0,2.0,7.0,3.0,9.0,5.0,3.0
LOLTMNT05_175070,complete,LEC,2026.0,0.0,2.0,16.02,Blue,jng,Ryuzaki,The Secret Club,1.0,Vi,Rumble,Ambessa,Xayah,Jhin,Rell,1675.0,0.0,3.0,5.0,6.0,13.0,28.0,0.0,0.0,0.0,0.0,0.0,0.4657,1.4687,0.0,1.0,10.0,7.0,8.0,38.0,10716.0,7023.0,251.5701,10550.0,153.0,9.0,144.0,5.4806,3429.0,3732.0,66.0,4212.0,4754.0,88.0,-783.0,-1022.0,-22.0,0.0,2.0,1.0,1.0,4.0,0.0,5340.0,6130.0,93.0,7012.0,7543.0,124.0,-1672.0,-1413.0,-31.0,1.0,3.0,3.0,4.0,7.0,0.0,8115.0,7932.0,117.0,9008.0,10250.0,168.0,-893.0,-2318.0,-51.0,3.0,4.0,4.0,4.0,8.0,1.0,10042.0,10476.0,145.0,10861.0,13254.0,208.0,-819.0,-2778.0,-63.0,3.0,5.0,5.0,4.0,10.0,1.0
LOLTMNT02_349161,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Ryuzaki,The Secret Club,0.0,Xin Zhao,Rumble,Jayce,Varus,Gnar,Ambessa,1835.0,0.0,3.0,5.0,6.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3597,0.9809,1.0,1.0,14.0,7.0,8.0,45.0,11339.0,7320.0,239.346,10550.0,202.0,18.0,184.0,6.6049,3697.0,4211.0,76.0,3694.0,4223.0,82.0,3.0,-12.0,-6.0,0.0,2.0,0.0,0.0,1.0,1.0,5490.0,6733.0,118.0,5381.0,6712.0,125.0,109.0,21.0,-7.0,0.0,3.0,0.0,0.0,1.0,2.0,7550.0,9657.0,155.0,7961.0,10075.0,163.0,-411.0,-418.0,-8.0,1.0,4.0,1.0,0.0,6.0,2.0,9822.0,11904.0,177.0,9654.0,12480.0,192.0,168.0,-576.0,-15.0,3.0,5.0,2.0,0.0,8.0,3.0
LOLTMNT01_338721,complete,LCP,2026.0,0.0,2.0,16.02,Red,jng,Ryuzaki,The Secret Club,0.0,Viego,Rumble,Jayce,Varus,Leona,Rell,1971.0,0.0,5.0,4.0,3.0,10.0,23.0,0.0,0.0,0.0,0.0,1.0,0.3044,1.0046,0.0,1.0,8.0,9.0,10.0,39.0,13003.0,8707.0,265.0533,12233.0,229.0,18.0,211.0,6.9711,3961.0,4424.0,84.0,3762.0,4714.0,86.0,199.0,-290.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,5531.0,6761.0,118.0,6002.0,7854.0,123.0,-471.0,-1093.0,-5.0,1.0,1.0,1.0,1.0,3.0,0.0,7634.0,10338.0,167.0,8227.0,10402.0,153.0,-593.0,-64.0,14.0,1.0,2.0,1.0,3.0,3.0,0.0,9719.0,13088.0,208.0,9898.0,12426.0,182.0,-179.0,662.0,26.0,2.0,2.0,1.0,3.0,5.0,0.0
LOLTMNT05_175753,complete,LEC,2026.0,1.0,1.0,16.03,Blue,jng,Ryuzaki,The Secret Club,1.0,Vi,Malphite,Akali,Caitlyn,Braum,Alistar,1514.0,1.0,8.0,2.0,16.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0304,1.3474,1.0,0.0,8.0,5.0,5.0,38.0,13242.0,9878.0,391.4663,12225.0,193.0,23.0,170.0,7.6486,4200.0,3817.0,64.0,4195.0,3506.0,60.0,5.0,311.0,4.0,2.0,6.0,2.0,3.0,1.0,2.0,6789.0,7361.0,111.0,5950.0,5983.0,101.0,839.0,1378.0,10.0,4.0,7.0,2.0,3.0,3.0,2.0,9464.0,10861.0,152.0,7387.0,7643.0,121.0,2077.0,3218.0,31.0,5.0,11.0,2.0,4.0,3.0,3.0,13114.0,15713.0,193.0,8861.0,9545.0,136.0,4253.0,6168.0,57.0,8.0,16.0,2.0,4.0,4.0,5.0
