gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150467,complete,EBL,2026.0,0.0,1.0,16.02,Blue,mid,Saint,LYON,0.0,Akali,Neeko,Jayce,Jhin,Ezreal,Poppy,1831.0,1.0,7.0,2.0,2.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.5898,0.7209,0.0,0.0,10.0,12.0,5.0,52.0,12388.0,8377.0,274.5057,11325.0,252.0,252.0,0.0,8.2578,3266.0,5059.0,85.0,3483.0,5040.0,97.0,-217.0,19.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5414.0,8365.0,143.0,5283.0,7136.0,142.0,131.0,1229.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7983.0,10928.0,170.0,6900.0,9549.0,191.0,1083.0,1379.0,-21.0,3.0,2.0,0.0,0.0,0.0,2.0,9708.0,13500.0,219.0,8687.0,13244.0,236.0,1021.0,256.0,-17.0,3.0,2.0,0.0,0.0,0.0,2.0
LOLTMNT04_149479,complete,LFL,2026.0,0.0,2.0,16.02,Blue,mid,Saint,LYON,1.0,Ryze,Malphite,Azir,Ziggs,Gwen,Gnar,2228.0,1.0,1.0,6.0,7.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4578,0.8887,0.0,0.0,12.0,15.0,8.0,65.0,13125.0,8304.0,223.6266,11350.0,286.0,275.0,11.0,7.702,3532.0,4942.0,91.0,3770.0,4805.0,90.0,-238.0,137.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5178.0,7549.0,139.0,5428.0,7559.0,142.0,-250.0,-10.0,-3.0,0.0,1.0,2.0,1.0,1.0,1.0,6791.0,9609.0,180.0,8258.0,10928.0,199.0,-1467.0,-1319.0,-19.0,0.0,2.0,3.0,3.0,4.0,1.0,8294.0,12768.0,215.0,9840.0,13224.0,242.0,-1546.0,-456.0,-27.0,0.0,3.0,4.0,3.0,5.0,1.0
LOLTMNT01_337044,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,mid,Saint,LYON,0.0,Orianna,Ziggs,Jayce,Rumble,Gnar,Gwen,2720.0,0.0,5.0,1.0,6.0,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.2868,0.4632,0.0,1.0,23.0,23.0,6.0,94.0,18323.0,12499.0,275.7132,18200.0,396.0,381.0,15.0,8.7353,3658.0,5193.0,106.0,3660.0,5096.0,101.0,-2.0,97.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6054.0,7969.0,155.0,5681.0,7819.0,156.0,373.0,150.0,-1.0,2.0,0.0,0.0,1.0,0.0,1.0,8055.0,10929.0,213.0,7600.0,10658.0,211.0,455.0,271.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,10584.0,14257.0,266.0,9534.0,13418.0,266.0,1050.0,839.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0
LOLTMNT01_336971,complete,LCKC,2026.0,0.0,2.0,16.02,Red,mid,Saint,LYON,0.0,Ahri,Ziggs,Jayce,Varus,Bard,Xayah,2240.0,0.0,3.0,5.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,1.0,0.2411,0.6161,0.0,0.0,10.0,17.0,6.0,60.0,14421.0,9576.0,256.5,14600.0,312.0,312.0,0.0,8.3571,4125.0,5473.0,105.0,3756.0,5344.0,104.0,369.0,129.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5703.0,7617.0,152.0,6086.0,8773.0,149.0,-383.0,-1156.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,7534.0,10074.0,207.0,8927.0,12421.0,216.0,-1393.0,-2347.0,-9.0,1.0,1.0,3.0,2.0,4.0,0.0,10360.0,12696.0,254.0,11202.0,15159.0,259.0,-842.0,-2463.0,-5.0,2.0,1.0,3.0,3.0,4.0,1.0
LOLTMNT05_175456,complete,AL,2026.0,0.0,1.0,16.03,Blue,mid,Saint,LYON,1.0,Taliyah,Malphite,Nocturne,Ambessa,Bard,Lulu,1981.0,0.0,3.0,5.0,1.0,5.0,15.0,1.0,0.0,0.0,0.0,1.0,0.1514,0.6058,0.0,0.0,13.0,12.0,10.0,57.0,12814.0,8497.0,257.3549,12725.0,302.0,302.0,0.0,9.1469,3536.0,5348.0,101.0,3579.0,5202.0,105.0,-43.0,146.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,6307.0,8194.0,150.0,5836.0,8410.0,162.0,471.0,-216.0,-12.0,3.0,0.0,2.0,1.0,1.0,1.0,8134.0,10599.0,204.0,7450.0,11249.0,214.0,684.0,-650.0,-10.0,3.0,0.0,2.0,1.0,1.0,1.0,9883.0,13015.0,246.0,9255.0,14269.0,269.0,628.0,-1254.0,-23.0,3.0,0.0,3.0,1.0,2.0,1.0
LOLTMNT05_175470,complete,TCL,2026.0,0.0,2.0,16.03,Blue,mid,Saint,LYON,0.0,Anivia,Ambessa,Orianna,Varus,Ezreal,Lucian,1862.0,1.0,4.0,1.0,8.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.4511,0.6445,0.0,0.0,14.0,5.0,3.0,30.0,13522.0,9448.0,304.4468,11375.0,295.0,295.0,0.0,9.5059,3439.0,5348.0,99.0,3757.0,5366.0,107.0,-318.0,-18.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5240.0,8108.0,159.0,5695.0,8163.0,162.0,-455.0,-55.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,7442.0,10660.0,196.0,7805.0,11040.0,217.0,-363.0,-380.0,-21.0,1.0,2.0,1.0,1.0,1.0,1.0,9451.0,14974.0,249.0,9729.0,15399.0,261.0,-278.0,-425.0,-12.0,1.0,4.0,1.0,1.0,2.0,2.0
LOLTMNT02_352555,complete,HLL,2026.0,0.0,3.0,16.03,Blue,mid,Saint,LYON,1.0,Cassiopeia,Ambessa,Malphite,Nautilus,Gwen,Jarvan IV,1690.0,0.0,0.0,5.0,3.0,4.0,16.0,0.0,0.0,0.0,0.0,1.0,0.142,0.7101,0.0,0.0,12.0,3.0,4.0,31.0,8967.0,5244.0,186.1775,8550.0,242.0,242.0,0.0,8.5917,3145.0,4505.0,80.0,3731.0,5268.0,89.0,-586.0,-763.0,-9.0,0.0,1.0,1.0,0.0,4.0,1.0,4824.0,7128.0,135.0,5499.0,7808.0,140.0,-675.0,-680.0,-5.0,0.0,1.0,1.0,0.0,4.0,1.0,6275.0,9240.0,176.0,7971.0,11200.0,210.0,-1696.0,-1960.0,-34.0,0.0,1.0,3.0,0.0,5.0,1.0,7977.0,13047.0,217.0,10768.0,14722.0,260.0,-2791.0,-1675.0,-43.0,0.0,2.0,4.0,1.0,6.0,1.0
LOLTMNT05_180043,complete,AL,2026.0,1.0,1.0,16.04,Blue,mid,Saint,LYON,0.0,Azir,Ambessa,Varus,Karma,Dr. Mundo,Volibear,1801.0,1.0,13.0,1.0,3.0,26.0,1.0,2.0,2.0,1.0,0.0,1.0,0.8662,0.8995,0.0,0.0,14.0,11.0,6.0,49.0,17393.0,13443.0,447.8512,16740.0,321.0,305.0,16.0,10.6941,3904.0,5129.0,91.0,3203.0,4229.0,82.0,701.0,900.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,6055.0,8002.0,145.0,5276.0,7049.0,129.0,779.0,953.0,16.0,2.0,1.0,1.0,1.0,0.0,1.0,8722.0,11428.0,209.0,7109.0,9755.0,185.0,1613.0,1673.0,24.0,2.0,1.0,1.0,1.0,0.0,1.0,12217.0,16054.0,283.0,8732.0,13514.0,225.0,3485.0,2540.0,58.0,4.0,1.0,1.0,1.0,0.0,3.0
LOLTMNT03_351083,complete,LPLOL,2026.0,0.0,2.0,16.04,Blue,mid,Saint,LYON,1.0,Aurora,Karma,Cassiopeia,Ambessa,Rumble,Gnar,2306.0,1.0,7.0,0.0,8.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,0.4423,0.6765,0.0,0.0,10.0,17.0,5.0,62.0,18201.0,13221.0,343.9983,16375.0,356.0,353.0,3.0,9.2628,3463.0,5162.0,98.0,3754.0,5377.0,106.0,-291.0,-215.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5608.0,8367.0,149.0,5781.0,7933.0,153.0,-173.0,434.0,-4.0,1.0,2.0,0.0,1.0,1.0,1.0,8317.0,11731.0,220.0,7688.0,11034.0,214.0,629.0,697.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,10901.0,14274.0,250.0,9185.0,13444.0,258.0,1716.0,830.0,-8.0,4.0,3.0,0.0,1.0,2.0,1.0
LOLTMNT03_350093,complete,LPLOL,2026.0,0.0,3.0,16.04,Blue,mid,Saint,LYON,0.0,Taliyah,Karma,Ambessa,Pantheon,Nautilus,Lulu,1727.0,1.0,9.0,0.0,9.0,25.0,8.0,1.0,0.0,0.0,0.0,1.0,0.8686,1.1465,1.0,0.0,12.0,12.0,6.0,51.0,15060.0,11261.0,391.2334,13950.0,286.0,274.0,12.0,9.9363,3656.0,5186.0,93.0,3271.0,4946.0,89.0,385.0,240.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,6189.0,8277.0,152.0,5415.0,7974.0,144.0,774.0,303.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,8478.0,10654.0,192.0,7104.0,10473.0,183.0,1374.0,181.0,9.0,4.0,4.0,0.0,1.0,2.0,3.0,11214.0,14494.0,251.0,8557.0,13731.0,209.0,2657.0,763.0,42.0,6.0,4.0,0.0,2.0,2.0,4.0
