gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335649,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Sero,KT Rolster Challengers,0.0,K'Sante,Orianna,Jayce,Neeko,Bard,Aphelios,1926.0,1.0,1.0,2.0,15.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7165,0.9346,0.0,0.0,13.0,2.0,3.0,34.0,11859.0,7654.0,238.4424,10900.0,266.0,266.0,0.0,8.2866,3130.0,5025.0,83.0,3312.0,5038.0,86.0,-182.0,-13.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4731.0,8623.0,135.0,5012.0,8939.0,143.0,-281.0,-316.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,6535.0,11542.0,186.0,7578.0,13556.0,203.0,-1043.0,-2014.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,8338.0,15281.0,238.0,9150.0,16439.0,242.0,-812.0,-1158.0,-4.0,0.0,1.0,1.0,1.0,0.0,1.0
LOLTMNT03_334676,complete,LCKC,2026.0,0.0,2.0,16.01,Red,top,Sero,KT Rolster Challengers,0.0,Yasuo,Orianna,Jayce,Neeko,Qiyana,Ambessa,1878.0,1.0,7.0,1.0,8.0,21.0,15.0,1.0,1.0,0.0,0.0,0.0,0.6709,1.1502,0.0,0.0,10.0,3.0,4.0,39.0,15634.0,11527.0,368.2748,14900.0,328.0,312.0,16.0,10.4792,3431.0,5410.0,99.0,3089.0,5131.0,80.0,342.0,279.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6366.0,9661.0,162.0,4697.0,8366.0,126.0,1669.0,1295.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,8676.0,13845.0,237.0,6961.0,12081.0,191.0,1715.0,1764.0,46.0,0.0,1.0,0.0,0.0,0.0,1.0,12585.0,17457.0,276.0,8887.0,14792.0,232.0,3698.0,2665.0,44.0,6.0,3.0,0.0,0.0,1.0,2.0
LOLTMNT03_337603,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,Sero,KT Rolster Challengers,1.0,Ambessa,Poppy,Jarvan IV,Malphite,Varus,Renekton,1810.0,1.0,5.0,2.0,10.0,28.0,16.0,1.0,1.0,0.0,0.0,0.0,0.9282,1.4586,1.0,0.0,9.0,2.0,2.0,28.0,12582.0,8614.0,285.547,12100.0,261.0,249.0,12.0,8.6519,3582.0,5348.0,96.0,3505.0,5410.0,100.0,77.0,-62.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5232.0,8881.0,148.0,5131.0,9195.0,152.0,101.0,-314.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,8447.0,12480.0,195.0,6690.0,11372.0,184.0,1757.0,1108.0,11.0,4.0,4.0,0.0,0.0,2.0,2.0,9879.0,15011.0,222.0,8097.0,12676.0,202.0,1782.0,2335.0,20.0,4.0,6.0,2.0,1.0,3.0,4.0
LOLTMNT06_164175,complete,AL,2026.0,0.0,2.0,16.01,Blue,top,Sero,KT Rolster Challengers,0.0,K'Sante,Orianna,Jarvan IV,Aurora,Nocturne,Kai'Sa,1941.0,1.0,3.0,2.0,6.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4946,0.711,0.0,0.0,15.0,7.0,7.0,50.0,13250.0,9015.0,278.6708,12275.0,320.0,320.0,0.0,9.8918,3604.0,5162.0,98.0,3330.0,5317.0,88.0,274.0,-155.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5445.0,8873.0,153.0,4889.0,8865.0,137.0,556.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7662.0,12393.0,219.0,6626.0,12491.0,194.0,1036.0,-98.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10175.0,15989.0,258.0,9352.0,15996.0,239.0,823.0,-7.0,19.0,2.0,2.0,1.0,2.0,1.0,0.0
LOLTMNT06_163474,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Sero,KT Rolster Challengers,1.0,K'Sante,Akali,Malphite,Poppy,Renata Glasc,Braum,2002.0,0.0,2.0,3.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,0.2398,0.7193,0.0,0.0,11.0,7.0,4.0,43.0,10861.0,6501.0,194.8352,10850.0,255.0,255.0,0.0,7.6424,3868.0,5585.0,96.0,3369.0,4901.0,83.0,499.0,684.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,5571.0,9311.0,152.0,5120.0,8542.0,137.0,451.0,769.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,7106.0,12022.0,192.0,6940.0,11486.0,186.0,166.0,536.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,8460.0,13867.0,224.0,9917.0,15448.0,232.0,-1457.0,-1581.0,-8.0,1.0,0.0,1.0,2.0,1.0,1.0
LOLTMNT05_171228,complete,CCWS,2026.0,0.0,2.0,16.01,Red,top,Sero,KT Rolster Challengers,0.0,Gwen,Rumble,Jayce,Pantheon,Akali,Ahri,1553.0,1.0,6.0,3.0,7.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.8113,1.275,0.0,0.0,8.0,8.0,3.0,46.0,11584.0,8140.0,314.4881,11325.0,241.0,237.0,4.0,9.311,3771.0,5317.0,101.0,2989.0,4932.0,75.0,782.0,385.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5546.0,8843.0,154.0,4702.0,8803.0,122.0,844.0,40.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,9059.0,12365.0,203.0,6640.0,11668.0,172.0,2419.0,697.0,31.0,5.0,2.0,1.0,0.0,1.0,1.0,11242.0,15939.0,241.0,7974.0,13515.0,195.0,3268.0,2424.0,46.0,6.0,4.0,3.0,0.0,3.0,2.0
LOLTMNT01_323370,complete,ROL,2026.0,0.0,3.0,16.01,Blue,top,Sero,KT Rolster Challengers,1.0,Rumble,Neeko,Malphite,Pantheon,LeBlanc,Qiyana,2132.0,1.0,6.0,5.0,16.0,30.0,19.0,1.0,1.0,0.0,0.0,0.0,0.8443,1.379,0.0,0.0,9.0,4.0,5.0,41.0,14022.0,9397.0,264.4559,13525.0,276.0,272.0,4.0,7.7674,3671.0,4981.0,87.0,3244.0,4721.0,70.0,427.0,260.0,17.0,1.0,0.0,1.0,0.0,1.0,1.0,4976.0,7914.0,128.0,5661.0,8821.0,112.0,-685.0,-907.0,16.0,1.0,0.0,3.0,2.0,1.0,1.0,7857.0,11449.0,166.0,7646.0,12120.0,159.0,211.0,-671.0,7.0,5.0,4.0,3.0,3.0,1.0,2.0,9344.0,13817.0,209.0,10703.0,15955.0,205.0,-1359.0,-2138.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0
LOLTMNT03_341109,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Sero,KT Rolster Challengers,0.0,K'Sante,Orianna,Azir,Varus,Bard,Neeko,2153.0,1.0,4.0,3.0,9.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5574,0.9754,0.0,0.0,7.0,9.0,3.0,43.0,13485.0,8817.0,245.713,12975.0,255.0,255.0,0.0,7.1064,4187.0,6091.0,99.0,3115.0,4653.0,78.0,1072.0,1438.0,21.0,1.0,1.0,0.0,0.0,0.0,2.0,6742.0,10731.0,154.0,4573.0,7750.0,123.0,2169.0,2981.0,31.0,2.0,1.0,1.0,0.0,0.0,3.0,8293.0,13011.0,186.0,7378.0,11102.0,170.0,915.0,1909.0,16.0,3.0,1.0,2.0,3.0,2.0,4.0,10443.0,16834.0,227.0,8653.0,13172.0,197.0,1790.0,3662.0,30.0,4.0,3.0,2.0,3.0,2.0,5.0
LOLTMNT02_344078,complete,LCP,2026.0,0.0,2.0,16.01,Red,top,Sero,KT Rolster Challengers,0.0,Zaahen,Orianna,Azir,Vi,Aurora,Renekton,1996.0,0.0,1.0,2.0,4.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.511,1.0822,0.0,0.0,15.0,5.0,4.0,54.0,12629.0,8282.0,248.9579,11208.0,309.0,305.0,4.0,9.2886,3231.0,5149.0,83.0,3375.0,5379.0,90.0,-144.0,-230.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4809.0,8586.0,124.0,5094.0,8775.0,127.0,-285.0,-189.0,-3.0,0.0,2.0,1.0,1.0,0.0,1.0,6769.0,12102.0,179.0,7219.0,12699.0,192.0,-450.0,-597.0,-13.0,0.0,2.0,1.0,1.0,0.0,1.0,8821.0,15744.0,247.0,9214.0,15748.0,248.0,-393.0,-4.0,-1.0,0.0,2.0,1.0,1.0,0.0,2.0
LOLTMNT02_343084,complete,LCP,2026.0,0.0,3.0,16.01,Red,top,Sero,KT Rolster Challengers,0.0,Yorick,Orianna,Vi,Azir,Gnar,Sion,2655.0,1.0,2.0,9.0,11.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.4294,1.0847,0.0,0.0,19.0,7.0,4.0,55.0,17504.0,11812.0,266.9379,16733.0,315.0,315.0,0.0,7.1186,3095.0,4883.0,79.0,3797.0,5252.0,96.0,-702.0,-369.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,4674.0,8202.0,121.0,6169.0,9186.0,145.0,-1495.0,-984.0,-24.0,0.0,0.0,2.0,1.0,1.0,0.0,7380.0,12292.0,180.0,8613.0,13075.0,204.0,-1233.0,-783.0,-24.0,1.0,0.0,3.0,2.0,2.0,1.0,9237.0,14702.0,223.0,10516.0,16499.0,262.0,-1279.0,-1797.0,-39.0,1.0,0.0,3.0,2.0,2.0,1.0
