gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,jng,Shad0w,CTBC Flying Oyster,1.0,Jayce,Akali,Nocturne,Malphite,Varus,Alistar,2217.0,0.0,1.0,4.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2165,0.6495,0.0,2.0,15.0,14.0,10.0,64.0,13914.0,9116.0,246.7118,13725.0,269.0,28.0,241.0,7.2801,3513.0,3679.0,62.0,3458.0,3715.0,67.0,55.0,-36.0,-5.0,1.0,0.0,1.0,0.0,3.0,1.0,5518.0,6556.0,108.0,5648.0,6587.0,115.0,-130.0,-31.0,-7.0,1.0,0.0,2.0,1.0,4.0,1.0,7600.0,9252.0,154.0,8319.0,9257.0,152.0,-719.0,-5.0,2.0,1.0,0.0,3.0,2.0,5.0,1.0,9534.0,11946.0,193.0,10117.0,11926.0,193.0,-583.0,20.0,0.0,1.0,1.0,3.0,2.0,5.0,1.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Blue,jng,Shad0w,CTBC Flying Oyster,1.0,Ambessa,Akali,Poppy,Malphite,Rakan,Gwen,2020.0,0.0,3.0,4.0,7.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4455,1.0099,0.0,0.0,11.0,10.0,8.0,61.0,13170.0,8774.0,260.6139,12450.0,244.0,23.0,221.0,7.2475,3877.0,4199.0,85.0,3637.0,3933.0,72.0,240.0,266.0,13.0,1.0,0.0,2.0,0.0,3.0,1.0,6016.0,7095.0,130.0,5575.0,6597.0,117.0,441.0,498.0,13.0,1.0,2.0,2.0,1.0,3.0,1.0,8226.0,9674.0,168.0,8225.0,9887.0,160.0,1.0,-213.0,8.0,1.0,3.0,3.0,2.0,7.0,1.0,9800.0,11827.0,204.0,10029.0,12311.0,201.0,-229.0,-484.0,3.0,1.0,3.0,3.0,2.0,7.0,1.0
LOLTMNT01_324691,complete,LCS,2026.0,0.0,1.0,16.01,Red,jng,Shad0w,CTBC Flying Oyster,1.0,Pantheon,Ryze,Malphite,Jarvan IV,Wukong,Nautilus,1814.0,1.0,8.0,2.0,8.0,19.0,9.0,1.0,0.0,0.0,0.0,1.0,0.6284,0.9261,0.0,0.0,12.0,7.0,10.0,50.0,14072.0,10096.0,333.9361,12375.0,230.0,28.0,202.0,7.6075,4324.0,4372.0,79.0,3878.0,4176.0,75.0,446.0,196.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,6202.0,6711.0,116.0,5967.0,6945.0,122.0,235.0,-234.0,-6.0,3.0,1.0,1.0,2.0,1.0,0.0,8344.0,10096.0,167.0,7982.0,9110.0,155.0,362.0,986.0,12.0,3.0,4.0,1.0,3.0,1.0,2.0,10708.0,12676.0,200.0,9963.0,11803.0,198.0,745.0,873.0,2.0,4.0,6.0,2.0,4.0,1.0,3.0
LOLTMNT02_344203,complete,LCP,2026.0,0.0,2.0,16.01,Blue,jng,Shad0w,CTBC Flying Oyster,0.0,Wukong,Jayce,Aphelios,Sion,Bard,Nautilus,1583.0,1.0,10.0,0.0,8.0,21.0,7.0,2.0,0.0,0.0,0.0,1.0,0.796,1.0613,1.0,0.0,11.0,4.0,9.0,38.0,14499.0,10994.0,416.7025,11908.0,219.0,29.0,190.0,8.3007,3938.0,4550.0,82.0,4248.0,4576.0,85.0,-310.0,-26.0,-3.0,1.0,1.0,0.0,1.0,0.0,0.0,6861.0,8148.0,135.0,5720.0,6102.0,110.0,1141.0,2046.0,25.0,3.0,5.0,0.0,1.0,1.0,2.0,9165.0,10812.0,175.0,8506.0,9362.0,155.0,659.0,1450.0,20.0,4.0,6.0,0.0,2.0,2.0,2.0,12396.0,14450.0,208.0,10289.0,10651.0,171.0,2107.0,3799.0,37.0,6.0,7.0,0.0,3.0,2.0,4.0
LOLTMNT01_327784,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Shad0w,CTBC Flying Oyster,0.0,Jarvan IV,Nocturne,Malphite,Azir,Wukong,Nami,2140.0,1.0,2.0,2.0,9.0,17.0,8.0,1.0,0.0,0.0,0.0,1.0,0.4766,0.7009,0.0,0.0,15.0,19.0,11.0,80.0,13879.0,9238.0,259.0093,11925.0,250.0,21.0,229.0,7.0093,3689.0,4086.0,75.0,3674.0,4840.0,90.0,15.0,-754.0,-15.0,0.0,2.0,0.0,0.0,0.0,0.0,5901.0,7219.0,130.0,5137.0,6573.0,120.0,764.0,646.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0,7620.0,9356.0,160.0,6858.0,9667.0,161.0,762.0,-311.0,-1.0,0.0,5.0,0.0,0.0,0.0,1.0,9363.0,11842.0,194.0,8654.0,12376.0,203.0,709.0,-534.0,-9.0,0.0,6.0,0.0,0.0,0.0,2.0
LOLTMNT01_327799,complete,LCK,2026.0,0.0,2.0,16.01,Blue,jng,Shad0w,CTBC Flying Oyster,0.0,Wukong,Zyra,Malphite,Vi,Aphelios,Nautilus,2095.0,0.0,1.0,2.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1146,0.3723,0.0,1.0,8.0,19.0,7.0,69.0,11765.0,7216.0,206.6635,11408.0,253.0,26.0,227.0,7.2458,3499.0,4038.0,82.0,4072.0,4482.0,82.0,-573.0,-444.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5119.0,6398.0,122.0,6425.0,7601.0,133.0,-1306.0,-1203.0,-11.0,0.0,0.0,1.0,1.0,1.0,0.0,7229.0,9286.0,162.0,8920.0,10820.0,187.0,-1691.0,-1534.0,-25.0,1.0,0.0,1.0,1.0,1.0,0.0,8815.0,11350.0,195.0,11567.0,14139.0,241.0,-2752.0,-2789.0,-46.0,1.0,1.0,1.0,1.0,2.0,0.0
LOLTMNT06_166086,complete,AL,2026.0,0.0,3.0,16.01,Blue,jng,Shad0w,CTBC Flying Oyster,1.0,Pantheon,Zyra,Malphite,Sion,Hwei,Jax,2269.0,1.0,4.0,1.0,14.0,23.0,9.0,0.0,0.0,0.0,0.0,1.0,0.6082,0.8462,1.0,1.0,11.0,12.0,9.0,57.0,15913.0,11009.0,291.115,15225.0,277.0,32.0,245.0,7.3248,3588.0,4213.0,78.0,3375.0,3763.0,73.0,213.0,450.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,5686.0,7190.0,116.0,5071.0,5993.0,108.0,615.0,1197.0,8.0,0.0,7.0,0.0,0.0,3.0,2.0,8466.0,10310.0,160.0,6625.0,7869.0,135.0,1841.0,2441.0,25.0,2.0,8.0,0.0,0.0,5.0,4.0,10755.0,13662.0,208.0,9204.0,10252.0,156.0,1551.0,3410.0,52.0,3.0,8.0,1.0,1.0,7.0,4.0
LOLTMNT01_334153,complete,LJL,2026.0,0.0,1.0,16.02,Red,jng,Shad0w,CTBC Flying Oyster,1.0,Wukong,Lee Sin,Jarvan IV,Jayce,Yunara,Aphelios,1516.0,1.0,6.0,0.0,8.0,18.0,5.0,2.0,0.0,0.0,0.0,1.0,0.7124,0.9103,1.0,0.0,8.0,14.0,7.0,58.0,12661.0,9293.0,367.7968,11408.0,228.0,29.0,199.0,9.0237,3912.0,4668.0,91.0,3431.0,3834.0,70.0,481.0,834.0,21.0,0.0,1.0,0.0,0.0,1.0,1.0,6179.0,7657.0,145.0,5097.0,6399.0,107.0,1082.0,1258.0,38.0,1.0,1.0,0.0,0.0,2.0,2.0,8946.0,11105.0,196.0,6831.0,9071.0,144.0,2115.0,2034.0,52.0,1.0,6.0,0.0,0.0,3.0,3.0,12450.0,15133.0,226.0,8233.0,10567.0,163.0,4217.0,4566.0,63.0,6.0,7.0,0.0,0.0,5.0,5.0
LOLTMNT01_333268,complete,LJL,2026.0,0.0,2.0,16.02,Blue,jng,Shad0w,CTBC Flying Oyster,0.0,Xin Zhao,Lee Sin,Jayce,Varus,Renekton,Anivia,2097.0,1.0,2.0,2.0,14.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.6581,1.0014,0.0,0.0,15.0,13.0,10.0,67.0,13748.0,9195.0,263.0901,12500.0,252.0,29.0,223.0,7.2103,3612.0,4277.0,79.0,3367.0,3453.0,63.0,245.0,824.0,16.0,0.0,2.0,0.0,0.0,2.0,0.0,5484.0,6580.0,117.0,4675.0,5117.0,92.0,809.0,1463.0,25.0,0.0,4.0,0.0,0.0,2.0,1.0,6931.0,8713.0,149.0,7466.0,8523.0,122.0,-535.0,190.0,27.0,0.0,4.0,2.0,2.0,6.0,1.0,8904.0,12127.0,194.0,8754.0,9925.0,143.0,150.0,2202.0,51.0,0.0,6.0,2.0,2.0,6.0,2.0
LOLTMNT04_151573,complete,LIT,2026.0,0.0,1.0,16.02,Blue,jng,Shad0w,CTBC Flying Oyster,1.0,Pantheon,Malphite,Vi,Jarvan IV,Xin Zhao,Wukong,2000.0,1.0,6.0,3.0,11.0,25.0,10.0,1.0,0.0,0.0,0.0,1.0,0.75,1.05,1.0,0.0,11.0,13.0,8.0,63.0,15048.0,10692.0,320.76,12950.0,227.0,31.0,196.0,6.81,4073.0,4237.0,79.0,3527.0,4182.0,77.0,546.0,55.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6085.0,6658.0,121.0,5912.0,6746.0,109.0,173.0,-88.0,12.0,2.0,2.0,1.0,1.0,1.0,0.0,8194.0,8889.0,160.0,7985.0,9531.0,152.0,209.0,-642.0,8.0,2.0,2.0,1.0,1.0,1.0,0.0,9966.0,11242.0,178.0,9986.0,10982.0,176.0,-20.0,260.0,2.0,2.0,6.0,2.0,2.0,1.0,2.0
