gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336160,complete,HLL,2026.0,0.0,1.0,16.01,Blue,bot,Shakur,Gamespace Mediterranean College Esports,1.0,Caitlyn,Ambessa,Akali,Darius,Nautilus,Orianna,2293.0,0.0,2.0,5.0,5.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2355,0.9682,0.0,0.0,17.0,13.0,4.0,54.0,19109.0,14156.0,370.4143,18625.0,415.0,392.0,23.0,10.8591,3954.0,3644.0,93.0,4096.0,3631.0,91.0,-142.0,13.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,6499.0,5838.0,153.0,6980.0,6425.0,155.0,-481.0,-587.0,-2.0,1.0,0.0,1.0,2.0,0.0,1.0,9071.0,8656.0,215.0,9384.0,9208.0,199.0,-313.0,-552.0,16.0,1.0,0.0,2.0,3.0,1.0,1.0,11109.0,10857.0,273.0,12586.0,12671.0,269.0,-1477.0,-1814.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0
LOLTMNT05_171130,complete,LIT,2026.0,0.0,2.0,16.01,Red,bot,Shakur,Gamespace Mediterranean College Esports,0.0,Tristana,Ambessa,Jayce,Neeko,Nautilus,Xayah,1374.0,0.0,2.0,4.0,1.0,7.0,27.0,0.0,0.0,0.0,0.0,1.0,0.3057,1.4847,0.0,0.0,9.0,5.0,0.0,22.0,10298.0,7219.0,315.2402,9455.0,198.0,190.0,8.0,8.6463,3201.0,2902.0,70.0,4541.0,4241.0,89.0,-1340.0,-1339.0,-19.0,0.0,1.0,2.0,2.0,2.0,1.0,5608.0,5169.0,124.0,7511.0,7030.0,155.0,-1903.0,-1861.0,-31.0,0.0,1.0,2.0,2.0,2.0,1.0,8213.0,7726.0,168.0,10972.0,10163.0,208.0,-2759.0,-2437.0,-40.0,1.0,1.0,3.0,4.0,7.0,1.0,,,,,,,,,,,,,,,
LOLTMNT03_341253,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,Shakur,Gamespace Mediterranean College Esports,1.0,Sivir,Jarvan IV,Gwen,Orianna,Nocturne,Sejuani,1359.0,1.0,7.0,0.0,17.0,35.0,3.0,1.0,0.0,0.0,0.0,1.0,1.5453,1.6777,0.0,0.0,12.0,4.0,3.0,23.0,13889.0,10841.0,478.6313,12375.0,266.0,246.0,20.0,11.7439,3981.0,3980.0,92.0,3258.0,3442.0,85.0,723.0,538.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,8052.0,7482.0,159.0,4873.0,5435.0,120.0,3179.0,2047.0,39.0,3.0,8.0,0.0,1.0,0.0,4.0,11684.0,11596.0,229.0,7251.0,8082.0,178.0,4433.0,3514.0,51.0,6.0,13.0,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,
LOLTMNT02_343178,complete,LCP,2026.0,0.0,2.0,16.01,Red,bot,Shakur,Gamespace Mediterranean College Esports,0.0,Yunara,Orianna,Jarvan IV,Gwen,Neeko,Braum,1815.0,1.0,5.0,1.0,6.0,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.7273,1.2562,1.0,0.0,15.0,7.0,4.0,31.0,15957.0,11979.0,396.0,14300.0,303.0,284.0,19.0,10.0165,3371.0,3479.0,88.0,3528.0,3225.0,83.0,-157.0,254.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,6189.0,5800.0,136.0,5983.0,5300.0,134.0,206.0,500.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,9507.0,8600.0,189.0,7868.0,7531.0,179.0,1639.0,1069.0,10.0,3.0,3.0,0.0,0.0,5.0,2.0,12677.0,12334.0,249.0,9537.0,9421.0,222.0,3140.0,2913.0,27.0,4.0,5.0,0.0,0.0,5.0,4.0
LOLTMNT04_151073,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,Shakur,Gamespace Mediterranean College Esports,0.0,Corki,Ryze,Akali,Rumble,Leona,Braum,2063.0,0.0,6.0,4.0,5.0,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5526,1.3669,0.0,0.0,14.0,7.0,2.0,38.0,18345.0,13861.0,403.1314,18333.0,331.0,311.0,20.0,9.6268,3464.0,3422.0,82.0,3187.0,3076.0,78.0,277.0,346.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5563.0,5639.0,127.0,6124.0,5550.0,126.0,-561.0,89.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,8722.0,8720.0,173.0,8155.0,7447.0,163.0,567.0,1273.0,10.0,2.0,1.0,2.0,2.0,3.0,2.0,11347.0,11901.0,241.0,9927.0,9930.0,213.0,1420.0,1971.0,28.0,3.0,2.0,2.0,2.0,3.0,3.0
LOLTMNT04_152058,complete,NLC,2026.0,0.0,2.0,16.02,Blue,bot,Shakur,Gamespace Mediterranean College Esports,1.0,Tristana,Aatrox,Wukong,Akali,Sivir,Xayah,2025.0,0.0,11.0,6.0,1.0,15.0,30.0,1.0,0.0,0.0,0.0,0.0,0.4444,1.3333,0.0,0.0,15.0,12.0,2.0,38.0,20815.0,16408.0,486.163,19050.0,284.0,271.0,13.0,8.4148,3106.0,3451.0,68.0,3679.0,3745.0,96.0,-573.0,-294.0,-28.0,0.0,0.0,1.0,0.0,1.0,0.0,7233.0,6642.0,128.0,5849.0,6145.0,141.0,1384.0,497.0,-13.0,3.0,0.0,1.0,0.0,2.0,2.0,10788.0,10037.0,181.0,8301.0,9390.0,198.0,2487.0,647.0,-17.0,5.0,0.0,2.0,0.0,4.0,2.0,14268.0,12817.0,224.0,11672.0,12424.0,233.0,2596.0,393.0,-9.0,7.0,0.0,3.0,4.0,6.0,3.0
LOLTMNT01_331609,complete,LCP,2026.0,0.0,1.0,16.02,Blue,bot,Shakur,Gamespace Mediterranean College Esports,1.0,Aphelios,Ivern,Syndra,Jarvan IV,Sejuani,Vi,1384.0,1.0,13.0,2.0,4.0,32.0,14.0,3.0,1.0,1.0,0.0,0.0,1.3873,1.9075,1.0,0.0,9.0,2.0,1.0,17.0,15017.0,11918.0,516.6763,13625.0,203.0,195.0,8.0,8.8006,3572.0,3679.0,78.0,3089.0,3632.0,69.0,483.0,47.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,7409.0,6495.0,143.0,5527.0,5797.0,120.0,1882.0,698.0,23.0,2.0,1.0,1.0,0.0,0.0,2.0,10835.0,9702.0,192.0,7968.0,9105.0,173.0,2867.0,597.0,19.0,5.0,4.0,2.0,0.0,4.0,4.0,,,,,,,,,,,,,,,
LOLTMNT01_331638,complete,LCP,2026.0,0.0,2.0,16.02,Red,bot,Shakur,Gamespace Mediterranean College Esports,0.0,Yunara,Ivern,Syndra,Jarvan IV,Lucian,Caitlyn,1760.0,1.0,12.0,5.0,15.0,36.0,25.0,2.0,0.0,0.0,0.0,0.0,1.2273,2.0795,0.0,0.0,11.0,7.0,0.0,26.0,19429.0,15563.0,530.5568,15650.0,272.0,261.0,11.0,9.2727,4224.0,3630.0,74.0,3767.0,3406.0,68.0,457.0,224.0,6.0,3.0,1.0,3.0,2.0,3.0,3.0,8938.0,6413.0,125.0,6233.0,5512.0,115.0,2705.0,901.0,10.0,6.0,4.0,3.0,2.0,3.0,5.0,12078.0,9257.0,172.0,9561.0,8164.0,158.0,2517.0,1093.0,14.0,8.0,8.0,4.0,4.0,6.0,7.0,14654.0,11040.0,215.0,12358.0,11162.0,205.0,2296.0,-122.0,10.0,9.0,9.0,5.0,4.0,9.0,8.0
LOLTMNT02_354186,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,bot,Shakur,Gamespace Mediterranean College Esports,0.0,Aphelios,Ezreal,Ambessa,Rumble,Nautilus,Rakan,1365.0,0.0,1.0,4.0,1.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1758,0.967,0.0,0.0,8.0,4.0,1.0,18.0,9896.0,6836.0,300.4835,9425.0,210.0,210.0,0.0,9.2308,3796.0,3970.0,100.0,3341.0,3607.0,89.0,455.0,363.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7260.0,6523.0,152.0,6621.0,6525.0,152.0,639.0,-2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8836.0,7956.0,194.0,10559.0,9949.0,219.0,-1723.0,-1993.0,-25.0,1.0,0.0,2.0,5.0,1.0,0.0,,,,,,,,,,,,,,,
LOLTMNT02_353235,complete,LCP,2026.0,1.0,2.0,16.03,Blue,bot,Shakur,Gamespace Mediterranean College Esports,1.0,Jhin,Ezreal,Wukong,Ambessa,Taliyah,Rell,1808.0,0.0,4.0,5.0,9.0,17.0,28.0,0.0,0.0,0.0,0.0,1.0,0.5642,1.4934,0.0,0.0,12.0,2.0,1.0,25.0,13272.0,9308.0,308.8938,12025.0,216.0,212.0,4.0,7.1681,3521.0,3219.0,73.0,3886.0,3359.0,82.0,-365.0,-140.0,-9.0,1.0,1.0,2.0,2.0,1.0,1.0,5459.0,4594.0,105.0,6314.0,5704.0,129.0,-855.0,-1110.0,-24.0,1.0,1.0,2.0,2.0,1.0,1.0,8114.0,7990.0,151.0,8731.0,8514.0,185.0,-617.0,-524.0,-34.0,2.0,4.0,2.0,2.0,1.0,1.0,10486.0,10144.0,184.0,10928.0,11052.0,221.0,-442.0,-908.0,-37.0,2.0,8.0,3.0,3.0,1.0,2.0
