gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_172024,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Sharon,Deacoy,1.0,Ekko,Orianna,Ambessa,Ryze,Aatrox,Darius,2243.0,1.0,3.0,3.0,6.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3745,0.7757,0.0,0.0,6.0,7.0,2.0,33.0,14701.0,9850.0,263.4864,14350.0,336.0,332.0,4.0,8.988,3658.0,5343.0,102.0,3298.0,4869.0,92.0,360.0,474.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,7683.0,148.0,4908.0,7813.0,144.0,205.0,-130.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,7057.0,10478.0,209.0,6837.0,10748.0,206.0,220.0,-270.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,9615.0,12844.0,260.0,8512.0,13311.0,247.0,1103.0,-467.0,13.0,1.0,0.0,1.0,1.0,2.0,0.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Sharon,Deacoy,0.0,Ekko,Ambessa,Zaahen,Wukong,Xin Zhao,Urgot,1913.0,1.0,4.0,0.0,4.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5332,0.69,0.0,0.0,4.0,4.0,1.0,22.0,15016.0,10838.0,339.9268,12925.0,339.0,331.0,8.0,10.6325,3889.0,5569.0,109.0,2960.0,4621.0,74.0,929.0,948.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5633.0,8622.0,169.0,4802.0,7514.0,135.0,831.0,1108.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,7928.0,10976.0,218.0,7485.0,10305.0,186.0,443.0,671.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,9962.0,13603.0,263.0,8837.0,11908.0,220.0,1125.0,1695.0,43.0,2.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT06_164122,complete,AL,2026.0,0.0,1.0,16.01,Red,mid,Sharon,Deacoy,0.0,Qiyana,Ambessa,Orianna,Corki,Caitlyn,Yunara,1403.0,0.0,3.0,4.0,2.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2138,1.3257,0.0,0.0,6.0,7.0,1.0,24.0,9037.0,5899.0,252.2737,8725.0,190.0,190.0,0.0,8.1254,3101.0,4529.0,80.0,3685.0,5449.0,106.0,-584.0,-920.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,4995.0,6831.0,126.0,5824.0,7774.0,143.0,-829.0,-943.0,-17.0,1.0,1.0,1.0,1.0,3.0,1.0,7363.0,9036.0,175.0,8659.0,11679.0,194.0,-1296.0,-2643.0,-19.0,2.0,1.0,2.0,3.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_321182,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Sharon,Deacoy,0.0,Fizz,Ornn,K'Sante,Sion,Rell,Orianna,1443.0,0.0,1.0,5.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0832,0.9979,0.0,0.0,5.0,5.0,1.0,29.0,7778.0,4559.0,189.5634,7575.0,195.0,195.0,0.0,8.1081,3712.0,5023.0,85.0,3979.0,4997.0,86.0,-267.0,26.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,5060.0,6835.0,122.0,6419.0,8226.0,145.0,-1359.0,-1391.0,-23.0,1.0,0.0,2.0,1.0,1.0,1.0,6881.0,9291.0,176.0,9430.0,10822.0,192.0,-2549.0,-1531.0,-16.0,1.0,0.0,3.0,2.0,3.0,1.0,7778.0,10370.0,195.0,11697.0,13627.0,214.0,-3919.0,-3257.0,-19.0,1.0,0.0,5.0,4.0,10.0,1.0
LOLTMNT06_164200,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Sharon,Deacoy,1.0,Taliyah,Ahri,Ambessa,Wukong,Xayah,Rell,1546.0,1.0,6.0,1.0,9.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.9702,1.2031,0.0,0.0,12.0,3.0,2.0,22.0,11621.0,8192.0,317.9301,10450.0,219.0,219.0,0.0,8.4994,3293.0,5074.0,88.0,3183.0,4943.0,83.0,110.0,131.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5633.0,8092.0,140.0,4758.0,7477.0,124.0,875.0,615.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,7891.0,10892.0,185.0,6412.0,10303.0,169.0,1479.0,589.0,16.0,2.0,5.0,0.0,0.0,0.0,1.0,11293.0,14030.0,217.0,7750.0,12374.0,200.0,3543.0,1656.0,17.0,6.0,7.0,1.0,0.0,1.0,2.0
LOLTMNT02_343177,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Sharon,Deacoy,1.0,Orianna,Ambessa,Lucian,Wukong,Sion,K'Sante,2505.0,1.0,4.0,2.0,13.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4551,0.9581,0.0,0.0,23.0,10.0,8.0,63.0,17429.0,12043.0,288.4551,16100.0,337.0,333.0,4.0,8.0719,3592.0,4917.0,96.0,3336.0,4989.0,93.0,256.0,-72.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5584.0,7830.0,151.0,5702.0,7883.0,151.0,-118.0,-53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7222.0,9925.0,185.0,8264.0,10134.0,183.0,-1042.0,-209.0,2.0,0.0,3.0,1.0,3.0,3.0,1.0,9343.0,12653.0,220.0,11061.0,12259.0,211.0,-1718.0,394.0,9.0,0.0,7.0,2.0,6.0,6.0,2.0
LOLTMNT01_327096,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Sharon,Deacoy,1.0,Taliyah,Ambessa,Orianna,Mel,Darius,Zaahen,1755.0,0.0,3.0,8.0,6.0,17.0,42.0,0.0,0.0,0.0,0.0,0.0,0.5812,2.0171,0.0,0.0,18.0,7.0,5.0,44.0,11034.0,7178.0,245.4017,10625.0,251.0,251.0,0.0,8.5812,3484.0,5265.0,100.0,4416.0,5211.0,92.0,-932.0,54.0,8.0,0.0,0.0,2.0,2.0,1.0,0.0,6155.0,8486.0,163.0,6107.0,8157.0,148.0,48.0,329.0,15.0,1.0,0.0,2.0,2.0,1.0,1.0,7938.0,11312.0,204.0,8502.0,12389.0,190.0,-564.0,-1077.0,14.0,1.0,4.0,3.0,3.0,4.0,2.0,9017.0,12313.0,220.0,13251.0,15309.0,218.0,-4234.0,-2996.0,2.0,1.0,4.0,6.0,13.0,8.0,2.0
LOLTMNT01_333295,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Sharon,Deacoy,1.0,Syndra,Ornn,Rell,Varus,Lulu,Sylas,2304.0,1.0,7.0,2.0,3.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,0.3906,0.5729,0.0,0.0,22.0,4.0,6.0,44.0,19288.0,14312.0,372.7083,17925.0,387.0,371.0,16.0,10.0781,3666.0,5512.0,102.0,3521.0,5303.0,96.0,145.0,209.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6062.0,8367.0,156.0,5229.0,8256.0,152.0,833.0,111.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,8104.0,11329.0,209.0,7019.0,11334.0,211.0,1085.0,-5.0,-2.0,2.0,0.0,0.0,0.0,1.0,0.0,11313.0,14970.0,266.0,8955.0,15289.0,255.0,2358.0,-319.0,11.0,4.0,0.0,0.0,1.0,1.0,0.0
LOLTMNT01_334313,complete,LCK,2026.0,0.0,2.0,16.02,Red,mid,Sharon,Deacoy,0.0,Ekko,Ornn,Rell,Aurora,Kai'Sa,Bard,2048.0,0.0,2.0,6.0,0.0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0.293,0.9082,0.0,0.0,4.0,8.0,3.0,29.0,12166.0,7712.0,225.9375,12375.0,286.0,278.0,8.0,8.3789,3515.0,5100.0,87.0,3643.0,5203.0,98.0,-128.0,-103.0,-11.0,0.0,0.0,0.0,0.0,1.0,0.0,5064.0,7502.0,134.0,5690.0,7885.0,148.0,-626.0,-383.0,-14.0,0.0,0.0,1.0,1.0,1.0,0.0,6760.0,10050.0,186.0,7655.0,10209.0,187.0,-895.0,-159.0,-1.0,0.0,0.0,2.0,1.0,4.0,1.0,8342.0,12029.0,223.0,9204.0,12760.0,221.0,-862.0,-731.0,2.0,0.0,0.0,4.0,1.0,7.0,2.0
LOLTMNT01_333622,complete,CBLOL,2026.0,0.0,3.0,16.02,Blue,mid,Sharon,Deacoy,1.0,Ryze,Ornn,Rell,Aurora,Zaahen,Cho'Gath,1970.0,0.0,1.0,3.0,4.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.4264,1.1878,0.0,0.0,18.0,1.0,3.0,38.0,13617.0,9323.0,283.9492,12325.0,327.0,323.0,4.0,9.9594,3439.0,4942.0,88.0,3706.0,5574.0,106.0,-267.0,-632.0,-18.0,0.0,1.0,0.0,0.0,1.0,0.0,5178.0,7939.0,144.0,6362.0,8483.0,163.0,-1184.0,-544.0,-19.0,0.0,1.0,0.0,2.0,1.0,0.0,7099.0,10920.0,208.0,9010.0,10498.0,186.0,-1911.0,422.0,22.0,0.0,1.0,1.0,5.0,5.0,1.0,8842.0,15628.0,264.0,10919.0,12786.0,234.0,-2077.0,2842.0,30.0,0.0,1.0,1.0,5.0,5.0,1.0
