gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338573,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Shelfmade,G2 NORD,0.0,Rumble,Ornn,Sion,Lee Sin,Varus,Aphelios,1441.0,1.0,3.0,1.0,6.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,1.1659,1.3324,1.0,0.0,8.0,5.0,2.0,26.0,11501.0,8286.0,345.0104,9350.0,254.0,250.0,4.0,10.576,4012.0,5514.0,106.0,3221.0,5200.0,85.0,791.0,314.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,5696.0,9101.0,163.0,4721.0,8563.0,130.0,975.0,538.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,8508.0,12606.0,219.0,6561.0,11655.0,184.0,1947.0,951.0,35.0,2.0,3.0,0.0,0.0,0.0,0.0,11501.0,15714.0,254.0,7633.0,13546.0,216.0,3868.0,2168.0,38.0,3.0,6.0,1.0,0.0,0.0,1.0
LOLTMNT05_172226,complete,CCWS,2026.0,0.0,1.0,16.01,Red,top,Shelfmade,G2 NORD,0.0,Rek'Sai,Rumble,Jayce,Ryze,Alistar,Xin Zhao,1907.0,1.0,2.0,3.0,4.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.818,1.1956,0.0,0.0,13.0,7.0,2.0,48.0,13046.0,8880.0,279.3917,11750.0,266.0,262.0,4.0,8.3692,3058.0,5087.0,74.0,3808.0,5552.0,86.0,-750.0,-465.0,-12.0,0.0,0.0,1.0,1.0,0.0,0.0,4650.0,8856.0,109.0,5535.0,9125.0,138.0,-885.0,-269.0,-29.0,0.0,0.0,1.0,1.0,0.0,0.0,6375.0,12078.0,162.0,7994.0,13415.0,195.0,-1619.0,-1337.0,-33.0,0.0,0.0,3.0,2.0,0.0,0.0,8516.0,15404.0,215.0,9786.0,15665.0,226.0,-1270.0,-261.0,-11.0,0.0,2.0,3.0,2.0,1.0,0.0
LOLTMNT01_331607,complete,LCK,2026.0,0.0,1.0,16.02,Blue,top,Shelfmade,G2 NORD,1.0,Sion,Neeko,Azir,Jarvan IV,Alistar,Renekton,2115.0,1.0,9.0,1.0,7.0,23.0,12.0,2.0,1.0,0.0,0.0,0.0,0.6525,0.9929,0.0,0.0,12.0,9.0,5.0,42.0,17180.0,12590.0,357.1631,14975.0,327.0,326.0,1.0,9.2766,3373.0,5220.0,88.0,3769.0,5322.0,90.0,-396.0,-102.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,5480.0,9079.0,147.0,6969.0,9127.0,138.0,-1489.0,-48.0,9.0,0.0,0.0,1.0,2.0,3.0,0.0,7460.0,12525.0,211.0,9459.0,13258.0,210.0,-1999.0,-733.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,10901.0,15847.0,256.0,10930.0,15442.0,253.0,-29.0,405.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0
LOLTMNT01_331640,complete,LCK,2026.0,0.0,2.0,16.02,Blue,top,Shelfmade,G2 NORD,1.0,K'Sante,Neeko,Jarvan IV,Aphelios,Renekton,Gnar,2365.0,1.0,4.0,1.0,13.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6596,0.9133,0.0,0.0,16.0,9.0,13.0,48.0,16588.0,11488.0,291.4503,16375.0,338.0,338.0,0.0,8.5751,3728.0,5690.0,110.0,3295.0,4945.0,92.0,433.0,745.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6155.0,10304.0,158.0,4567.0,7304.0,124.0,1588.0,3000.0,34.0,2.0,0.0,0.0,0.0,0.0,2.0,8332.0,13789.0,208.0,6471.0,10432.0,177.0,1861.0,3357.0,31.0,2.0,2.0,0.0,0.0,0.0,3.0,10202.0,16908.0,248.0,9126.0,13848.0,222.0,1076.0,3060.0,26.0,2.0,5.0,0.0,2.0,0.0,5.0
LOLTMNT04_152781,complete,AL,2026.0,0.0,1.0,16.02,Blue,top,Shelfmade,G2 NORD,1.0,Rumble,Poppy,Caitlyn,Sivir,Pyke,Ryze,1654.0,1.0,6.0,0.0,10.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,1.1608,1.451,0.0,0.0,15.0,3.0,8.0,34.0,12014.0,8364.0,303.4099,10500.0,229.0,229.0,0.0,8.3071,3298.0,5317.0,86.0,3313.0,4870.0,87.0,-15.0,447.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4842.0,8729.0,134.0,5007.0,8509.0,139.0,-165.0,220.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,6992.0,12607.0,173.0,6553.0,11148.0,179.0,439.0,1459.0,-6.0,1.0,3.0,0.0,0.0,1.0,1.0,10215.0,16587.0,203.0,7989.0,13457.0,200.0,2226.0,3130.0,3.0,4.0,6.0,0.0,0.0,2.0,4.0
LOLTMNT02_348783,complete,LJL,2026.0,0.0,2.0,16.02,Red,top,Shelfmade,G2 NORD,0.0,K'Sante,Caitlyn,Ryze,Poppy,Malphite,Ahri,1756.0,1.0,1.0,4.0,10.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,1.2642,1.9818,0.0,0.0,11.0,3.0,2.0,28.0,11627.0,7769.0,265.4556,11400.0,214.0,214.0,0.0,7.3121,3533.0,4991.0,92.0,3571.0,5488.0,82.0,-38.0,-497.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,5509.0,8739.0,133.0,4757.0,8111.0,111.0,752.0,628.0,22.0,0.0,2.0,1.0,1.0,0.0,2.0,7870.0,12609.0,187.0,6712.0,11049.0,167.0,1158.0,1560.0,20.0,0.0,3.0,1.0,1.0,0.0,3.0,10087.0,16090.0,212.0,8631.0,12678.0,182.0,1456.0,3412.0,30.0,1.0,5.0,2.0,2.0,2.0,7.0
LOLTMNT02_348785,complete,LJL,2026.0,0.0,3.0,16.02,Red,top,Shelfmade,G2 NORD,0.0,Aatrox,Ryze,Caitlyn,Pyke,Lulu,Karma,1874.0,1.0,4.0,4.0,4.0,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.9605,1.5688,0.0,0.0,17.0,4.0,4.0,48.0,12766.0,8667.0,277.492,12100.0,229.0,209.0,20.0,7.3319,3061.0,4715.0,70.0,3966.0,4905.0,85.0,-905.0,-190.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,4395.0,8365.0,108.0,5489.0,8341.0,135.0,-1094.0,24.0,-27.0,0.0,0.0,1.0,1.0,0.0,0.0,7073.0,11935.0,148.0,8295.0,11791.0,187.0,-1222.0,144.0,-39.0,2.0,2.0,2.0,2.0,3.0,1.0,9293.0,14207.0,163.0,9524.0,13445.0,204.0,-231.0,762.0,-41.0,4.0,2.0,4.0,2.0,6.0,4.0
LOLTMNT02_349098,complete,LCS,2026.0,0.0,1.0,16.02,Blue,top,Shelfmade,G2 NORD,1.0,Rek'Sai,Jarvan IV,Yunara,Ryze,Alistar,Nautilus,1782.0,0.0,2.0,4.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,1.0,0.2694,1.0774,0.0,0.0,14.0,4.0,7.0,37.0,11352.0,7441.0,250.5387,11300.0,252.0,250.0,2.0,8.4848,4063.0,5439.0,99.0,3867.0,5441.0,104.0,196.0,-2.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,6184.0,9338.0,161.0,5941.0,9484.0,166.0,243.0,-146.0,-5.0,1.0,0.0,0.0,0.0,0.0,1.0,8692.0,11816.0,201.0,7207.0,10802.0,187.0,1485.0,1014.0,14.0,2.0,0.0,1.0,0.0,1.0,3.0,9810.0,12795.0,220.0,9455.0,14482.0,217.0,355.0,-1687.0,3.0,2.0,0.0,3.0,1.0,3.0,3.0
LOLTMNT02_349142,complete,LJL,2026.0,0.0,2.0,16.02,Red,top,Shelfmade,G2 NORD,0.0,Sion,Varus,Ryze,Rumble,Xayah,Tristana,1721.0,1.0,2.0,1.0,10.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.767,1.0808,0.0,0.0,17.0,1.0,8.0,40.0,11742.0,7956.0,277.3736,10800.0,281.0,281.0,0.0,9.7966,3426.0,5069.0,85.0,3869.0,5536.0,83.0,-443.0,-467.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4920.0,8451.0,133.0,5641.0,9354.0,137.0,-721.0,-903.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,7303.0,12390.0,202.0,9086.0,12984.0,199.0,-1783.0,-594.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,9587.0,16451.0,244.0,10283.0,14504.0,222.0,-696.0,1947.0,22.0,1.0,7.0,1.0,1.0,0.0,3.0
LOLTMNT02_349149,complete,LJL,2026.0,0.0,3.0,16.02,Blue,top,Shelfmade,G2 NORD,1.0,Zaahen,Ryze,Jarvan IV,Aatrox,Aphelios,Lucian,2375.0,0.0,2.0,5.0,9.0,22.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5558,1.1368,0.0,0.0,14.0,9.0,6.0,46.0,14343.0,9222.0,232.9768,14308.0,298.0,277.0,21.0,7.5284,3312.0,4966.0,85.0,3770.0,5482.0,97.0,-458.0,-516.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,4940.0,8478.0,137.0,5662.0,9034.0,150.0,-722.0,-556.0,-13.0,0.0,0.0,1.0,0.0,1.0,0.0,7661.0,11758.0,178.0,8440.0,11658.0,192.0,-779.0,100.0,-14.0,1.0,3.0,1.0,1.0,3.0,1.0,10738.0,16390.0,231.0,10233.0,13816.0,232.0,505.0,2574.0,-1.0,2.0,6.0,1.0,1.0,3.0,4.0
