gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Sheo,Team Heretics,1.0,Wukong,Poppy,Pantheon,Varus,Braum,Alistar,1954.0,0.0,0.0,5.0,4.0,5.0,16.0,0.0,0.0,0.0,0.0,1.0,0.1535,0.6448,0.0,1.0,6.0,14.0,4.0,59.0,9862.0,5600.0,171.955,9533.0,195.0,18.0,177.0,5.9877,3361.0,3773.0,71.0,3895.0,4539.0,79.0,-534.0,-766.0,-8.0,0.0,1.0,1.0,0.0,2.0,1.0,5033.0,6245.0,112.0,6611.0,7371.0,127.0,-1578.0,-1126.0,-15.0,0.0,1.0,1.0,1.0,2.0,1.0,6691.0,8433.0,148.0,9727.0,11089.0,184.0,-3036.0,-2656.0,-36.0,0.0,2.0,2.0,2.0,5.0,1.0,8253.0,10486.0,176.0,11747.0,13206.0,217.0,-3494.0,-2720.0,-41.0,0.0,3.0,3.0,2.0,7.0,2.0
LOLTMNT03_339218,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Sheo,Team Heretics,1.0,Pantheon,Neeko,Taliyah,Yunara,Bard,Rakan,2419.0,0.0,4.0,3.0,3.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1984,0.5457,0.0,2.0,18.0,13.0,13.0,58.0,13628.0,8418.0,208.797,13325.0,261.0,36.0,225.0,6.4737,3783.0,4008.0,79.0,3329.0,3735.0,69.0,454.0,273.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,6179.0,6671.0,120.0,5253.0,6957.0,118.0,926.0,-286.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,7829.0,9141.0,158.0,7497.0,9469.0,159.0,332.0,-328.0,-1.0,3.0,1.0,2.0,1.0,3.0,1.0,9521.0,10990.0,185.0,9259.0,11881.0,194.0,262.0,-891.0,-9.0,4.0,1.0,2.0,1.0,3.0,1.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,jng,Sheo,Team Heretics,0.0,Dr. Mundo,Poppy,Orianna,Xin Zhao,Bard,Neeko,2507.0,1.0,3.0,1.0,12.0,19.0,8.0,0.0,0.0,0.0,0.0,1.0,0.4547,0.6462,2.0,1.0,10.0,15.0,8.0,69.0,17044.0,11654.0,278.915,14150.0,310.0,41.0,269.0,7.4192,3718.0,4739.0,88.0,3823.0,4407.0,89.0,-105.0,332.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,5662.0,7992.0,140.0,5716.0,6695.0,125.0,-54.0,1297.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,7658.0,10449.0,181.0,7222.0,8503.0,159.0,436.0,1946.0,22.0,0.0,3.0,0.0,1.0,0.0,0.0,9430.0,12893.0,218.0,9213.0,11363.0,192.0,217.0,1530.0,26.0,0.0,4.0,0.0,1.0,1.0,0.0
LOLTMNT01_326658,complete,HW,2026.0,0.0,1.0,16.02,Blue,jng,Sheo,Team Heretics,0.0,Dr. Mundo,Renekton,Pantheon,Orianna,Corki,Rakan,1947.0,1.0,1.0,2.0,3.0,13.0,8.0,0.0,0.0,0.0,0.0,1.0,0.4006,0.6471,0.0,1.0,10.0,7.0,4.0,45.0,11292.0,7045.0,217.1032,10950.0,218.0,15.0,203.0,6.718,3547.0,4320.0,78.0,3380.0,4016.0,77.0,167.0,304.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5250.0,6757.0,122.0,5005.0,6166.0,116.0,245.0,591.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,7404.0,9208.0,160.0,6800.0,8465.0,143.0,604.0,743.0,17.0,1.0,1.0,0.0,1.0,1.0,1.0,9177.0,11799.0,194.0,9077.0,11561.0,179.0,100.0,238.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0
LOLTMNT06_165068,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,Sheo,Team Heretics,1.0,Jayce,Sion,Corki,Jarvan IV,Bard,Cho'Gath,1969.0,0.0,5.0,5.0,2.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2438,0.8532,0.0,2.0,7.0,16.0,3.0,64.0,15498.0,11206.0,341.4728,14075.0,235.0,31.0,204.0,7.161,4334.0,4641.0,88.0,3545.0,4170.0,81.0,789.0,471.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,6518.0,7346.0,137.0,5418.0,6560.0,124.0,1100.0,786.0,13.0,1.0,1.0,0.0,0.0,1.0,1.0,9319.0,10256.0,175.0,7199.0,8728.0,150.0,2120.0,1528.0,25.0,2.0,1.0,0.0,0.0,4.0,1.0,12106.0,12806.0,206.0,9360.0,11275.0,172.0,2746.0,1531.0,34.0,4.0,1.0,1.0,1.0,5.0,1.0
LOLTMNT01_332170,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,Sheo,Team Heretics,0.0,Dr. Mundo,Yunara,Jayce,Jarvan IV,Bard,Rakan,1746.0,0.0,2.0,4.0,2.0,6.0,17.0,0.0,0.0,0.0,0.0,1.0,0.2062,0.7904,0.0,1.0,8.0,10.0,5.0,31.0,9176.0,5339.0,183.4708,9075.0,170.0,10.0,160.0,5.8419,3871.0,4021.0,77.0,3433.0,4185.0,80.0,438.0,-164.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,5581.0,6460.0,120.0,5344.0,6521.0,124.0,237.0,-61.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,7082.0,8249.0,152.0,7571.0,9396.0,159.0,-489.0,-1147.0,-7.0,1.0,0.0,0.0,1.0,0.0,0.0,8137.0,9696.0,161.0,10201.0,13320.0,204.0,-2064.0,-3624.0,-43.0,1.0,2.0,3.0,2.0,4.0,0.0
LOLTMNT01_336787,complete,HLL,2026.0,0.0,1.0,16.02,Blue,jng,Sheo,Team Heretics,0.0,Aatrox,Varus,Ryze,Yunara,Corki,Miss Fortune,2365.0,0.0,2.0,5.0,7.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3044,0.7865,0.0,1.0,13.0,29.0,9.0,106.0,14103.0,9003.0,228.4059,13725.0,267.0,41.0,226.0,6.7738,3566.0,4409.0,84.0,3673.0,3861.0,70.0,-107.0,548.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,5460.0,7359.0,138.0,5263.0,6105.0,107.0,197.0,1254.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,7189.0,9236.0,171.0,7336.0,9051.0,139.0,-147.0,185.0,32.0,0.0,1.0,1.0,2.0,2.0,0.0,8709.0,10779.0,201.0,9073.0,11109.0,171.0,-364.0,-330.0,30.0,0.0,1.0,2.0,2.0,4.0,0.0
LOLTMNT04_151744,complete,EBL,2026.0,0.0,1.0,16.02,Blue,jng,Sheo,Team Heretics,0.0,Ambessa,Varus,Pantheon,Rumble,Aphelios,Neeko,2566.0,1.0,3.0,4.0,11.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.491,0.7716,1.0,1.0,10.0,18.0,6.0,78.0,16523.0,11013.0,257.5136,15200.0,304.0,43.0,261.0,7.1083,3882.0,4307.0,80.0,4158.0,4216.0,72.0,-276.0,91.0,8.0,1.0,0.0,2.0,2.0,1.0,0.0,5321.0,6105.0,108.0,6211.0,7028.0,116.0,-890.0,-923.0,-8.0,1.0,0.0,2.0,3.0,1.0,0.0,7569.0,8784.0,145.0,7877.0,9214.0,149.0,-308.0,-430.0,-4.0,2.0,3.0,2.0,3.0,2.0,1.0,9375.0,11164.0,179.0,10158.0,12300.0,195.0,-783.0,-1136.0,-16.0,2.0,4.0,3.0,4.0,3.0,1.0
LOLTMNT01_338508,complete,HW,2026.0,0.0,1.0,16.02,Blue,jng,Sheo,Team Heretics,0.0,Xin Zhao,Varus,Poppy,Jayce,Kai'Sa,Rakan,2269.0,1.0,2.0,2.0,10.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.6082,0.952,1.0,0.0,9.0,24.0,6.0,84.0,15635.0,10731.0,283.7638,12675.0,294.0,55.0,239.0,7.7743,3686.0,3722.0,71.0,3899.0,4090.0,72.0,-213.0,-368.0,-1.0,1.0,1.0,1.0,1.0,3.0,1.0,5985.0,7286.0,124.0,6488.0,6528.0,112.0,-503.0,758.0,12.0,1.0,6.0,2.0,4.0,3.0,3.0,8279.0,9960.0,166.0,8307.0,9254.0,157.0,-28.0,706.0,9.0,1.0,7.0,2.0,4.0,3.0,3.0,10069.0,12496.0,210.0,10042.0,11715.0,196.0,27.0,781.0,14.0,1.0,7.0,2.0,4.0,3.0,3.0
LOLTMNT05_175412,complete,AL,2026.0,0.0,1.0,16.03,Blue,jng,Sheo,Team Heretics,0.0,Dr. Mundo,Vi,Yunara,Jarvan IV,Renekton,Alistar,2105.0,1.0,4.0,0.0,12.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.4846,0.7981,0.0,0.0,9.0,20.0,5.0,68.0,15236.0,10666.0,304.019,11875.0,277.0,40.0,237.0,7.8955,3878.0,4506.0,86.0,4203.0,3863.0,68.0,-325.0,643.0,18.0,1.0,0.0,0.0,2.0,1.0,0.0,6189.0,7834.0,138.0,5919.0,6281.0,114.0,270.0,1553.0,24.0,2.0,1.0,0.0,2.0,1.0,0.0,8711.0,10757.0,181.0,7781.0,8966.0,154.0,930.0,1791.0,27.0,3.0,1.0,0.0,2.0,1.0,1.0,10220.0,12313.0,211.0,9938.0,11772.0,199.0,282.0,541.0,12.0,3.0,1.0,0.0,2.0,4.0,1.0
