gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164183,complete,AL,2026.0,0.0,1.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,0.0,Blitzcrank,Orianna,Rumble,Neeko,Sion,Akali,2369.0,1.0,0.0,4.0,15.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4306,0.8611,0.0,0.0,84.0,11.0,21.0,159.0,10122.0,5014.0,126.9903,9380.0,42.0,40.0,2.0,1.0637,2187.0,3088.0,18.0,2207.0,2451.0,16.0,-20.0,637.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3346.0,4311.0,26.0,3352.0,3913.0,23.0,-6.0,398.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4541.0,5235.0,33.0,4690.0,5421.0,25.0,-149.0,-186.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,5618.0,6660.0,35.0,5999.0,7426.0,25.0,-381.0,-766.0,10.0,0.0,0.0,1.0,0.0,5.0,0.0
LOLTMNT03_336667,complete,LCK,2026.0,0.0,2.0,16.01,Blue,sup,ShiauC,Deep Cross Gaming,0.0,Rakan,Rumble,Orianna,Malphite,Poppy,Sion,2302.0,1.0,0.0,2.0,11.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5474,0.8341,0.0,0.0,101.0,33.0,29.0,224.0,10329.0,5357.0,139.6264,9220.0,51.0,51.0,0.0,1.3293,2522.0,2672.0,23.0,2348.0,2212.0,10.0,174.0,460.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,3951.0,3865.0,33.0,3467.0,3341.0,17.0,484.0,524.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,5267.0,4869.0,41.0,5448.0,4803.0,20.0,-181.0,66.0,21.0,0.0,2.0,0.0,1.0,1.0,3.0,6560.0,6759.0,44.0,6584.0,6345.0,28.0,-24.0,414.0,16.0,0.0,6.0,0.0,1.0,1.0,3.0
LOLTMNT03_336978,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,0.0,Thresh,Rumble,Ryze,Neeko,Lulu,Blitzcrank,1634.0,1.0,1.0,1.0,21.0,29.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0649,1.3219,0.0,0.0,53.0,16.0,12.0,117.0,8630.0,5021.0,184.3696,7605.0,31.0,31.0,0.0,1.1383,2601.0,2850.0,14.0,2690.0,2504.0,18.0,-89.0,346.0,-4.0,0.0,1.0,1.0,0.0,2.0,1.0,3847.0,4241.0,22.0,3834.0,3627.0,31.0,13.0,614.0,-9.0,0.0,2.0,1.0,0.0,2.0,2.0,5872.0,6299.0,26.0,5156.0,5057.0,37.0,716.0,1242.0,-11.0,1.0,7.0,1.0,0.0,2.0,4.0,7403.0,8304.0,30.0,6437.0,6895.0,40.0,966.0,1409.0,-10.0,1.0,16.0,1.0,0.0,5.0,6.0
LOLTMNT03_338076,complete,LCKC,2026.0,0.0,2.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,1.0,Rakan,Neeko,Poppy,Jayce,Gnar,Kennen,2185.0,0.0,2.0,8.0,14.0,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.6041,1.2082,0.0,0.0,92.0,24.0,21.0,192.0,10079.0,5346.0,146.8009,10850.0,34.0,34.0,0.0,0.9336,3428.0,2651.0,13.0,2792.0,2457.0,15.0,636.0,194.0,-2.0,2.0,4.0,2.0,0.0,4.0,2.0,4547.0,2726.0,18.0,4043.0,3402.0,31.0,504.0,-676.0,-13.0,2.0,4.0,2.0,0.0,4.0,2.0,5931.0,4382.0,21.0,5250.0,4432.0,37.0,681.0,-50.0,-16.0,2.0,8.0,4.0,0.0,6.0,3.0,7183.0,5573.0,24.0,6455.0,5393.0,42.0,728.0,180.0,-18.0,2.0,10.0,5.0,0.0,7.0,4.0
LOLTMNT03_338108,complete,LCKC,2026.0,0.0,3.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,1.0,Bard,Poppy,Neeko,Azir,Mel,Galio,2483.0,0.0,2.0,6.0,7.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2658,0.7491,0.0,0.0,112.0,33.0,30.0,251.0,11192.0,5851.0,141.3854,10575.0,47.0,46.0,1.0,1.1357,2422.0,2594.0,9.0,2520.0,2297.0,19.0,-98.0,297.0,-10.0,0.0,0.0,1.0,0.0,2.0,0.0,3615.0,3557.0,13.0,3917.0,3262.0,26.0,-302.0,295.0,-13.0,0.0,2.0,2.0,1.0,3.0,1.0,4933.0,5025.0,18.0,5003.0,4259.0,31.0,-70.0,766.0,-13.0,0.0,4.0,2.0,1.0,3.0,2.0,6231.0,6070.0,27.0,6264.0,6010.0,32.0,-33.0,60.0,-5.0,0.0,4.0,3.0,1.0,5.0,2.0
LOLTMNT04_150288,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,0.0,Bard,Orianna,Akali,Neeko,Kai'Sa,Corki,2073.0,1.0,2.0,1.0,11.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.4631,0.6946,0.0,0.0,91.0,28.0,27.0,199.0,10362.0,5857.0,169.5224,9250.0,46.0,46.0,0.0,1.3314,2365.0,2608.0,17.0,2498.0,2668.0,19.0,-133.0,-60.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,3773.0,4479.0,21.0,3701.0,3530.0,28.0,72.0,949.0,-7.0,0.0,2.0,0.0,0.0,1.0,0.0,5644.0,6115.0,28.0,5050.0,4744.0,34.0,594.0,1371.0,-6.0,1.0,6.0,0.0,0.0,2.0,1.0,6818.0,6889.0,36.0,6206.0,5885.0,39.0,612.0,1004.0,-3.0,1.0,6.0,0.0,0.0,3.0,1.0
LOLTMNT04_149293,complete,LEC,2026.0,0.0,2.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,0.0,Poppy,Orianna,Akali,Neeko,Miss Fortune,K'Sante,1655.0,0.0,2.0,3.0,2.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.9063,0.0,0.0,62.0,15.0,20.0,128.0,7787.0,4135.0,149.9094,7420.0,39.0,39.0,0.0,1.4139,2856.0,3296.0,18.0,2340.0,2866.0,15.0,516.0,430.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4209.0,3912.0,27.0,3618.0,3977.0,29.0,591.0,-65.0,-2.0,1.0,1.0,0.0,0.0,1.0,0.0,5394.0,4948.0,32.0,5317.0,5532.0,35.0,77.0,-584.0,-3.0,1.0,2.0,1.0,1.0,4.0,2.0,6541.0,5505.0,36.0,7589.0,8239.0,38.0,-1048.0,-2734.0,-2.0,1.0,2.0,3.0,1.0,12.0,2.0
LOLTMNT04_149323,complete,LEC,2026.0,0.0,3.0,16.01,Red,sup,ShiauC,Deep Cross Gaming,1.0,Lulu,Akali,Ahri,Dr. Mundo,Zaahen,LeBlanc,1937.0,1.0,0.0,1.0,10.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5266,0.7434,0.0,0.0,78.0,26.0,22.0,171.0,8685.0,4458.0,138.0898,7865.0,44.0,44.0,0.0,1.3629,2351.0,2991.0,18.0,2266.0,2617.0,15.0,85.0,374.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3652.0,4084.0,25.0,4222.0,4550.0,35.0,-570.0,-466.0,-10.0,0.0,1.0,1.0,1.0,3.0,0.0,4878.0,4744.0,32.0,5638.0,5377.0,40.0,-760.0,-633.0,-8.0,0.0,1.0,1.0,2.0,3.0,0.0,6528.0,7184.0,39.0,6712.0,6152.0,46.0,-184.0,1032.0,-7.0,0.0,4.0,1.0,2.0,3.0,0.0
LOLTMNT01_334140,complete,LJL,2026.0,0.0,1.0,16.02,Blue,sup,ShiauC,Deep Cross Gaming,0.0,Rell,Jayce,Varus,Neeko,Corki,Miss Fortune,2141.0,1.0,0.0,4.0,14.0,16.0,10.0,0.0,0.0,0.0,0.0,1.0,0.4484,0.7286,0.0,0.0,83.0,22.0,23.0,164.0,9621.0,4978.0,139.5049,8615.0,37.0,37.0,0.0,1.0369,2409.0,2651.0,16.0,2635.0,2868.0,19.0,-226.0,-217.0,-3.0,0.0,1.0,0.0,1.0,0.0,0.0,3585.0,3287.0,23.0,3998.0,3624.0,29.0,-413.0,-337.0,-6.0,0.0,1.0,0.0,1.0,0.0,0.0,5044.0,4387.0,30.0,5403.0,5206.0,39.0,-359.0,-819.0,-9.0,0.0,4.0,1.0,1.0,2.0,1.0,6446.0,6224.0,34.0,6485.0,6095.0,43.0,-39.0,129.0,-9.0,0.0,6.0,2.0,1.0,2.0,2.0
LOLTMNT01_333250,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,ShiauC,Deep Cross Gaming,1.0,Alistar,Malphite,Sion,Nocturne,Bard,Renekton,2035.0,0.0,0.0,7.0,6.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2359,0.7961,0.0,0.0,77.0,11.0,24.0,143.0,7808.0,3381.0,99.6855,7650.0,35.0,35.0,0.0,1.0319,2338.0,2619.0,17.0,2548.0,2912.0,17.0,-210.0,-293.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3434.0,3516.0,27.0,3600.0,3935.0,27.0,-166.0,-419.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4599.0,5512.0,29.0,4898.0,5131.0,34.0,-299.0,381.0,-5.0,0.0,1.0,1.0,0.0,2.0,0.0,5711.0,5891.0,32.0,6130.0,6562.0,38.0,-419.0,-671.0,-6.0,0.0,2.0,2.0,0.0,3.0,1.0
