gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Wukong,Hecarim,Sion,Caitlyn,Neeko,Rakan,1667.0,1.0,5.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5039,0.6839,1.0,0.0,10.0,13.0,6.0,60.0,12936.0,9260.0,333.2933,11033.0,206.0,25.0,181.0,7.4145,4446.0,4657.0,80.0,3333.0,3748.0,72.0,1113.0,909.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,6327.0,6938.0,120.0,4922.0,5886.0,108.0,1405.0,1052.0,12.0,3.0,0.0,0.0,0.0,1.0,0.0,8686.0,9963.0,159.0,6645.0,8361.0,146.0,2041.0,1602.0,13.0,3.0,2.0,0.0,0.0,3.0,0.0,11296.0,13094.0,195.0,8271.0,10532.0,182.0,3025.0,2562.0,13.0,4.0,3.0,0.0,0.0,3.0,0.0
LOLTMNT06_163127,complete,AL,2026.0,0.0,2.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Ambessa,Hecarim,Sion,Caitlyn,Renekton,K'Sante,1975.0,1.0,10.0,2.0,10.0,24.0,19.0,1.0,0.0,0.0,0.0,0.0,0.7291,1.3063,1.0,0.0,9.0,2.0,4.0,35.0,17901.0,13596.0,413.043,14900.0,257.0,32.0,225.0,7.8076,3319.0,3769.0,78.0,4100.0,4014.0,67.0,-781.0,-245.0,11.0,0.0,0.0,1.0,2.0,2.0,1.0,5246.0,6159.0,119.0,6005.0,7276.0,118.0,-759.0,-1117.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,8467.0,10085.0,165.0,8096.0,10308.0,167.0,371.0,-223.0,-2.0,1.0,2.0,2.0,2.0,4.0,1.0,12265.0,14260.0,200.0,10299.0,12989.0,200.0,1966.0,1271.0,0.0,5.0,4.0,2.0,3.0,5.0,2.0
LOLTMNT03_337829,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,jng,Shlatan,Dragons Esports,0.0,Wukong,Orianna,Jayce,Rumble,Leona,Neeko,1782.0,1.0,6.0,2.0,13.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.8754,1.2795,1.0,0.0,17.0,9.0,8.0,62.0,14439.0,10528.0,354.4781,13033.0,214.0,35.0,179.0,7.2054,4316.0,4341.0,78.0,3376.0,4016.0,73.0,940.0,325.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,5866.0,6519.0,115.0,4818.0,6347.0,106.0,1048.0,172.0,9.0,1.0,3.0,1.0,0.0,1.0,1.0,8778.0,9094.0,149.0,6345.0,8080.0,131.0,2433.0,1014.0,18.0,3.0,3.0,1.0,0.0,2.0,2.0,11686.0,12044.0,183.0,8292.0,10693.0,160.0,3394.0,1351.0,23.0,4.0,9.0,1.0,1.0,4.0,4.0
LOLTMNT06_164234,complete,LEC,2026.0,0.0,2.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Pantheon,Neeko,Malphite,Akali,Thresh,LeBlanc,1742.0,1.0,6.0,2.0,11.0,20.0,6.0,1.0,1.0,0.0,0.0,1.0,0.6889,0.8955,1.0,0.0,15.0,7.0,6.0,57.0,13344.0,9515.0,327.7268,11500.0,191.0,25.0,166.0,6.5786,4355.0,3965.0,71.0,3188.0,3484.0,69.0,1167.0,481.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5909.0,5397.0,94.0,5191.0,6226.0,109.0,718.0,-829.0,-15.0,3.0,1.0,1.0,1.0,1.0,0.0,8580.0,8739.0,145.0,7055.0,8502.0,144.0,1525.0,237.0,1.0,3.0,4.0,2.0,1.0,4.0,0.0,10769.0,11125.0,168.0,8613.0,10419.0,173.0,2156.0,706.0,-5.0,5.0,7.0,2.0,1.0,5.0,1.0
LOLTMNT04_148357,complete,NLC,2026.0,0.0,1.0,16.01,Red,jng,Shlatan,Dragons Esports,0.0,Pantheon,Caitlyn,Rumble,Neeko,Bard,Lulu,1531.0,1.0,3.0,0.0,11.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.823,0.9798,0.0,0.0,11.0,4.0,5.0,45.0,11129.0,7730.0,302.9393,10125.0,182.0,27.0,155.0,7.1326,3424.0,4107.0,79.0,3642.0,4522.0,89.0,-218.0,-415.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5671.0,6534.0,118.0,5182.0,6340.0,120.0,489.0,194.0,-2.0,1.0,0.0,0.0,0.0,1.0,1.0,8163.0,9244.0,148.0,6623.0,8344.0,150.0,1540.0,900.0,-2.0,1.0,4.0,0.0,0.0,1.0,2.0,10884.0,13386.0,177.0,8438.0,10106.0,163.0,2446.0,3280.0,14.0,3.0,11.0,0.0,1.0,1.0,4.0
LOLTMNT03_338635,complete,LCKC,2026.0,0.0,2.0,16.01,Red,jng,Shlatan,Dragons Esports,0.0,Vi,Caitlyn,Rumble,Neeko,Galio,Syndra,2032.0,1.0,2.0,2.0,10.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.561,0.7382,1.0,1.0,10.0,6.0,6.0,50.0,13306.0,8885.0,262.3524,12725.0,221.0,13.0,208.0,6.5256,3584.0,4050.0,75.0,3645.0,4710.0,90.0,-61.0,-660.0,-15.0,0.0,1.0,0.0,0.0,0.0,0.0,5470.0,6364.0,105.0,5191.0,6626.0,126.0,279.0,-262.0,-21.0,0.0,3.0,0.0,0.0,0.0,0.0,7731.0,8982.0,138.0,7013.0,8331.0,146.0,718.0,651.0,-8.0,1.0,6.0,0.0,0.0,1.0,1.0,9734.0,11355.0,177.0,8979.0,11018.0,175.0,755.0,337.0,2.0,1.0,6.0,1.0,0.0,2.0,1.0
LOLTMNT03_341342,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Wukong,Malphite,Neeko,Ryze,Gwen,Gnar,2485.0,0.0,0.0,5.0,11.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3622,1.0865,1.0,0.0,13.0,13.0,5.0,73.0,15767.0,10422.0,251.6378,15208.0,293.0,29.0,264.0,7.0744,3592.0,4507.0,86.0,4074.0,4454.0,84.0,-482.0,53.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,5497.0,6836.0,125.0,5785.0,6948.0,129.0,-288.0,-112.0,-4.0,0.0,1.0,0.0,1.0,2.0,1.0,7048.0,9026.0,162.0,7636.0,9567.0,165.0,-588.0,-541.0,-3.0,0.0,1.0,1.0,1.0,5.0,1.0,9090.0,12064.0,204.0,9280.0,11707.0,196.0,-190.0,357.0,8.0,0.0,2.0,1.0,1.0,5.0,1.0
LOLTMNT04_149134,complete,LEC,2026.0,0.0,2.0,16.01,Red,jng,Shlatan,Dragons Esports,0.0,Vi,Jayce,Rumble,Ryze,Lulu,Renekton,2088.0,1.0,1.0,4.0,14.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6897,1.0345,1.0,0.0,18.0,7.0,8.0,53.0,14551.0,10016.0,287.8161,13200.0,245.0,33.0,212.0,7.0402,3475.0,4209.0,80.0,3382.0,3900.0,70.0,93.0,309.0,10.0,0.0,0.0,2.0,0.0,4.0,0.0,5417.0,6733.0,123.0,5379.0,6978.0,115.0,38.0,-245.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,7793.0,9110.0,153.0,6964.0,8717.0,146.0,829.0,393.0,7.0,0.0,3.0,2.0,0.0,6.0,1.0,9620.0,11873.0,190.0,8676.0,10830.0,171.0,944.0,1043.0,19.0,0.0,3.0,3.0,1.0,7.0,1.0
LOLTMNT01_325655,complete,CBLOL,2026.0,0.0,3.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Xin Zhao,Malphite,Cassiopeia,Neeko,Renekton,Mel,1732.0,1.0,1.0,2.0,15.0,22.0,6.0,0.0,0.0,0.0,0.0,1.0,0.7621,0.97,0.0,0.0,15.0,8.0,10.0,67.0,11936.0,8127.0,281.5358,11000.0,205.0,20.0,185.0,7.1016,4066.0,3811.0,74.0,3219.0,3583.0,69.0,847.0,228.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,6039.0,6744.0,122.0,5236.0,5863.0,101.0,803.0,881.0,21.0,1.0,4.0,1.0,1.0,2.0,3.0,8332.0,9104.0,148.0,6754.0,8184.0,132.0,1578.0,920.0,16.0,1.0,8.0,1.0,1.0,3.0,4.0,10231.0,11352.0,184.0,8256.0,10436.0,161.0,1975.0,916.0,23.0,1.0,8.0,1.0,1.0,4.0,5.0
LOLTMNT04_152055,complete,LIT,2026.0,1.0,1.0,16.01,Blue,jng,Shlatan,Dragons Esports,1.0,Jarvan IV,Malphite,Neeko,Azir,Fiora,Gwen,1786.0,1.0,3.0,2.0,18.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.8399,1.0414,0.0,0.0,13.0,5.0,7.0,47.0,12375.0,8456.0,284.0761,10725.0,183.0,9.0,174.0,6.1478,3268.0,3629.0,74.0,3361.0,3799.0,65.0,-93.0,-170.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,5661.0,6325.0,107.0,4904.0,5858.0,100.0,757.0,467.0,7.0,1.0,3.0,2.0,0.0,1.0,2.0,7560.0,8360.0,131.0,6649.0,8575.0,137.0,911.0,-215.0,-6.0,1.0,4.0,2.0,0.0,1.0,2.0,9556.0,11299.0,164.0,8112.0,10800.0,166.0,1444.0,499.0,-2.0,1.0,9.0,2.0,0.0,2.0,3.0
