gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163282,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Shogun,MVK Esports,1.0,Varus,Ambessa,Sylas,Neeko,K'Sante,Bard,1760.0,1.0,6.0,0.0,6.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,0.4773,0.6136,0.0,0.0,14.0,12.0,7.0,47.0,16247.0,12381.0,422.0795,13062.0,324.0,324.0,0.0,11.0455,4021.0,3982.0,98.0,3704.0,3944.0,108.0,317.0,38.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,6481.0,6335.0,156.0,6351.0,6302.0,171.0,130.0,33.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,9385.0,8790.0,213.0,8709.0,8348.0,220.0,676.0,442.0,-7.0,2.0,0.0,0.0,1.0,0.0,1.0,11654.0,11387.0,267.0,10493.0,9810.0,264.0,1161.0,1577.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0
LOLTMNT01_320998,complete,LCP,2026.0,0.0,2.0,16.01,Red,bot,Shogun,MVK Esports,0.0,Ashe,K'Sante,Rumble,Azir,Orianna,Sylas,1691.0,1.0,1.0,0.0,9.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.6742,0.887,0.0,0.0,14.0,15.0,4.0,49.0,15567.0,11842.0,420.1774,13200.0,353.0,337.0,16.0,12.5251,4408.0,3735.0,101.0,2994.0,3081.0,66.0,1414.0,654.0,35.0,1.0,2.0,0.0,0.0,0.0,1.0,7891.0,6430.0,170.0,4886.0,5322.0,109.0,3005.0,1108.0,61.0,1.0,4.0,0.0,0.0,1.0,3.0,10574.0,9308.0,244.0,7254.0,8184.0,176.0,3320.0,1124.0,68.0,1.0,4.0,0.0,0.0,1.0,3.0,13488.0,13058.0,302.0,9522.0,10363.0,222.0,3966.0,2695.0,80.0,1.0,7.0,0.0,0.0,2.0,4.0
LOLTMNT03_340339,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,Shogun,MVK Esports,1.0,Ziggs,Neeko,Sylas,Akali,Bard,Nautilus,2746.0,0.0,1.0,1.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1092,0.3277,0.0,0.0,23.0,15.0,11.0,64.0,21747.0,15870.0,346.7589,20925.0,483.0,479.0,4.0,10.5535,3856.0,4126.0,104.0,3408.0,3889.0,88.0,448.0,237.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6354.0,7172.0,169.0,5870.0,7070.0,153.0,484.0,102.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8947.0,9744.0,231.0,8242.0,9888.0,220.0,705.0,-144.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11713.0,12610.0,291.0,10333.0,12814.0,283.0,1380.0,-204.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0
LOLTMNT02_344222,complete,LCP,2026.0,0.0,2.0,16.01,Blue,bot,Shogun,MVK Esports,1.0,Kai'Sa,Neeko,Sylas,Renekton,Lulu,Braum,2186.0,1.0,6.0,1.0,7.0,17.0,8.0,0.0,0.0,0.0,0.0,1.0,0.4666,0.6862,0.0,0.0,16.0,10.0,6.0,43.0,19745.0,15010.0,411.9854,17450.0,358.0,340.0,18.0,9.8262,4001.0,3807.0,96.0,3109.0,3231.0,78.0,892.0,576.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,6643.0,6160.0,152.0,5867.0,6103.0,136.0,776.0,57.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,9083.0,8817.0,211.0,8582.0,8973.0,203.0,501.0,-156.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,11943.0,11663.0,263.0,10749.0,10801.0,244.0,1194.0,862.0,19.0,2.0,3.0,0.0,1.0,0.0,3.0
LOLTMNT03_341450,complete,LCK,2026.0,0.0,3.0,16.01,Red,bot,Shogun,MVK Esports,0.0,Corki,Ambessa,Aurora,Neeko,Akali,Sylas,1900.0,1.0,8.0,2.0,3.0,15.0,8.0,2.0,0.0,0.0,0.0,0.0,0.4737,0.7263,0.0,0.0,19.0,13.0,8.0,55.0,17477.0,13325.0,420.7895,14758.0,334.0,322.0,12.0,10.5474,3690.0,3380.0,84.0,3632.0,3246.0,92.0,58.0,134.0,-8.0,1.0,1.0,1.0,0.0,2.0,1.0,5783.0,6149.0,146.0,6334.0,5675.0,148.0,-551.0,474.0,-2.0,1.0,1.0,1.0,0.0,2.0,2.0,8821.0,9119.0,211.0,8911.0,8725.0,208.0,-90.0,394.0,3.0,2.0,1.0,2.0,0.0,3.0,3.0,11311.0,12138.0,257.0,10394.0,10320.0,245.0,917.0,1818.0,12.0,3.0,2.0,2.0,0.0,3.0,4.0
LOLTMNT01_327784,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Shogun,MVK Esports,1.0,Corki,Neeko,Sylas,Azir,Varus,Yunara,2140.0,0.0,3.0,5.0,3.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.2243,0.7009,0.0,0.0,11.0,10.0,2.0,32.0,15910.0,11269.0,315.9533,15858.0,371.0,371.0,0.0,10.4019,3536.0,3197.0,85.0,4551.0,3601.0,95.0,-1015.0,-404.0,-10.0,1.0,0.0,1.0,2.0,0.0,0.0,5327.0,5108.0,130.0,7732.0,6321.0,152.0,-2405.0,-1213.0,-22.0,1.0,0.0,2.0,2.0,2.0,0.0,7251.0,7330.0,187.0,10637.0,9297.0,227.0,-3386.0,-1967.0,-40.0,1.0,0.0,2.0,3.0,2.0,0.0,9553.0,9971.0,258.0,13828.0,12438.0,304.0,-4275.0,-2467.0,-46.0,1.0,0.0,2.0,4.0,2.0,0.0
LOLTMNT01_327799,complete,LCK,2026.0,0.0,2.0,16.01,Red,bot,Shogun,MVK Esports,1.0,Varus,Neeko,Sylas,Azir,Lulu,Pantheon,2095.0,1.0,2.0,1.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2578,0.3723,0.0,0.0,22.0,13.0,9.0,49.0,16345.0,11796.0,337.8329,14425.0,351.0,345.0,6.0,10.0525,3372.0,3326.0,87.0,3395.0,2992.0,85.0,-23.0,334.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6010.0,6197.0,147.0,5907.0,5054.0,141.0,103.0,1143.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,8313.0,9015.0,211.0,8694.0,7123.0,204.0,-381.0,1892.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,11105.0,11576.0,268.0,11331.0,9136.0,253.0,-226.0,2440.0,15.0,1.0,1.0,0.0,1.0,0.0,1.0
LOLTMNT06_166086,complete,AL,2026.0,0.0,3.0,16.01,Red,bot,Shogun,MVK Esports,0.0,Ezreal,Azir,Kai'Sa,Lucian,Galio,Gnar,2269.0,0.0,3.0,4.0,4.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.238,0.8462,0.0,0.0,15.0,22.0,2.0,57.0,16365.0,11461.0,303.0674,15943.0,380.0,368.0,12.0,10.0485,3429.0,3259.0,84.0,3887.0,3390.0,89.0,-458.0,-131.0,-5.0,0.0,1.0,1.0,1.0,2.0,0.0,5650.0,5482.0,132.0,6916.0,5468.0,145.0,-1266.0,14.0,-13.0,1.0,1.0,1.0,1.0,3.0,0.0,7860.0,7944.0,189.0,9896.0,8059.0,198.0,-2036.0,-115.0,-9.0,2.0,2.0,2.0,2.0,6.0,1.0,10703.0,11507.0,248.0,11938.0,9951.0,246.0,-1235.0,1556.0,2.0,3.0,4.0,2.0,2.0,6.0,2.0
LOLTMNT01_334140,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Shogun,MVK Esports,1.0,Senna,Poppy,Nocturne,Ambessa,Yunara,Bard,2141.0,0.0,3.0,4.0,6.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2802,0.7286,0.0,0.0,20.0,10.0,6.0,49.0,15504.0,10861.0,304.3718,15475.0,330.0,322.0,8.0,9.248,3247.0,3028.0,75.0,3655.0,3678.0,91.0,-408.0,-650.0,-16.0,0.0,1.0,1.0,0.0,1.0,0.0,5210.0,5125.0,125.0,5429.0,5366.0,126.0,-219.0,-241.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,8203.0,8145.0,168.0,8880.0,8588.0,184.0,-677.0,-443.0,-16.0,2.0,2.0,2.0,2.0,2.0,1.0,10567.0,10547.0,218.0,10846.0,10947.0,240.0,-279.0,-400.0,-22.0,2.0,6.0,3.0,2.0,2.0,2.0
LOLTMNT01_333250,complete,LJL,2026.0,0.0,2.0,16.02,Red,bot,Shogun,MVK Esports,0.0,Sivir,Orianna,Ambessa,Poppy,Pantheon,Wukong,2035.0,1.0,7.0,0.0,8.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5602,0.7961,0.0,0.0,16.0,14.0,5.0,49.0,20180.0,15753.0,464.4619,18675.0,382.0,351.0,31.0,11.2629,3633.0,3532.0,88.0,3164.0,3215.0,78.0,469.0,317.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,6543.0,6267.0,150.0,5458.0,5497.0,133.0,1085.0,770.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,9702.0,9287.0,209.0,7873.0,8680.0,200.0,1829.0,607.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,12296.0,11642.0,269.0,10250.0,11400.0,261.0,2046.0,242.0,8.0,1.0,2.0,0.0,0.0,1.0,1.0
LOLTMNT01_333254,complete,LJL,2026.0,0.0,3.0,16.02,Red,bot,Shogun,MVK Esports,1.0,Lucian,Bard,Akali,Pantheon,Syndra,Malphite,1714.0,0.0,3.0,8.0,2.0,6.0,30.0,1.0,0.0,0.0,0.0,0.0,0.21,1.2602,0.0,0.0,13.0,9.0,3.0,37.0,12906.0,9134.0,319.7433,13170.0,251.0,247.0,4.0,8.7865,3345.0,2956.0,80.0,4235.0,3571.0,77.0,-890.0,-615.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,5265.0,4866.0,135.0,7337.0,6361.0,132.0,-2072.0,-1495.0,3.0,0.0,1.0,4.0,4.0,4.0,1.0,7661.0,7186.0,191.0,10447.0,9374.0,202.0,-2786.0,-2188.0,-11.0,0.0,1.0,4.0,5.0,4.0,1.0,12150.0,9778.0,236.0,12713.0,11691.0,240.0,-563.0,-1913.0,-4.0,3.0,2.0,6.0,6.0,6.0,2.0
