gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336160,complete,HLL,2026.0,0.0,1.0,16.01,Blue,top,Shourdy,Gamespace Mediterranean College Esports,1.0,Kled,Ambessa,Akali,Darius,Nautilus,Orianna,2293.0,0.0,2.0,9.0,1.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2355,0.9682,0.0,0.0,18.0,10.0,3.0,66.0,14555.0,9602.0,251.2516,14875.0,296.0,294.0,2.0,7.7453,3415.0,4965.0,89.0,3347.0,5040.0,84.0,68.0,-75.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,6165.0,8632.0,131.0,4831.0,8764.0,126.0,1334.0,-132.0,5.0,1.0,0.0,3.0,0.0,2.0,1.0,7633.0,11330.0,169.0,6885.0,12206.0,181.0,748.0,-876.0,-12.0,1.0,0.0,5.0,0.0,2.0,1.0,9029.0,13517.0,206.0,8951.0,15390.0,233.0,78.0,-1873.0,-27.0,1.0,0.0,6.0,0.0,4.0,1.0
LOLTMNT05_171130,complete,LIT,2026.0,0.0,2.0,16.01,Red,top,Shourdy,Gamespace Mediterranean College Esports,0.0,Zaahen,Ambessa,Jayce,Neeko,Nautilus,Xayah,1374.0,0.0,0.0,7.0,1.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.3057,1.4847,0.0,0.0,10.0,0.0,2.0,25.0,6440.0,3361.0,146.7686,6600.0,154.0,154.0,0.0,6.7249,3216.0,5007.0,82.0,3671.0,5124.0,79.0,-455.0,-117.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,4338.0,7317.0,109.0,5683.0,8880.0,122.0,-1345.0,-1563.0,-13.0,0.0,0.0,4.0,1.0,2.0,0.0,5655.0,9933.0,144.0,7744.0,11607.0,151.0,-2089.0,-1674.0,-7.0,0.0,0.0,6.0,3.0,6.0,0.0,,,,,,,,,,,,,,,
LOLTMNT03_341253,complete,LCK,2026.0,0.0,1.0,16.01,Blue,top,Shourdy,Gamespace Mediterranean College Esports,1.0,Sion,Jarvan IV,Gwen,Orianna,Nocturne,Sejuani,1359.0,1.0,5.0,0.0,8.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5453,1.6777,0.0,0.0,10.0,3.0,0.0,28.0,11624.0,8576.0,378.6313,11500.0,211.0,205.0,6.0,9.3157,4003.0,5348.0,74.0,3139.0,4684.0,81.0,864.0,664.0,-7.0,2.0,2.0,0.0,0.0,0.0,2.0,6962.0,10474.0,140.0,4769.0,7888.0,125.0,2193.0,2586.0,15.0,3.0,2.0,0.0,0.0,0.0,3.0,10148.0,13540.0,191.0,6512.0,10599.0,176.0,3636.0,2941.0,15.0,5.0,5.0,0.0,0.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT02_343178,complete,LCP,2026.0,0.0,2.0,16.01,Red,top,Shourdy,Gamespace Mediterranean College Esports,0.0,Kled,Orianna,Jarvan IV,Gwen,Neeko,Braum,1815.0,1.0,8.0,4.0,5.0,22.0,16.0,1.0,0.0,0.0,0.0,1.0,0.7273,1.2562,0.0,0.0,15.0,5.0,2.0,43.0,14611.0,10633.0,351.5041,13375.0,231.0,227.0,4.0,7.6364,4170.0,4468.0,76.0,3813.0,5402.0,81.0,357.0,-934.0,-5.0,2.0,1.0,2.0,2.0,0.0,1.0,6034.0,8275.0,136.0,5775.0,9329.0,138.0,259.0,-1054.0,-2.0,2.0,1.0,2.0,2.0,0.0,1.0,8664.0,11209.0,185.0,8728.0,12985.0,190.0,-64.0,-1776.0,-5.0,3.0,1.0,3.0,4.0,0.0,1.0,12195.0,14138.0,208.0,11386.0,16591.0,244.0,809.0,-2453.0,-36.0,6.0,3.0,3.0,5.0,1.0,1.0
LOLTMNT04_151073,complete,EBL,2026.0,0.0,1.0,16.02,Red,top,Shourdy,Gamespace Mediterranean College Esports,0.0,Ornn,Ryze,Akali,Rumble,Leona,Braum,2063.0,0.0,5.0,4.0,7.0,19.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5526,1.3669,0.0,0.0,16.0,4.0,1.0,33.0,12374.0,7890.0,229.4716,12125.0,245.0,245.0,0.0,7.1255,2972.0,5121.0,70.0,4035.0,5611.0,103.0,-1063.0,-490.0,-33.0,0.0,0.0,1.0,1.0,0.0,0.0,5528.0,9344.0,117.0,6376.0,9501.0,160.0,-848.0,-157.0,-43.0,2.0,0.0,1.0,1.0,1.0,1.0,7816.0,12921.0,171.0,8592.0,12975.0,208.0,-776.0,-54.0,-37.0,3.0,3.0,1.0,2.0,2.0,2.0,9559.0,15773.0,207.0,10688.0,15233.0,246.0,-1129.0,540.0,-39.0,4.0,3.0,1.0,3.0,2.0,2.0
LOLTMNT04_152058,complete,NLC,2026.0,0.0,2.0,16.02,Blue,top,Shourdy,Gamespace Mediterranean College Esports,1.0,Rumble,Aatrox,Wukong,Akali,Sivir,Xayah,2025.0,0.0,1.0,6.0,6.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4444,1.3333,0.0,0.0,17.0,1.0,2.0,38.0,10011.0,5604.0,166.0444,9750.0,203.0,203.0,0.0,6.0148,3039.0,4653.0,78.0,4062.0,5573.0,94.0,-1023.0,-920.0,-16.0,0.0,0.0,2.0,1.0,1.0,0.0,4506.0,7815.0,125.0,6090.0,9107.0,151.0,-1584.0,-1292.0,-26.0,0.0,0.0,2.0,1.0,1.0,0.0,6260.0,10296.0,156.0,8552.0,12230.0,197.0,-2292.0,-1934.0,-41.0,0.0,3.0,3.0,1.0,3.0,0.0,7486.0,12289.0,179.0,10293.0,15040.0,229.0,-2807.0,-2751.0,-50.0,0.0,4.0,4.0,1.0,9.0,1.0
LOLTMNT01_331609,complete,LCP,2026.0,0.0,1.0,16.02,Blue,top,Shourdy,Gamespace Mediterranean College Esports,1.0,K'Sante,Ivern,Syndra,Jarvan IV,Sejuani,Vi,1384.0,1.0,8.0,0.0,8.0,32.0,14.0,1.0,0.0,0.0,0.0,0.0,1.3873,1.9075,0.0,0.0,13.0,3.0,3.0,30.0,12287.0,9188.0,398.3237,13305.0,196.0,188.0,8.0,8.4971,4483.0,5749.0,86.0,3096.0,4782.0,79.0,1387.0,967.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,7870.0,9579.0,136.0,4651.0,7386.0,113.0,3219.0,2193.0,23.0,5.0,1.0,0.0,0.0,1.0,3.0,10312.0,12653.0,176.0,7888.0,10509.0,154.0,2424.0,2144.0,22.0,8.0,1.0,0.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_331638,complete,LCP,2026.0,0.0,2.0,16.02,Red,top,Shourdy,Gamespace Mediterranean College Esports,0.0,Sion,Ivern,Syndra,Jarvan IV,Lucian,Caitlyn,1760.0,1.0,4.0,5.0,15.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,1.2273,2.0795,0.0,0.0,15.0,5.0,2.0,38.0,11726.0,7860.0,267.9545,10000.0,216.0,216.0,0.0,7.3636,3672.0,4900.0,73.0,4614.0,6027.0,82.0,-942.0,-1127.0,-9.0,2.0,0.0,3.0,3.0,0.0,1.0,5650.0,8152.0,119.0,6840.0,8712.0,119.0,-1190.0,-560.0,0.0,2.0,1.0,4.0,4.0,0.0,3.0,7893.0,11087.0,156.0,10688.0,11047.0,159.0,-2795.0,40.0,-3.0,2.0,7.0,4.0,6.0,2.0,4.0,9398.0,13308.0,190.0,13338.0,14843.0,185.0,-3940.0,-1535.0,5.0,2.0,9.0,5.0,9.0,4.0,4.0
LOLTMNT02_354186,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,top,Shourdy,Gamespace Mediterranean College Esports,0.0,Sion,Ezreal,Ambessa,Rumble,Nautilus,Rakan,1365.0,0.0,0.0,4.0,1.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1758,0.967,0.0,0.0,8.0,3.0,0.0,26.0,6773.0,3713.0,163.2088,6850.0,174.0,174.0,0.0,7.6484,3066.0,5038.0,77.0,3656.0,5423.0,81.0,-590.0,-385.0,-4.0,0.0,0.0,1.0,0.0,2.0,0.0,4521.0,8640.0,121.0,5298.0,8658.0,123.0,-777.0,-18.0,-2.0,0.0,0.0,1.0,0.0,2.0,1.0,6392.0,11906.0,174.0,7670.0,12786.0,177.0,-1278.0,-880.0,-3.0,0.0,0.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT02_353235,complete,LCP,2026.0,1.0,2.0,16.03,Blue,top,Shourdy,Gamespace Mediterranean College Esports,1.0,Rumble,Ezreal,Wukong,Ambessa,Taliyah,Rell,1808.0,0.0,2.0,6.0,10.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.5642,1.4934,0.0,0.0,13.0,3.0,1.0,28.0,9222.0,5258.0,174.4912,9175.0,173.0,173.0,0.0,5.7412,3060.0,4773.0,75.0,3591.0,5443.0,79.0,-531.0,-670.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,4607.0,8409.0,117.0,5404.0,8825.0,118.0,-797.0,-416.0,-1.0,0.0,2.0,2.0,2.0,1.0,2.0,5784.0,10843.0,136.0,7378.0,11666.0,159.0,-1594.0,-823.0,-23.0,0.0,5.0,3.0,3.0,1.0,3.0,7899.0,13543.0,160.0,9706.0,15742.0,199.0,-1807.0,-2199.0,-39.0,1.0,9.0,4.0,4.0,5.0,4.0
