gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166103,complete,AL,2026.0,0.0,1.0,16.02,Red,bot,Shy Carry,Partizan Sangal,0.0,Kai'Sa,Akali,Orianna,Jayce,Nautilus,Rakan,1475.0,1.0,7.0,1.0,8.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.8136,1.139,0.0,0.0,9.0,2.0,1.0,14.0,14283.0,10998.0,447.3763,12725.0,251.0,243.0,8.0,10.2102,3595.0,3934.0,98.0,3611.0,3435.0,91.0,-16.0,499.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6147.0,6226.0,138.0,7006.0,6237.0,145.0,-859.0,-11.0,-7.0,1.0,1.0,1.0,2.0,1.0,0.0,10489.0,9973.0,202.0,9265.0,8658.0,200.0,1224.0,1315.0,2.0,4.0,5.0,1.0,3.0,1.0,2.0,14283.0,14180.0,251.0,12057.0,11237.0,244.0,2226.0,2943.0,7.0,7.0,8.0,1.0,4.0,3.0,3.0
LOLTMNT04_152138,complete,EBL,2026.0,0.0,2.0,16.02,Red,bot,Shy Carry,Partizan Sangal,0.0,Varus,Akali,Orianna,Sivir,Karma,Nautilus,1835.0,1.0,6.0,2.0,6.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.752,1.1117,0.0,0.0,15.0,3.0,5.0,32.0,15896.0,11877.0,388.3488,15650.0,278.0,278.0,0.0,9.0899,3609.0,3849.0,87.0,3559.0,3710.0,84.0,50.0,139.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,6141.0,6147.0,137.0,5867.0,5814.0,137.0,274.0,333.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8324.0,8715.0,185.0,7629.0,8399.0,187.0,695.0,316.0,-2.0,2.0,0.0,1.0,1.0,0.0,0.0,11733.0,11685.0,228.0,9913.0,10952.0,244.0,1820.0,733.0,-16.0,4.0,3.0,1.0,1.0,1.0,0.0
LOLTMNT01_333373,complete,LCK,2026.0,0.0,1.0,16.02,Red,bot,Shy Carry,Partizan Sangal,0.0,Corki,Azir,Orianna,Ambessa,Rell,Lucian,1280.0,1.0,5.0,0.0,9.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1719,1.2656,0.0,0.0,7.0,0.0,1.0,9.0,11437.0,8550.0,400.7813,9708.0,209.0,209.0,0.0,9.7969,3467.0,4054.0,90.0,3465.0,3928.0,90.0,2.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6865.0,7071.0,141.0,5484.0,6044.0,140.0,1381.0,1027.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,9947.0,9893.0,199.0,6984.0,7708.0,172.0,2963.0,2185.0,27.0,3.0,7.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_152292,complete,LEC,2026.0,0.0,2.0,16.02,Red,bot,Shy Carry,Partizan Sangal,0.0,Yunara,Azir,Orianna,Varus,Neeko,Nautilus,1959.0,1.0,5.0,3.0,8.0,34.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0413,1.7152,0.0,0.0,12.0,9.0,2.0,37.0,18696.0,14424.0,441.7764,16050.0,327.0,296.0,31.0,10.0153,3282.0,3183.0,74.0,4323.0,3962.0,93.0,-1041.0,-779.0,-19.0,0.0,1.0,1.0,2.0,0.0,0.0,6925.0,6065.0,122.0,6375.0,5396.0,127.0,550.0,669.0,-5.0,2.0,2.0,1.0,2.0,0.0,3.0,10801.0,8879.0,179.0,8621.0,7055.0,161.0,2180.0,1824.0,18.0,3.0,3.0,1.0,4.0,0.0,6.0,13506.0,11960.0,238.0,11778.0,10902.0,198.0,1728.0,1058.0,40.0,4.0,4.0,2.0,7.0,4.0,7.0
LOLTMNT02_349161,complete,LJL,2026.0,0.0,1.0,16.02,Blue,bot,Shy Carry,Partizan Sangal,1.0,Kai'Sa,Neeko,Akali,Orianna,Azir,Syndra,1835.0,1.0,7.0,0.0,9.0,19.0,11.0,2.0,0.0,0.0,0.0,0.0,0.6213,0.9809,0.0,0.0,11.0,8.0,1.0,34.0,18326.0,14307.0,467.8038,15475.0,352.0,322.0,30.0,11.5095,3580.0,3501.0,99.0,3508.0,3338.0,89.0,72.0,163.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,6331.0,5870.0,157.0,6517.0,5905.0,144.0,-186.0,-35.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,10545.0,9202.0,213.0,8034.0,7717.0,176.0,2511.0,1485.0,37.0,5.0,0.0,0.0,2.0,1.0,2.0,13664.0,12926.0,285.0,10441.0,10326.0,211.0,3223.0,2600.0,74.0,6.0,1.0,0.0,3.0,2.0,2.0
LOLTMNT01_338721,complete,LCP,2026.0,0.0,2.0,16.02,Blue,bot,Shy Carry,Partizan Sangal,1.0,Jhin,Akali,Neeko,Azir,Jarvan IV,Nocturne,1971.0,1.0,6.0,1.0,7.0,23.0,10.0,1.0,0.0,0.0,0.0,0.0,0.7002,1.0046,0.0,0.0,12.0,12.0,3.0,37.0,18297.0,14001.0,426.21,14525.0,378.0,354.0,24.0,11.5068,3560.0,3831.0,97.0,3560.0,3713.0,89.0,0.0,118.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,5777.0,5983.0,150.0,5924.0,6184.0,143.0,-147.0,-201.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,7987.0,8979.0,209.0,9293.0,8670.0,194.0,-1306.0,309.0,15.0,0.0,1.0,1.0,2.0,1.0,1.0,10309.0,11435.0,264.0,11203.0,10431.0,241.0,-894.0,1004.0,23.0,0.0,2.0,1.0,2.0,2.0,1.0
LOLTMNT05_176846,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Shy Carry,Partizan Sangal,0.0,Corki,Varus,Orianna,Nami,Ezreal,Yunara,1614.0,1.0,18.0,1.0,8.0,40.0,8.0,4.0,2.0,0.0,0.0,1.0,1.487,1.7844,0.0,0.0,8.0,11.0,4.0,39.0,19340.0,15772.0,586.3197,16633.0,276.0,260.0,16.0,10.2602,3796.0,3333.0,82.0,3398.0,2981.0,68.0,398.0,352.0,14.0,1.0,3.0,0.0,1.0,0.0,2.0,7563.0,6346.0,128.0,5460.0,4978.0,99.0,2103.0,1368.0,29.0,5.0,3.0,0.0,1.0,1.0,4.0,12274.0,10296.0,184.0,7397.0,7654.0,158.0,4877.0,2642.0,26.0,10.0,4.0,0.0,1.0,1.0,6.0,16455.0,14339.0,242.0,9355.0,10145.0,197.0,7100.0,4194.0,45.0,13.0,8.0,1.0,1.0,3.0,8.0
LOLTMNT05_176851,complete,AL,2026.0,1.0,2.0,16.03,Red,bot,Shy Carry,Partizan Sangal,0.0,Aphelios,Varus,Orianna,Azir,Blitzcrank,Alistar,1843.0,1.0,12.0,6.0,7.0,33.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0743,1.7254,0.0,0.0,11.0,7.0,1.0,25.0,17172.0,13137.0,427.6831,13225.0,251.0,236.0,15.0,8.1715,3630.0,3262.0,74.0,3955.0,3478.0,73.0,-325.0,-216.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5385.0,5040.0,100.0,7141.0,5603.0,107.0,-1756.0,-563.0,-7.0,1.0,5.0,3.0,3.0,5.0,5.0,7426.0,6929.0,146.0,10629.0,8286.0,167.0,-3203.0,-1357.0,-21.0,2.0,5.0,4.0,4.0,5.0,5.0,9910.0,10285.0,186.0,13819.0,10177.0,204.0,-3909.0,108.0,-18.0,4.0,5.0,5.0,6.0,7.0,7.0
LOLTMNT02_356982,complete,LCKC,2026.0,0.0,1.0,16.03,Blue,bot,Shy Carry,Partizan Sangal,1.0,Varus,Olaf,Neeko,Orianna,Sylas,Aurora,1115.0,1.0,15.0,1.0,5.0,31.0,5.0,3.0,2.0,0.0,0.0,0.0,1.6682,1.9372,0.0,0.0,5.0,0.0,1.0,8.0,12703.0,10153.0,546.3498,9925.0,199.0,196.0,3.0,10.7085,5218.0,4648.0,100.0,2819.0,2899.0,62.0,2399.0,1749.0,38.0,6.0,1.0,0.0,0.0,0.0,4.0,8743.0,7336.0,159.0,4438.0,4724.0,105.0,4305.0,2612.0,54.0,9.0,1.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT02_357071,complete,LCKC,2026.0,0.0,2.0,16.03,Blue,bot,Shy Carry,Partizan Sangal,1.0,Caitlyn,Olaf,Aurora,Orianna,Ezreal,Ashe,1368.0,1.0,11.0,2.0,10.0,35.0,8.0,2.0,0.0,0.0,0.0,0.0,1.5351,1.886,0.0,0.0,6.0,5.0,0.0,16.0,14873.0,11807.0,517.8509,14650.0,214.0,202.0,12.0,9.386,3674.0,3740.0,99.0,2979.0,2987.0,65.0,695.0,753.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,7872.0,6840.0,153.0,4316.0,5072.0,102.0,3556.0,1768.0,51.0,3.0,4.0,0.0,0.0,0.0,2.0,12270.0,9902.0,199.0,6435.0,7231.0,136.0,5835.0,2671.0,63.0,8.0,6.0,1.0,0.0,0.0,5.0,,,,,,,,,,,,,,,
