gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Sidav,Onion Team,0.0,Yunara,Naafiri,Zaahen,Corki,Akali,Aurora,1621.0,1.0,5.0,3.0,7.0,17.0,8.0,2.0,0.0,0.0,0.0,0.0,0.6292,0.9254,0.0,0.0,7.0,5.0,0.0,20.0,14079.0,10497.0,388.5379,11350.0,257.0,257.0,0.0,9.5126,3199.0,3203.0,79.0,3656.0,3630.0,96.0,-457.0,-427.0,-17.0,0.0,0.0,1.0,0.0,1.0,0.0,5559.0,5317.0,131.0,6756.0,5854.0,154.0,-1197.0,-537.0,-23.0,0.0,1.0,2.0,1.0,2.0,0.0,8585.0,8013.0,178.0,9751.0,8336.0,214.0,-1166.0,-323.0,-36.0,2.0,2.0,2.0,2.0,3.0,1.0,11552.0,10695.0,232.0,12238.0,10063.0,262.0,-686.0,632.0,-30.0,3.0,5.0,3.0,3.0,4.0,2.0
LOLTMNT03_345376,complete,LJL,2026.0,1.0,1.0,16.03,Red,bot,Sidav,Onion Team,0.0,Yunara,Yasuo,Yone,Bard,Nocturne,Shen,1544.0,1.0,7.0,2.0,9.0,20.0,10.0,1.0,0.0,0.0,0.0,1.0,0.7772,1.1658,0.0,0.0,6.0,5.0,0.0,19.0,14561.0,11136.0,432.7461,11600.0,232.0,232.0,0.0,9.0155,3681.0,3905.0,98.0,3409.0,3541.0,93.0,272.0,364.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6560.0,6007.0,138.0,5945.0,6066.0,142.0,615.0,-59.0,-4.0,1.0,3.0,2.0,0.0,2.0,0.0,9207.0,8617.0,182.0,7780.0,8545.0,197.0,1427.0,72.0,-15.0,2.0,5.0,2.0,0.0,2.0,0.0,13258.0,11882.0,229.0,10411.0,10581.0,235.0,2847.0,1301.0,-6.0,5.0,6.0,2.0,1.0,2.0,1.0
LOLTMNT02_358162,complete,LCKC,2026.0,0.0,1.0,16.03,Red,bot,Sidav,Onion Team,0.0,Yunara,Rumble,Karma,Qiyana,Alistar,Braum,1706.0,0.0,0.0,1.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.6331,0.0,1.0,7.0,1.0,0.0,10.0,10512.0,6756.0,237.6084,10500.0,234.0,234.0,0.0,8.2298,2966.0,3334.0,66.0,3745.0,3722.0,102.0,-779.0,-388.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,4625.0,5168.0,98.0,7140.0,6819.0,152.0,-2515.0,-1651.0,-54.0,0.0,2.0,0.0,2.0,0.0,0.0,7087.0,7670.0,151.0,10152.0,8947.0,207.0,-3065.0,-1277.0,-56.0,0.0,2.0,0.0,2.0,2.0,0.0,9089.0,10281.0,211.0,12234.0,11289.0,260.0,-3145.0,-1008.0,-49.0,0.0,2.0,0.0,2.0,2.0,0.0
LOLTMNT02_358170,complete,LCKC,2026.0,0.0,2.0,16.03,Red,bot,Sidav,Onion Team,0.0,Ezreal,Rumble,Karma,Qiyana,Nautilus,Braum,1613.0,0.0,4.0,4.0,2.0,10.0,24.0,1.0,0.0,0.0,0.0,0.0,0.372,1.2647,0.0,0.0,4.0,1.0,0.0,5.0,12097.0,8531.0,317.3342,11958.0,210.0,210.0,0.0,7.8115,2959.0,2973.0,72.0,3944.0,3186.0,94.0,-985.0,-213.0,-22.0,0.0,0.0,0.0,1.0,0.0,0.0,5939.0,6078.0,121.0,6586.0,4819.0,126.0,-647.0,1259.0,-5.0,1.0,2.0,0.0,3.0,0.0,1.0,7905.0,8486.0,164.0,10445.0,8352.0,194.0,-2540.0,134.0,-30.0,1.0,2.0,1.0,5.0,0.0,1.0,11047.0,11241.0,209.0,15048.0,12604.0,250.0,-4001.0,-1363.0,-41.0,3.0,2.0,3.0,8.0,2.0,1.0
LOLTMNT03_346135,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Sidav,Onion Team,0.0,Corki,Rumble,Caitlyn,Varus,Syndra,Akali,2304.0,0.0,4.0,1.0,3.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.651,0.0,0.0,10.0,5.0,0.0,22.0,16864.0,11888.0,309.5833,16833.0,366.0,362.0,4.0,9.5313,3307.0,3389.0,85.0,3374.0,3621.0,89.0,-67.0,-232.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4934.0,5122.0,123.0,6463.0,6274.0,144.0,-1529.0,-1152.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,7689.0,8425.0,188.0,9135.0,8808.0,193.0,-1446.0,-383.0,-5.0,1.0,0.0,0.0,1.0,0.0,1.0,10162.0,10746.0,236.0,11443.0,11258.0,244.0,-1281.0,-512.0,-8.0,2.0,1.0,0.0,2.0,0.0,1.0
LOLTMNT05_178084,complete,AL,2026.0,1.0,2.0,16.03,Red,bot,Sidav,Onion Team,0.0,Kog'Maw,Rumble,Caitlyn,Varus,Akali,Syndra,1627.0,0.0,6.0,7.0,3.0,15.0,32.0,1.0,0.0,0.0,0.0,0.0,0.5532,1.7333,0.0,0.0,7.0,6.0,0.0,18.0,12461.0,8866.0,326.9576,12500.0,224.0,224.0,0.0,8.2606,3480.0,4182.0,78.0,4473.0,4095.0,91.0,-993.0,87.0,-13.0,1.0,1.0,1.0,2.0,1.0,0.0,5480.0,5794.0,123.0,8415.0,6550.0,147.0,-2935.0,-756.0,-24.0,1.0,1.0,2.0,4.0,1.0,0.0,8311.0,8367.0,172.0,12092.0,10297.0,211.0,-3781.0,-1930.0,-39.0,2.0,3.0,3.0,6.0,2.0,0.0,10906.0,10914.0,216.0,16677.0,14306.0,268.0,-5771.0,-3392.0,-52.0,4.0,3.0,5.0,9.0,5.0,0.0
LOLTMNT02_359320,complete,LCP,2026.0,1.0,1.0,16.04,Red,bot,Sidav,Onion Team,0.0,Varus,Yasuo,Yone,Bard,Leona,Nautilus,1819.0,0.0,1.0,2.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.099,0.6597,0.0,0.0,10.0,8.0,0.0,32.0,11579.0,7593.0,250.4563,11050.0,270.0,270.0,0.0,8.906,3352.0,3576.0,92.0,3628.0,3517.0,77.0,-276.0,59.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,5420.0,5567.0,134.0,6356.0,5811.0,123.0,-936.0,-244.0,11.0,0.0,1.0,2.0,3.0,0.0,0.0,7801.0,8443.0,194.0,8757.0,8717.0,188.0,-956.0,-274.0,6.0,0.0,1.0,2.0,4.0,0.0,0.0,9919.0,10703.0,242.0,11199.0,11259.0,245.0,-1280.0,-556.0,-3.0,1.0,1.0,2.0,5.0,2.0,0.0
LOLTMNT02_360286,complete,LCK,2026.0,0.0,2.0,16.04,Red,bot,Sidav,Onion Team,0.0,Ezreal,Yasuo,Yone,Bard,Akali,Zed,2584.0,0.0,7.0,1.0,3.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2786,0.8591,0.0,0.0,13.0,11.0,0.0,44.0,22335.0,16788.0,389.8142,21733.0,379.0,369.0,10.0,8.8003,3572.0,3298.0,84.0,3193.0,3273.0,83.0,379.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6205.0,5517.0,147.0,5847.0,5797.0,141.0,358.0,-280.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,8393.0,8246.0,206.0,8512.0,9021.0,208.0,-119.0,-775.0,-2.0,1.0,0.0,0.0,1.0,1.0,1.0,12016.0,10387.0,252.0,11252.0,11604.0,267.0,764.0,-1217.0,-15.0,3.0,1.0,0.0,2.0,1.0,1.0
LOLTMNT05_180114,complete,LEC,2026.0,1.0,3.0,16.04,Red,bot,Sidav,Onion Team,0.0,Zeri,Yasuo,Yone,Bard,Miss Fortune,Corki,1499.0,1.0,9.0,1.0,6.0,20.0,6.0,3.0,1.0,0.0,0.0,1.0,0.8005,1.0407,0.0,0.0,7.0,6.0,0.0,22.0,14729.0,11395.0,456.1041,12950.0,234.0,230.0,4.0,9.3662,3846.0,3417.0,88.0,3526.0,3602.0,93.0,320.0,-185.0,-5.0,1.0,1.0,0.0,0.0,0.0,0.0,7101.0,5875.0,135.0,5931.0,5852.0,146.0,1170.0,23.0,-11.0,3.0,1.0,0.0,1.0,0.0,0.0,9790.0,8525.0,186.0,10331.0,9088.0,210.0,-541.0,-563.0,-24.0,4.0,2.0,1.0,4.0,0.0,0.0,14729.0,12479.0,234.0,11991.0,11097.0,261.0,2738.0,1382.0,-27.0,9.0,6.0,1.0,4.0,0.0,2.0
LOLTMNT03_350603,complete,CBLOL,2026.0,0.0,4.0,16.04,Blue,bot,Sidav,Onion Team,1.0,Xayah,Yasuo,Bard,Akali,Zed,Ivern,1596.0,0.0,2.0,4.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1128,0.8271,0.0,1.0,6.0,1.0,0.0,8.0,12070.0,8539.0,321.015,12400.0,248.0,236.0,12.0,9.3233,3406.0,3698.0,83.0,3621.0,3732.0,97.0,-215.0,-34.0,-14.0,0.0,0.0,0.0,0.0,1.0,0.0,6583.0,6260.0,138.0,5889.0,6080.0,148.0,694.0,180.0,-10.0,2.0,0.0,0.0,0.0,1.0,0.0,9049.0,8438.0,185.0,9091.0,8902.0,203.0,-42.0,-464.0,-18.0,2.0,1.0,2.0,1.0,6.0,0.0,11441.0,10356.0,240.0,11329.0,11415.0,244.0,112.0,-1059.0,-4.0,2.0,1.0,3.0,2.0,9.0,0.0
