gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163332,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Skeanz,SK Gaming,1.0,Jayce,Malphite,Azir,Poppy,Nautilus,Renekton,2024.0,0.0,4.0,3.0,6.0,14.0,25.0,0.0,0.0,0.0,0.0,1.0,0.415,1.1561,0.0,2.0,5.0,21.0,3.0,58.0,13432.0,9027.0,267.5988,12795.0,243.0,50.0,193.0,7.2036,4019.0,4286.0,84.0,3876.0,4713.0,84.0,143.0,-427.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6033.0,7343.0,129.0,6491.0,7667.0,124.0,-458.0,-324.0,5.0,1.0,2.0,0.0,3.0,1.0,0.0,8196.0,9806.0,165.0,8199.0,9770.0,156.0,-3.0,36.0,9.0,2.0,5.0,0.0,3.0,2.0,1.0,10995.0,12351.0,205.0,10706.0,12805.0,188.0,289.0,-454.0,17.0,4.0,6.0,1.0,4.0,5.0,2.0
LOLTMNT04_147318,complete,TCL,2026.0,0.0,1.0,16.01,Red,jng,Skeanz,SK Gaming,0.0,Vi,Rumble,Poppy,Malphite,Azir,Orianna,1692.0,1.0,4.0,3.0,8.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.922,1.2766,1.0,0.0,10.0,2.0,9.0,41.0,11784.0,8057.0,285.7092,11375.0,186.0,2.0,184.0,6.5957,3459.0,3680.0,73.0,3759.0,4465.0,83.0,-300.0,-785.0,-10.0,0.0,1.0,0.0,0.0,2.0,0.0,6041.0,6899.0,117.0,5716.0,6563.0,117.0,325.0,336.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,8657.0,9973.0,157.0,8171.0,9638.0,157.0,486.0,335.0,0.0,3.0,3.0,0.0,2.0,2.0,3.0,10453.0,12685.0,178.0,9444.0,11484.0,178.0,1009.0,1201.0,0.0,4.0,6.0,2.0,2.0,3.0,6.0
LOLTMNT05_172217,complete,CCWS,2026.0,0.0,1.0,16.01,Red,jng,Skeanz,SK Gaming,0.0,Vi,Poppy,Dr. Mundo,Varus,Azir,Ryze,1532.0,0.0,1.0,5.0,2.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1958,1.0574,0.0,1.0,6.0,8.0,6.0,34.0,8261.0,4860.0,190.3394,7900.0,147.0,15.0,132.0,5.7572,3602.0,4012.0,77.0,4744.0,4724.0,89.0,-1142.0,-712.0,-12.0,0.0,1.0,1.0,2.0,1.0,0.0,5634.0,6380.0,111.0,8330.0,8820.0,152.0,-2696.0,-2440.0,-41.0,1.0,1.0,3.0,5.0,2.0,0.0,6919.0,7793.0,122.0,12061.0,12857.0,213.0,-5142.0,-5064.0,-91.0,1.0,2.0,4.0,8.0,2.0,0.0,8195.0,9787.0,147.0,15175.0,17133.0,273.0,-6980.0,-7346.0,-126.0,1.0,2.0,5.0,8.0,4.0,0.0
LOLTMNT01_326685,complete,HLL,2026.0,0.0,1.0,16.02,Blue,jng,Skeanz,SK Gaming,0.0,Pantheon,Varus,Jayce,Rumble,Braum,Rell,2240.0,0.0,1.0,2.0,5.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1607,0.75,0.0,1.0,7.0,12.0,6.0,51.0,12285.0,7440.0,199.2857,11600.0,234.0,16.0,218.0,6.2679,3545.0,4186.0,79.0,4072.0,4344.0,83.0,-527.0,-158.0,-4.0,0.0,1.0,0.0,1.0,2.0,0.0,5003.0,5998.0,109.0,6603.0,7269.0,131.0,-1600.0,-1271.0,-22.0,0.0,2.0,0.0,3.0,3.0,0.0,7135.0,8623.0,148.0,8860.0,9344.0,157.0,-1725.0,-721.0,-9.0,1.0,2.0,1.0,5.0,5.0,0.0,8776.0,10702.0,171.0,10628.0,11415.0,183.0,-1852.0,-713.0,-12.0,1.0,4.0,1.0,5.0,8.0,0.0
LOLTMNT04_149461,complete,LFL,2026.0,0.0,1.0,16.02,Blue,jng,Skeanz,SK Gaming,1.0,Wukong,Malphite,Azir,Orianna,Gwen,Alistar,1843.0,0.0,1.0,3.0,2.0,6.0,18.0,0.0,0.0,0.0,0.0,1.0,0.1953,0.7813,0.0,1.0,6.0,7.0,4.0,43.0,10360.0,6325.0,205.9143,10033.0,189.0,10.0,179.0,6.153,3564.0,4333.0,77.0,3679.0,4613.0,91.0,-115.0,-280.0,-14.0,0.0,1.0,0.0,0.0,0.0,0.0,5157.0,6683.0,117.0,5625.0,6879.0,127.0,-468.0,-196.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,6759.0,8689.0,147.0,8036.0,8861.0,156.0,-1277.0,-172.0,-9.0,0.0,2.0,1.0,2.0,4.0,0.0,8979.0,10415.0,169.0,10667.0,12357.0,198.0,-1688.0,-1942.0,-29.0,1.0,2.0,2.0,4.0,6.0,0.0
LOLTMNT01_332135,complete,LCP,2026.0,0.0,1.0,16.02,Blue,jng,Skeanz,SK Gaming,1.0,Pantheon,Malphite,Akali,Orianna,Aurora,Neeko,1517.0,1.0,5.0,0.0,11.0,26.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0283,1.3052,1.0,0.0,7.0,8.0,6.0,40.0,11434.0,8064.0,318.9453,10350.0,174.0,10.0,164.0,6.882,4345.0,3808.0,68.0,3607.0,4141.0,74.0,738.0,-333.0,-6.0,3.0,2.0,0.0,0.0,2.0,3.0,6667.0,6630.0,110.0,5030.0,5934.0,106.0,1637.0,696.0,4.0,4.0,3.0,0.0,0.0,2.0,4.0,8479.0,9076.0,149.0,6644.0,8559.0,138.0,1835.0,517.0,11.0,4.0,3.0,0.0,0.0,4.0,4.0,11298.0,13020.0,174.0,8176.0,10187.0,162.0,3122.0,2833.0,12.0,5.0,11.0,0.0,0.0,5.0,7.0
LOLTMNT01_336787,complete,HLL,2026.0,0.0,1.0,16.02,Red,jng,Skeanz,SK Gaming,1.0,Pantheon,Dr. Mundo,Jarvan IV,Jayce,Aphelios,Caitlyn,2365.0,1.0,3.0,2.0,12.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.482,0.7865,1.0,0.0,11.0,13.0,9.0,55.0,14719.0,9619.0,244.0338,13275.0,233.0,30.0,203.0,5.9112,3673.0,3861.0,70.0,3566.0,4409.0,84.0,107.0,-548.0,-14.0,1.0,0.0,0.0,0.0,0.0,0.0,5263.0,6105.0,107.0,5460.0,7359.0,138.0,-197.0,-1254.0,-31.0,1.0,0.0,0.0,0.0,0.0,0.0,7336.0,9051.0,139.0,7189.0,9236.0,171.0,147.0,-185.0,-32.0,2.0,2.0,0.0,0.0,1.0,1.0,9073.0,11109.0,171.0,8709.0,10779.0,201.0,364.0,330.0,-30.0,2.0,4.0,0.0,0.0,1.0,2.0
LOLTMNT04_152714,complete,EBL,2026.0,0.0,1.0,16.02,Blue,jng,Skeanz,SK Gaming,0.0,Pantheon,Varus,Jayce,Azir,Orianna,Taliyah,2172.0,0.0,4.0,6.0,4.0,13.0,24.0,0.0,0.0,0.0,0.0,1.0,0.3591,1.0221,1.0,1.0,11.0,7.0,10.0,42.0,13338.0,8632.0,238.453,12500.0,218.0,18.0,200.0,6.0221,3749.0,4273.0,75.0,3788.0,4043.0,77.0,-39.0,230.0,-2.0,1.0,0.0,0.0,1.0,0.0,0.0,5201.0,6390.0,111.0,5462.0,6244.0,114.0,-261.0,146.0,-3.0,1.0,0.0,1.0,1.0,1.0,0.0,7464.0,9315.0,147.0,8263.0,9032.0,152.0,-799.0,283.0,-5.0,2.0,1.0,1.0,2.0,2.0,0.0,9643.0,11716.0,166.0,10798.0,11530.0,174.0,-1155.0,186.0,-8.0,3.0,2.0,4.0,4.0,5.0,1.0
LOLTMNT01_338422,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,Skeanz,SK Gaming,0.0,Vi,Varus,Orianna,K'Sante,Xayah,Caitlyn,2077.0,0.0,5.0,2.0,2.0,11.0,13.0,1.0,0.0,0.0,0.0,1.0,0.3178,0.6933,0.0,1.0,9.0,14.0,8.0,66.0,13058.0,8545.0,246.8464,12550.0,239.0,16.0,223.0,6.9042,3452.0,3991.0,78.0,3447.0,4316.0,83.0,5.0,-325.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,6148.0,115.0,5147.0,6637.0,126.0,-182.0,-489.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,8215.0,9118.0,151.0,6978.0,9137.0,165.0,1237.0,-19.0,-14.0,4.0,1.0,0.0,0.0,1.0,1.0,9801.0,10829.0,180.0,8805.0,11384.0,199.0,996.0,-555.0,-19.0,4.0,1.0,0.0,0.0,2.0,1.0
LOLTMNT02_351354,complete,LCP,2026.0,1.0,1.0,16.03,Blue,jng,Skeanz,SK Gaming,0.0,Xin Zhao,Sion,Dr. Mundo,Caitlyn,Nami,Bard,2098.0,0.0,1.0,3.0,2.0,7.0,12.0,0.0,0.0,0.0,0.0,1.0,0.2002,0.5434,0.0,0.0,10.0,14.0,10.0,58.0,11993.0,7437.0,212.6883,11850.0,235.0,19.0,216.0,6.7207,3427.0,3600.0,67.0,3158.0,3575.0,64.0,269.0,25.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5125.0,6441.0,108.0,4694.0,5746.0,100.0,431.0,695.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,6709.0,8181.0,138.0,6529.0,8776.0,143.0,180.0,-595.0,-5.0,0.0,2.0,1.0,0.0,1.0,1.0,8883.0,10941.0,183.0,8414.0,11308.0,188.0,469.0,-367.0,-5.0,0.0,2.0,1.0,0.0,1.0,1.0
