gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164547,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,SlowQ,Misa Esports,1.0,Azir,Akali,Zed,Yone,Neeko,K'Sante,1606.0,1.0,1.0,2.0,12.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6351,0.7846,0.0,0.0,14.0,6.0,5.0,36.0,12015.0,8463.0,316.1768,11375.0,271.0,271.0,0.0,10.1245,3564.0,5208.0,101.0,3536.0,5337.0,99.0,28.0,-129.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5384.0,7961.0,159.0,4964.0,7696.0,143.0,420.0,265.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,8047.0,11043.0,213.0,6646.0,9940.0,191.0,1401.0,1103.0,22.0,0.0,2.0,1.0,0.0,0.0,2.0,10476.0,14817.0,262.0,8265.0,13836.0,234.0,2211.0,981.0,28.0,1.0,6.0,2.0,0.0,1.0,3.0
LOLTMNT04_147353,complete,TCL,2026.0,0.0,2.0,16.01,Red,mid,SlowQ,Misa Esports,0.0,Mel,Jayce,Rumble,Zed,Akali,Bard,2599.0,1.0,7.0,5.0,11.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.5541,1.0619,0.0,0.0,27.0,8.0,12.0,70.0,17030.0,11452.0,264.3786,16100.0,346.0,342.0,4.0,7.9877,4337.0,5116.0,97.0,3243.0,4594.0,72.0,1094.0,522.0,25.0,3.0,0.0,1.0,0.0,3.0,2.0,6335.0,7726.0,144.0,4918.0,7140.0,119.0,1417.0,586.0,25.0,4.0,2.0,2.0,0.0,6.0,3.0,8413.0,10203.0,206.0,6911.0,9968.0,175.0,1502.0,235.0,31.0,4.0,2.0,2.0,0.0,6.0,4.0,9854.0,11548.0,229.0,8844.0,12891.0,230.0,1010.0,-1343.0,-1.0,5.0,2.0,3.0,0.0,9.0,4.0
LOLTMNT01_334934,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,SlowQ,Misa Esports,1.0,Ryze,Varus,Ambessa,Orianna,Kai'Sa,Yunara,1896.0,1.0,5.0,1.0,9.0,21.0,8.0,1.0,0.0,0.0,0.0,0.0,0.6646,0.9177,0.0,0.0,20.0,8.0,8.0,54.0,14211.0,10068.0,318.6076,11900.0,289.0,285.0,4.0,9.1456,3513.0,4928.0,102.0,3618.0,5017.0,97.0,-105.0,-89.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5640.0,7976.0,159.0,5483.0,8115.0,152.0,157.0,-139.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7571.0,10785.0,211.0,7208.0,10544.0,193.0,363.0,241.0,18.0,1.0,0.0,1.0,0.0,4.0,1.0,9681.0,13337.0,250.0,8513.0,13328.0,223.0,1168.0,9.0,27.0,2.0,2.0,1.0,0.0,5.0,2.0
LOLTMNT01_334936,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,SlowQ,Misa Esports,1.0,Galio,Ambessa,Varus,Azir,Aurora,Ahri,1488.0,1.0,1.0,1.0,8.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6452,0.6855,0.0,0.0,14.0,3.0,4.0,33.0,10236.0,6925.0,279.2339,8300.0,242.0,242.0,0.0,9.7581,3949.0,4950.0,94.0,3599.0,5034.0,88.0,350.0,-84.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,5538.0,7779.0,147.0,5666.0,7858.0,141.0,-128.0,-79.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,7795.0,10982.0,207.0,7384.0,9960.0,179.0,411.0,1022.0,28.0,1.0,2.0,0.0,0.0,0.0,3.0,10236.0,14537.0,242.0,9062.0,12346.0,215.0,1174.0,2191.0,27.0,1.0,8.0,1.0,0.0,0.0,4.0
LOLTMNT02_350450,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,mid,SlowQ,Misa Esports,1.0,Orianna,Caitlyn,Pantheon,Varus,Bard,Kai'Sa,1332.0,1.0,2.0,1.0,16.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.991,1.036,0.0,0.0,13.0,3.0,5.0,23.0,10502.0,7509.0,338.2432,9025.0,236.0,236.0,0.0,10.6306,4078.0,5619.0,104.0,2945.0,4683.0,71.0,1133.0,936.0,33.0,1.0,0.0,0.0,0.0,0.0,1.0,6366.0,8654.0,161.0,4455.0,7350.0,120.0,1911.0,1304.0,41.0,1.0,1.0,0.0,0.0,0.0,1.0,9235.0,12390.0,215.0,6012.0,9640.0,165.0,3223.0,2750.0,50.0,1.0,11.0,1.0,0.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_350457,complete,LCKC,2026.0,0.0,2.0,16.02,Blue,mid,SlowQ,Misa Esports,1.0,Ryze,Caitlyn,Pantheon,Poppy,Sion,Kai'Sa,1276.0,1.0,4.0,0.0,8.0,25.0,8.0,0.0,0.0,0.0,0.0,1.0,1.1755,1.5517,0.0,0.0,11.0,5.0,3.0,29.0,10613.0,7734.0,363.6677,8075.0,245.0,241.0,4.0,11.5204,4278.0,5300.0,100.0,3463.0,4945.0,94.0,815.0,355.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,6385.0,8529.0,168.0,5156.0,7983.0,151.0,1229.0,546.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,9334.0,13598.0,235.0,7674.0,10298.0,198.0,1660.0,3300.0,37.0,2.0,6.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT02_353128,complete,LES,2026.0,0.0,1.0,16.03,Blue,mid,SlowQ,Misa Esports,1.0,Orianna,Poppy,Jayce,Rumble,Bard,Qiyana,1611.0,1.0,5.0,1.0,9.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6704,0.8939,0.0,0.0,15.0,6.0,5.0,38.0,12108.0,8546.0,318.2868,10325.0,263.0,263.0,0.0,9.7952,3685.0,4832.0,85.0,3364.0,4620.0,75.0,321.0,212.0,10.0,1.0,1.0,0.0,1.0,0.0,1.0,6192.0,7918.0,146.0,4774.0,7158.0,110.0,1418.0,760.0,36.0,2.0,1.0,1.0,1.0,1.0,2.0,8515.0,10749.0,194.0,6240.0,9290.0,148.0,2275.0,1459.0,46.0,4.0,3.0,1.0,1.0,2.0,3.0,11381.0,14618.0,250.0,7870.0,12105.0,198.0,3511.0,2513.0,52.0,5.0,6.0,1.0,1.0,2.0,3.0
LOLTMNT02_353163,complete,LFL,2026.0,0.0,2.0,16.03,Red,mid,SlowQ,Misa Esports,0.0,Ryze,Jayce,Rumble,Ambessa,Kennen,Gwen,1736.0,1.0,8.0,3.0,3.0,22.0,12.0,1.0,1.0,1.0,0.0,1.0,0.7604,1.1751,0.0,0.0,18.0,5.0,8.0,40.0,14960.0,11143.0,385.1267,13150.0,291.0,283.0,8.0,10.0576,4509.0,5131.0,99.0,3576.0,4970.0,79.0,933.0,161.0,20.0,2.0,1.0,1.0,1.0,2.0,2.0,6173.0,7721.0,144.0,5694.0,8185.0,135.0,479.0,-464.0,9.0,2.0,1.0,2.0,1.0,4.0,2.0,9361.0,12496.0,210.0,7877.0,11249.0,200.0,1484.0,1247.0,10.0,4.0,1.0,3.0,1.0,4.0,2.0,11490.0,15438.0,251.0,9595.0,13159.0,238.0,1895.0,2279.0,13.0,4.0,1.0,3.0,1.0,4.0,4.0
LOLTMNT05_177108,complete,AL,2026.0,1.0,1.0,16.03,Blue,mid,SlowQ,Misa Esports,1.0,Ryze,Ambessa,Varus,Yunara,Ezreal,Gnar,1855.0,1.0,1.0,1.0,10.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.5499,0.8733,0.0,0.0,16.0,8.0,5.0,42.0,13384.0,9324.0,301.5849,11875.0,313.0,309.0,4.0,10.124,3470.0,5019.0,93.0,3367.0,5439.0,95.0,103.0,-420.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5093.0,7435.0,143.0,4937.0,8011.0,139.0,156.0,-576.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,7743.0,11171.0,206.0,6817.0,10774.0,189.0,926.0,397.0,17.0,0.0,6.0,1.0,0.0,5.0,2.0,9831.0,16022.0,264.0,8556.0,13398.0,243.0,1275.0,2624.0,21.0,0.0,9.0,1.0,0.0,5.0,3.0
LOLTMNT02_358165,complete,LCKC,2026.0,0.0,2.0,16.03,Red,mid,SlowQ,Misa Esports,0.0,Aurora,Orianna,Varus,Yunara,Kai'Sa,Lucian,2504.0,0.0,2.0,6.0,9.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.3355,0.9345,0.0,0.0,10.0,19.0,6.0,61.0,14850.0,9466.0,226.8211,15000.0,325.0,325.0,0.0,7.7875,3137.0,3984.0,75.0,3704.0,4768.0,78.0,-567.0,-784.0,-3.0,0.0,2.0,1.0,2.0,1.0,0.0,4919.0,6860.0,133.0,5153.0,7020.0,124.0,-234.0,-160.0,9.0,0.0,2.0,1.0,2.0,1.0,0.0,6641.0,9291.0,181.0,7092.0,9643.0,169.0,-451.0,-352.0,12.0,0.0,2.0,1.0,3.0,1.0,0.0,8792.0,12554.0,241.0,9196.0,13497.0,211.0,-404.0,-943.0,30.0,0.0,2.0,1.0,4.0,2.0,1.0
