gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319634,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Smart,ZennIT,1.0,Ambessa,Jayce,Zaahen,Syndra,Lulu,Tristana,2120.0,0.0,3.0,5.0,0.0,6.0,26.0,1.0,0.0,0.0,0.0,0.0,0.1698,0.9057,0.0,0.0,11.0,5.0,3.0,34.0,11843.0,7243.0,204.9906,11025.0,269.0,267.0,2.0,7.6132,3324.0,4964.0,86.0,3767.0,5334.0,80.0,-443.0,-370.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4583.0,7808.0,121.0,6015.0,9600.0,140.0,-1432.0,-1792.0,-19.0,0.0,0.0,2.0,2.0,0.0,0.0,6611.0,9766.0,152.0,8329.0,12327.0,176.0,-1718.0,-2561.0,-24.0,2.0,0.0,3.0,4.0,2.0,0.0,8868.0,12983.0,211.0,10416.0,16265.0,233.0,-1548.0,-3282.0,-22.0,3.0,0.0,3.0,4.0,2.0,0.0
LOLTMNT01_319645,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Smart,ZennIT,1.0,Renekton,Heimerdinger,Ambessa,Jayce,Rumble,Jax,2205.0,0.0,1.0,4.0,1.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2721,0.6531,0.0,0.0,10.0,4.0,2.0,37.0,13542.0,8768.0,238.585,12800.0,317.0,317.0,0.0,8.6259,3285.0,4470.0,85.0,3309.0,4869.0,65.0,-24.0,-399.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,4988.0,8580.0,143.0,4787.0,8629.0,110.0,201.0,-49.0,33.0,0.0,0.0,1.0,1.0,1.0,1.0,6874.0,11861.0,195.0,6662.0,12134.0,166.0,212.0,-273.0,29.0,0.0,0.0,1.0,1.0,1.0,1.0,9715.0,15353.0,256.0,8404.0,15447.0,218.0,1311.0,-94.0,38.0,0.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT01_319673,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Smart,ZennIT,0.0,K'Sante,Orianna,Rengar,Tristana,Nautilus,Poppy,1987.0,0.0,1.0,4.0,1.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2114,0.6341,0.0,0.0,12.0,3.0,2.0,33.0,10406.0,6077.0,183.5028,10300.0,248.0,248.0,0.0,7.4887,3528.0,5078.0,86.0,3420.0,5002.0,79.0,108.0,76.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5340.0,8951.0,129.0,5616.0,8471.0,122.0,-276.0,480.0,7.0,1.0,0.0,2.0,2.0,0.0,1.0,7009.0,11945.0,171.0,7492.0,11670.0,177.0,-483.0,275.0,-6.0,1.0,1.0,2.0,2.0,0.0,2.0,8746.0,14878.0,218.0,9316.0,14835.0,223.0,-570.0,43.0,-5.0,1.0,1.0,3.0,2.0,2.0,2.0
LOLTMNT01_319687,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Smart,ZennIT,1.0,Jax,Jayce,Aphelios,Sion,K'Sante,Braum,2278.0,1.0,9.0,4.0,3.0,23.0,11.0,1.0,0.0,0.0,0.0,1.0,0.6058,0.8955,0.0,0.0,20.0,7.0,3.0,56.0,17622.0,12699.0,334.4776,15458.0,324.0,320.0,4.0,8.5338,3940.0,5219.0,87.0,3139.0,4645.0,67.0,801.0,574.0,20.0,2.0,0.0,1.0,1.0,0.0,2.0,6552.0,9147.0,142.0,4277.0,7530.0,96.0,2275.0,1617.0,46.0,3.0,0.0,1.0,1.0,0.0,3.0,8353.0,12243.0,196.0,6011.0,10645.0,153.0,2342.0,1598.0,43.0,3.0,1.0,2.0,1.0,0.0,4.0,11437.0,16857.0,242.0,7407.0,13279.0,183.0,4030.0,3578.0,59.0,5.0,2.0,2.0,1.0,0.0,7.0
LOLTMNT05_172129,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,Smart,ZennIT,0.0,Renekton,Jayce,Cho'Gath,Orianna,Rumble,Sion,2077.0,1.0,3.0,0.0,9.0,22.0,9.0,0.0,0.0,0.0,0.0,1.0,0.6355,0.8955,0.0,0.0,17.0,6.0,4.0,48.0,13315.0,8802.0,254.2706,12250.0,295.0,295.0,0.0,8.5219,3743.0,5377.0,74.0,3423.0,5038.0,82.0,320.0,339.0,-8.0,1.0,0.0,0.0,0.0,0.0,1.0,6151.0,9756.0,135.0,4852.0,8172.0,123.0,1299.0,1584.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,7676.0,12289.0,170.0,6882.0,10714.0,161.0,794.0,1575.0,9.0,2.0,1.0,0.0,2.0,0.0,3.0,9563.0,15705.0,229.0,8821.0,12915.0,197.0,742.0,2790.0,32.0,3.0,1.0,0.0,3.0,0.0,3.0
LOLTMNT03_337511,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Smart,ZennIT,0.0,Gwen,Orianna,Aatrox,Neeko,Tristana,Corki,1519.0,1.0,3.0,3.0,6.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6715,0.9085,0.0,0.0,10.0,0.0,2.0,20.0,9554.0,6180.0,244.108,8800.0,198.0,198.0,0.0,7.8209,3226.0,4809.0,79.0,3508.0,5056.0,71.0,-282.0,-247.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,4936.0,8923.0,137.0,5141.0,8626.0,119.0,-205.0,297.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,6951.0,11542.0,163.0,7473.0,12309.0,174.0,-522.0,-767.0,-11.0,2.0,0.0,3.0,1.0,1.0,1.0,9374.0,16079.0,198.0,8723.0,13422.0,189.0,651.0,2657.0,9.0,3.0,4.0,3.0,2.0,2.0,4.0
LOLTMNT03_336502,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,Smart,ZennIT,0.0,Renekton,Jayce,Orianna,Rumble,Trundle,Zaahen,1895.0,0.0,2.0,7.0,2.0,7.0,19.0,0.0,0.0,0.0,0.0,1.0,0.2216,0.8232,0.0,0.0,11.0,2.0,2.0,32.0,10702.0,6561.0,207.7361,9800.0,237.0,235.0,2.0,7.504,4468.0,5885.0,94.0,2820.0,4391.0,64.0,1648.0,1494.0,30.0,2.0,0.0,0.0,0.0,0.0,2.0,5679.0,8507.0,127.0,5246.0,8189.0,101.0,433.0,318.0,26.0,2.0,0.0,2.0,2.0,1.0,2.0,7901.0,11905.0,182.0,7718.0,11888.0,165.0,183.0,17.0,17.0,2.0,1.0,3.0,3.0,1.0,2.0,8954.0,13339.0,199.0,9930.0,15570.0,211.0,-976.0,-2231.0,-12.0,2.0,1.0,5.0,3.0,3.0,2.0
LOLTMNT06_164553,complete,AL,2026.0,0.0,1.0,16.01,Red,top,Smart,ZennIT,0.0,Jax,Jayce,Orianna,Rumble,Kennen,Akali,2045.0,0.0,5.0,6.0,2.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3521,1.1149,0.0,0.0,20.0,5.0,6.0,49.0,13708.0,9261.0,271.7164,12883.0,240.0,240.0,0.0,7.0416,3376.0,5379.0,86.0,3511.0,5472.0,88.0,-135.0,-93.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,6355.0,9190.0,138.0,5159.0,8288.0,122.0,1196.0,902.0,16.0,2.0,0.0,1.0,1.0,0.0,2.0,8447.0,11313.0,165.0,6678.0,10843.0,152.0,1769.0,470.0,13.0,4.0,0.0,2.0,1.0,1.0,3.0,10869.0,15895.0,208.0,8169.0,13698.0,192.0,2700.0,2197.0,16.0,5.0,2.0,2.0,1.0,2.0,4.0
LOLTMNT06_164556,complete,LFL,2026.0,0.0,2.0,16.01,Red,top,Smart,ZennIT,0.0,Aatrox,Rumble,Orianna,Jayce,Draven,Neeko,1908.0,0.0,2.0,6.0,4.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.5031,1.4465,0.0,0.0,11.0,4.0,2.0,30.0,11185.0,7017.0,220.6604,10125.0,243.0,243.0,0.0,7.6415,3091.0,5007.0,79.0,3876.0,5301.0,90.0,-785.0,-294.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,4399.0,7582.0,117.0,6648.0,9593.0,145.0,-2249.0,-2011.0,-28.0,0.0,0.0,3.0,4.0,0.0,0.0,7006.0,11065.0,159.0,8583.0,12040.0,186.0,-1577.0,-975.0,-27.0,1.0,1.0,3.0,4.0,2.0,2.0,8991.0,14422.0,218.0,10658.0,15047.0,213.0,-1667.0,-625.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0
LOLTMNT04_152071,complete,NLC,2026.0,0.0,1.0,16.02,Blue,top,Smart,ZennIT,1.0,Aatrox,Rengar,Sylas,Ambessa,Gwen,Fiora,2239.0,0.0,5.0,5.0,5.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4556,1.0987,0.0,0.0,8.0,6.0,2.0,29.0,17176.0,12333.0,330.4958,16845.0,312.0,304.0,8.0,8.3609,3641.0,4963.0,92.0,3556.0,5470.0,75.0,85.0,-507.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,5758.0,8879.0,144.0,4988.0,9138.0,117.0,770.0,-259.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,8562.0,12550.0,198.0,6214.0,11201.0,150.0,2348.0,1349.0,48.0,2.0,0.0,1.0,1.0,0.0,1.0,10467.0,14656.0,232.0,7732.0,13253.0,173.0,2735.0,1403.0,59.0,3.0,1.0,2.0,1.0,1.0,2.0
