gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171133,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Speedy1,WLGaming Esports,1.0,Neeko,Malphite,Rumble,Jayce,K'Sante,Braum,1759.0,1.0,2.0,6.0,8.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5117,0.9892,0.0,0.0,42.0,8.0,9.0,98.0,8222.0,4358.0,148.6526,7170.0,27.0,27.0,0.0,0.921,2469.0,2839.0,10.0,3073.0,3004.0,13.0,-604.0,-165.0,-3.0,0.0,1.0,2.0,1.0,4.0,1.0,3922.0,3979.0,18.0,4263.0,3758.0,20.0,-341.0,221.0,-2.0,1.0,2.0,3.0,1.0,5.0,3.0,4994.0,5765.0,21.0,5305.0,5534.0,25.0,-311.0,231.0,-4.0,1.0,2.0,3.0,1.0,5.0,3.0,6009.0,6873.0,24.0,6493.0,7761.0,28.0,-484.0,-888.0,-4.0,1.0,2.0,5.0,1.0,7.0,3.0
LOLTMNT03_336219,complete,LCKC,2026.0,0.0,2.0,16.01,Red,sup,Speedy1,WLGaming Esports,0.0,Rakan,Jayce,Rumble,K'Sante,Braum,Karma,2134.0,1.0,1.0,3.0,23.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.7873,1.209,0.0,0.0,73.0,13.0,15.0,157.0,10578.0,5949.0,167.2634,9530.0,30.0,28.0,2.0,0.8435,2777.0,3028.0,13.0,2793.0,2943.0,17.0,-16.0,85.0,-4.0,1.0,2.0,1.0,2.0,0.0,0.0,4075.0,4126.0,16.0,3994.0,4270.0,27.0,81.0,-144.0,-11.0,1.0,6.0,1.0,2.0,0.0,1.0,5422.0,5711.0,19.0,5092.0,4558.0,29.0,330.0,1153.0,-10.0,1.0,7.0,1.0,2.0,0.0,1.0,6645.0,7179.0,19.0,6744.0,6205.0,32.0,-99.0,974.0,-13.0,1.0,11.0,2.0,3.0,0.0,2.0
LOLTMNT06_166014,complete,LFL,2026.0,0.0,1.0,16.01,Blue,sup,Speedy1,WLGaming Esports,1.0,Nautilus,Riven,Malphite,Azir,Dr. Mundo,Braum,1488.0,1.0,0.0,3.0,10.0,22.0,9.0,0.0,0.0,0.0,0.0,1.0,0.8871,1.25,0.0,0.0,38.0,6.0,4.0,82.0,6371.0,3060.0,123.3871,5740.0,29.0,29.0,0.0,1.1694,2334.0,2902.0,19.0,2473.0,3046.0,14.0,-139.0,-144.0,5.0,0.0,2.0,2.0,0.0,3.0,1.0,3590.0,4519.0,26.0,3535.0,4091.0,20.0,55.0,428.0,6.0,0.0,5.0,2.0,0.0,3.0,3.0,4727.0,4899.0,27.0,4762.0,5914.0,22.0,-35.0,-1015.0,5.0,0.0,5.0,2.0,0.0,4.0,3.0,6371.0,7473.0,29.0,5845.0,7186.0,23.0,526.0,287.0,6.0,0.0,10.0,3.0,0.0,6.0,5.0
LOLTMNT04_148375,complete,NLC,2026.0,0.0,2.0,16.01,Red,sup,Speedy1,WLGaming Esports,0.0,Rakan,Riven,Ryze,Azir,Sylas,Ahri,1399.0,1.0,0.0,2.0,19.0,25.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0722,1.6297,0.0,0.0,38.0,13.0,7.0,101.0,7298.0,4168.0,178.7563,6500.0,29.0,29.0,0.0,1.2437,2534.0,2560.0,14.0,2326.0,2874.0,16.0,208.0,-314.0,-2.0,0.0,1.0,0.0,0.0,0.0,1.0,4327.0,3717.0,21.0,3793.0,3961.0,19.0,534.0,-244.0,2.0,0.0,5.0,1.0,0.0,3.0,2.0,5874.0,5018.0,26.0,5007.0,4738.0,21.0,867.0,280.0,5.0,0.0,10.0,2.0,0.0,7.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_149245,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Speedy1,WLGaming Esports,0.0,Braum,Naafiri,Akali,Jayce,Corki,Aphelios,1939.0,1.0,0.0,2.0,11.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4951,0.6498,0.0,0.0,66.0,15.0,11.0,152.0,8577.0,4346.0,134.4817,7915.0,36.0,36.0,0.0,1.114,2337.0,2642.0,15.0,2296.0,2794.0,23.0,41.0,-152.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,3744.0,21.0,3446.0,3535.0,32.0,115.0,209.0,-11.0,0.0,3.0,0.0,0.0,0.0,1.0,4938.0,5572.0,25.0,4808.0,5072.0,37.0,130.0,500.0,-12.0,0.0,5.0,1.0,0.0,2.0,1.0,6185.0,7316.0,30.0,5915.0,6101.0,38.0,270.0,1215.0,-8.0,0.0,5.0,2.0,0.0,2.0,1.0
LOLTMNT01_326059,complete,LCS,2026.0,0.0,2.0,16.01,Blue,sup,Speedy1,WLGaming Esports,1.0,Alistar,Naafiri,Akali,Bel'Veth,Taliyah,Neeko,1563.0,1.0,4.0,4.0,16.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,1.1132,1.6123,0.0,0.0,52.0,6.0,11.0,101.0,8416.0,4952.0,190.096,7585.0,27.0,27.0,0.0,1.0365,2920.0,2923.0,18.0,2866.0,2707.0,19.0,54.0,216.0,-1.0,2.0,1.0,2.0,1.0,4.0,0.0,4232.0,4214.0,22.0,4165.0,4250.0,27.0,67.0,-36.0,-5.0,2.0,3.0,2.0,1.0,5.0,0.0,6031.0,6312.0,25.0,5412.0,5184.0,29.0,619.0,1128.0,-4.0,3.0,5.0,2.0,1.0,6.0,2.0,7761.0,8896.0,26.0,6620.0,7491.0,35.0,1141.0,1405.0,-9.0,3.0,12.0,3.0,1.0,8.0,3.0
LOLTMNT04_152130,complete,LIT,2026.0,1.0,1.0,16.02,Blue,sup,Speedy1,WLGaming Esports,1.0,Alistar,Lee Sin,Nocturne,Jarvan IV,Lulu,Wukong,1108.0,1.0,4.0,0.0,15.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,1.4621,1.6245,0.0,0.0,28.0,4.0,7.0,57.0,6513.0,3977.0,215.361,5735.0,16.0,16.0,0.0,0.8664,3409.0,2675.0,11.0,2427.0,1897.0,9.0,982.0,778.0,2.0,3.0,4.0,0.0,0.0,2.0,3.0,5067.0,3503.0,15.0,3850.0,3300.0,16.0,1217.0,203.0,-1.0,4.0,5.0,0.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT04_152132,complete,TCL,2026.0,0.0,2.0,16.02,Red,sup,Speedy1,WLGaming Esports,0.0,Nautilus,Lee Sin,Nocturne,Jarvan IV,Kassadin,Akali,1318.0,1.0,1.0,4.0,10.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3202,1.7299,0.0,0.0,36.0,5.0,8.0,64.0,6957.0,3993.0,181.7754,5860.0,32.0,32.0,0.0,1.4568,2496.0,2788.0,27.0,2404.0,2741.0,14.0,92.0,47.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,4174.0,4064.0,28.0,3599.0,3686.0,17.0,575.0,378.0,11.0,0.0,6.0,2.0,0.0,2.0,2.0,5654.0,5421.0,31.0,4696.0,5356.0,27.0,958.0,65.0,4.0,0.0,8.0,3.0,0.0,2.0,3.0,,,,,,,,,,,,,,,
LOLTMNT02_353283,complete,LCK,2026.0,0.0,1.0,16.03,Red,sup,Speedy1,WLGaming Esports,0.0,Neeko,Rumble,Ryze,Varus,Braum,Lulu,2510.0,1.0,1.0,3.0,11.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.3586,0.5976,0.0,0.0,66.0,29.0,13.0,191.0,11142.0,5746.0,137.3546,9175.0,51.0,51.0,0.0,1.2191,2390.0,2988.0,7.0,2307.0,2756.0,14.0,83.0,232.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4041.0,3808.0,14.0,3436.0,3489.0,26.0,605.0,319.0,-12.0,1.0,2.0,0.0,0.0,0.0,1.0,5371.0,5240.0,23.0,4467.0,4516.0,29.0,904.0,724.0,-6.0,1.0,3.0,0.0,0.0,0.0,1.0,6512.0,6967.0,28.0,5504.0,5407.0,31.0,1008.0,1560.0,-3.0,1.0,3.0,0.0,0.0,0.0,2.0
LOLTMNT02_353324,complete,RL,2026.0,0.0,2.0,16.03,Blue,sup,Speedy1,WLGaming Esports,1.0,Leona,Azir,Jayce,K'Sante,Braum,Alistar,2347.0,1.0,2.0,3.0,15.0,26.0,10.0,0.0,0.0,0.0,0.0,1.0,0.6647,0.9203,0.0,0.0,82.0,17.0,16.0,181.0,10901.0,5838.0,149.2458,9575.0,42.0,42.0,0.0,1.0737,2382.0,2657.0,17.0,2142.0,2342.0,15.0,240.0,315.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3419.0,3779.0,27.0,3310.0,4008.0,29.0,109.0,-229.0,-2.0,0.0,2.0,0.0,0.0,0.0,1.0,4958.0,5037.0,33.0,5405.0,4644.0,36.0,-447.0,393.0,-3.0,1.0,2.0,0.0,1.0,0.0,2.0,6380.0,6100.0,38.0,6537.0,5788.0,40.0,-157.0,312.0,-2.0,1.0,3.0,0.0,1.0,0.0,2.0
