gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_150134,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Steeelback,Skillcamp,0.0,Braum,Orianna,Jayce,Neeko,Anivia,Taliyah,1587.0,1.0,0.0,3.0,12.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6805,0.8318,0.0,0.0,49.0,12.0,13.0,111.0,6983.0,3470.0,131.1909,5745.0,33.0,33.0,0.0,1.2476,2345.0,2860.0,19.0,2326.0,3057.0,18.0,19.0,-197.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3467.0,3620.0,26.0,3374.0,3350.0,25.0,93.0,270.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,4747.0,4683.0,29.0,4404.0,4214.0,30.0,343.0,469.0,-1.0,0.0,4.0,1.0,0.0,2.0,1.0,6246.0,6705.0,33.0,5366.0,4863.0,33.0,880.0,1842.0,0.0,0.0,9.0,2.0,0.0,3.0,3.0
LOLTMNT04_152165,complete,EBL,2026.0,0.0,1.0,16.02,Red,sup,Steeelback,Skillcamp,0.0,Alistar,Orianna,Ambessa,Varus,Rakan,Braum,1853.0,1.0,1.0,1.0,11.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4857,0.5505,0.0,0.0,55.0,7.0,14.0,111.0,7918.0,3862.0,125.0513,6660.0,21.0,21.0,0.0,0.68,2134.0,3041.0,13.0,2204.0,2502.0,19.0,-70.0,539.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3282.0,4188.0,15.0,3445.0,4300.0,38.0,-163.0,-112.0,-23.0,0.0,3.0,0.0,0.0,0.0,1.0,4342.0,5085.0,17.0,4590.0,5351.0,43.0,-248.0,-266.0,-26.0,0.0,3.0,0.0,0.0,0.0,1.0,5521.0,7184.0,17.0,5683.0,6955.0,44.0,-162.0,229.0,-27.0,0.0,6.0,0.0,0.0,0.0,2.0
LOLTMNT01_338603,complete,LCK,2026.0,0.0,1.0,16.02,Red,sup,Steeelback,Skillcamp,0.0,Leona,Azir,Jayce,Orianna,Renekton,Alistar,2043.0,1.0,0.0,5.0,17.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6755,1.0866,0.0,0.0,61.0,12.0,13.0,140.0,9015.0,4572.0,134.2731,7440.0,24.0,24.0,0.0,0.7048,2477.0,2460.0,12.0,2578.0,2514.0,15.0,-101.0,-54.0,-3.0,0.0,2.0,2.0,1.0,1.0,1.0,3372.0,3494.0,14.0,3583.0,3530.0,21.0,-211.0,-36.0,-7.0,0.0,2.0,2.0,1.0,1.0,1.0,4641.0,4748.0,16.0,4808.0,3999.0,26.0,-167.0,749.0,-10.0,0.0,6.0,3.0,2.0,1.0,3.0,5882.0,5598.0,19.0,6196.0,6299.0,29.0,-314.0,-701.0,-10.0,0.0,7.0,4.0,2.0,5.0,3.0
LOLTMNT02_350130,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Steeelback,Skillcamp,0.0,Leona,Ahri,Rumble,Jayce,K'Sante,Gnar,1948.0,1.0,0.0,3.0,21.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.8624,1.2012,0.0,0.0,66.0,16.0,14.0,139.0,9005.0,4755.0,146.4579,7385.0,40.0,40.0,0.0,1.232,2417.0,2917.0,18.0,2190.0,2463.0,17.0,227.0,454.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3743.0,4146.0,26.0,3514.0,3818.0,30.0,229.0,328.0,-4.0,0.0,5.0,0.0,0.0,1.0,2.0,5185.0,5513.0,29.0,4787.0,5178.0,33.0,398.0,335.0,-4.0,0.0,11.0,1.0,0.0,3.0,4.0,6282.0,7072.0,31.0,6337.0,7613.0,34.0,-55.0,-541.0,-3.0,0.0,13.0,3.0,0.0,8.0,5.0
LOLTMNT02_350846,complete,HLL,2026.0,0.0,1.0,16.02,Blue,sup,Steeelback,Skillcamp,1.0,Rakan,Dr. Mundo,Azir,Orianna,Bard,Sion,2321.0,1.0,0.0,1.0,21.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.698,1.0599,0.0,0.0,81.0,14.0,16.0,151.0,10499.0,5489.0,141.8957,9215.0,33.0,33.0,0.0,0.8531,2373.0,2730.0,19.0,2377.0,2508.0,10.0,-4.0,222.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3441.0,3834.0,22.0,3388.0,3617.0,16.0,53.0,217.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4645.0,4565.0,27.0,4794.0,4552.0,20.0,-149.0,13.0,7.0,0.0,5.0,0.0,0.0,2.0,1.0,6273.0,6812.0,29.0,5921.0,6370.0,25.0,352.0,442.0,4.0,0.0,10.0,0.0,0.0,2.0,1.0
LOLTMNT02_353339,complete,LES,2026.0,0.0,1.0,16.03,Red,sup,Steeelback,Skillcamp,0.0,Nautilus,Orianna,Neeko,Fiora,Taliyah,Anivia,1946.0,1.0,1.0,0.0,9.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.5242,0.74,0.0,0.0,66.0,9.0,12.0,129.0,7851.0,3606.0,111.1819,6390.0,28.0,28.0,0.0,0.8633,2500.0,2657.0,12.0,2150.0,2629.0,24.0,350.0,28.0,-12.0,1.0,1.0,0.0,0.0,0.0,1.0,3446.0,3475.0,17.0,3125.0,3862.0,31.0,321.0,-387.0,-14.0,1.0,1.0,0.0,0.0,0.0,1.0,4463.0,4686.0,23.0,4108.0,4989.0,36.0,355.0,-303.0,-13.0,1.0,1.0,0.0,0.0,0.0,1.0,5490.0,5892.0,26.0,5384.0,7948.0,38.0,106.0,-2056.0,-12.0,1.0,2.0,0.0,0.0,1.0,2.0
LOLTMNT02_354540,complete,LCS,2026.0,0.0,1.0,16.03,Red,sup,Steeelback,Skillcamp,0.0,Leona,Orianna,Azir,Dr. Mundo,Sylas,Renekton,2272.0,0.0,0.0,2.0,4.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.4489,0.0,0.0,74.0,10.0,14.0,138.0,7924.0,3014.0,79.5951,7000.0,29.0,29.0,0.0,0.7658,2193.0,3024.0,18.0,2162.0,3101.0,20.0,31.0,-77.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.0,3512.0,21.0,3283.0,4226.0,30.0,-162.0,-714.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,4276.0,4589.0,25.0,4512.0,5662.0,40.0,-236.0,-1073.0,-15.0,0.0,1.0,0.0,0.0,0.0,0.0,5351.0,5861.0,27.0,5529.0,7302.0,41.0,-178.0,-1441.0,-14.0,0.0,3.0,0.0,0.0,0.0,1.0
LOLTMNT05_176849,complete,EBL,2026.0,1.0,1.0,16.03,Red,sup,Steeelback,Skillcamp,0.0,Nami,Orianna,Pantheon,Yunara,Gnar,K'Sante,1871.0,0.0,0.0,0.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1924,0.481,0.0,0.0,58.0,5.0,7.0,107.0,7112.0,3020.0,96.8466,6375.0,28.0,28.0,0.0,0.8979,2430.0,3394.0,17.0,2229.0,3100.0,7.0,201.0,294.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3662.0,4318.0,21.0,3425.0,4035.0,15.0,237.0,283.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,5018.0,5699.0,27.0,4749.0,5006.0,25.0,269.0,693.0,2.0,0.0,5.0,0.0,0.0,2.0,2.0,5926.0,6813.0,28.0,5958.0,6715.0,30.0,-32.0,98.0,-2.0,0.0,5.0,0.0,0.0,3.0,2.0
LOLTMNT05_175911,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,Steeelback,Skillcamp,0.0,Braum,Caitlyn,Orianna,Dr. Mundo,Kai'Sa,Corki,2954.0,0.0,1.0,3.0,16.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,0.4265,0.7312,0.0,0.0,110.0,10.0,22.0,170.0,12131.0,5829.0,118.3954,11180.0,31.0,31.0,0.0,0.6297,2270.0,2550.0,20.0,2305.0,2155.0,15.0,-35.0,395.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3480.0,3770.0,22.0,3490.0,2922.0,23.0,-10.0,848.0,-1.0,0.0,3.0,0.0,0.0,0.0,2.0,4700.0,4731.0,24.0,4622.0,4637.0,26.0,78.0,94.0,-2.0,0.0,3.0,0.0,0.0,1.0,2.0,5754.0,6783.0,26.0,6194.0,6296.0,28.0,-440.0,487.0,-2.0,0.0,4.0,1.0,1.0,3.0,2.0
LOLTMNT03_344915,complete,RL,2026.0,0.0,1.0,16.03,Red,sup,Steeelback,Skillcamp,0.0,Nautilus,Kindred,Dr. Mundo,Pantheon,Yasuo,Caitlyn,2592.0,0.0,1.0,3.0,14.0,21.0,20.0,0.0,0.0,0.0,0.0,1.0,0.4861,0.9491,0.0,0.0,80.0,10.0,11.0,168.0,10887.0,5324.0,123.2407,10845.0,28.0,28.0,0.0,0.6481,2410.0,2526.0,13.0,2230.0,2336.0,16.0,180.0,190.0,-3.0,1.0,1.0,0.0,0.0,0.0,2.0,3382.0,3295.0,19.0,3324.0,3717.0,26.0,58.0,-422.0,-7.0,1.0,1.0,0.0,0.0,0.0,2.0,4603.0,4855.0,20.0,4966.0,5178.0,29.0,-363.0,-323.0,-9.0,1.0,2.0,0.0,0.0,3.0,3.0,5859.0,7780.0,20.0,6172.0,6281.0,32.0,-313.0,1499.0,-12.0,1.0,4.0,0.0,0.0,4.0,4.0
LOLTMNT06_168226,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,Steeelback,Skillcamp,0.0,Rell,Caitlyn,Orianna,Neeko,Kai'Sa,Aphelios,2024.0,1.0,2.0,1.0,13.0,17.0,6.0,0.0,0.0,0.0,0.0,1.0,0.504,0.6818,0.0,0.0,64.0,14.0,18.0,132.0,9880.0,5475.0,162.3024,8065.0,28.0,28.0,0.0,0.83,2646.0,2032.0,12.0,2298.0,1892.0,16.0,348.0,140.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,4140.0,4422.0,17.0,3430.0,3264.0,25.0,710.0,1158.0,-8.0,1.0,5.0,1.0,0.0,0.0,1.0,5718.0,5391.0,21.0,4640.0,4535.0,31.0,1078.0,856.0,-10.0,2.0,6.0,1.0,0.0,1.0,1.0,6862.0,6672.0,25.0,5684.0,5657.0,32.0,1178.0,1015.0,-7.0,2.0,6.0,1.0,0.0,1.0,1.0
