gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149111,complete,LEC,2026.0,0.0,1.0,16.01,Red,jng,Stefan,TLN Pirates,0.0,Qiyana,Ambessa,Orianna,Pantheon,Bard,Nami,2162.0,1.0,6.0,0.0,6.0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,0.3885,0.6105,1.0,0.0,11.0,20.0,5.0,66.0,18367.0,13681.0,379.6762,16575.0,290.0,43.0,247.0,8.0481,3706.0,3949.0,77.0,3706.0,4482.0,81.0,0.0,-533.0,-4.0,0.0,0.0,0.0,0.0,1.0,0.0,5927.0,6584.0,122.0,6203.0,7373.0,126.0,-276.0,-789.0,-4.0,1.0,1.0,0.0,2.0,2.0,0.0,8876.0,9606.0,170.0,8103.0,9811.0,169.0,773.0,-205.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,11121.0,12146.0,214.0,9409.0,11185.0,191.0,1712.0,961.0,23.0,2.0,3.0,0.0,2.0,2.0,1.0
LOLTMNT04_151162,complete,LIT,2026.0,1.0,1.0,16.02,Red,jng,Stefan,TLN Pirates,0.0,Aatrox,Orianna,Jayce,Azir,Xin Zhao,Vi,2854.0,1.0,2.0,5.0,11.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4205,0.7989,2.0,2.0,11.0,22.0,6.0,80.0,17892.0,11794.0,247.9467,16350.0,344.0,74.0,270.0,7.232,3498.0,3958.0,81.0,4562.0,4546.0,83.0,-1064.0,-588.0,-2.0,0.0,1.0,1.0,2.0,2.0,0.0,5983.0,6772.0,124.0,6442.0,6687.0,115.0,-459.0,85.0,9.0,1.0,2.0,2.0,3.0,2.0,1.0,7727.0,9179.0,166.0,8596.0,9295.0,158.0,-869.0,-116.0,8.0,1.0,3.0,2.0,3.0,2.0,1.0,9322.0,11100.0,198.0,10126.0,11241.0,188.0,-804.0,-141.0,10.0,1.0,4.0,2.0,3.0,2.0,1.0
LOLTMNT01_337669,complete,LCP,2026.0,0.0,1.0,16.02,Blue,jng,Stefan,TLN Pirates,1.0,Wukong,Malphite,Jarvan IV,Varus,Corki,Sivir,1755.0,0.0,2.0,4.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1709,0.8547,0.0,1.0,12.0,9.0,4.0,36.0,10955.0,7099.0,242.7009,10858.0,212.0,25.0,187.0,7.2479,3640.0,3831.0,74.0,4567.0,4488.0,83.0,-927.0,-657.0,-9.0,1.0,0.0,1.0,3.0,1.0,0.0,5274.0,6195.0,117.0,6671.0,7485.0,128.0,-1397.0,-1290.0,-11.0,1.0,0.0,1.0,4.0,3.0,0.0,7511.0,9348.0,159.0,8956.0,10494.0,169.0,-1445.0,-1146.0,-10.0,2.0,0.0,2.0,5.0,4.0,0.0,9805.0,11800.0,191.0,11910.0,13497.0,210.0,-2105.0,-1697.0,-19.0,2.0,1.0,3.0,7.0,4.0,0.0
LOLTMNT02_349150,complete,LJL,2026.0,0.0,1.0,16.02,Blue,jng,Stefan,TLN Pirates,1.0,Dr. Mundo,Jarvan IV,Azir,Varus,Vi,Xin Zhao,1654.0,0.0,0.0,5.0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.1088,1.1245,0.0,1.0,10.0,10.0,4.0,44.0,8304.0,4654.0,168.8271,7800.0,161.0,19.0,142.0,5.8404,3418.0,4369.0,78.0,3672.0,4306.0,84.0,-254.0,63.0,-6.0,0.0,0.0,0.0,0.0,1.0,0.0,4964.0,6601.0,116.0,6532.0,8361.0,130.0,-1568.0,-1760.0,-14.0,0.0,0.0,1.0,2.0,6.0,0.0,6288.0,8047.0,134.0,9108.0,11876.0,180.0,-2820.0,-3829.0,-46.0,0.0,0.0,2.0,3.0,8.0,0.0,7765.0,10542.0,158.0,10680.0,14299.0,213.0,-2915.0,-3757.0,-55.0,0.0,3.0,3.0,3.0,9.0,1.0
LOLTMNT05_176258,complete,LFL,2026.0,0.0,1.0,16.02,Red,jng,Stefan,TLN Pirates,0.0,Jayce,Dr. Mundo,Orianna,Neeko,Varus,Kai'Sa,1627.0,1.0,6.0,3.0,9.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6638,1.1063,1.0,0.0,14.0,18.0,1.0,65.0,14184.0,10589.0,390.4978,13225.0,224.0,33.0,191.0,8.2606,4081.0,3918.0,80.0,3702.0,4344.0,81.0,379.0,-426.0,-1.0,1.0,0.0,2.0,0.0,3.0,1.0,7014.0,6992.0,120.0,5631.0,6844.0,123.0,1383.0,148.0,-3.0,3.0,3.0,2.0,1.0,4.0,2.0,9875.0,10989.0,182.0,7366.0,9197.0,155.0,2509.0,1792.0,27.0,4.0,4.0,2.0,1.0,6.0,2.0,12354.0,13675.0,222.0,9104.0,11763.0,190.0,3250.0,1912.0,32.0,4.0,6.0,2.0,1.0,6.0,3.0
LOLTMNT02_354302,complete,RL,2026.0,0.0,1.0,16.03,Red,jng,Stefan,TLN Pirates,0.0,Jayce,Orianna,Neeko,Rumble,Rell,Ambessa,2455.0,0.0,3.0,3.0,3.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.831,0.0,2.0,8.0,27.0,2.0,79.0,17780.0,12496.0,305.4012,16100.0,316.0,62.0,254.0,7.723,3787.0,4402.0,86.0,3597.0,4387.0,80.0,190.0,15.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,5648.0,7101.0,134.0,5540.0,6594.0,115.0,108.0,507.0,19.0,0.0,0.0,0.0,1.0,2.0,0.0,8107.0,9610.0,172.0,7473.0,9367.0,150.0,634.0,243.0,22.0,1.0,0.0,1.0,1.0,5.0,0.0,9917.0,12356.0,213.0,9281.0,11893.0,182.0,636.0,463.0,31.0,1.0,1.0,1.0,1.0,8.0,1.0
LOLTMNT02_353559,complete,LCK,2026.0,0.0,1.0,16.03,Red,jng,Stefan,TLN Pirates,0.0,Wukong,Azir,Orianna,Jayce,Xin Zhao,Dr. Mundo,2172.0,0.0,3.0,6.0,1.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2762,0.9392,0.0,2.0,10.0,18.0,4.0,67.0,13512.0,8806.0,243.2597,12433.0,242.0,44.0,198.0,6.6851,3331.0,3805.0,73.0,4199.0,4798.0,96.0,-868.0,-993.0,-23.0,0.0,0.0,1.0,1.0,0.0,0.0,5391.0,6263.0,112.0,6175.0,6857.0,125.0,-784.0,-594.0,-13.0,1.0,1.0,1.0,2.0,1.0,0.0,7725.0,9363.0,165.0,8657.0,9828.0,166.0,-932.0,-465.0,-1.0,2.0,1.0,1.0,4.0,1.0,0.0,9041.0,10815.0,186.0,11436.0,12365.0,201.0,-2395.0,-1550.0,-15.0,2.0,1.0,2.0,6.0,2.0,1.0
LOLTMNT02_356337,complete,RL,2026.0,0.0,1.0,16.03,Red,jng,Stefan,TLN Pirates,0.0,Vi,Zoe,Dr. Mundo,Orianna,Nautilus,Rell,2259.0,1.0,0.0,5.0,12.0,19.0,12.0,0.0,0.0,0.0,0.0,1.0,0.5046,0.8234,1.0,0.0,11.0,19.0,5.0,74.0,13052.0,8168.0,216.9456,11375.0,233.0,20.0,213.0,6.1886,3636.0,4545.0,85.0,3466.0,4153.0,80.0,170.0,392.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5600.0,6956.0,121.0,5043.0,6395.0,112.0,557.0,561.0,9.0,0.0,3.0,0.0,0.0,2.0,0.0,6895.0,8211.0,140.0,7473.0,9506.0,147.0,-578.0,-1295.0,-7.0,0.0,5.0,2.0,1.0,5.0,0.0,8462.0,10392.0,173.0,9116.0,11353.0,176.0,-654.0,-961.0,-3.0,0.0,6.0,3.0,1.0,6.0,1.0
LOLTMNT05_175911,complete,LFL,2026.0,0.0,1.0,16.03,Blue,jng,Stefan,TLN Pirates,1.0,Vi,Ambessa,Jarvan IV,Ryze,Pantheon,Gwen,2954.0,1.0,3.0,4.0,7.0,15.0,21.0,1.0,0.0,0.0,0.0,0.0,0.3047,0.7312,1.0,2.0,12.0,21.0,8.0,85.0,17656.0,11354.0,230.6161,16500.0,310.0,52.0,258.0,6.2965,3542.0,4461.0,84.0,4411.0,4764.0,91.0,-869.0,-303.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,5199.0,6833.0,125.0,6655.0,7817.0,127.0,-1456.0,-984.0,-2.0,0.0,0.0,0.0,2.0,4.0,0.0,7400.0,9262.0,154.0,9010.0,10430.0,173.0,-1610.0,-1168.0,-19.0,1.0,1.0,0.0,2.0,4.0,0.0,9094.0,11557.0,187.0,11372.0,12787.0,210.0,-2278.0,-1230.0,-23.0,1.0,2.0,1.0,3.0,4.0,0.0
LOLTMNT02_356994,complete,LCKC,2026.0,0.0,1.0,16.03,Red,jng,Stefan,TLN Pirates,0.0,Nocturne,,,,,,2117.0,1.0,7.0,2.0,7.0,19.0,11.0,0.0,0.0,0.0,0.0,1.0,0.5385,0.8503,2.0,0.0,9.0,12.0,5.0,51.0,16273.0,11679.0,331.0061,14275.0,279.0,50.0,229.0,7.9074,3488.0,4107.0,80.0,3216.0,3706.0,71.0,272.0,401.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5330.0,6872.0,121.0,5389.0,6140.0,109.0,-59.0,732.0,12.0,0.0,3.0,1.0,1.0,1.0,1.0,7024.0,9389.0,164.0,7451.0,8943.0,147.0,-427.0,446.0,17.0,0.0,3.0,2.0,2.0,2.0,1.0,9787.0,12288.0,193.0,9161.0,10365.0,165.0,626.0,1923.0,28.0,3.0,4.0,2.0,3.0,3.0,2.0
