gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Stend,Team Heretics,1.0,Rell,Poppy,Pantheon,Varus,Braum,Alistar,1954.0,0.0,0.0,5.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1535,0.6448,0.0,0.0,65.0,20.0,11.0,137.0,7172.0,2910.0,89.3552,6875.0,38.0,38.0,0.0,1.1668,2282.0,2873.0,19.0,2534.0,2773.0,19.0,-252.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3472.0,3346.0,26.0,3716.0,3387.0,25.0,-244.0,-41.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4486.0,3819.0,27.0,4961.0,4634.0,31.0,-475.0,-815.0,-4.0,0.0,1.0,3.0,0.0,5.0,1.0,5563.0,4277.0,34.0,6101.0,6187.0,35.0,-538.0,-1910.0,-1.0,0.0,1.0,4.0,0.0,7.0,1.0
LOLTMNT03_339218,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Stend,Team Heretics,1.0,Nautilus,Neeko,Taliyah,Yunara,Bard,Rakan,2419.0,0.0,0.0,3.0,7.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1984,0.5457,0.0,0.0,86.0,27.0,16.0,184.0,9422.0,4212.0,104.4729,8865.0,44.0,44.0,0.0,1.0914,2399.0,2479.0,16.0,2261.0,2532.0,14.0,138.0,-53.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3812.0,3217.0,25.0,3654.0,3272.0,20.0,158.0,-55.0,5.0,0.0,4.0,1.0,0.0,5.0,2.0,4939.0,3623.0,29.0,5251.0,4432.0,25.0,-312.0,-809.0,4.0,0.0,4.0,2.0,1.0,6.0,2.0,6265.0,4673.0,37.0,6420.0,5205.0,32.0,-155.0,-532.0,5.0,0.0,5.0,2.0,1.0,6.0,3.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,sup,Stend,Team Heretics,0.0,Rakan,Poppy,Orianna,Xin Zhao,Bard,Neeko,2507.0,1.0,2.0,2.0,14.0,19.0,8.0,0.0,0.0,0.0,0.0,1.0,0.4547,0.6462,0.0,0.0,93.0,36.0,17.0,225.0,12761.0,7371.0,176.4101,11480.0,65.0,65.0,0.0,1.5556,2433.0,2687.0,17.0,2474.0,2754.0,20.0,-41.0,-67.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,3605.0,3401.0,25.0,3724.0,3660.0,33.0,-119.0,-259.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,4837.0,4034.0,30.0,4751.0,3756.0,34.0,86.0,278.0,-4.0,0.0,3.0,0.0,0.0,0.0,1.0,6576.0,6693.0,40.0,6457.0,6916.0,36.0,119.0,-223.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0
LOLTMNT01_326658,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,Stend,Team Heretics,0.0,Thresh,Renekton,Pantheon,Orianna,Corki,Rakan,1947.0,1.0,0.0,1.0,12.0,13.0,8.0,0.0,0.0,0.0,0.0,1.0,0.4006,0.6471,0.0,0.0,66.0,16.0,14.0,150.0,8924.0,4677.0,144.1294,7430.0,49.0,49.0,0.0,1.51,2340.0,3303.0,22.0,2486.0,3003.0,16.0,-146.0,300.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,3779.0,4154.0,33.0,3617.0,4117.0,23.0,162.0,37.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,4982.0,5057.0,38.0,4904.0,5160.0,26.0,78.0,-103.0,12.0,0.0,2.0,1.0,0.0,2.0,1.0,6207.0,7413.0,46.0,6586.0,7982.0,31.0,-379.0,-569.0,15.0,0.0,2.0,1.0,0.0,4.0,1.0
LOLTMNT06_165068,complete,AL,2026.0,0.0,1.0,16.02,Blue,sup,Stend,Team Heretics,1.0,Nautilus,Sion,Corki,Jarvan IV,Bard,Cho'Gath,1969.0,0.0,0.0,6.0,3.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2438,0.8532,0.0,0.0,63.0,14.0,13.0,133.0,7468.0,3176.0,96.7801,7190.0,36.0,36.0,0.0,1.097,2379.0,2905.0,15.0,2345.0,2777.0,14.0,34.0,128.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3602.0,3860.0,25.0,3686.0,4213.0,26.0,-84.0,-353.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,4704.0,5180.0,27.0,5038.0,6476.0,27.0,-334.0,-1296.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,5801.0,5896.0,32.0,6412.0,8458.0,31.0,-611.0,-2562.0,1.0,0.0,1.0,3.0,0.0,6.0,0.0
LOLTMNT01_332170,complete,LCK,2026.0,0.0,1.0,16.02,Red,sup,Stend,Team Heretics,0.0,Alistar,Yunara,Jayce,Jarvan IV,Bard,Rakan,1746.0,0.0,0.0,4.0,3.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2062,0.7904,0.0,0.0,47.0,7.0,11.0,89.0,6104.0,2267.0,77.9038,5670.0,32.0,32.0,0.0,1.0997,2114.0,2489.0,18.0,2520.0,2443.0,15.0,-406.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3245.0,3270.0,24.0,3962.0,3631.0,25.0,-717.0,-361.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,4218.0,4417.0,29.0,5444.0,5455.0,31.0,-1226.0,-1038.0,-2.0,0.0,1.0,0.0,1.0,0.0,1.0,5372.0,6160.0,32.0,6667.0,7163.0,32.0,-1295.0,-1003.0,0.0,0.0,3.0,2.0,1.0,5.0,2.0
LOLTMNT01_336787,complete,HLL,2026.0,0.0,1.0,16.02,Blue,sup,Stend,Team Heretics,0.0,Karma,Varus,Ryze,Yunara,Corki,Miss Fortune,2365.0,0.0,1.0,4.0,10.0,12.0,19.0,0.0,0.0,0.0,0.0,1.0,0.3044,0.7865,0.0,0.0,80.0,23.0,18.0,189.0,9633.0,4533.0,115.0021,9500.0,36.0,36.0,0.0,0.9133,2570.0,2713.0,11.0,2327.0,2739.0,18.0,243.0,-26.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,3713.0,4083.0,20.0,3543.0,3687.0,22.0,170.0,396.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0,5185.0,4707.0,26.0,4802.0,4804.0,27.0,383.0,-97.0,-1.0,1.0,1.0,0.0,0.0,4.0,1.0,6222.0,5776.0,28.0,6080.0,5374.0,32.0,142.0,402.0,-4.0,1.0,2.0,1.0,0.0,6.0,2.0
LOLTMNT04_151744,complete,EBL,2026.0,0.0,1.0,16.02,Blue,sup,Stend,Team Heretics,0.0,Rakan,Varus,Pantheon,Rumble,Aphelios,Neeko,2566.0,1.0,1.0,2.0,15.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.491,0.7716,0.0,0.0,95.0,31.0,14.0,213.0,11716.0,6206.0,145.113,10125.0,46.0,46.0,0.0,1.0756,2396.0,2943.0,14.0,2393.0,2744.0,14.0,3.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3698.0,3725.0,22.0,3407.0,3270.0,20.0,291.0,455.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5188.0,4705.0,27.0,4578.0,4210.0,26.0,610.0,495.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,6515.0,6308.0,31.0,5593.0,5463.0,27.0,922.0,845.0,4.0,0.0,5.0,1.0,0.0,3.0,1.0
LOLTMNT01_338508,complete,HW,2026.0,0.0,1.0,16.02,Blue,sup,Stend,Team Heretics,0.0,Braum,Varus,Poppy,Jayce,Kai'Sa,Rakan,2269.0,1.0,0.0,4.0,18.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.6082,0.952,0.0,0.0,78.0,23.0,13.0,180.0,10723.0,5819.0,153.874,10435.0,34.0,34.0,0.0,0.8991,2720.0,2230.0,17.0,2492.0,2089.0,13.0,228.0,141.0,4.0,0.0,3.0,1.0,0.0,4.0,2.0,4597.0,4498.0,22.0,3819.0,3176.0,16.0,778.0,1322.0,6.0,0.0,10.0,2.0,0.0,7.0,2.0,6160.0,5702.0,26.0,4900.0,4862.0,21.0,1260.0,840.0,5.0,0.0,11.0,2.0,0.0,7.0,3.0,7292.0,6281.0,28.0,6042.0,5630.0,26.0,1250.0,651.0,2.0,0.0,11.0,2.0,0.0,7.0,3.0
LOLTMNT05_175412,complete,AL,2026.0,0.0,1.0,16.03,Blue,sup,Stend,Team Heretics,0.0,Rell,Vi,Yunara,Jarvan IV,Renekton,Alistar,2105.0,1.0,0.0,5.0,8.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.4846,0.7981,0.0,0.0,77.0,17.0,15.0,163.0,8938.0,4368.0,124.5036,8165.0,42.0,42.0,0.0,1.1971,2331.0,2751.0,17.0,2358.0,2723.0,16.0,-27.0,28.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3583.0,3753.0,29.0,3552.0,3802.0,27.0,31.0,-49.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,4835.0,4433.0,32.0,4724.0,4556.0,30.0,111.0,-123.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,5892.0,4667.0,32.0,5856.0,5962.0,30.0,36.0,-1295.0,2.0,0.0,3.0,3.0,0.0,4.0,2.0
