gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336220,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Ambessa,Ryze,Jayce,Qiyana,Azir,Taliyah,1640.0,1.0,4.0,1.0,12.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7317,0.878,1.0,0.0,7.0,2.0,5.0,32.0,12247.0,8626.0,315.5854,10350.0,202.0,10.0,192.0,7.3902,3606.0,4335.0,86.0,3591.0,4277.0,80.0,15.0,58.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,5954.0,6877.0,122.0,5044.0,6150.0,113.0,910.0,727.0,9.0,1.0,4.0,1.0,0.0,1.0,2.0,8515.0,9884.0,164.0,6702.0,8451.0,153.0,1813.0,1433.0,11.0,2.0,5.0,1.0,0.0,1.0,2.0,10769.0,13196.0,189.0,7998.0,10247.0,171.0,2771.0,2949.0,18.0,3.0,11.0,1.0,0.0,3.0,4.0
LOLTMNT03_337254,complete,LCKC,2026.0,0.0,2.0,16.01,Red,jng,Stormax,FN Esports,0.0,Naafiri,Qiyana,Jayce,Ryze,Braum,Poppy,2114.0,1.0,9.0,1.0,5.0,24.0,14.0,1.0,1.0,0.0,0.0,0.0,0.6812,1.0785,1.0,1.0,12.0,11.0,11.0,60.0,17545.0,12957.0,367.7483,15275.0,287.0,50.0,237.0,8.1457,3631.0,3747.0,70.0,3623.0,3287.0,64.0,8.0,460.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6463.0,6586.0,121.0,5378.0,5899.0,105.0,1085.0,687.0,16.0,4.0,1.0,1.0,1.0,2.0,2.0,10048.0,10289.0,168.0,7861.0,9552.0,145.0,2187.0,737.0,23.0,6.0,2.0,1.0,2.0,3.0,3.0,12487.0,13189.0,201.0,10396.0,12257.0,177.0,2091.0,932.0,24.0,7.0,3.0,1.0,3.0,4.0,4.0
LOLTMNT05_172108,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Naafiri,Qiyana,Fiora,Ryze,Poppy,Malphite,1782.0,1.0,6.0,1.0,7.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7744,1.0438,1.0,0.0,9.0,2.0,7.0,36.0,13546.0,9635.0,324.4108,11725.0,210.0,13.0,197.0,7.0707,3486.0,4263.0,80.0,3453.0,4288.0,80.0,33.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5185.0,6325.0,109.0,5682.0,7053.0,125.0,-497.0,-728.0,-16.0,1.0,0.0,0.0,1.0,1.0,0.0,8591.0,10148.0,152.0,7423.0,8579.0,146.0,1168.0,1569.0,6.0,4.0,2.0,0.0,2.0,1.0,1.0,10514.0,12714.0,186.0,9167.0,10772.0,172.0,1347.0,1942.0,14.0,5.0,2.0,1.0,2.0,3.0,2.0
LOLTMNT05_172117,complete,LIT,2026.0,0.0,2.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Lee Sin,Qiyana,Fiora,Gwen,Vi,Xin Zhao,1579.0,1.0,5.0,1.0,10.0,23.0,10.0,1.0,0.0,0.0,0.0,0.0,0.874,1.254,1.0,0.0,12.0,3.0,5.0,40.0,12415.0,8918.0,338.8727,11175.0,201.0,8.0,193.0,7.6377,3769.0,4246.0,82.0,4341.0,4249.0,78.0,-572.0,-3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,5831.0,7476.0,131.0,6687.0,7010.0,122.0,-856.0,466.0,9.0,1.0,1.0,1.0,3.0,0.0,0.0,9276.0,11187.0,173.0,8079.0,8326.0,140.0,1197.0,2861.0,33.0,4.0,4.0,1.0,3.0,1.0,1.0,11808.0,14064.0,198.0,9174.0,10057.0,156.0,2634.0,4007.0,42.0,5.0,7.0,1.0,3.0,2.0,2.0
LOLTMNT04_148357,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Ambessa,Wukong,Orianna,Jayce,Jarvan IV,Xin Zhao,1531.0,0.0,1.0,4.0,1.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.9798,0.0,0.0,3.0,11.0,2.0,36.0,8501.0,5102.0,199.9477,8200.0,163.0,11.0,152.0,6.388,3642.0,4522.0,89.0,3424.0,4107.0,79.0,218.0,415.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5182.0,6340.0,120.0,5671.0,6534.0,118.0,-489.0,-194.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,6623.0,8344.0,150.0,8163.0,9244.0,148.0,-1540.0,-900.0,2.0,0.0,1.0,2.0,1.0,4.0,0.0,8438.0,10106.0,163.0,10884.0,13386.0,177.0,-2446.0,-3280.0,-14.0,1.0,1.0,4.0,3.0,11.0,0.0
LOLTMNT03_338635,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Dr. Mundo,Wukong,Orianna,Jayce,Cassiopeia,Taliyah,2032.0,0.0,0.0,3.0,2.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1772,0.7382,1.0,1.0,8.0,16.0,7.0,64.0,12027.0,7606.0,224.5866,11175.0,235.0,35.0,200.0,6.939,3645.0,4710.0,90.0,3584.0,4050.0,75.0,61.0,660.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,5191.0,6626.0,126.0,5470.0,6364.0,105.0,-279.0,262.0,21.0,0.0,0.0,0.0,0.0,3.0,0.0,7013.0,8331.0,146.0,7731.0,8982.0,138.0,-718.0,-651.0,8.0,0.0,1.0,1.0,1.0,6.0,0.0,8979.0,11018.0,175.0,9734.0,11355.0,177.0,-755.0,-337.0,-2.0,0.0,2.0,1.0,1.0,6.0,1.0
LOLTMNT01_324926,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Wukong,Jayce,Orianna,Neeko,Pantheon,Vi,1647.0,1.0,2.0,0.0,13.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,1.02,1.3843,1.0,0.0,6.0,8.0,4.0,44.0,12809.0,9174.0,334.2077,11583.0,219.0,28.0,191.0,7.9781,3694.0,4312.0,81.0,4375.0,4135.0,74.0,-681.0,177.0,7.0,0.0,2.0,0.0,2.0,2.0,0.0,6049.0,7188.0,123.0,5993.0,6201.0,103.0,56.0,987.0,20.0,0.0,7.0,0.0,2.0,4.0,1.0,8095.0,10135.0,169.0,7715.0,8441.0,133.0,380.0,1694.0,36.0,0.0,7.0,0.0,2.0,5.0,1.0,10937.0,13356.0,208.0,9067.0,10035.0,156.0,1870.0,3321.0,52.0,1.0,8.0,0.0,2.0,5.0,2.0
LOLTMNT01_324952,complete,CBLOL,2026.0,0.0,2.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Jarvan IV,Jayce,Zaahen,Orianna,Ezreal,Corki,1730.0,1.0,3.0,1.0,20.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9017,1.2139,1.0,0.0,7.0,3.0,6.0,29.0,12542.0,8737.0,303.0173,11650.0,204.0,16.0,188.0,7.0751,4131.0,4655.0,81.0,3537.0,4375.0,86.0,594.0,280.0,-5.0,1.0,2.0,0.0,0.0,0.0,0.0,6533.0,8152.0,125.0,5052.0,6027.0,108.0,1481.0,2125.0,17.0,2.0,5.0,0.0,0.0,1.0,0.0,8564.0,10439.0,153.0,6346.0,7729.0,127.0,2218.0,2710.0,26.0,3.0,10.0,1.0,0.0,3.0,3.0,10931.0,14036.0,189.0,7705.0,10263.0,157.0,3226.0,3773.0,32.0,3.0,13.0,1.0,0.0,3.0,3.0
LOLTMNT06_166098,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Stormax,FN Esports,1.0,Pantheon,Hecarim,Orianna,Malphite,Xin Zhao,Wukong,1631.0,0.0,2.0,5.0,5.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3679,1.0668,0.0,1.0,10.0,4.0,7.0,29.0,9053.0,5450.0,200.4905,8675.0,165.0,8.0,157.0,6.0699,4080.0,4009.0,74.0,3567.0,4173.0,78.0,513.0,-164.0,-4.0,2.0,1.0,0.0,0.0,1.0,1.0,5475.0,6059.0,106.0,5690.0,7306.0,126.0,-215.0,-1247.0,-20.0,2.0,1.0,2.0,0.0,4.0,1.0,7226.0,8709.0,141.0,8024.0,10396.0,170.0,-798.0,-1687.0,-29.0,2.0,2.0,3.0,0.0,7.0,1.0,8558.0,10590.0,161.0,10045.0,13203.0,205.0,-1487.0,-2613.0,-44.0,2.0,4.0,4.0,0.0,11.0,3.0
LOLTMNT04_152066,complete,LIT,2026.0,1.0,2.0,16.01,Red,jng,Stormax,FN Esports,0.0,Wukong,Hecarim,Malphite,Orianna,Alistar,LeBlanc,2308.0,1.0,6.0,1.0,7.0,24.0,11.0,0.0,0.0,0.0,0.0,1.0,0.6239,0.9099,0.0,1.0,11.0,12.0,10.0,68.0,16378.0,11394.0,296.2045,14783.0,279.0,24.0,255.0,7.253,4552.0,4640.0,78.0,3481.0,3752.0,66.0,1071.0,888.0,12.0,3.0,1.0,0.0,0.0,3.0,2.0,6637.0,7674.0,126.0,5086.0,6250.0,104.0,1551.0,1424.0,22.0,4.0,1.0,0.0,0.0,3.0,3.0,8535.0,10052.0,164.0,7172.0,9399.0,146.0,1363.0,653.0,18.0,4.0,1.0,0.0,1.0,3.0,3.0,11196.0,13542.0,204.0,8647.0,11044.0,177.0,2549.0,2498.0,27.0,5.0,4.0,0.0,1.0,3.0,5.0
