gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,Syzyf,Onion Team,0.0,Taliyah,Naafiri,Zaahen,Corki,Akali,Aurora,1621.0,1.0,3.0,1.0,8.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6292,0.9254,0.0,0.0,15.0,2.0,5.0,26.0,10562.0,6980.0,258.359,9300.0,232.0,228.0,4.0,8.5873,3472.0,5257.0,94.0,3797.0,5293.0,108.0,-325.0,-36.0,-14.0,0.0,1.0,0.0,0.0,1.0,0.0,5158.0,7753.0,134.0,5814.0,8452.0,161.0,-656.0,-699.0,-27.0,1.0,1.0,1.0,1.0,1.0,1.0,7401.0,10392.0,178.0,7742.0,11372.0,212.0,-341.0,-980.0,-34.0,2.0,2.0,1.0,1.0,3.0,2.0,9476.0,13016.0,216.0,9392.0,13702.0,257.0,84.0,-686.0,-41.0,3.0,6.0,1.0,1.0,5.0,3.0
LOLTMNT03_345376,complete,LJL,2026.0,1.0,1.0,16.03,Red,mid,Syzyf,Onion Team,0.0,Taliyah,Yasuo,Yone,Bard,Nocturne,Shen,1544.0,1.0,6.0,2.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7772,1.1658,0.0,0.0,11.0,3.0,3.0,23.0,11498.0,8073.0,313.7176,9100.0,206.0,202.0,4.0,8.0052,3210.0,4706.0,76.0,3553.0,4983.0,87.0,-343.0,-277.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,5538.0,7799.0,127.0,6305.0,7903.0,129.0,-767.0,-104.0,-2.0,2.0,2.0,2.0,5.0,1.0,1.0,7930.0,10876.0,183.0,7836.0,10203.0,174.0,94.0,673.0,9.0,3.0,3.0,2.0,5.0,1.0,2.0,10335.0,13760.0,202.0,9596.0,12016.0,205.0,739.0,1744.0,-3.0,4.0,7.0,2.0,5.0,2.0,3.0
LOLTMNT02_358162,complete,LCKC,2026.0,0.0,1.0,16.03,Red,mid,Syzyf,Onion Team,0.0,Syndra,Rumble,Karma,Qiyana,Alistar,Braum,1706.0,0.0,1.0,3.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.6331,0.0,0.0,13.0,5.0,4.0,29.0,10165.0,6409.0,225.4045,9660.0,245.0,245.0,0.0,8.6166,3516.0,4974.0,89.0,3667.0,5435.0,96.0,-151.0,-461.0,-7.0,0.0,0.0,0.0,0.0,2.0,0.0,4870.0,6896.0,125.0,5674.0,8058.0,138.0,-804.0,-1162.0,-13.0,0.0,0.0,1.0,1.0,2.0,1.0,6773.0,9065.0,174.0,8381.0,10635.0,175.0,-1608.0,-1570.0,-1.0,0.0,0.0,2.0,3.0,2.0,1.0,8468.0,11656.0,227.0,10225.0,13517.0,230.0,-1757.0,-1861.0,-3.0,0.0,0.0,2.0,3.0,2.0,1.0
LOLTMNT02_358170,complete,LCKC,2026.0,0.0,2.0,16.03,Red,mid,Syzyf,Onion Team,0.0,Anivia,Rumble,Karma,Qiyana,Nautilus,Braum,1613.0,0.0,1.0,8.0,2.0,10.0,24.0,0.0,0.0,0.0,0.0,1.0,0.372,1.2647,0.0,0.0,11.0,2.0,2.0,19.0,8235.0,4669.0,173.6764,8100.0,194.0,194.0,0.0,7.2164,3474.0,4889.0,82.0,3695.0,5059.0,101.0,-221.0,-170.0,-19.0,0.0,1.0,1.0,0.0,1.0,1.0,4963.0,6635.0,111.0,5293.0,7062.0,130.0,-330.0,-427.0,-19.0,1.0,1.0,3.0,1.0,3.0,2.0,6344.0,8836.0,149.0,8397.0,10812.0,193.0,-2053.0,-1976.0,-44.0,1.0,1.0,5.0,2.0,5.0,2.0,7722.0,12382.0,184.0,11217.0,16089.0,236.0,-3495.0,-3707.0,-52.0,1.0,1.0,7.0,4.0,10.0,3.0
LOLTMNT03_346135,complete,HW,2026.0,0.0,1.0,16.03,Red,mid,Syzyf,Onion Team,0.0,Orianna,Rumble,Caitlyn,Varus,Syndra,Akali,2304.0,0.0,1.0,3.0,10.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.651,0.0,0.0,14.0,11.0,4.0,46.0,12954.0,7978.0,207.7604,12450.0,288.0,284.0,4.0,7.5,3313.0,5039.0,88.0,3550.0,5018.0,103.0,-237.0,21.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.0,7454.0,134.0,5917.0,7839.0,159.0,-998.0,-385.0,-25.0,0.0,0.0,1.0,1.0,0.0,0.0,6698.0,10165.0,173.0,8190.0,10330.0,213.0,-1492.0,-165.0,-40.0,0.0,5.0,1.0,2.0,0.0,0.0,8863.0,12436.0,211.0,9707.0,13905.0,253.0,-844.0,-1469.0,-42.0,1.0,6.0,1.0,2.0,1.0,0.0
LOLTMNT05_178084,complete,AL,2026.0,1.0,2.0,16.03,Red,mid,Syzyf,Onion Team,0.0,Ezreal,Rumble,Caitlyn,Varus,Akali,Syndra,1627.0,0.0,1.0,7.0,2.0,15.0,32.0,0.0,0.0,0.0,0.0,1.0,0.5532,1.7333,0.0,0.0,10.0,1.0,1.0,11.0,9450.0,5855.0,215.9189,8968.0,198.0,197.0,1.0,7.3018,3800.0,4054.0,77.0,4109.0,3608.0,71.0,-309.0,446.0,6.0,1.0,1.0,2.0,4.0,1.0,3.0,5676.0,6593.0,119.0,5819.0,6295.0,118.0,-143.0,298.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,7198.0,8884.0,157.0,7766.0,8830.0,165.0,-568.0,54.0,-8.0,1.0,1.0,3.0,5.0,2.0,4.0,8751.0,10498.0,184.0,10424.0,12242.0,200.0,-1673.0,-1744.0,-16.0,1.0,2.0,5.0,7.0,2.0,5.0
LOLTMNT02_359320,complete,LCP,2026.0,1.0,1.0,16.04,Red,mid,Syzyf,Onion Team,0.0,Ryze,Yasuo,Yone,Bard,Leona,Nautilus,1819.0,0.0,0.0,3.0,2.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.099,0.6597,0.0,0.0,10.0,6.0,4.0,34.0,10641.0,6655.0,219.5162,10000.0,250.0,246.0,4.0,8.2463,3527.0,5178.0,94.0,3381.0,4450.0,86.0,146.0,728.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5212.0,8093.0,148.0,5462.0,7437.0,141.0,-250.0,656.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,6515.0,9648.0,175.0,7803.0,9911.0,184.0,-1288.0,-263.0,-9.0,0.0,1.0,1.0,3.0,2.0,0.0,8593.0,13356.0,214.0,10005.0,12596.0,225.0,-1412.0,760.0,-11.0,0.0,2.0,2.0,4.0,5.0,0.0
LOLTMNT02_360286,complete,LCK,2026.0,0.0,2.0,16.04,Red,mid,Syzyf,Onion Team,0.0,Taliyah,Yasuo,Yone,Bard,Akali,Zed,2584.0,0.0,2.0,6.0,8.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2786,0.8591,0.0,0.0,20.0,17.0,6.0,64.0,13847.0,8300.0,192.7245,14085.0,278.0,278.0,0.0,6.4551,3166.0,4826.0,87.0,4350.0,5624.0,109.0,-1184.0,-798.0,-22.0,0.0,0.0,2.0,2.0,0.0,0.0,4682.0,7345.0,132.0,7036.0,8341.0,161.0,-2354.0,-996.0,-29.0,0.0,0.0,3.0,5.0,0.0,0.0,6283.0,9753.0,174.0,10010.0,10917.0,208.0,-3727.0,-1164.0,-34.0,0.0,0.0,4.0,7.0,1.0,0.0,8188.0,11144.0,201.0,11099.0,12532.0,227.0,-2911.0,-1388.0,-26.0,1.0,2.0,4.0,7.0,2.0,1.0
LOLTMNT05_180114,complete,LEC,2026.0,1.0,3.0,16.04,Red,mid,Syzyf,Onion Team,0.0,Azir,Yasuo,Yone,Bard,Miss Fortune,Corki,1499.0,1.0,5.0,0.0,7.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,0.8005,1.0407,0.0,0.0,11.0,5.0,3.0,29.0,11299.0,7965.0,318.8125,9625.0,241.0,237.0,4.0,9.6464,3865.0,5123.0,95.0,3311.0,4648.0,92.0,554.0,475.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6030.0,8505.0,155.0,4704.0,6764.0,131.0,1326.0,1741.0,24.0,2.0,1.0,0.0,0.0,0.0,2.0,7979.0,11331.0,204.0,6365.0,9338.0,177.0,1614.0,1993.0,27.0,2.0,2.0,0.0,0.0,0.0,3.0,11299.0,15209.0,241.0,7716.0,10816.0,200.0,3583.0,4393.0,41.0,5.0,7.0,0.0,1.0,0.0,5.0
LOLTMNT03_350603,complete,CBLOL,2026.0,0.0,4.0,16.04,Blue,mid,Syzyf,Onion Team,1.0,Yone,Yasuo,Bard,Akali,Zed,Ivern,1596.0,0.0,0.0,2.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1128,0.8271,0.0,0.0,10.0,2.0,1.0,31.0,8840.0,5309.0,199.5865,8435.0,222.0,218.0,4.0,8.3459,3136.0,4732.0,74.0,4402.0,5082.0,82.0,-1266.0,-350.0,-8.0,0.0,0.0,1.0,3.0,0.0,0.0,4806.0,7604.0,127.0,6328.0,8124.0,146.0,-1522.0,-520.0,-19.0,0.0,0.0,1.0,3.0,0.0,0.0,6771.0,10810.0,187.0,8736.0,10032.0,171.0,-1965.0,778.0,16.0,0.0,1.0,1.0,5.0,2.0,0.0,8532.0,12741.0,218.0,11331.0,13676.0,220.0,-2799.0,-935.0,-2.0,0.0,1.0,2.0,8.0,4.0,0.0
