gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_320312,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,Taeyoon,Nongshim RedForce,1.0,Aphelios,Vi,Azir,Sylas,Ambessa,Dr. Mundo,2071.0,0.0,4.0,9.0,6.0,13.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3766,1.1299,0.0,0.0,17.0,14.0,7.0,50.0,17533.0,13033.0,377.5857,16950.0,311.0,291.0,20.0,9.0101,4186.0,3274.0,93.0,4079.0,3566.0,84.0,107.0,-292.0,9.0,1.0,0.0,1.0,2.0,0.0,1.0,6612.0,5225.0,140.0,6669.0,5458.0,126.0,-57.0,-233.0,14.0,1.0,0.0,2.0,2.0,1.0,1.0,9457.0,7641.0,187.0,9279.0,7518.0,181.0,178.0,123.0,6.0,2.0,2.0,3.0,3.0,2.0,2.0,11152.0,9304.0,220.0,13555.0,10583.0,221.0,-2403.0,-1279.0,-1.0,2.0,4.0,6.0,8.0,5.0,2.0
LOLTMNT03_337429,complete,HLL,2026.0,0.0,2.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Varus,Vi,Azir,Ambessa,LeBlanc,Gnar,1732.0,0.0,3.0,4.0,1.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3811,1.0393,0.0,0.0,14.0,7.0,5.0,37.0,12278.0,8469.0,293.3834,12175.0,281.0,281.0,0.0,9.7344,3305.0,3618.0,87.0,3729.0,3943.0,98.0,-424.0,-325.0,-11.0,0.0,0.0,0.0,0.0,1.0,0.0,6150.0,6397.0,148.0,5997.0,6272.0,150.0,153.0,125.0,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,8781.0,9022.0,202.0,9426.0,9644.0,205.0,-645.0,-622.0,-3.0,2.0,1.0,1.0,1.0,4.0,0.0,10672.0,11500.0,258.0,11923.0,12833.0,272.0,-1251.0,-1333.0,-14.0,2.0,1.0,2.0,1.0,5.0,0.0
LOLTMNT03_339012,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Corki,Ambessa,Malphite,Yunara,Xin Zhao,Jarvan IV,1856.0,1.0,5.0,5.0,8.0,17.0,19.0,1.0,0.0,0.0,0.0,0.0,0.5496,1.1638,0.0,0.0,18.0,15.0,8.0,51.0,15942.0,11880.0,384.0517,12908.0,301.0,293.0,8.0,9.7306,3624.0,3559.0,98.0,3357.0,3463.0,80.0,267.0,96.0,18.0,0.0,1.0,1.0,0.0,1.0,1.0,6024.0,5865.0,152.0,5935.0,5767.0,135.0,89.0,98.0,17.0,0.0,2.0,2.0,0.0,4.0,1.0,8563.0,8254.0,205.0,8157.0,7826.0,182.0,406.0,428.0,23.0,1.0,2.0,3.0,1.0,5.0,2.0,12068.0,10847.0,248.0,11022.0,9839.0,232.0,1046.0,1008.0,16.0,3.0,4.0,4.0,2.0,5.0,2.0
LOLTMNT03_339029,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,bot,Taeyoon,Nongshim RedForce,0.0,Yunara,Jayce,Rumble,Yone,Rakan,Rell,2071.0,1.0,8.0,1.0,7.0,24.0,14.0,2.0,0.0,0.0,0.0,0.0,0.6953,1.1009,0.0,0.0,17.0,31.0,8.0,81.0,20467.0,15967.0,462.5881,18175.0,365.0,356.0,9.0,10.5746,3630.0,3559.0,94.0,3371.0,3792.0,91.0,259.0,-233.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,6824.0,6020.0,145.0,6081.0,6072.0,143.0,743.0,-52.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,9487.0,8644.0,199.0,8183.0,8004.0,191.0,1304.0,640.0,8.0,2.0,2.0,1.0,1.0,1.0,3.0,13043.0,11577.0,267.0,11444.0,10817.0,263.0,1599.0,760.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0
LOLTMNT03_338642,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Ezreal,Malphite,Yunara,Vi,Lucian,Karma,2306.0,0.0,1.0,2.0,3.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2342,0.7546,0.0,0.0,20.0,10.0,8.0,46.0,17306.0,12326.0,320.7112,16175.0,402.0,397.0,5.0,10.4597,3475.0,3696.0,94.0,3304.0,3478.0,88.0,171.0,218.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5744.0,5911.0,144.0,5425.0,5723.0,138.0,319.0,188.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7876.0,8664.0,204.0,7627.0,9040.0,207.0,249.0,-376.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,10540.0,11698.0,278.0,11001.0,12323.0,284.0,-461.0,-625.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0
LOLTMNT03_339549,complete,LCKC,2026.0,0.0,2.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Yunara,Malphite,Vi,Renekton,Ahri,LeBlanc,1436.0,1.0,6.0,2.0,4.0,21.0,8.0,1.0,0.0,0.0,0.0,0.0,0.8774,1.2117,0.0,0.0,14.0,11.0,5.0,35.0,13780.0,10575.0,441.8524,12100.0,227.0,227.0,0.0,9.4847,3457.0,3255.0,71.0,4676.0,3472.0,79.0,-1219.0,-217.0,-8.0,0.0,2.0,2.0,3.0,2.0,2.0,6813.0,5820.0,127.0,6580.0,5562.0,129.0,233.0,258.0,-2.0,2.0,3.0,2.0,3.0,2.0,2.0,9963.0,9156.0,193.0,8947.0,8401.0,188.0,1016.0,755.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,
LOLTMNT03_339556,complete,LCKC,2026.0,0.0,3.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Kalista,Malphite,Poppy,Sion,Ahri,LeBlanc,1626.0,0.0,4.0,7.0,1.0,8.0,30.0,0.0,0.0,0.0,0.0,1.0,0.2952,1.4022,0.0,0.0,14.0,14.0,7.0,47.0,11002.0,7409.0,273.3948,10000.0,233.0,229.0,4.0,8.5978,4098.0,3245.0,91.0,3386.0,2953.0,77.0,712.0,292.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,6029.0,4705.0,138.0,6139.0,5214.0,123.0,-110.0,-509.0,15.0,2.0,0.0,2.0,2.0,2.0,2.0,8607.0,7155.0,190.0,9639.0,8253.0,178.0,-1032.0,-1098.0,12.0,3.0,1.0,4.0,4.0,4.0,3.0,10604.0,8575.0,226.0,12627.0,11388.0,228.0,-2023.0,-2813.0,-2.0,4.0,1.0,6.0,5.0,7.0,4.0
LOLTMNT03_341446,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Yunara,Malphite,Azir,Corki,Rakan,Sion,1806.0,0.0,3.0,7.0,10.0,16.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5316,1.3953,0.0,1.0,16.0,7.0,8.0,38.0,13722.0,9762.0,324.3189,13625.0,271.0,267.0,4.0,9.0033,3890.0,4144.0,96.0,3368.0,3547.0,85.0,522.0,597.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,7022.0,6661.0,145.0,6543.0,6174.0,136.0,479.0,487.0,9.0,2.0,3.0,1.0,1.0,0.0,3.0,9017.0,8633.0,187.0,10356.0,9127.0,194.0,-1339.0,-494.0,-7.0,2.0,3.0,2.0,4.0,0.0,3.0,11670.0,11663.0,242.0,13899.0,12318.0,237.0,-2229.0,-655.0,5.0,2.0,8.0,4.0,7.0,3.0,4.0
LOLTMNT01_325945,complete,CBLOL,2026.0,0.0,2.0,16.01,Red,bot,Taeyoon,Nongshim RedForce,1.0,Kalista,Malphite,Azir,Varus,Ahri,Bard,2054.0,1.0,10.0,6.0,9.0,24.0,17.0,1.0,0.0,0.0,0.0,1.0,0.7011,1.1977,1.0,0.0,19.0,12.0,9.0,79.0,17863.0,13397.0,391.3437,15850.0,315.0,299.0,16.0,9.2016,4252.0,3654.0,89.0,3768.0,3713.0,72.0,484.0,-59.0,17.0,2.0,0.0,1.0,1.0,1.0,1.0,6181.0,5498.0,139.0,6270.0,6018.0,128.0,-89.0,-520.0,11.0,2.0,0.0,2.0,1.0,2.0,1.0,9668.0,8573.0,195.0,8483.0,8825.0,182.0,1185.0,-252.0,13.0,5.0,1.0,3.0,1.0,3.0,1.0,11805.0,10742.0,238.0,10716.0,11450.0,225.0,1089.0,-708.0,13.0,6.0,2.0,5.0,1.0,7.0,2.0
LOLTMNT01_325969,complete,CBLOL,2026.0,0.0,3.0,16.01,Blue,bot,Taeyoon,Nongshim RedForce,0.0,Caitlyn,Rumble,Malphite,Nocturne,Lucian,Karma,2130.0,0.0,8.0,3.0,2.0,14.0,21.0,2.0,1.0,0.0,0.0,0.0,0.3944,0.9859,0.0,0.0,16.0,18.0,6.0,54.0,19968.0,15347.0,432.3099,22400.0,344.0,340.0,4.0,9.6901,3614.0,3633.0,99.0,3364.0,4186.0,85.0,250.0,-553.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,6635.0,5985.0,150.0,6422.0,6567.0,129.0,213.0,-582.0,21.0,1.0,1.0,2.0,2.0,4.0,1.0,8670.0,8436.0,210.0,8870.0,9363.0,188.0,-200.0,-927.0,22.0,1.0,1.0,2.0,2.0,6.0,2.0,11739.0,10697.0,268.0,11028.0,11601.0,230.0,711.0,-904.0,38.0,2.0,1.0,2.0,2.0,8.0,2.0
