gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,sup,Taki,GAM Esports,0.0,Rell,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,0.0,1.0,14.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.433,0.6495,0.0,0.0,86.0,15.0,20.0,161.0,9714.0,4916.0,133.0447,8120.0,31.0,31.0,0.0,0.839,2457.0,2433.0,12.0,2473.0,2427.0,16.0,-16.0,6.0,-4.0,0.0,2.0,1.0,0.0,2.0,2.0,3715.0,3737.0,18.0,3590.0,3607.0,26.0,125.0,130.0,-8.0,0.0,4.0,1.0,0.0,2.0,2.0,4874.0,4925.0,21.0,4722.0,4402.0,29.0,152.0,523.0,-8.0,0.0,5.0,1.0,0.0,2.0,2.0,6001.0,6479.0,26.0,5940.0,6228.0,33.0,61.0,251.0,-7.0,0.0,5.0,1.0,0.0,3.0,2.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Red,sup,Taki,GAM Esports,0.0,Nami,Orianna,Ezreal,Qiyana,Leona,Alistar,2020.0,1.0,0.0,4.0,16.0,19.0,15.0,0.0,0.0,0.0,0.0,1.0,0.5644,1.0099,0.0,0.0,73.0,16.0,14.0,154.0,9226.0,4830.0,143.4653,9240.0,26.0,26.0,0.0,0.7723,2703.0,2277.0,11.0,2626.0,1992.0,7.0,77.0,285.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,3943.0,3393.0,17.0,3958.0,3426.0,16.0,-15.0,-33.0,1.0,0.0,4.0,1.0,0.0,3.0,3.0,5386.0,5467.0,19.0,5005.0,4261.0,18.0,381.0,1206.0,1.0,0.0,9.0,1.0,0.0,3.0,6.0,6518.0,7376.0,24.0,6107.0,5531.0,20.0,411.0,1845.0,4.0,0.0,9.0,1.0,0.0,3.0,6.0
LOLTMNT03_340339,complete,LCK,2026.0,0.0,1.0,16.01,Red,sup,Taki,GAM Esports,0.0,Leona,Poppy,Malphite,Nocturne,Sivir,Wukong,2746.0,1.0,0.0,1.0,8.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2185,0.3277,0.0,0.0,102.0,39.0,20.0,241.0,11748.0,5871.0,128.2811,9755.0,58.0,58.0,0.0,1.2673,2368.0,2264.0,19.0,2167.0,2350.0,14.0,201.0,-86.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,2971.0,32.0,3280.0,3252.0,22.0,300.0,-281.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.0,4257.0,37.0,4459.0,4677.0,27.0,213.0,-420.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5664.0,4988.0,38.0,5717.0,6753.0,33.0,-53.0,-1765.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT02_344222,complete,LCP,2026.0,0.0,2.0,16.01,Red,sup,Taki,GAM Esports,0.0,Bard,Poppy,Anivia,Ambessa,Gnar,Nautilus,2186.0,0.0,1.0,2.0,6.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2196,0.6862,0.0,0.0,78.0,16.0,10.0,140.0,8433.0,3698.0,101.5005,7645.0,34.0,34.0,0.0,0.9332,2300.0,2558.0,11.0,2848.0,2603.0,12.0,-548.0,-45.0,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,3461.0,3653.0,19.0,4132.0,3604.0,25.0,-671.0,49.0,-6.0,0.0,0.0,0.0,0.0,3.0,0.0,4618.0,4893.0,22.0,5597.0,5393.0,33.0,-979.0,-500.0,-11.0,0.0,0.0,0.0,0.0,4.0,0.0,5660.0,7055.0,31.0,7043.0,7382.0,37.0,-1383.0,-327.0,-6.0,0.0,0.0,1.0,0.0,7.0,0.0
LOLTMNT03_341450,complete,LCK,2026.0,0.0,3.0,16.01,Blue,sup,Taki,GAM Esports,1.0,Nautilus,Poppy,Viktor,Nocturne,Rell,Braum,1900.0,0.0,1.0,2.0,4.0,8.0,15.0,0.0,0.0,0.0,0.0,1.0,0.2526,0.7263,0.0,0.0,61.0,16.0,13.0,124.0,7428.0,3276.0,103.4526,7130.0,36.0,36.0,0.0,1.1368,2630.0,2644.0,17.0,2471.0,2587.0,20.0,159.0,57.0,-3.0,1.0,1.0,1.0,0.0,2.0,0.0,3694.0,3951.0,25.0,3621.0,3439.0,30.0,73.0,512.0,-5.0,1.0,1.0,1.0,0.0,2.0,0.0,4976.0,4533.0,33.0,5136.0,5513.0,42.0,-160.0,-980.0,-9.0,1.0,1.0,1.0,0.0,4.0,0.0,6190.0,5987.0,36.0,6933.0,7874.0,46.0,-743.0,-1887.0,-10.0,1.0,3.0,1.0,0.0,7.0,1.0
LOLTMNT01_328039,complete,HW,2026.0,0.0,1.0,16.01,Red,sup,Taki,GAM Esports,0.0,Neeko,Ambessa,Nocturne,Qiyana,Nautilus,Leona,2061.0,1.0,0.0,2.0,19.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9025,1.2227,0.0,0.0,61.0,14.0,13.0,137.0,9427.0,4947.0,144.0175,8795.0,38.0,38.0,0.0,1.1063,2898.0,3177.0,17.0,2546.0,3175.0,12.0,352.0,2.0,5.0,0.0,5.0,1.0,1.0,1.0,2.0,4017.0,4100.0,22.0,3689.0,4210.0,19.0,328.0,-110.0,3.0,0.0,6.0,1.0,1.0,2.0,2.0,5170.0,5412.0,26.0,4821.0,5245.0,22.0,349.0,167.0,4.0,0.0,7.0,1.0,1.0,3.0,2.0,6378.0,7214.0,29.0,6494.0,8560.0,23.0,-116.0,-1346.0,6.0,0.0,10.0,1.0,1.0,7.0,4.0
LOLTMNT01_328072,complete,HLL,2026.0,0.0,2.0,16.01,Red,sup,Taki,GAM Esports,0.0,Leona,Ambessa,Orianna,Nocturne,Xin Zhao,Qiyana,1885.0,1.0,1.0,1.0,12.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5411,0.7958,0.0,0.0,71.0,23.0,14.0,166.0,9161.0,5040.0,160.4244,8205.0,46.0,46.0,0.0,1.4642,2539.0,2379.0,18.0,2357.0,2326.0,13.0,182.0,53.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,3627.0,3565.0,25.0,3560.0,3540.0,19.0,67.0,25.0,6.0,0.0,3.0,0.0,0.0,2.0,2.0,5119.0,5522.0,29.0,4581.0,5400.0,22.0,538.0,122.0,7.0,0.0,3.0,0.0,0.0,3.0,2.0,6251.0,6777.0,33.0,5778.0,6647.0,23.0,473.0,130.0,10.0,0.0,3.0,1.0,0.0,6.0,3.0
LOLTMNT01_334914,complete,LJL,2026.0,0.0,1.0,16.02,Red,sup,Taki,GAM Esports,0.0,Bard,Poppy,Nocturne,Ezreal,Ryze,Leona,1863.0,0.0,1.0,3.0,8.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2899,0.8374,0.0,0.0,66.0,21.0,13.0,153.0,7880.0,3804.0,122.5121,7855.0,26.0,26.0,0.0,0.8374,2673.0,2640.0,11.0,2307.0,2357.0,18.0,366.0,283.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,3850.0,3550.0,15.0,3507.0,2865.0,26.0,343.0,685.0,-11.0,0.0,3.0,0.0,0.0,1.0,1.0,5061.0,4808.0,17.0,4697.0,3741.0,29.0,364.0,1067.0,-12.0,0.0,8.0,1.0,0.0,3.0,2.0,6591.0,5984.0,21.0,5734.0,4800.0,31.0,857.0,1184.0,-10.0,1.0,8.0,1.0,0.0,3.0,2.0
LOLTMNT01_334926,complete,LJL,2026.0,0.0,2.0,16.02,Red,sup,Taki,GAM Esports,0.0,Nami,Poppy,Pantheon,Ezreal,Azir,Aurora,2091.0,1.0,1.0,1.0,22.0,23.0,11.0,0.0,0.0,0.0,0.0,1.0,0.66,0.9756,0.0,0.0,65.0,9.0,17.0,122.0,9869.0,5328.0,152.8838,8735.0,25.0,25.0,0.0,0.7174,2605.0,2650.0,11.0,2382.0,2224.0,15.0,223.0,426.0,-4.0,1.0,3.0,0.0,0.0,0.0,3.0,3828.0,4362.0,17.0,4018.0,4171.0,29.0,-190.0,191.0,-12.0,1.0,6.0,1.0,0.0,4.0,4.0,4967.0,5855.0,18.0,5265.0,5514.0,32.0,-298.0,341.0,-14.0,1.0,8.0,1.0,0.0,5.0,4.0,6415.0,8150.0,20.0,6520.0,7149.0,36.0,-105.0,1001.0,-16.0,1.0,14.0,1.0,0.0,8.0,6.0
LOLTMNT01_334928,complete,LJL,2026.0,0.0,3.0,16.02,Red,sup,Taki,GAM Esports,1.0,Lulu,LeBlanc,Pantheon,Malphite,Karma,Leona,1994.0,1.0,1.0,1.0,17.0,19.0,7.0,0.0,0.0,0.0,0.0,1.0,0.5717,0.7823,0.0,0.0,68.0,17.0,13.0,145.0,9734.0,5391.0,162.2166,9055.0,37.0,37.0,0.0,1.1133,2477.0,2430.0,13.0,2268.0,2471.0,21.0,209.0,-41.0,-8.0,0.0,1.0,0.0,0.0,0.0,0.0,4054.0,3405.0,21.0,3444.0,3153.0,30.0,610.0,252.0,-9.0,1.0,3.0,0.0,0.0,0.0,0.0,5487.0,5635.0,27.0,4654.0,4189.0,32.0,833.0,1446.0,-5.0,1.0,5.0,0.0,0.0,2.0,0.0,6705.0,7013.0,30.0,6041.0,6621.0,36.0,664.0,392.0,-6.0,1.0,7.0,0.0,0.0,5.0,0.0
