gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336132,complete,HLL,2026.0,0.0,1.0,16.01,Red,bot,Teddy,HANJIN BRION,1.0,Yunara,Qiyana,Malphite,Rumble,Bard,Lucian,1699.0,0.0,4.0,5.0,2.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2472,1.0241,0.0,1.0,14.0,12.0,4.0,43.0,13415.0,9673.0,341.6009,13200.0,267.0,267.0,0.0,9.4291,3296.0,3221.0,85.0,3778.0,3674.0,96.0,-482.0,-453.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,6325.0,5377.0,137.0,6195.0,5850.0,145.0,130.0,-473.0,-8.0,1.0,0.0,1.0,0.0,2.0,1.0,9491.0,7860.0,182.0,10043.0,9540.0,208.0,-552.0,-1680.0,-26.0,3.0,0.0,3.0,3.0,3.0,1.0,12290.0,10357.0,249.0,12573.0,12772.0,280.0,-283.0,-2415.0,-31.0,4.0,0.0,3.0,3.0,3.0,1.0
LOLTMNT05_171122,complete,LIT,2026.0,0.0,2.0,16.01,Red,bot,Teddy,HANJIN BRION,1.0,Jhin,Qiyana,Malphite,Akali,Lucian,Kalista,1530.0,0.0,1.0,4.0,2.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2745,1.3333,0.0,0.0,14.0,2.0,5.0,26.0,10249.0,6852.0,268.7059,10225.0,240.0,240.0,0.0,9.4118,3311.0,3587.0,82.0,3657.0,3896.0,86.0,-346.0,-309.0,-4.0,0.0,2.0,1.0,0.0,1.0,0.0,5541.0,5991.0,137.0,7180.0,6747.0,148.0,-1639.0,-756.0,-11.0,0.0,2.0,2.0,2.0,1.0,0.0,7761.0,8848.0,198.0,11049.0,10333.0,226.0,-3288.0,-1485.0,-28.0,0.0,2.0,2.0,3.0,1.0,0.0,10188.0,11059.0,240.0,14335.0,13890.0,284.0,-4147.0,-2831.0,-44.0,1.0,2.0,4.0,3.0,8.0,1.0
LOLTMNT03_337847,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,bot,Teddy,HANJIN BRION,0.0,Ezreal,Jayce,Rumble,Sion,Bard,Lucian,1913.0,0.0,2.0,2.0,4.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4077,0.9409,0.0,1.0,13.0,7.0,2.0,36.0,13355.0,9177.0,287.8306,12833.0,331.0,331.0,0.0,10.3816,3484.0,3800.0,96.0,3705.0,4012.0,104.0,-221.0,-212.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,6016.0,6921.0,153.0,5826.0,5958.0,136.0,190.0,963.0,17.0,1.0,2.0,0.0,0.0,0.0,2.0,8412.0,9997.0,212.0,9013.0,9510.0,211.0,-601.0,487.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,10411.0,12567.0,273.0,11186.0,12323.0,280.0,-775.0,244.0,-7.0,1.0,4.0,0.0,0.0,0.0,2.0
LOLTMNT01_322090,complete,LCP,2026.0,0.0,2.0,16.01,Red,bot,Teddy,HANJIN BRION,1.0,Varus,Neeko,Jarvan IV,Malphite,Cassiopeia,Syndra,1506.0,1.0,7.0,4.0,10.0,20.0,10.0,2.0,0.0,0.0,0.0,0.0,0.7968,1.1952,0.0,0.0,11.0,5.0,2.0,24.0,14192.0,10844.0,432.0319,12137.0,245.0,241.0,4.0,9.761,3602.0,3554.0,92.0,3975.0,3528.0,96.0,-373.0,26.0,-4.0,0.0,1.0,1.0,0.0,2.0,0.0,6609.0,6142.0,141.0,6302.0,5477.0,152.0,307.0,665.0,-11.0,2.0,2.0,2.0,0.0,3.0,1.0,9034.0,8662.0,205.0,9628.0,7785.0,208.0,-594.0,877.0,-3.0,2.0,2.0,3.0,2.0,3.0,1.0,14181.0,12770.0,245.0,11679.0,9543.0,247.0,2502.0,3227.0,-2.0,7.0,10.0,4.0,3.0,4.0,4.0
LOLTMNT01_321000,complete,LCP,2026.0,0.0,3.0,16.01,Blue,bot,Teddy,HANJIN BRION,0.0,Lucian,Jayce,Rumble,Neeko,Kalista,Aphelios,2187.0,0.0,5.0,5.0,5.0,12.0,18.0,1.0,0.0,0.0,0.0,0.0,0.3292,0.823,0.0,0.0,15.0,15.0,3.0,62.0,18066.0,13329.0,365.679,18825.0,363.0,355.0,8.0,9.9588,4457.0,3472.0,86.0,4283.0,3322.0,91.0,174.0,150.0,-5.0,2.0,0.0,1.0,2.0,0.0,1.0,7245.0,6004.0,148.0,6541.0,5455.0,144.0,704.0,549.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,9969.0,8629.0,210.0,9822.0,7747.0,191.0,147.0,882.0,19.0,3.0,2.0,2.0,3.0,2.0,1.0,12304.0,10187.0,262.0,11584.0,9728.0,230.0,720.0,459.0,32.0,3.0,3.0,3.0,3.0,4.0,2.0
LOLTMNT02_343085,complete,LCP,2026.0,0.0,1.0,16.01,Red,bot,Teddy,HANJIN BRION,1.0,Jhin,Malphite,Ambessa,Aurora,Alistar,Nautilus,2219.0,0.0,6.0,2.0,9.0,18.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4867,1.0816,0.0,0.0,18.0,8.0,3.0,42.0,17630.0,12828.0,346.8589,17275.0,366.0,352.0,14.0,9.8963,3552.0,3726.0,100.0,3810.0,4050.0,108.0,-258.0,-324.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.0,6727.0,158.0,6070.0,6745.0,163.0,-411.0,-18.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,8250.0,9309.0,199.0,8869.0,9383.0,214.0,-619.0,-74.0,-15.0,2.0,3.0,0.0,0.0,2.0,2.0,10789.0,12154.0,251.0,10658.0,11426.0,255.0,131.0,728.0,-4.0,3.0,4.0,0.0,0.0,4.0,3.0
LOLTMNT02_344092,complete,LCP,2026.0,0.0,2.0,16.01,Red,bot,Teddy,HANJIN BRION,1.0,Corki,Malphite,Aphelios,Ryze,Lulu,Alistar,2088.0,1.0,7.0,3.0,8.0,20.0,12.0,2.0,0.0,0.0,0.0,0.0,0.5747,0.9195,0.0,0.0,17.0,7.0,5.0,43.0,18966.0,14431.0,414.6839,18658.0,357.0,344.0,13.0,10.2586,3982.0,3942.0,105.0,3321.0,3488.0,80.0,661.0,454.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,8075.0,6745.0,145.0,5066.0,5480.0,109.0,3009.0,1265.0,36.0,4.0,2.0,2.0,0.0,3.0,4.0,10351.0,9675.0,204.0,8064.0,8079.0,174.0,2287.0,1596.0,30.0,4.0,3.0,2.0,0.0,3.0,4.0,12926.0,12027.0,258.0,11543.0,10906.0,232.0,1383.0,1121.0,26.0,5.0,4.0,2.0,1.0,6.0,4.0
LOLTMNT03_341173,complete,LCK,2026.0,0.0,3.0,16.01,Blue,bot,Teddy,HANJIN BRION,0.0,Lucian,Rumble,Jayce,Aphelios,Anivia,Galio,1739.0,0.0,2.0,3.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.138,0.552,0.0,0.0,13.0,13.0,3.0,46.0,13347.0,9524.0,328.6026,12850.0,325.0,325.0,0.0,11.2133,3636.0,4042.0,105.0,3817.0,3976.0,106.0,-181.0,66.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6356.0,6521.0,165.0,6253.0,6501.0,165.0,103.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8377.0,8626.0,214.0,9542.0,10161.0,232.0,-1165.0,-1535.0,-18.0,1.0,0.0,2.0,0.0,6.0,0.0,11762.0,10861.0,284.0,12355.0,13093.0,304.0,-593.0,-2232.0,-20.0,2.0,0.0,2.0,0.0,7.0,0.0
LOLTMNT01_328073,complete,HW,2026.0,0.0,1.0,16.01,Blue,bot,Teddy,HANJIN BRION,0.0,Corki,Rumble,Jayce,Ambessa,Alistar,Yunara,2279.0,1.0,6.0,1.0,5.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,0.3686,0.5529,0.0,0.0,17.0,9.0,3.0,40.0,19651.0,14726.0,387.6964,17058.0,402.0,378.0,24.0,10.5836,3527.0,3761.0,99.0,3891.0,3944.0,103.0,-364.0,-183.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5844.0,6162.0,154.0,6254.0,6475.0,165.0,-410.0,-313.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,8256.0,9468.0,218.0,8659.0,9336.0,227.0,-403.0,132.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,10534.0,11795.0,276.0,11029.0,12116.0,283.0,-495.0,-321.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT04_150451,complete,LIT,2026.0,1.0,2.0,16.01,Blue,bot,Teddy,HANJIN BRION,1.0,Varus,Malphite,Jarvan IV,Vi,Nocturne,Trundle,2735.0,0.0,6.0,3.0,6.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3729,0.8117,0.0,0.0,23.0,13.0,7.0,54.0,20705.0,14850.0,325.777,20025.0,393.0,376.0,17.0,8.6216,3453.0,3907.0,95.0,3521.0,3593.0,95.0,-68.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6165.0,6940.0,147.0,5890.0,5874.0,137.0,275.0,1066.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,8617.0,9851.0,206.0,7898.0,8393.0,197.0,719.0,1458.0,9.0,1.0,3.0,0.0,0.0,0.0,1.0,11193.0,12518.0,274.0,10254.0,10999.0,258.0,939.0,1519.0,16.0,1.0,3.0,0.0,0.0,0.0,1.0
