gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_335630,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,Tempester,HANJIN BRION Challengers,0.0,Orianna,Jayce,Malphite,Rumble,Bard,Karma,2188.0,1.0,4.0,4.0,16.0,23.0,21.0,1.0,0.0,0.0,0.0,1.0,0.6307,1.2066,0.0,0.0,16.0,9.0,9.0,61.0,15021.0,10282.0,281.9561,14725.0,302.0,302.0,0.0,8.2815,4226.0,5863.0,106.0,3459.0,4823.0,99.0,767.0,1040.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,5890.0,8412.0,151.0,5432.0,7318.0,144.0,458.0,1094.0,7.0,1.0,4.0,1.0,1.0,1.0,2.0,7509.0,10905.0,189.0,7342.0,9870.0,185.0,167.0,1035.0,4.0,1.0,8.0,2.0,2.0,3.0,3.0,10322.0,13294.0,222.0,8803.0,12370.0,206.0,1519.0,924.0,16.0,3.0,12.0,3.0,2.0,5.0,5.0
LOLTMNT03_334658,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,mid,Tempester,HANJIN BRION Challengers,0.0,Taliyah,Rumble,Jayce,Malphite,Bard,Varus,2211.0,1.0,7.0,2.0,12.0,28.0,8.0,1.0,0.0,0.0,0.0,0.0,0.7598,0.9769,0.0,0.0,21.0,11.0,9.0,56.0,16618.0,11832.0,321.0855,15275.0,321.0,317.0,4.0,8.711,3530.0,5451.0,105.0,4225.0,5545.0,105.0,-695.0,-94.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5610.0,7904.0,144.0,6013.0,7502.0,142.0,-403.0,402.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,8632.0,11411.0,196.0,8176.0,9918.0,192.0,456.0,1493.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,10988.0,14188.0,238.0,10209.0,13518.0,235.0,779.0,670.0,3.0,5.0,6.0,2.0,3.0,1.0,4.0
LOLTMNT03_336232,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Tempester,HANJIN BRION Challengers,1.0,Taliyah,Neeko,Malphite,Jayce,Varus,Bard,1699.0,0.0,2.0,6.0,3.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1766,0.9182,0.0,0.0,16.0,3.0,8.0,33.0,9154.0,5412.0,191.1242,9000.0,238.0,238.0,0.0,8.4049,3983.0,5010.0,94.0,3986.0,4813.0,91.0,-3.0,197.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,5755.0,7976.0,150.0,5976.0,7794.0,153.0,-221.0,182.0,-3.0,2.0,3.0,2.0,1.0,4.0,2.0,6992.0,9421.0,182.0,9603.0,12307.0,201.0,-2611.0,-2886.0,-19.0,2.0,3.0,4.0,4.0,7.0,2.0,8293.0,11427.0,219.0,12204.0,15138.0,248.0,-3911.0,-3711.0,-29.0,2.0,3.0,5.0,5.0,10.0,2.0
LOLTMNT03_336246,complete,LCK,2026.0,0.0,2.0,16.01,Red,mid,Tempester,HANJIN BRION Challengers,0.0,Diana,Rumble,Jayce,Neeko,Bard,Alistar,2109.0,1.0,4.0,0.0,10.0,18.0,10.0,0.0,0.0,0.0,0.0,1.0,0.5121,0.7966,0.0,0.0,11.0,9.0,8.0,45.0,15584.0,11006.0,313.1152,14650.0,357.0,345.0,12.0,10.1565,4115.0,5198.0,95.0,3476.0,4838.0,94.0,639.0,360.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6026.0,8103.0,155.0,5293.0,8095.0,153.0,733.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8347.0,11195.0,208.0,7539.0,11316.0,210.0,808.0,-121.0,-2.0,3.0,2.0,0.0,0.0,4.0,1.0,10403.0,13937.0,264.0,9503.0,15904.0,264.0,900.0,-1967.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0
LOLTMNT06_164136,complete,AL,2026.0,0.0,3.0,16.01,Blue,mid,Tempester,HANJIN BRION Challengers,1.0,Syndra,Neeko,Malphite,Jarvan IV,Ezreal,Gnar,2078.0,0.0,1.0,3.0,6.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4909,0.8373,0.0,0.0,16.0,11.0,8.0,48.0,12714.0,8199.0,236.7372,12750.0,291.0,291.0,0.0,8.4023,3468.0,4704.0,95.0,3581.0,5277.0,102.0,-113.0,-573.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5699.0,7673.0,149.0,5181.0,7699.0,154.0,518.0,-26.0,-5.0,1.0,2.0,0.0,0.0,0.0,1.0,7590.0,10387.0,203.0,7714.0,11059.0,223.0,-124.0,-672.0,-20.0,1.0,3.0,0.0,0.0,0.0,1.0,9088.0,11848.0,223.0,9750.0,13378.0,251.0,-662.0,-1530.0,-28.0,1.0,4.0,1.0,1.0,3.0,1.0
LOLTMNT05_172225,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,mid,Tempester,HANJIN BRION Challengers,0.0,Diana,Varus,Vi,Jarvan IV,Neeko,Poppy,1988.0,0.0,0.0,2.0,1.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0.1207,0.3924,0.0,0.0,12.0,6.0,9.0,40.0,10687.0,6356.0,191.831,10475.0,282.0,274.0,8.0,8.5111,3306.0,4869.0,87.0,3700.0,5117.0,103.0,-394.0,-248.0,-16.0,0.0,1.0,0.0,0.0,0.0,0.0,4781.0,7562.0,132.0,5529.0,8049.0,162.0,-748.0,-487.0,-30.0,0.0,1.0,0.0,0.0,0.0,0.0,6926.0,10620.0,195.0,7241.0,10423.0,202.0,-315.0,197.0,-7.0,0.0,1.0,0.0,0.0,1.0,1.0,8672.0,12670.0,238.0,8855.0,14063.0,245.0,-183.0,-1393.0,-7.0,0.0,1.0,1.0,0.0,2.0,1.0
LOLTMNT06_163502,complete,AL,2026.0,0.0,2.0,16.01,Red,mid,Tempester,HANJIN BRION Challengers,1.0,Taliyah,Varus,Malphite,Jarvan IV,Akali,Ahri,1571.0,0.0,0.0,5.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1528,0.8784,0.0,0.0,12.0,5.0,6.0,34.0,8472.0,4992.0,190.6556,8300.0,234.0,234.0,0.0,8.937,3215.0,4870.0,88.0,4380.0,5297.0,98.0,-1165.0,-427.0,-10.0,0.0,0.0,3.0,2.0,1.0,0.0,4814.0,7257.0,134.0,7079.0,8373.0,157.0,-2265.0,-1116.0,-23.0,0.0,0.0,3.0,4.0,1.0,0.0,6653.0,9720.0,187.0,9989.0,11358.0,215.0,-3336.0,-1638.0,-28.0,0.0,1.0,4.0,6.0,2.0,0.0,8233.0,11804.0,231.0,12300.0,14195.0,258.0,-4067.0,-2391.0,-27.0,0.0,1.0,4.0,6.0,3.0,1.0
LOLTMNT03_341106,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Tempester,HANJIN BRION Challengers,0.0,Azir,Jayce,Rumble,Pantheon,Bard,Poppy,1835.0,0.0,0.0,5.0,1.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.1962,1.0463,0.0,0.0,15.0,7.0,7.0,44.0,10035.0,6016.0,196.7084,9625.0,276.0,276.0,0.0,9.0245,3588.0,5199.0,103.0,3595.0,5163.0,103.0,-7.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5427.0,7931.0,156.0,5852.0,8404.0,163.0,-425.0,-473.0,-7.0,0.0,1.0,1.0,1.0,0.0,0.0,6917.0,10161.0,199.0,8697.0,11805.0,208.0,-1780.0,-1644.0,-9.0,0.0,1.0,3.0,2.0,9.0,0.0,8782.0,12605.0,252.0,10479.0,14466.0,254.0,-1697.0,-1861.0,-2.0,0.0,1.0,3.0,2.0,11.0,0.0
LOLTMNT03_341110,complete,LCKC,2026.0,0.0,2.0,16.01,Red,mid,Tempester,HANJIN BRION Challengers,1.0,Ryze,Neeko,Malphite,Vi,Pantheon,Wukong,1929.0,0.0,3.0,5.0,7.0,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4044,1.3686,0.0,0.0,15.0,6.0,5.0,45.0,13389.0,9178.0,285.4743,13175.0,312.0,311.0,1.0,9.7045,3597.0,5224.0,103.0,3766.0,5336.0,94.0,-169.0,-112.0,9.0,0.0,1.0,1.0,0.0,2.0,1.0,5945.0,7877.0,158.0,6387.0,8396.0,146.0,-442.0,-519.0,12.0,1.0,2.0,2.0,3.0,3.0,1.0,7827.0,10823.0,217.0,8792.0,11549.0,199.0,-965.0,-726.0,18.0,1.0,4.0,2.0,4.0,6.0,1.0,10007.0,14805.0,258.0,10934.0,13836.0,232.0,-927.0,969.0,26.0,2.0,5.0,2.0,5.0,10.0,2.0
LOLTMNT04_151192,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Tempester,HANJIN BRION Challengers,1.0,Orianna,Varus,Malphite,Jarvan IV,Corki,Aphelios,1891.0,1.0,11.0,2.0,8.0,21.0,8.0,2.0,1.0,1.0,0.0,0.0,0.6663,0.9201,0.0,0.0,13.0,5.0,5.0,36.0,16858.0,12725.0,403.7546,15905.0,290.0,274.0,16.0,9.2015,4204.0,5426.0,101.0,3552.0,4839.0,90.0,652.0,587.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,6276.0,8199.0,153.0,5647.0,7486.0,132.0,629.0,713.0,21.0,2.0,2.0,1.0,2.0,1.0,2.0,9288.0,11524.0,205.0,7376.0,9931.0,180.0,1912.0,1593.0,25.0,6.0,3.0,2.0,2.0,2.0,3.0,11950.0,13723.0,249.0,8990.0,12016.0,232.0,2960.0,1707.0,17.0,7.0,3.0,2.0,2.0,2.0,4.0
