gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166083,complete,AL,2026.0,0.0,1.0,16.02,Red,top,Thanatos,Cloud9,1.0,Renekton,Malphite,Akali,Rumble,Nocturne,Nautilus,2163.0,1.0,4.0,2.0,3.0,13.0,7.0,1.0,1.0,0.0,0.0,0.0,0.3606,0.5548,0.0,0.0,9.0,11.0,4.0,49.0,14162.0,9474.0,262.8017,12750.0,321.0,319.0,2.0,8.9043,3527.0,5348.0,99.0,3294.0,5025.0,84.0,233.0,323.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.0,9534.0,162.0,5219.0,9216.0,149.0,233.0,318.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7374.0,13142.0,222.0,7164.0,11975.0,201.0,210.0,1167.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,8755.0,15604.0,261.0,9026.0,15120.0,249.0,-271.0,484.0,12.0,0.0,1.0,2.0,0.0,1.0,2.0
LOLTMNT01_327636,complete,ROL,2026.0,0.0,2.0,16.02,Blue,top,Thanatos,Cloud9,0.0,Aurora,Ryze,Jayce,Akali,Sylas,Ahri,1833.0,1.0,3.0,0.0,6.0,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.6219,0.7529,0.0,0.0,13.0,6.0,6.0,47.0,12239.0,8224.0,269.198,11600.0,251.0,251.0,0.0,8.216,3424.0,5072.0,93.0,3514.0,5627.0,100.0,-90.0,-555.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,5128.0,9070.0,153.0,5183.0,8789.0,140.0,-55.0,281.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,7931.0,12024.0,189.0,7146.0,11956.0,196.0,785.0,68.0,-7.0,3.0,0.0,0.0,0.0,2.0,1.0,9607.0,15275.0,220.0,8768.0,14472.0,240.0,839.0,803.0,-20.0,3.0,2.0,0.0,0.0,2.0,1.0
LOLTMNT01_337044,complete,LCKC,2026.0,0.0,1.0,16.02,Red,top,Thanatos,Cloud9,1.0,Aurora,Malphite,Akali,Varus,Yunara,Lucian,2720.0,1.0,0.0,2.0,3.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1765,0.4632,0.0,0.0,21.0,9.0,5.0,51.0,15033.0,9209.0,203.1397,14375.0,346.0,342.0,4.0,7.6324,3444.0,5534.0,95.0,2847.0,4839.0,65.0,597.0,695.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5483.0,9349.0,154.0,4231.0,8250.0,108.0,1252.0,1099.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,7817.0,12785.0,211.0,6684.0,11682.0,159.0,1133.0,1103.0,52.0,0.0,0.0,0.0,1.0,0.0,0.0,8991.0,14669.0,237.0,8702.0,14261.0,210.0,289.0,408.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0
LOLTMNT01_336971,complete,LCKC,2026.0,0.0,2.0,16.02,Blue,top,Thanatos,Cloud9,1.0,K'Sante,Malphite,Lulu,Neeko,Yunara,Nautilus,2240.0,1.0,0.0,2.0,1.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.375,0.6161,0.0,0.0,13.0,6.0,5.0,49.0,12581.0,7736.0,207.2143,11675.0,314.0,314.0,0.0,8.4107,3651.0,5317.0,108.0,3536.0,5348.0,88.0,115.0,-31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5431.0,9148.0,166.0,5427.0,8967.0,139.0,4.0,181.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,7661.0,12868.0,229.0,8154.0,11752.0,190.0,-493.0,1116.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,9618.0,16146.0,271.0,9665.0,14627.0,233.0,-47.0,1519.0,38.0,0.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT02_352763,complete,LCP,2026.0,1.0,1.0,16.03,Red,top,Thanatos,Cloud9,1.0,Renekton,Ambessa,Varus,Orianna,Aurora,Braum,1735.0,1.0,1.0,0.0,5.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.5533,0.7262,0.0,0.0,10.0,6.0,4.0,42.0,13489.0,9674.0,334.5476,11750.0,345.0,334.0,11.0,11.9308,3971.0,5442.0,109.0,3443.0,5379.0,96.0,528.0,63.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,5855.0,9662.0,171.0,4842.0,8262.0,135.0,1013.0,1400.0,36.0,1.0,1.0,0.0,0.0,0.0,2.0,8118.0,13112.0,222.0,6543.0,11545.0,192.0,1575.0,1567.0,30.0,1.0,3.0,0.0,0.0,0.0,3.0,11541.0,18160.0,307.0,8424.0,15489.0,252.0,3117.0,2671.0,55.0,1.0,3.0,0.0,0.0,0.0,4.0
LOLTMNT02_352782,complete,LCK,2026.0,0.0,2.0,16.03,Blue,top,Thanatos,Cloud9,0.0,K'Sante,Ambessa,Varus,Dr. Mundo,Nocturne,Gwen,2324.0,0.0,1.0,2.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1549,0.4905,0.0,0.0,9.0,6.0,3.0,45.0,12397.0,7380.0,190.5336,12425.0,270.0,270.0,0.0,6.9707,3500.0,5164.0,94.0,3481.0,4604.0,90.0,19.0,560.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5555.0,9476.0,153.0,4758.0,7671.0,125.0,797.0,1805.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,7358.0,12799.0,207.0,6980.0,10831.0,185.0,378.0,1968.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,8644.0,15209.0,226.0,8801.0,13131.0,230.0,-157.0,2078.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0
LOLTMNT02_351765,complete,LCP,2026.0,1.0,3.0,16.03,Blue,top,Thanatos,Cloud9,1.0,Aurora,Cassiopeia,Bard,Ambessa,Dr. Mundo,Syndra,1479.0,1.0,4.0,1.0,9.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0548,1.2576,0.0,0.0,7.0,8.0,1.0,31.0,12111.0,8818.0,357.7282,9875.0,249.0,245.0,4.0,10.1014,3760.0,5472.0,102.0,3293.0,5286.0,87.0,467.0,186.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6074.0,9541.0,159.0,5717.0,8872.0,138.0,357.0,669.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,8770.0,12713.0,210.0,7464.0,11668.0,190.0,1306.0,1045.0,20.0,3.0,4.0,0.0,1.0,0.0,1.0,12111.0,16192.0,249.0,9886.0,14190.0,216.0,2225.0,2002.0,33.0,4.0,9.0,1.0,2.0,2.0,3.0
LOLTMNT05_178021,complete,LEC,2026.0,1.0,1.0,16.03,Blue,top,Thanatos,Cloud9,1.0,K'Sante,Varus,Orianna,Karma,Nami,Lulu,1742.0,1.0,4.0,1.0,5.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.62,0.7577,0.0,0.0,9.0,8.0,3.0,39.0,12031.0,8202.0,282.5029,9775.0,281.0,281.0,0.0,9.6785,3541.0,5410.0,103.0,3591.0,5255.0,91.0,-50.0,155.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5467.0,9616.0,166.0,5480.0,9055.0,143.0,-13.0,561.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7648.0,12648.0,219.0,7393.0,12441.0,200.0,255.0,207.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,9954.0,15772.0,248.0,9090.0,14759.0,234.0,864.0,1013.0,14.0,3.0,3.0,1.0,0.0,1.0,1.0
LOLTMNT03_345473,complete,CBLOL,2026.0,0.0,2.0,16.03,Blue,top,Thanatos,Cloud9,0.0,Renekton,Varus,Orianna,Karma,Senna,Ezreal,1537.0,1.0,2.0,2.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4684,0.6636,0.0,0.0,10.0,3.0,5.0,32.0,10289.0,6878.0,268.4971,9850.0,240.0,240.0,0.0,9.3689,3683.0,5410.0,103.0,3409.0,5224.0,94.0,274.0,186.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.0,8259.0,144.0,5530.0,9237.0,140.0,-296.0,-978.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,7192.0,11573.0,203.0,7316.0,12420.0,199.0,-124.0,-847.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,10057.0,15229.0,239.0,8599.0,14096.0,226.0,1458.0,1133.0,13.0,2.0,2.0,2.0,1.0,2.0,1.0
LOLTMNT05_178022,complete,NLC,2026.0,0.0,3.0,16.03,Blue,top,Thanatos,Cloud9,1.0,Gnar,Karma,Cassiopeia,Senna,Nautilus,Rakan,1546.0,1.0,4.0,0.0,10.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9314,1.2807,0.0,0.0,10.0,2.0,2.0,28.0,11290.0,7861.0,305.0841,9458.0,219.0,211.0,8.0,8.4994,3154.0,5131.0,81.0,3652.0,5472.0,97.0,-498.0,-341.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5260.0,9153.0,132.0,5388.0,8997.0,149.0,-128.0,156.0,-17.0,1.0,0.0,0.0,0.0,0.0,1.0,7666.0,13031.0,197.0,7105.0,11860.0,197.0,561.0,1171.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10540.0,16516.0,216.0,8437.0,14102.0,225.0,2103.0,2414.0,-9.0,3.0,7.0,0.0,0.0,2.0,4.0
