gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,Thayger,Galions,1.0,Nocturne,Poppy,Malphite,Orianna,Alistar,Lulu,1552.0,1.0,4.0,1.0,6.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5026,0.6572,1.0,0.0,8.0,8.0,5.0,46.0,11827.0,8385.0,324.1624,9925.0,231.0,18.0,213.0,8.9304,3803.0,4281.0,82.0,3586.0,3869.0,74.0,217.0,412.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,6332.0,7207.0,132.0,5542.0,6086.0,114.0,790.0,1121.0,18.0,3.0,0.0,1.0,1.0,1.0,2.0,8519.0,10181.0,181.0,7185.0,8516.0,149.0,1334.0,1665.0,32.0,3.0,0.0,1.0,1.0,1.0,2.0,10948.0,13837.0,222.0,8442.0,9726.0,165.0,2506.0,4111.0,57.0,3.0,3.0,1.0,1.0,1.0,3.0
LOLTMNT01_332727,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,Thayger,Galions,0.0,Vi,Rumble,Jayce,Azir,Gnar,Poppy,2161.0,1.0,5.0,4.0,8.0,25.0,16.0,1.0,0.0,0.0,0.0,1.0,0.6941,1.1384,1.0,1.0,8.0,23.0,6.0,79.0,14817.0,10133.0,281.342,12400.0,259.0,31.0,228.0,7.1911,4941.0,4490.0,84.0,3335.0,3902.0,76.0,1606.0,588.0,8.0,4.0,0.0,0.0,0.0,0.0,2.0,6873.0,7216.0,134.0,5079.0,6583.0,115.0,1794.0,633.0,19.0,4.0,1.0,0.0,0.0,1.0,3.0,9024.0,9989.0,185.0,7712.0,9224.0,154.0,1312.0,765.0,31.0,4.0,1.0,1.0,1.0,2.0,3.0,10366.0,11577.0,210.0,9851.0,12148.0,183.0,515.0,-571.0,27.0,4.0,2.0,3.0,2.0,5.0,4.0
LOLTMNT01_337669,complete,LCP,2026.0,0.0,1.0,16.02,Red,jng,Thayger,Galions,0.0,Pantheon,Rumble,Jayce,Yunara,Alistar,Caitlyn,1755.0,1.0,9.0,0.0,6.0,20.0,5.0,2.0,0.0,0.0,0.0,0.0,0.6838,0.8547,1.0,0.0,8.0,12.0,6.0,60.0,14225.0,10369.0,354.4957,11975.0,246.0,31.0,215.0,8.4103,4567.0,4488.0,83.0,3640.0,3831.0,74.0,927.0,657.0,9.0,3.0,1.0,0.0,1.0,0.0,1.0,6671.0,7485.0,128.0,5274.0,6195.0,117.0,1397.0,1290.0,11.0,4.0,3.0,0.0,1.0,0.0,1.0,8956.0,10494.0,169.0,7511.0,9348.0,159.0,1445.0,1146.0,10.0,5.0,4.0,0.0,2.0,0.0,2.0,11910.0,13497.0,210.0,9805.0,11800.0,191.0,2105.0,1697.0,19.0,7.0,4.0,0.0,2.0,1.0,3.0
LOLTMNT01_337856,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,Thayger,Galions,0.0,Jarvan IV,Jayce,Ryze,Dr. Mundo,Braum,Rell,1856.0,1.0,3.0,3.0,24.0,32.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0345,1.5194,1.0,0.0,8.0,16.0,6.0,72.0,14645.0,10583.0,342.1228,13175.0,224.0,29.0,195.0,7.2414,3839.0,4118.0,81.0,3499.0,4303.0,78.0,340.0,-185.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,6131.0,7543.0,138.0,5048.0,6646.0,112.0,1083.0,897.0,26.0,0.0,3.0,0.0,0.0,2.0,1.0,8752.0,9557.0,163.0,6833.0,9138.0,144.0,1919.0,419.0,19.0,2.0,8.0,1.0,0.0,4.0,2.0,10949.0,12736.0,192.0,8041.0,10360.0,162.0,2908.0,2376.0,30.0,3.0,15.0,2.0,0.0,5.0,5.0
LOLTMNT05_175274,complete,TCL,2026.0,0.0,1.0,16.02,Red,jng,Thayger,Galions,0.0,Ambessa,Rumble,Orianna,Jayce,Vi,Azir,1828.0,1.0,1.0,4.0,10.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9847,1.3457,1.0,0.0,7.0,7.0,5.0,48.0,11808.0,7803.0,256.116,9900.0,242.0,15.0,227.0,7.9431,3822.0,4930.0,92.0,3335.0,3954.0,74.0,487.0,976.0,18.0,0.0,2.0,0.0,0.0,0.0,1.0,5506.0,7295.0,130.0,5469.0,6776.0,116.0,37.0,519.0,14.0,0.0,3.0,0.0,1.0,0.0,1.0,7185.0,9322.0,154.0,8009.0,9263.0,148.0,-824.0,59.0,6.0,1.0,5.0,2.0,3.0,0.0,3.0,9246.0,12821.0,191.0,10186.0,11557.0,182.0,-940.0,1264.0,9.0,1.0,7.0,4.0,4.0,2.0,4.0
LOLTMNT02_353317,complete,LES,2026.0,0.0,1.0,16.03,Red,jng,Thayger,Galions,0.0,Sejuani,Jayce,Varus,Poppy,Alistar,Caitlyn,2669.0,0.0,3.0,2.0,7.0,16.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3597,0.7419,1.0,2.0,14.0,26.0,13.0,90.0,15091.0,9371.0,210.6632,14725.0,254.0,45.0,209.0,5.71,3924.0,4522.0,89.0,3721.0,4691.0,94.0,203.0,-169.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,5942.0,6902.0,121.0,5627.0,7405.0,140.0,315.0,-503.0,-19.0,2.0,4.0,1.0,0.0,1.0,1.0,7611.0,9311.0,160.0,7323.0,10038.0,182.0,288.0,-727.0,-22.0,2.0,4.0,1.0,0.0,1.0,1.0,8873.0,10478.0,179.0,10522.0,13148.0,220.0,-1649.0,-2670.0,-41.0,2.0,4.0,1.0,1.0,2.0,1.0
LOLTMNT02_354678,complete,RL,2026.0,0.0,1.0,16.03,Blue,jng,Thayger,Galions,1.0,Wukong,Ahri,Zoe,Rumble,Nautilus,Alistar,1431.0,1.0,5.0,2.0,8.0,21.0,8.0,2.0,0.0,0.0,0.0,0.0,0.8805,1.2159,1.0,0.0,4.0,4.0,3.0,22.0,11381.0,8186.0,343.2285,11158.0,195.0,10.0,185.0,8.1761,3472.0,4410.0,83.0,3888.0,3560.0,67.0,-416.0,850.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,5955.0,7212.0,124.0,5746.0,6261.0,108.0,209.0,951.0,16.0,2.0,2.0,1.0,2.0,3.0,2.0,8661.0,10409.0,173.0,7305.0,8208.0,138.0,1356.0,2201.0,35.0,3.0,3.0,1.0,2.0,4.0,3.0,,,,,,,,,,,,,,,
LOLTMNT05_176849,complete,EBL,2026.0,1.0,1.0,16.03,Blue,jng,Thayger,Galions,1.0,Dr. Mundo,Rumble,Ambessa,Ryze,Nautilus,Alistar,1871.0,1.0,2.0,1.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2886,0.481,1.0,0.0,8.0,9.0,6.0,51.0,12773.0,8681.0,278.3859,10600.0,261.0,24.0,237.0,8.3699,3688.0,4802.0,92.0,3526.0,4161.0,80.0,162.0,641.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5725.0,7511.0,134.0,5937.0,7276.0,125.0,-212.0,235.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,7521.0,9492.0,170.0,8412.0,9176.0,152.0,-891.0,316.0,18.0,1.0,1.0,1.0,3.0,1.0,0.0,9445.0,12440.0,213.0,9808.0,10676.0,180.0,-363.0,1764.0,33.0,1.0,2.0,1.0,3.0,1.0,1.0
LOLTMNT05_176944,complete,EBL,2026.0,1.0,1.0,16.03,Blue,jng,Thayger,Galions,1.0,Jarvan IV,Fiora,Rumble,Ambessa,Alistar,Nautilus,2283.0,0.0,1.0,5.0,11.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3679,0.9724,2.0,0.0,9.0,15.0,7.0,55.0,13340.0,8407.0,220.9461,12375.0,251.0,35.0,216.0,6.5966,3330.0,4149.0,71.0,4075.0,4089.0,79.0,-745.0,60.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,5506.0,6537.0,109.0,6322.0,6589.0,118.0,-816.0,-52.0,-9.0,1.0,1.0,2.0,2.0,3.0,1.0,7286.0,8799.0,153.0,8779.0,9075.0,157.0,-1493.0,-276.0,-4.0,1.0,1.0,2.0,3.0,3.0,1.0,9032.0,10826.0,186.0,10878.0,11446.0,190.0,-1846.0,-620.0,-4.0,1.0,3.0,3.0,3.0,6.0,2.0
LOLTMNT03_345561,complete,LJL,2026.0,1.0,1.0,16.03,Blue,jng,Thayger,Galions,1.0,Wukong,,,,,,1686.0,1.0,0.0,2.0,8.0,20.0,11.0,0.0,0.0,0.0,0.0,1.0,0.7117,1.1032,1.0,0.0,5.0,9.0,4.0,45.0,11525.0,7810.0,277.9359,11433.0,231.0,17.0,214.0,8.2206,3476.0,4336.0,78.0,3831.0,4469.0,81.0,-355.0,-133.0,-3.0,0.0,1.0,0.0,1.0,0.0,0.0,5433.0,7583.0,135.0,5804.0,6693.0,111.0,-371.0,890.0,24.0,0.0,1.0,0.0,2.0,1.0,0.0,7514.0,10534.0,181.0,7662.0,9311.0,155.0,-148.0,1223.0,26.0,0.0,1.0,0.0,2.0,1.0,1.0,9768.0,14006.0,214.0,9076.0,11396.0,182.0,692.0,2610.0,32.0,0.0,4.0,1.0,2.0,2.0,3.0
LOLTMNT03_347108,complete,HLL,2026.0,1.0,1.0,16.03,Red,jng,Thayger,Galions,0.0,Pantheon,Dr. Mundo,Azir,Ryze,Bard,Alistar,2053.0,0.0,7.0,5.0,6.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.5261,1.2567,0.0,1.0,7.0,13.0,5.0,50.0,13227.0,8763.0,256.1033,12625.0,226.0,23.0,203.0,6.605,4074.0,4174.0,78.0,3781.0,4056.0,79.0,293.0,118.0,-1.0,2.0,0.0,0.0,1.0,0.0,1.0,6306.0,6369.0,117.0,5707.0,6977.0,122.0,599.0,-608.0,-5.0,4.0,0.0,1.0,1.0,1.0,1.0,8831.0,8927.0,154.0,7285.0,9140.0,148.0,1546.0,-213.0,6.0,6.0,2.0,2.0,1.0,2.0,3.0,10586.0,11441.0,191.0,9358.0,11516.0,184.0,1228.0,-75.0,7.0,6.0,4.0,3.0,2.0,3.0,3.0
LOLTMNT02_358308,complete,LCP,2026.0,1.0,1.0,16.03,Red,jng,Thayger,Galions,0.0,Nocturne,Azir,Dr. Mundo,Varus,Bard,Zaahen,2319.0,1.0,5.0,1.0,8.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6468,0.9573,1.0,1.0,7.0,19.0,6.0,84.0,16121.0,11115.0,287.5809,15600.0,299.0,41.0,258.0,7.7361,3848.0,4609.0,89.0,3591.0,4418.0,83.0,257.0,191.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,5801.0,7195.0,126.0,6238.0,7508.0,125.0,-437.0,-313.0,1.0,2.0,0.0,1.0,2.0,1.0,3.0,8038.0,10363.0,180.0,8062.0,10181.0,165.0,-24.0,182.0,15.0,2.0,0.0,1.0,2.0,3.0,4.0,10108.0,13191.0,219.0,10184.0,13150.0,214.0,-76.0,41.0,5.0,3.0,0.0,1.0,2.0,3.0,4.0
LOLTMNT02_357416,complete,LCKC,2026.0,0.0,1.0,16.03,Red,jng,Thayger,Galions,0.0,Aatrox,Caitlyn,Orianna,Syndra,Sivir,Yunara,1738.0,1.0,8.0,0.0,9.0,24.0,7.0,1.0,0.0,0.0,0.0,1.0,0.8285,1.0702,2.0,0.0,9.0,8.0,6.0,52.0,14477.0,10656.0,367.8711,12950.0,248.0,34.0,214.0,8.5616,3889.0,4307.0,80.0,3369.0,4095.0,76.0,520.0,212.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6424.0,8012.0,130.0,6042.0,7180.0,113.0,382.0,832.0,17.0,2.0,5.0,0.0,2.0,0.0,1.0,9472.0,12319.0,187.0,7295.0,8782.0,131.0,2177.0,3537.0,56.0,4.0,7.0,0.0,2.0,1.0,3.0,12421.0,15668.0,222.0,8618.0,10590.0,144.0,3803.0,5078.0,78.0,7.0,8.0,0.0,2.0,1.0,4.0
