gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149111,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Thomas,TLN Pirates,0.0,Alistar,Ambessa,Orianna,Pantheon,Bard,Nami,2162.0,1.0,0.0,0.0,10.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3885,0.6105,0.0,0.0,79.0,17.0,10.0,167.0,9119.0,4433.0,123.025,7985.0,29.0,29.0,0.0,0.8048,2281.0,2945.0,9.0,2393.0,3086.0,18.0,-112.0,-141.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,3554.0,4275.0,18.0,3903.0,4445.0,22.0,-349.0,-170.0,-4.0,0.0,1.0,0.0,1.0,2.0,1.0,4600.0,5258.0,22.0,5156.0,5417.0,28.0,-556.0,-159.0,-6.0,0.0,2.0,0.0,1.0,2.0,2.0,5926.0,6581.0,25.0,6294.0,6491.0,33.0,-368.0,90.0,-8.0,0.0,3.0,0.0,1.0,2.0,2.0
LOLTMNT04_151162,complete,LIT,2026.0,1.0,1.0,16.02,Red,sup,Thomas,TLN Pirates,0.0,Alistar,Orianna,Jayce,Azir,Xin Zhao,Vi,2854.0,1.0,1.0,5.0,17.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.4205,0.7989,0.0,0.0,109.0,12.0,15.0,204.0,12051.0,5953.0,125.1507,10845.0,29.0,29.0,0.0,0.6097,2327.0,2023.0,13.0,2568.0,2428.0,14.0,-241.0,-405.0,-1.0,0.0,1.0,1.0,0.0,2.0,1.0,3548.0,3397.0,17.0,4020.0,3462.0,22.0,-472.0,-65.0,-5.0,0.0,3.0,2.0,1.0,3.0,1.0,4630.0,4113.0,18.0,5230.0,4127.0,27.0,-600.0,-14.0,-9.0,0.0,4.0,2.0,1.0,3.0,2.0,5677.0,5028.0,20.0,6327.0,4544.0,30.0,-650.0,484.0,-10.0,0.0,4.0,2.0,1.0,3.0,3.0
LOLTMNT01_337669,complete,LCP,2026.0,0.0,1.0,16.02,Blue,sup,Thomas,TLN Pirates,1.0,Rakan,Malphite,Jarvan IV,Varus,Corki,Sivir,1755.0,0.0,0.0,5.0,4.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1709,0.8547,0.0,0.0,58.0,15.0,9.0,116.0,7150.0,3294.0,112.6154,6620.0,31.0,31.0,0.0,1.0598,2379.0,1910.0,16.0,3013.0,2796.0,15.0,-634.0,-886.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,3576.0,2613.0,19.0,4598.0,4343.0,19.0,-1022.0,-1730.0,0.0,0.0,1.0,2.0,1.0,6.0,0.0,4786.0,4442.0,22.0,5959.0,5811.0,23.0,-1173.0,-1369.0,-1.0,0.0,3.0,3.0,1.0,9.0,0.0,6357.0,6587.0,30.0,7495.0,7817.0,26.0,-1138.0,-1230.0,4.0,0.0,4.0,3.0,1.0,11.0,0.0
LOLTMNT02_349150,complete,LJL,2026.0,0.0,1.0,16.02,Blue,sup,Thomas,TLN Pirates,1.0,Alistar,Jarvan IV,Azir,Varus,Vi,Xin Zhao,1654.0,0.0,0.0,7.0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.1088,1.1245,0.0,0.0,52.0,11.0,9.0,109.0,6266.0,2616.0,94.8972,5740.0,31.0,31.0,0.0,1.1245,2245.0,2477.0,16.0,2405.0,2461.0,14.0,-160.0,16.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3259.0,3435.0,24.0,3666.0,4181.0,18.0,-407.0,-746.0,6.0,0.0,0.0,2.0,0.0,5.0,0.0,4522.0,4236.0,30.0,5044.0,5438.0,25.0,-522.0,-1202.0,5.0,0.0,0.0,4.0,0.0,8.0,0.0,5658.0,6692.0,31.0,6423.0,7510.0,29.0,-765.0,-818.0,2.0,0.0,3.0,6.0,0.0,12.0,1.0
LOLTMNT05_176258,complete,LFL,2026.0,0.0,1.0,16.02,Red,sup,Thomas,TLN Pirates,0.0,Alistar,Dr. Mundo,Orianna,Neeko,Varus,Kai'Sa,1627.0,1.0,1.0,2.0,15.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6638,1.1063,0.0,0.0,57.0,9.0,12.0,116.0,8222.0,4627.0,170.6331,6785.0,27.0,27.0,0.0,0.9957,2405.0,2694.0,18.0,2610.0,2795.0,19.0,-205.0,-101.0,-1.0,0.0,1.0,2.0,0.0,5.0,1.0,4240.0,3979.0,21.0,3969.0,4014.0,26.0,271.0,-35.0,-5.0,1.0,4.0,2.0,1.0,5.0,2.0,5606.0,5094.0,24.0,4994.0,5007.0,28.0,612.0,87.0,-4.0,1.0,6.0,2.0,1.0,6.0,2.0,7072.0,6775.0,26.0,6211.0,5438.0,32.0,861.0,1337.0,-6.0,1.0,9.0,2.0,1.0,6.0,3.0
LOLTMNT02_354302,complete,RL,2026.0,0.0,1.0,16.03,Red,sup,Thomas,TLN Pirates,0.0,Leona,Orianna,Neeko,Rumble,Rell,Ambessa,2455.0,0.0,0.0,7.0,10.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2688,0.831,0.0,0.0,96.0,15.0,14.0,193.0,9740.0,4456.0,108.9043,8910.0,36.0,36.0,0.0,0.8798,2199.0,2515.0,17.0,2216.0,2675.0,14.0,-17.0,-160.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.0,3359.0,19.0,3928.0,4034.0,23.0,-451.0,-675.0,-4.0,0.0,1.0,1.0,1.0,2.0,0.0,4754.0,5331.0,26.0,5619.0,5392.0,30.0,-865.0,-61.0,-4.0,0.0,2.0,2.0,2.0,4.0,0.0,6071.0,7249.0,31.0,7432.0,7015.0,44.0,-1361.0,234.0,-13.0,0.0,4.0,3.0,3.0,5.0,0.0
LOLTMNT02_353559,complete,LCK,2026.0,0.0,1.0,16.03,Red,sup,Thomas,TLN Pirates,0.0,Nami,Azir,Orianna,Jayce,Xin Zhao,Dr. Mundo,2172.0,0.0,0.0,5.0,9.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2762,0.9392,0.0,0.0,68.0,12.0,13.0,144.0,9002.0,4296.0,118.674,8955.0,17.0,17.0,0.0,0.4696,2526.0,2331.0,5.0,2400.0,2522.0,16.0,126.0,-191.0,-11.0,0.0,0.0,0.0,0.0,1.0,0.0,3647.0,4141.0,7.0,3820.0,3261.0,24.0,-173.0,880.0,-17.0,0.0,2.0,1.0,1.0,1.0,0.0,4774.0,5215.0,9.0,5427.0,5349.0,28.0,-653.0,-134.0,-19.0,0.0,3.0,1.0,1.0,4.0,1.0,5911.0,6490.0,12.0,6631.0,6578.0,30.0,-720.0,-88.0,-18.0,0.0,4.0,1.0,1.0,7.0,1.0
LOLTMNT02_356337,complete,RL,2026.0,0.0,1.0,16.03,Red,sup,Thomas,TLN Pirates,0.0,Neeko,Zoe,Dr. Mundo,Orianna,Nautilus,Rell,2259.0,1.0,0.0,2.0,14.0,19.0,12.0,0.0,0.0,0.0,0.0,1.0,0.5046,0.8234,0.0,0.0,85.0,30.0,15.0,196.0,10811.0,5927.0,157.4236,9880.0,55.0,55.0,0.0,1.4608,2451.0,2691.0,16.0,2296.0,2786.0,17.0,155.0,-95.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,3767.0,3226.0,25.0,3544.0,4213.0,22.0,223.0,-987.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,5040.0,3901.0,33.0,4918.0,5771.0,25.0,122.0,-1870.0,8.0,0.0,3.0,1.0,0.0,7.0,1.0,6194.0,5497.0,39.0,6121.0,6882.0,31.0,73.0,-1385.0,8.0,0.0,4.0,1.0,0.0,8.0,1.0
LOLTMNT05_175911,complete,LFL,2026.0,0.0,1.0,16.03,Blue,sup,Thomas,TLN Pirates,1.0,Alistar,Ambessa,Jarvan IV,Ryze,Pantheon,Gwen,2954.0,1.0,1.0,7.0,7.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3047,0.7312,0.0,0.0,116.0,21.0,14.0,234.0,11855.0,5553.0,112.7894,10730.0,40.0,40.0,0.0,0.8125,2305.0,2155.0,15.0,2270.0,2550.0,20.0,35.0,-395.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.0,2922.0,23.0,3480.0,3770.0,22.0,10.0,-848.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,4622.0,4637.0,26.0,4700.0,4731.0,24.0,-78.0,-94.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,6194.0,6296.0,28.0,5754.0,6783.0,26.0,440.0,-487.0,2.0,1.0,3.0,2.0,0.0,4.0,1.0
LOLTMNT02_356994,complete,LCKC,2026.0,0.0,1.0,16.03,Red,sup,Thomas,TLN Pirates,0.0,Lulu,,,,,,2117.0,1.0,0.0,4.0,14.0,19.0,11.0,0.0,0.0,0.0,0.0,1.0,0.5385,0.8503,0.0,0.0,63.0,14.0,10.0,150.0,9540.0,4946.0,140.1795,8205.0,29.0,29.0,0.0,0.8219,2258.0,2635.0,14.0,2190.0,2561.0,19.0,68.0,74.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,3525.0,3628.0,21.0,3584.0,3616.0,25.0,-59.0,12.0,-4.0,0.0,3.0,1.0,0.0,3.0,0.0,4559.0,4544.0,21.0,4845.0,5208.0,32.0,-286.0,-664.0,-11.0,0.0,4.0,2.0,0.0,5.0,1.0,5904.0,5724.0,25.0,6006.0,6648.0,34.0,-102.0,-924.0,-9.0,0.0,7.0,4.0,0.0,7.0,1.0
