gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,TopLop,Leviatan,0.0,Bard,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,0.0,4.0,4.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,1.0,51.0,18.0,13.0,132.0,7488.0,3318.0,104.285,7330.0,30.0,30.0,0.0,0.9429,2431.0,3110.0,17.0,2249.0,2351.0,17.0,182.0,759.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3503.0,3941.0,20.0,3804.0,3260.0,21.0,-301.0,681.0,-1.0,0.0,1.0,0.0,0.0,3.0,1.0,4658.0,4992.0,24.0,5338.0,3835.0,25.0,-680.0,1157.0,-1.0,0.0,3.0,0.0,1.0,4.0,1.0,5715.0,6590.0,29.0,6425.0,5199.0,30.0,-710.0,1391.0,-1.0,0.0,3.0,0.0,1.0,4.0,1.0
LOLTMNT06_163462,complete,AL,2026.0,0.0,1.0,16.01,Blue,sup,TopLop,Leviatan,0.0,Rell,Jayce,Rumble,Ambessa,Akali,Orianna,2649.0,0.0,0.0,7.0,14.0,17.0,28.0,0.0,0.0,0.0,0.0,1.0,0.3851,1.0193,0.0,0.0,95.0,28.0,18.0,213.0,11059.0,5379.0,121.8347,10590.0,42.0,42.0,0.0,0.9513,2631.0,2607.0,15.0,2537.0,2849.0,24.0,94.0,-242.0,-9.0,0.0,3.0,1.0,0.0,1.0,1.0,3838.0,3035.0,20.0,3912.0,4226.0,33.0,-74.0,-1191.0,-13.0,0.0,3.0,1.0,0.0,2.0,1.0,4985.0,4274.0,24.0,4975.0,4887.0,37.0,10.0,-613.0,-13.0,0.0,3.0,1.0,0.0,2.0,1.0,6217.0,5985.0,28.0,6425.0,6588.0,42.0,-208.0,-603.0,-14.0,0.0,4.0,2.0,0.0,6.0,1.0
LOLTMNT01_327563,complete,HLL,2026.0,0.0,1.0,16.02,Blue,sup,TopLop,Leviatan,0.0,Nautilus,Jayce,Varus,Orianna,Neeko,Ezreal,1842.0,0.0,0.0,8.0,8.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3583,0.9772,0.0,0.0,44.0,22.0,13.0,136.0,7319.0,3286.0,107.0358,6380.0,41.0,41.0,0.0,1.3355,2373.0,2369.0,19.0,2564.0,2766.0,18.0,-191.0,-397.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,3686.0,3188.0,28.0,3774.0,4234.0,25.0,-88.0,-1046.0,3.0,0.0,2.0,4.0,0.0,5.0,0.0,4888.0,4591.0,34.0,5096.0,5390.0,38.0,-208.0,-799.0,-4.0,0.0,4.0,4.0,0.0,5.0,0.0,6089.0,6282.0,40.0,7112.0,7302.0,45.0,-1023.0,-1020.0,-5.0,0.0,7.0,5.0,1.0,9.0,0.0
LOLTMNT01_327594,complete,HLL,2026.0,0.0,1.0,16.02,Red,sup,TopLop,Leviatan,0.0,Rell,Varus,Jayce,Qiyana,Akali,Azir,1491.0,0.0,0.0,6.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0805,0.7646,0.0,0.0,35.0,16.0,13.0,90.0,5648.0,2331.0,93.8028,5160.0,37.0,37.0,0.0,1.4889,2460.0,2586.0,19.0,2476.0,3078.0,14.0,-16.0,-492.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,3627.0,3714.0,32.0,3718.0,3830.0,21.0,-91.0,-116.0,11.0,0.0,1.0,2.0,0.0,2.0,1.0,4728.0,5101.0,36.0,5171.0,5287.0,24.0,-443.0,-186.0,12.0,0.0,2.0,3.0,0.0,7.0,1.0,5648.0,6032.0,37.0,7107.0,8083.0,30.0,-1459.0,-2051.0,7.0,0.0,2.0,6.0,0.0,13.0,1.0
LOLTMNT01_329021,complete,HLL,2026.0,0.0,1.0,16.02,Blue,sup,TopLop,Leviatan,1.0,Alistar,Malphite,Ambessa,Orianna,Corki,Braum,2234.0,1.0,0.0,4.0,18.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0,0.6714,0.9937,0.0,0.0,83.0,23.0,19.0,175.0,9982.0,5149.0,138.2901,8715.0,42.0,42.0,0.0,1.128,2466.0,2609.0,17.0,2327.0,2801.0,12.0,139.0,-192.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3675.0,3560.0,24.0,3594.0,3321.0,21.0,81.0,239.0,3.0,0.0,5.0,1.0,0.0,1.0,2.0,4832.0,4372.0,29.0,4996.0,4804.0,28.0,-164.0,-432.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,6090.0,5329.0,36.0,6330.0,6335.0,37.0,-240.0,-1006.0,-1.0,0.0,6.0,2.0,0.0,3.0,2.0
LOLTMNT01_335968,complete,ROL,2026.0,0.0,1.0,16.02,Red,sup,TopLop,Leviatan,1.0,Neeko,Malphite,Qiyana,Ambessa,Pantheon,Wukong,2137.0,1.0,3.0,2.0,14.0,21.0,10.0,0.0,0.0,0.0,0.0,1.0,0.5896,0.8704,0.0,0.0,81.0,36.0,14.0,203.0,11522.0,6887.0,193.3645,9840.0,59.0,59.0,0.0,1.6565,2588.0,2941.0,15.0,2318.0,2456.0,10.0,270.0,485.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4365.0,4174.0,27.0,3507.0,3567.0,14.0,858.0,607.0,13.0,1.0,4.0,0.0,0.0,1.0,1.0,5672.0,4896.0,37.0,4594.0,4864.0,17.0,1078.0,32.0,20.0,1.0,4.0,0.0,0.0,1.0,1.0,6879.0,6873.0,42.0,6664.0,7595.0,25.0,215.0,-722.0,17.0,1.0,7.0,1.0,1.0,3.0,1.0
LOLTMNT01_338317,complete,ROL,2026.0,0.0,1.0,16.02,Blue,sup,TopLop,Leviatan,1.0,Renata Glasc,Malphite,Azir,Ryze,Ezreal,Yunara,1993.0,0.0,1.0,5.0,7.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2709,1.144,0.0,0.0,51.0,25.0,15.0,138.0,8278.0,3937.0,118.5248,8290.0,53.0,53.0,0.0,1.5956,2737.0,2972.0,18.0,2472.0,2826.0,21.0,265.0,146.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,3896.0,4813.0,28.0,3676.0,4329.0,29.0,220.0,484.0,-1.0,1.0,0.0,0.0,0.0,2.0,1.0,4958.0,5619.0,35.0,5302.0,6370.0,34.0,-344.0,-751.0,1.0,1.0,0.0,2.0,0.0,9.0,2.0,6503.0,8437.0,45.0,7211.0,8574.0,36.0,-708.0,-137.0,9.0,1.0,6.0,2.0,2.0,11.0,3.0
LOLTMNT04_152760,complete,AL,2026.0,0.0,1.0,16.02,Blue,sup,TopLop,Leviatan,0.0,Leona,Jayce,Varus,Ryze,Corki,Xayah,1835.0,1.0,1.0,1.0,13.0,20.0,3.0,0.0,0.0,0.0,0.0,1.0,0.654,0.752,0.0,0.0,56.0,25.0,12.0,158.0,8897.0,4878.0,159.4986,8020.0,47.0,47.0,0.0,1.5368,2441.0,2809.0,21.0,2381.0,2906.0,20.0,60.0,-97.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3752.0,3694.0,29.0,3489.0,3552.0,29.0,263.0,142.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,4958.0,4737.0,34.0,4806.0,5150.0,37.0,152.0,-413.0,-3.0,0.0,4.0,1.0,0.0,2.0,1.0,6604.0,6431.0,38.0,5853.0,6037.0,40.0,751.0,394.0,-2.0,1.0,7.0,1.0,0.0,2.0,2.0
LOLTMNT04_152770,complete,LFL,2026.0,0.0,2.0,16.02,Blue,sup,TopLop,Leviatan,0.0,Milio,Jayce,Varus,Ambessa,Xayah,Sivir,2355.0,1.0,0.0,0.0,19.0,23.0,12.0,0.0,0.0,0.0,0.0,1.0,0.586,0.8917,0.0,0.0,75.0,26.0,12.0,186.0,11113.0,6033.0,153.707,10275.0,45.0,45.0,0.0,1.1465,2920.0,3291.0,20.0,2302.0,2712.0,16.0,618.0,579.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,4158.0,4429.0,25.0,3428.0,3960.0,20.0,730.0,469.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,5315.0,6004.0,30.0,4759.0,5808.0,24.0,556.0,196.0,6.0,0.0,6.0,0.0,0.0,3.0,2.0,6483.0,7291.0,35.0,5913.0,7620.0,25.0,570.0,-329.0,10.0,0.0,7.0,0.0,0.0,5.0,2.0
LOLTMNT02_346794,complete,LJL,2026.0,0.0,1.0,16.02,Blue,sup,TopLop,Leviatan,0.0,Neeko,Varus,Jayce,Ambessa,Lucian,Karma,2130.0,0.0,0.0,4.0,4.0,5.0,17.0,0.0,0.0,0.0,0.0,1.0,0.1408,0.6197,0.0,0.0,73.0,29.0,18.0,186.0,8857.0,4236.0,119.3239,8200.0,47.0,47.0,0.0,1.3239,2975.0,2289.0,13.0,2593.0,2571.0,20.0,382.0,-282.0,-7.0,0.0,2.0,0.0,0.0,2.0,1.0,4071.0,3388.0,20.0,3961.0,3788.0,31.0,110.0,-400.0,-11.0,0.0,2.0,0.0,0.0,2.0,1.0,5362.0,4795.0,34.0,5114.0,4731.0,35.0,248.0,64.0,-1.0,0.0,2.0,0.0,0.0,2.0,1.0,6423.0,5870.0,37.0,6533.0,6466.0,41.0,-110.0,-596.0,-4.0,0.0,3.0,1.0,0.0,4.0,1.0
