gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Trymbi,Shifters,0.0,Bard,Nidalee,Sion,Varus,Neeko,Jhin,2125.0,0.0,0.0,5.0,15.0,20.0,19.0,0.0,0.0,0.0,0.0,1.0,0.5647,1.1012,0.0,0.0,62.0,25.0,8.0,170.0,9754.0,5143.0,145.2141,9295.0,40.0,40.0,0.0,1.1294,2515.0,2642.0,7.0,2362.0,2652.0,11.0,153.0,-10.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,3647.0,3885.0,17.0,3437.0,3612.0,18.0,210.0,273.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,5045.0,5207.0,25.0,4594.0,4447.0,23.0,451.0,760.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,6389.0,6654.0,33.0,6132.0,6985.0,27.0,257.0,-331.0,6.0,0.0,5.0,3.0,0.0,8.0,1.0
LOLTMNT03_339218,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,Trymbi,Shifters,0.0,Rell,Jayce,Aphelios,Orianna,Varus,Alistar,2419.0,1.0,1.0,3.0,11.0,14.0,8.0,0.0,0.0,0.0,0.0,1.0,0.3473,0.5457,0.0,0.0,79.0,22.0,9.0,173.0,10936.0,5726.0,142.0256,9690.0,37.0,37.0,0.0,0.9177,2261.0,2532.0,14.0,2399.0,2479.0,16.0,-138.0,53.0,-2.0,0.0,1.0,1.0,0.0,1.0,0.0,3654.0,3272.0,20.0,3812.0,3217.0,25.0,-158.0,55.0,-5.0,0.0,5.0,2.0,0.0,4.0,1.0,5251.0,4432.0,25.0,4939.0,3623.0,29.0,312.0,809.0,-4.0,1.0,6.0,2.0,0.0,4.0,2.0,6420.0,5205.0,32.0,6265.0,4673.0,37.0,155.0,532.0,-5.0,1.0,6.0,3.0,0.0,5.0,2.0
LOLTMNT03_338560,complete,HLL,2026.0,0.0,1.0,16.01,Blue,sup,Trymbi,Shifters,0.0,Neeko,Yunara,Poppy,Jayce,Bard,Jarvan IV,1601.0,1.0,2.0,1.0,15.0,22.0,4.0,0.0,0.0,0.0,0.0,1.0,0.8245,0.9744,0.0,0.0,43.0,21.0,4.0,113.0,8249.0,4707.0,176.4022,6550.0,38.0,36.0,2.0,1.4241,2839.0,2358.0,19.0,2355.0,2110.0,17.0,484.0,248.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,4189.0,3690.0,26.0,3501.0,3342.0,22.0,688.0,348.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,5586.0,5359.0,29.0,4568.0,4390.0,26.0,1018.0,969.0,3.0,1.0,6.0,0.0,0.0,0.0,3.0,7225.0,8060.0,34.0,5828.0,5150.0,29.0,1397.0,2910.0,5.0,2.0,9.0,1.0,0.0,2.0,4.0
LOLTMNT06_166082,complete,AL,2026.0,0.0,1.0,16.02,Red,sup,Trymbi,Shifters,0.0,Karma,Jayce,Varus,Orianna,Sivir,Nautilus,1769.0,0.0,0.0,6.0,5.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2374,1.0854,0.0,0.0,50.0,23.0,5.0,133.0,7822.0,3938.0,133.567,7465.0,39.0,39.0,0.0,1.3228,2596.0,2387.0,12.0,2472.0,2456.0,8.0,124.0,-69.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,3888.0,3392.0,21.0,3952.0,3985.0,18.0,-64.0,-593.0,3.0,0.0,2.0,3.0,0.0,9.0,0.0,5375.0,4959.0,27.0,5257.0,5199.0,20.0,118.0,-240.0,7.0,0.0,2.0,3.0,0.0,11.0,1.0,6762.0,6667.0,34.0,6695.0,6519.0,24.0,67.0,148.0,10.0,0.0,3.0,4.0,0.0,14.0,1.0
LOLTMNT04_150459,complete,CCWS,2026.0,0.0,1.0,16.02,Red,sup,Trymbi,Shifters,1.0,Nami,Renekton,Pantheon,Jayce,Rakan,Orianna,1977.0,0.0,0.0,5.0,11.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3642,0.9408,0.0,0.0,52.0,10.0,6.0,108.0,8169.0,3860.0,117.1472,7715.0,20.0,20.0,0.0,0.607,2277.0,2566.0,7.0,2479.0,2887.0,13.0,-202.0,-321.0,-6.0,0.0,0.0,1.0,0.0,2.0,0.0,3495.0,3892.0,15.0,3706.0,3960.0,24.0,-211.0,-68.0,-9.0,0.0,1.0,1.0,0.0,2.0,1.0,4835.0,6016.0,17.0,5215.0,5195.0,25.0,-380.0,821.0,-8.0,0.0,5.0,1.0,1.0,2.0,3.0,6336.0,8165.0,19.0,6295.0,5978.0,29.0,41.0,2187.0,-10.0,0.0,10.0,2.0,1.0,3.0,3.0
LOLTMNT01_332152,complete,LCK,2026.0,0.0,1.0,16.02,Blue,sup,Trymbi,Shifters,0.0,Neeko,Sion,Dr. Mundo,Orianna,Karma,Bard,2245.0,0.0,1.0,4.0,10.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3742,0.9087,0.0,0.0,58.0,12.0,9.0,133.0,9975.0,5120.0,136.8374,9425.0,46.0,42.0,4.0,1.2294,2657.0,3087.0,11.0,2439.0,2864.0,11.0,218.0,223.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3742.0,3749.0,17.0,3541.0,4928.0,18.0,201.0,-1179.0,-1.0,1.0,0.0,1.0,0.0,3.0,0.0,5106.0,5236.0,23.0,4626.0,6526.0,22.0,480.0,-1290.0,1.0,1.0,3.0,1.0,0.0,4.0,0.0,6273.0,7241.0,25.0,5858.0,7918.0,27.0,415.0,-677.0,-2.0,1.0,6.0,1.0,0.0,5.0,0.0
LOLTMNT01_335948,complete,HW,2026.0,0.0,1.0,16.02,Red,sup,Trymbi,Shifters,0.0,Rell,Jayce,Jarvan IV,Orianna,Alistar,Nautilus,2000.0,1.0,0.0,3.0,12.0,14.0,15.0,0.0,0.0,0.0,0.0,1.0,0.42,0.87,0.0,0.0,68.0,21.0,15.0,153.0,8800.0,4444.0,133.32,7555.0,44.0,44.0,0.0,1.32,2672.0,2803.0,25.0,2442.0,2806.0,21.0,230.0,-3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4017.0,3650.0,32.0,3937.0,3987.0,28.0,80.0,-337.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,5244.0,5053.0,36.0,5206.0,4601.0,35.0,38.0,452.0,1.0,0.0,6.0,1.0,0.0,5.0,0.0,6396.0,5540.0,40.0,6448.0,5385.0,41.0,-52.0,155.0,-1.0,0.0,7.0,1.0,0.0,6.0,0.0
LOLTMNT04_152698,complete,LFL,2026.0,0.0,1.0,16.02,Blue,sup,Trymbi,Shifters,0.0,Nautilus,Sion,Yunara,Poppy,Alistar,Rakan,2466.0,0.0,0.0,6.0,9.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3406,0.8273,0.0,0.0,83.0,25.0,11.0,178.0,9904.0,4598.0,111.8735,9230.0,52.0,52.0,0.0,1.2652,2279.0,2696.0,20.0,2268.0,2681.0,18.0,11.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3315.0,3988.0,31.0,3417.0,3432.0,24.0,-102.0,556.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4532.0,5255.0,35.0,4861.0,4972.0,27.0,-329.0,283.0,8.0,0.0,1.0,1.0,1.0,0.0,1.0,5609.0,6712.0,40.0,5958.0,6727.0,28.0,-349.0,-15.0,12.0,0.0,1.0,1.0,1.0,0.0,1.0
LOLTMNT04_151778,complete,AL,2026.0,0.0,1.0,16.02,Red,sup,Trymbi,Shifters,0.0,Rakan,Yunara,Azir,Jarvan IV,Ryze,Akali,1876.0,0.0,0.0,8.0,6.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1919,0.9915,0.0,0.0,54.0,16.0,6.0,138.0,7408.0,3305.0,105.7036,7175.0,34.0,34.0,0.0,1.0874,2972.0,2607.0,20.0,2862.0,2526.0,16.0,110.0,81.0,4.0,0.0,4.0,3.0,1.0,2.0,1.0,4029.0,3683.0,26.0,3999.0,3275.0,19.0,30.0,408.0,7.0,0.0,4.0,4.0,1.0,4.0,1.0,5035.0,4717.0,27.0,5431.0,6133.0,22.0,-396.0,-1416.0,5.0,0.0,5.0,5.0,1.0,10.0,1.0,6217.0,5290.0,33.0,6374.0,6292.0,23.0,-157.0,-1002.0,10.0,0.0,5.0,5.0,1.0,10.0,1.0
LOLTMNT05_175418,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,Trymbi,Shifters,1.0,Alistar,Rumble,Pantheon,Jarvan IV,Renekton,Nautilus,2008.0,1.0,1.0,1.0,16.0,19.0,6.0,0.0,0.0,0.0,0.0,1.0,0.5677,0.747,0.0,0.0,65.0,21.0,11.0,161.0,9763.0,5391.0,161.0857,8345.0,27.0,27.0,0.0,0.8068,2778.0,2398.0,9.0,2369.0,2351.0,12.0,409.0,47.0,-3.0,0.0,6.0,0.0,0.0,0.0,1.0,4218.0,3400.0,12.0,3583.0,2601.0,19.0,635.0,799.0,-7.0,1.0,8.0,0.0,0.0,0.0,2.0,5391.0,4913.0,16.0,5008.0,3516.0,27.0,383.0,1397.0,-11.0,1.0,8.0,0.0,0.0,1.0,2.0,6954.0,7238.0,22.0,6335.0,4345.0,31.0,619.0,2893.0,-9.0,1.0,11.0,0.0,0.0,2.0,2.0
LOLTMNT05_176509,complete,EBL,2026.0,0.0,1.0,16.03,Blue,sup,Trymbi,Shifters,0.0,Alistar,Irelia,Varus,Rumble,Pantheon,Sion,2300.0,1.0,0.0,4.0,19.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5217,0.8087,0.0,0.0,83.0,19.0,11.0,172.0,9928.0,4960.0,129.3913,8400.0,35.0,35.0,0.0,0.913,2196.0,2532.0,13.0,2437.0,2510.0,9.0,-241.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3752.0,3462.0,23.0,3581.0,2859.0,13.0,171.0,603.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,5172.0,4523.0,26.0,4675.0,3284.0,17.0,497.0,1239.0,9.0,0.0,7.0,1.0,0.0,1.0,4.0,6429.0,5137.0,32.0,5957.0,3649.0,27.0,472.0,1488.0,5.0,0.0,7.0,1.0,0.0,1.0,4.0
