gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337985,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,mid,Tutsz,FURIA,1.0,Viktor,Malphite,Qiyana,Renekton,Corki,Aphelios,1779.0,1.0,7.0,1.0,10.0,28.0,6.0,0.0,0.0,0.0,0.0,1.0,0.9444,1.1467,0.0,0.0,11.0,15.0,6.0,55.0,14251.0,10346.0,348.9376,13650.0,282.0,270.0,12.0,9.511,4481.0,5748.0,96.0,3340.0,4358.0,82.0,1141.0,1390.0,14.0,3.0,0.0,0.0,0.0,0.0,2.0,6987.0,9032.0,159.0,5111.0,6942.0,124.0,1876.0,2090.0,35.0,4.0,0.0,0.0,0.0,1.0,3.0,9789.0,12109.0,226.0,6987.0,9892.0,186.0,2802.0,2217.0,40.0,4.0,1.0,0.0,0.0,1.0,3.0,12160.0,14800.0,257.0,8505.0,13557.0,231.0,3655.0,1243.0,26.0,5.0,6.0,0.0,0.0,1.0,3.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Red,mid,Tutsz,FURIA,1.0,Syndra,Malphite,Neeko,Renekton,Ezreal,Sivir,1909.0,1.0,7.0,1.0,8.0,22.0,5.0,1.0,1.0,0.0,0.0,0.0,0.6915,0.8486,0.0,0.0,16.0,12.0,8.0,50.0,15158.0,10988.0,345.3536,13850.0,320.0,320.0,0.0,10.0576,3588.0,5189.0,104.0,3478.0,5378.0,97.0,110.0,-189.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,6172.0,7976.0,159.0,5036.0,7864.0,147.0,1136.0,112.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,8705.0,11045.0,213.0,6640.0,10574.0,189.0,2065.0,471.0,24.0,2.0,3.0,0.0,0.0,3.0,1.0,10734.0,14057.0,273.0,8569.0,13338.0,248.0,2165.0,719.0,25.0,2.0,3.0,0.0,0.0,3.0,1.0
LOLTMNT04_148327,complete,TCL,2026.0,0.0,1.0,16.01,Red,mid,Tutsz,FURIA,1.0,Akali,Malphite,Neeko,Renekton,Poppy,Karma,1694.0,1.0,5.0,3.0,7.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,0.7438,1.0626,0.0,0.0,10.0,5.0,5.0,39.0,12219.0,8488.0,300.6375,9925.0,243.0,243.0,0.0,8.6068,3502.0,4920.0,86.0,3656.0,4761.0,84.0,-154.0,159.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,5755.0,7882.0,130.0,5724.0,7766.0,130.0,31.0,116.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,7896.0,10741.0,185.0,7362.0,10032.0,174.0,534.0,709.0,11.0,2.0,3.0,3.0,3.0,2.0,2.0,9927.0,13918.0,219.0,9388.0,13998.0,217.0,539.0,-80.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0
LOLTMNT06_166081,complete,AL,2026.0,0.0,1.0,16.02,Red,mid,Tutsz,FURIA,1.0,Anivia,Malphite,Renekton,Orianna,Lulu,Rakan,2076.0,0.0,2.0,5.0,4.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2023,0.8092,0.0,0.0,15.0,4.0,7.0,33.0,13247.0,8736.0,252.4855,12825.0,313.0,313.0,0.0,9.0462,3562.0,5210.0,103.0,3682.0,5428.0,106.0,-120.0,-218.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5221.0,7583.0,151.0,6263.0,8040.0,151.0,-1042.0,-457.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,6695.0,9606.0,193.0,8923.0,10842.0,206.0,-2228.0,-1236.0,-13.0,0.0,0.0,3.0,4.0,3.0,0.0,9692.0,13984.0,247.0,11259.0,14935.0,252.0,-1567.0,-951.0,-5.0,1.0,1.0,3.0,5.0,5.0,1.0
LOLTMNT04_149469,complete,EBL,2026.0,0.0,1.0,16.02,Red,mid,Tutsz,FURIA,1.0,Ryze,Malphite,Aurora,Renekton,Bard,Alistar,1680.0,0.0,2.0,1.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.6429,0.0,0.0,12.0,3.0,2.0,27.0,10494.0,6791.0,242.5357,8600.0,275.0,271.0,4.0,9.8214,3777.0,5403.0,105.0,3843.0,5286.0,110.0,-66.0,117.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5277.0,8026.0,153.0,5847.0,7605.0,163.0,-570.0,421.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,7470.0,11296.0,217.0,7655.0,10102.0,215.0,-185.0,1194.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,9242.0,14871.0,263.0,9703.0,13101.0,279.0,-461.0,1770.0,-16.0,1.0,0.0,0.0,1.0,1.0,0.0
LOLTMNT01_336805,complete,HW,2026.0,0.0,1.0,16.02,Blue,mid,Tutsz,FURIA,0.0,Akali,Jayce,Aatrox,Varus,K'Sante,Sion,2173.0,1.0,5.0,2.0,5.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6627,0.9112,0.0,0.0,10.0,12.0,6.0,46.0,14717.0,10008.0,276.3369,14050.0,326.0,318.0,8.0,9.0014,3612.0,5025.0,104.0,3659.0,5420.0,104.0,-47.0,-395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5537.0,8133.0,172.0,5489.0,8067.0,158.0,48.0,66.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7365.0,10566.0,216.0,7326.0,11235.0,221.0,39.0,-669.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,9547.0,13872.0,266.0,9383.0,14052.0,278.0,164.0,-180.0,-12.0,1.0,2.0,0.0,0.0,0.0,1.0
LOLTMNT01_337433,complete,HW,2026.0,0.0,1.0,16.02,Red,mid,Tutsz,FURIA,0.0,Syndra,Qiyana,Jayce,Varus,Nautilus,Aphelios,1991.0,1.0,3.0,0.0,8.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5726,0.6931,0.0,0.0,18.0,6.0,8.0,53.0,14709.0,10372.0,312.5665,14050.0,317.0,308.0,9.0,9.553,3532.0,5264.0,99.0,3557.0,5337.0,102.0,-25.0,-73.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5796.0,8332.0,164.0,5156.0,7918.0,155.0,640.0,414.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,8834.0,11716.0,234.0,7526.0,10651.0,225.0,1308.0,1065.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,10447.0,13554.0,259.0,9516.0,15375.0,276.0,931.0,-1821.0,-17.0,1.0,4.0,0.0,0.0,1.0,2.0
LOLTMNT05_175414,complete,PRM,2026.0,0.0,1.0,16.03,Red,mid,Tutsz,FURIA,0.0,Syndra,Jayce,Nocturne,Varus,Aphelios,Neeko,1744.0,1.0,4.0,3.0,10.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7225,0.9633,0.0,0.0,14.0,3.0,4.0,45.0,12496.0,8663.0,298.039,11140.0,260.0,260.0,0.0,8.945,3602.0,4976.0,102.0,3558.0,5053.0,100.0,44.0,-77.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5909.0,7813.0,156.0,5110.0,7212.0,142.0,799.0,601.0,14.0,1.0,0.0,1.0,0.0,1.0,1.0,8054.0,10316.0,202.0,6878.0,9625.0,192.0,1176.0,691.0,10.0,1.0,3.0,1.0,0.0,1.0,1.0,10483.0,13031.0,241.0,8467.0,11761.0,216.0,2016.0,1270.0,25.0,3.0,5.0,2.0,0.0,4.0,2.0
LOLTMNT05_175422,complete,PRM,2026.0,0.0,2.0,16.03,Red,mid,Tutsz,FURIA,1.0,Ryze,Renekton,Kennen,Neeko,Lucian,Ezreal,1772.0,1.0,2.0,1.0,7.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7449,1.0497,0.0,0.0,13.0,5.0,6.0,41.0,12342.0,8452.0,286.1851,10300.0,287.0,276.0,11.0,9.7178,3489.0,4270.0,82.0,3438.0,4955.0,97.0,51.0,-685.0,-15.0,0.0,3.0,0.0,0.0,0.0,0.0,5315.0,6883.0,130.0,5214.0,7527.0,144.0,101.0,-644.0,-14.0,1.0,3.0,1.0,0.0,2.0,0.0,7616.0,10366.0,197.0,7684.0,11121.0,193.0,-68.0,-755.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,10231.0,15618.0,253.0,9343.0,15131.0,233.0,888.0,487.0,20.0,1.0,6.0,1.0,2.0,2.0,1.0
LOLTMNT05_176506,complete,AL,2026.0,0.0,1.0,16.03,Red,mid,Tutsz,FURIA,1.0,Ahri,Bard,Nautilus,Sion,Vi,Sylas,2203.0,0.0,3.0,3.0,11.0,16.0,20.0,1.0,0.0,0.0,0.0,1.0,0.4358,0.9805,0.0,0.0,11.0,8.0,5.0,45.0,13464.0,8694.0,236.7862,12775.0,298.0,294.0,4.0,8.1162,3396.0,4852.0,91.0,3661.0,5343.0,101.0,-265.0,-491.0,-10.0,0.0,1.0,1.0,0.0,1.0,0.0,4931.0,7259.0,134.0,5656.0,8080.0,162.0,-725.0,-821.0,-28.0,0.0,3.0,1.0,0.0,1.0,0.0,6836.0,9779.0,189.0,8030.0,10311.0,203.0,-1194.0,-532.0,-14.0,1.0,3.0,1.0,1.0,2.0,0.0,9950.0,12545.0,221.0,9995.0,12369.0,235.0,-45.0,176.0,-14.0,3.0,7.0,1.0,2.0,3.0,1.0
