gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Tyrone,HMBLE,0.0,Yunara,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,2.0,2.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,0.0,14.0,13.0,3.0,44.0,16604.0,11563.0,296.9949,16275.0,407.0,391.0,16.0,10.4538,3344.0,4002.0,86.0,4036.0,3781.0,96.0,-692.0,221.0,-10.0,0.0,0.0,0.0,1.0,1.0,0.0,5360.0,6306.0,140.0,6375.0,6495.0,165.0,-1015.0,-189.0,-25.0,0.0,0.0,0.0,1.0,1.0,0.0,8375.0,9046.0,201.0,8614.0,8841.0,215.0,-239.0,205.0,-14.0,2.0,0.0,0.0,2.0,1.0,0.0,10454.0,11442.0,262.0,10833.0,11377.0,272.0,-379.0,65.0,-10.0,2.0,0.0,0.0,2.0,3.0,0.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Tyrone,HMBLE,1.0,Lucian,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,2.0,0.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,0.0,0.0,14.0,5.0,5.0,42.0,10567.0,7331.0,303.1427,9325.0,238.0,238.0,0.0,9.8415,3548.0,3956.0,101.0,3350.0,3642.0,85.0,198.0,314.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.0,6545.0,150.0,5401.0,5625.0,133.0,151.0,920.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7546.0,9218.0,203.0,7692.0,8199.0,184.0,-146.0,1019.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,10567.0,12461.0,238.0,8863.0,9574.0,212.0,1704.0,2887.0,26.0,2.0,6.0,0.0,1.0,0.0,2.0
LOLTMNT06_164122,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Tyrone,HMBLE,1.0,Tristana,Akali,Naafiri,Jayce,Poppy,Taric,1403.0,1.0,5.0,1.0,5.0,26.0,5.0,2.0,0.0,0.0,0.0,0.0,1.1119,1.3257,0.0,0.0,9.0,4.0,4.0,31.0,11755.0,8617.0,368.5103,11825.0,202.0,202.0,0.0,8.6386,3556.0,3718.0,97.0,3159.0,3718.0,78.0,397.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6667.0,6038.0,135.0,4885.0,5036.0,104.0,1782.0,1002.0,31.0,2.0,2.0,0.0,1.0,1.0,3.0,8825.0,8837.0,179.0,6782.0,7668.0,151.0,2043.0,1169.0,28.0,2.0,4.0,0.0,1.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_148254,complete,NLC,2026.0,0.0,1.0,16.01,Red,bot,Tyrone,HMBLE,0.0,Kai'Sa,Diana,Zaahen,Malphite,Darius,Fiora,3403.0,1.0,18.0,4.0,5.0,49.0,39.0,1.0,0.0,0.0,0.0,0.0,0.8639,1.5516,0.0,0.0,25.0,11.0,7.0,68.0,32396.0,25178.0,443.9259,24275.0,500.0,476.0,24.0,8.8158,3645.0,3463.0,89.0,3023.0,3358.0,68.0,622.0,105.0,21.0,1.0,0.0,0.0,0.0,1.0,2.0,5761.0,5795.0,138.0,5664.0,5653.0,125.0,97.0,142.0,13.0,1.0,0.0,1.0,1.0,1.0,2.0,9221.0,9609.0,191.0,8193.0,8291.0,169.0,1028.0,1318.0,22.0,4.0,0.0,2.0,2.0,2.0,4.0,12132.0,12444.0,235.0,11060.0,11637.0,208.0,1072.0,807.0,27.0,6.0,0.0,2.0,3.0,4.0,4.0
LOLTMNT03_337813,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,bot,Tyrone,HMBLE,1.0,Corki,Orianna,Ryze,Jayce,Zac,Sona,1727.0,1.0,6.0,1.0,7.0,24.0,6.0,1.0,0.0,0.0,0.0,0.0,0.8338,1.0423,1.0,0.0,11.0,7.0,2.0,26.0,15174.0,11375.0,395.194,13450.0,284.0,278.0,6.0,9.8668,3483.0,3388.0,89.0,3180.0,3653.0,83.0,303.0,-265.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5840.0,5775.0,142.0,5510.0,5881.0,129.0,330.0,-106.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,8325.0,8169.0,198.0,7210.0,7863.0,174.0,1115.0,306.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,11556.0,11343.0,250.0,8788.0,9748.0,213.0,2768.0,1595.0,37.0,2.0,3.0,1.0,1.0,0.0,1.0
LOLTMNT04_149122,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Tyrone,HMBLE,1.0,Ezreal,Gwen,Urgot,Malphite,Akali,Aatrox,2017.0,1.0,12.0,1.0,2.0,19.0,18.0,3.0,0.0,0.0,0.0,0.0,0.5652,1.1006,0.0,0.0,15.0,12.0,5.0,44.0,19646.0,15256.0,453.8225,16325.0,344.0,344.0,0.0,10.233,3633.0,3893.0,100.0,3351.0,3855.0,87.0,282.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7449.0,6689.0,144.0,6853.0,6407.0,128.0,596.0,282.0,16.0,4.0,0.0,1.0,3.0,0.0,1.0,10190.0,9916.0,211.0,9269.0,8841.0,174.0,921.0,1075.0,37.0,5.0,0.0,1.0,3.0,1.0,1.0,12723.0,12428.0,261.0,11309.0,10939.0,204.0,1414.0,1489.0,57.0,6.0,1.0,1.0,4.0,3.0,1.0
LOLTMNT01_324984,complete,LCS,2026.0,0.0,1.0,16.01,Red,bot,Tyrone,HMBLE,0.0,Sivir,Orianna,Corki,Ambessa,LeBlanc,Syndra,1566.0,1.0,9.0,2.0,14.0,25.0,10.0,3.0,0.0,0.0,0.0,1.0,0.9579,1.341,0.0,0.0,11.0,5.0,3.0,28.0,15986.0,12516.0,479.5402,13450.0,254.0,238.0,16.0,9.7318,4212.0,3585.0,83.0,4412.0,3400.0,83.0,-200.0,185.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,7068.0,6094.0,144.0,6997.0,5904.0,133.0,71.0,190.0,11.0,2.0,5.0,1.0,3.0,1.0,3.0,11558.0,9266.0,190.0,8771.0,8023.0,176.0,2787.0,1243.0,14.0,6.0,9.0,1.0,3.0,1.0,5.0,14679.0,12749.0,244.0,10275.0,9490.0,201.0,4404.0,3259.0,43.0,8.0,11.0,1.0,3.0,1.0,6.0
LOLTMNT01_334942,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Tyrone,HMBLE,0.0,Ezreal,Ambessa,Syndra,Veigar,Sylas,Dr. Mundo,1336.0,1.0,4.0,0.0,7.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8084,0.8982,0.0,0.0,10.0,2.0,4.0,24.0,11610.0,8609.0,386.6317,9725.0,207.0,206.0,1.0,9.2964,3540.0,3302.0,85.0,3081.0,3199.0,67.0,459.0,103.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,6141.0,5723.0,138.0,5114.0,5469.0,110.0,1027.0,254.0,28.0,0.0,2.0,0.0,0.0,0.0,1.0,10310.0,8809.0,192.0,6727.0,7524.0,151.0,3583.0,1285.0,41.0,4.0,5.0,0.0,0.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_334969,complete,LCP,2026.0,0.0,2.0,16.02,Blue,bot,Tyrone,HMBLE,1.0,Yunara,Akali,Sivir,Varus,Nautilus,Thresh,1541.0,1.0,4.0,4.0,4.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.7398,1.1681,0.0,0.0,9.0,2.0,3.0,17.0,12363.0,8944.0,348.2414,12435.0,204.0,200.0,4.0,7.9429,4270.0,3876.0,81.0,3328.0,3275.0,68.0,942.0,601.0,13.0,3.0,0.0,1.0,1.0,1.0,2.0,6083.0,5179.0,108.0,5848.0,5260.0,110.0,235.0,-81.0,-2.0,3.0,0.0,3.0,2.0,2.0,2.0,8531.0,7770.0,162.0,7650.0,7632.0,159.0,881.0,138.0,3.0,3.0,0.0,3.0,2.0,2.0,3.0,12155.0,11155.0,204.0,9570.0,9916.0,197.0,2585.0,1239.0,7.0,4.0,4.0,4.0,2.0,3.0,5.0
LOLTMNT01_335069,complete,LCK,2026.0,0.0,3.0,16.02,Blue,bot,Tyrone,HMBLE,1.0,Varus,Jarvan IV,Sivir,Ambessa,Veigar,Mel,1689.0,1.0,5.0,6.0,17.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0657,1.6341,0.0,0.0,13.0,0.0,6.0,22.0,14074.0,10353.0,367.7798,13830.0,184.0,180.0,4.0,6.5364,4031.0,3510.0,65.0,4172.0,3730.0,66.0,-141.0,-220.0,-1.0,3.0,1.0,3.0,3.0,1.0,4.0,6987.0,6097.0,110.0,5875.0,5395.0,102.0,1112.0,702.0,8.0,3.0,3.0,3.0,3.0,1.0,5.0,9702.0,8402.0,152.0,7863.0,7923.0,146.0,1839.0,479.0,6.0,4.0,4.0,3.0,3.0,2.0,5.0,12068.0,11015.0,169.0,10931.0,10555.0,175.0,1137.0,460.0,-6.0,5.0,11.0,5.0,4.0,6.0,7.0
LOLTMNT05_176211,complete,TCL,2026.0,0.0,1.0,16.02,Red,bot,Tyrone,HMBLE,0.0,Varus,Orianna,Morgana,Jayce,Pyke,Nautilus,1963.0,1.0,9.0,2.0,12.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8864,1.1615,0.0,0.0,14.0,6.0,6.0,35.0,16635.0,12355.0,377.6363,15300.0,260.0,254.0,6.0,7.947,3775.0,3465.0,77.0,3726.0,3721.0,89.0,49.0,-256.0,-12.0,2.0,0.0,1.0,0.0,3.0,0.0,6036.0,5859.0,129.0,6432.0,6128.0,142.0,-396.0,-269.0,-13.0,2.0,2.0,2.0,1.0,3.0,0.0,8323.0,8225.0,176.0,9015.0,8606.0,191.0,-692.0,-381.0,-15.0,2.0,5.0,2.0,2.0,3.0,1.0,11618.0,11528.0,214.0,11203.0,10722.0,230.0,415.0,806.0,-16.0,4.0,8.0,2.0,3.0,4.0,2.0
LOLTMNT02_350748,complete,LCKC,2026.0,0.0,2.0,16.02,Blue,bot,Tyrone,HMBLE,1.0,Corki,Orianna,Jayce,Akali,Syndra,Ryze,1665.0,1.0,3.0,0.0,7.0,16.0,5.0,1.0,0.0,0.0,0.0,1.0,0.5766,0.7568,1.0,0.0,14.0,10.0,5.0,43.0,13680.0,10008.0,360.6486,11808.0,270.0,262.0,8.0,9.7297,3833.0,3648.0,86.0,3567.0,3664.0,99.0,266.0,-16.0,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,6533.0,6238.0,150.0,5690.0,5595.0,147.0,843.0,643.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,9311.0,8577.0,197.0,7556.0,7490.0,203.0,1755.0,1087.0,-6.0,3.0,2.0,0.0,0.0,0.0,3.0,11800.0,11333.0,246.0,9857.0,9582.0,258.0,1943.0,1751.0,-12.0,3.0,3.0,0.0,0.0,1.0,4.0
LOLTMNT05_175271,complete,TCL,2026.0,0.0,3.0,16.02,Blue,bot,Tyrone,HMBLE,1.0,Yunara,Orianna,Jayce,Kai'Sa,Ryze,Akali,1579.0,1.0,11.0,1.0,5.0,26.0,10.0,1.0,1.0,1.0,0.0,0.0,0.988,1.368,0.0,0.0,13.0,5.0,6.0,30.0,14971.0,11474.0,435.9975,12750.0,217.0,201.0,16.0,8.2457,3744.0,3442.0,82.0,3281.0,3211.0,89.0,463.0,231.0,-7.0,1.0,2.0,0.0,0.0,0.0,2.0,6788.0,5821.0,120.0,5533.0,4888.0,138.0,1255.0,933.0,-18.0,4.0,4.0,0.0,0.0,0.0,4.0,10096.0,8244.0,176.0,9538.0,7852.0,183.0,558.0,392.0,-7.0,6.0,4.0,0.0,2.0,1.0,5.0,12767.0,10600.0,208.0,12494.0,11202.0,245.0,273.0,-602.0,-37.0,7.0,5.0,0.0,3.0,3.0,6.0
