gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Sivir,Jayce,Rumble,Syndra,Braum,Karma,1776.0,0.0,3.0,3.0,3.0,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.2703,1.1824,0.0,0.0,13.0,5.0,1.0,28.0,14912.0,11013.0,372.0608,14675.0,292.0,286.0,6.0,9.8649,3465.0,3725.0,87.0,3652.0,3092.0,80.0,-187.0,633.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,5395.0,5300.0,124.0,6886.0,5635.0,133.0,-1491.0,-335.0,-9.0,0.0,1.0,2.0,4.0,1.0,1.0,8141.0,7432.0,189.0,9575.0,8442.0,186.0,-1434.0,-1010.0,3.0,0.0,1.0,2.0,5.0,2.0,2.0,11509.0,10020.0,244.0,11915.0,11116.0,243.0,-406.0,-1096.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Ziggs,Jayce,Rumble,Azir,Dr. Mundo,Malphite,1764.0,0.0,4.0,8.0,2.0,11.0,25.0,0.0,0.0,0.0,0.0,1.0,0.3741,1.2245,0.0,0.0,10.0,2.0,1.0,17.0,11649.0,7775.0,264.4558,11345.0,217.0,217.0,0.0,7.381,4326.0,3139.0,67.0,3639.0,3803.0,75.0,687.0,-664.0,-8.0,3.0,0.0,3.0,1.0,2.0,1.0,6181.0,5197.0,115.0,5946.0,6244.0,128.0,235.0,-1047.0,-13.0,3.0,0.0,4.0,1.0,2.0,1.0,8729.0,7709.0,162.0,8262.0,8636.0,175.0,467.0,-927.0,-13.0,4.0,0.0,4.0,2.0,2.0,1.0,10170.0,9488.0,196.0,11108.0,11364.0,205.0,-938.0,-1876.0,-9.0,4.0,1.0,6.0,3.0,6.0,1.0
LOLTMNT01_335502,complete,LCKC,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Kai'Sa,Jayce,Rumble,Azir,Sylas,Ambessa,1229.0,0.0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276,0.0,0.0,7.0,4.0,0.0,17.0,7085.0,4302.0,210.0244,6775.0,161.0,161.0,0.0,7.86,3166.0,3238.0,76.0,3605.0,3652.0,99.0,-439.0,-414.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,4839.0,5009.0,118.0,7603.0,6533.0,167.0,-2764.0,-1524.0,-49.0,0.0,0.0,2.0,1.0,1.0,0.0,7026.0,6882.0,161.0,12351.0,9976.0,217.0,-5325.0,-3094.0,-56.0,0.0,0.0,3.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_152540,complete,LIT,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Caitlyn,Jayce,Rumble,Varus,Jarvan IV,Malphite,1640.0,0.0,1.0,2.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.1098,0.9878,0.0,0.0,8.0,3.0,0.0,18.0,10479.0,6858.0,250.9024,10450.0,240.0,240.0,0.0,8.7805,3313.0,3328.0,80.0,3408.0,3514.0,86.0,-95.0,-186.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5653.0,5387.0,118.0,5334.0,5811.0,130.0,319.0,-424.0,-12.0,1.0,0.0,0.0,0.0,1.0,1.0,8211.0,7612.0,174.0,7577.0,8681.0,184.0,634.0,-1069.0,-10.0,1.0,0.0,1.0,0.0,2.0,1.0,9990.0,9600.0,228.0,10831.0,11231.0,231.0,-841.0,-1631.0,-3.0,1.0,0.0,1.0,2.0,3.0,1.0
LOLTMNT04_151638,complete,CCWS,2026.0,0.0,1.0,16.02,Red,bot,UEC Ruunan,UEC eSports PlusPlus,0.0,Sivir,Jayce,Rumble,Varus,Aphelios,Caitlyn,1733.0,0.0,1.0,3.0,7.0,9.0,17.0,0.0,0.0,0.0,0.0,1.0,0.3116,0.9002,0.0,0.0,11.0,6.0,3.0,31.0,11637.0,7826.0,270.9521,11025.0,250.0,246.0,4.0,8.6555,3695.0,3590.0,84.0,3144.0,3489.0,74.0,551.0,101.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,5615.0,5289.0,111.0,5536.0,6260.0,121.0,79.0,-971.0,-10.0,1.0,4.0,1.0,0.0,2.0,0.0,7882.0,7760.0,175.0,8630.0,9207.0,183.0,-748.0,-1447.0,-8.0,1.0,4.0,1.0,2.0,2.0,0.0,9750.0,9447.0,212.0,11974.0,12634.0,218.0,-2224.0,-3187.0,-6.0,1.0,6.0,2.0,3.0,6.0,0.0
LOLTMNT04_151659,complete,LFL,2026.0,0.0,1.0,16.02,Blue,bot,UEC Ruunan,UEC eSports PlusPlus,1.0,Ashe,Jayce,Rumble,Qiyana,Malphite,Irelia,1417.0,0.0,1.0,5.0,4.0,5.0,27.0,0.0,0.0,0.0,0.0,1.0,0.2117,1.355,0.0,0.0,7.0,4.0,0.0,25.0,8674.0,5508.0,233.2251,8100.0,169.0,169.0,0.0,7.156,3223.0,3158.0,60.0,3810.0,3663.0,85.0,-587.0,-505.0,-25.0,1.0,0.0,1.0,1.0,1.0,0.0,4801.0,4997.0,93.0,7348.0,6451.0,148.0,-2547.0,-1454.0,-55.0,1.0,1.0,2.0,4.0,1.0,0.0,7045.0,7337.0,150.0,9559.0,8965.0,200.0,-2514.0,-1628.0,-50.0,1.0,1.0,3.0,4.0,1.0,0.0,,,,,,,,,,,,,,,
LOLTMNT04_152666,complete,LFL,2026.0,0.0,1.0,16.02,Blue,bot,UEC Ruunan,UEC eSports PlusPlus,1.0,Corki,Qiyana,Rumble,Jayce,Aphelios,Caitlyn,1290.0,0.0,1.0,3.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.186,1.3488,0.0,0.0,9.0,4.0,0.0,15.0,7722.0,4815.0,223.9535,6983.0,166.0,166.0,0.0,7.7209,3098.0,3434.0,75.0,3880.0,3343.0,79.0,-782.0,91.0,-4.0,0.0,0.0,0.0,2.0,0.0,0.0,5714.0,5342.0,118.0,6615.0,5534.0,127.0,-901.0,-192.0,-9.0,1.0,1.0,1.0,3.0,0.0,1.0,7182.0,7245.0,160.0,9686.0,8322.0,181.0,-2504.0,-1077.0,-21.0,1.0,1.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_338225,complete,LCP,2026.0,0.0,1.0,16.02,Blue,bot,UEC Ruunan,UEC eSports PlusPlus,1.0,Yunara,Qiyana,Rumble,Jayce,Aphelios,Caitlyn,1223.0,0.0,0.0,6.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0981,1.1774,0.0,0.0,6.0,1.0,0.0,16.0,6083.0,3312.0,162.4857,5950.0,130.0,130.0,0.0,6.3778,2669.0,2636.0,54.0,4344.0,3423.0,80.0,-1675.0,-787.0,-26.0,0.0,0.0,2.0,2.0,2.0,0.0,3851.0,4502.0,82.0,7200.0,6119.0,138.0,-3349.0,-1617.0,-56.0,0.0,0.0,4.0,2.0,3.0,0.0,6036.0,6863.0,130.0,11488.0,10082.0,200.0,-5452.0,-3219.0,-70.0,0.0,0.0,6.0,5.0,8.0,0.0,,,,,,,,,,,,,,,
LOLTMNT05_175340,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,UEC Ruunan,UEC eSports PlusPlus,1.0,Caitlyn,Rumble,Qiyana,Zaahen,Lee Sin,Viktor,1275.0,0.0,6.0,4.0,1.0,8.0,17.0,1.0,0.0,0.0,0.0,0.0,0.3765,1.1765,0.0,0.0,5.0,0.0,1.0,6.0,9139.0,6262.0,294.6824,9035.0,151.0,151.0,0.0,7.1059,4707.0,3517.0,75.0,3573.0,3220.0,78.0,1134.0,297.0,-3.0,5.0,0.0,0.0,1.0,0.0,2.0,6725.0,5087.0,100.0,6983.0,5588.0,123.0,-258.0,-501.0,-23.0,6.0,1.0,3.0,2.0,4.0,3.0,8762.0,7394.0,142.0,10041.0,7982.0,187.0,-1279.0,-588.0,-45.0,6.0,1.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,
LOLTMNT05_176376,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,UEC Ruunan,UEC eSports PlusPlus,1.0,Varus,Qiyana,LeBlanc,Zaahen,Ahri,Gangplank,1767.0,0.0,6.0,5.0,4.0,14.0,21.0,0.0,0.0,0.0,0.0,1.0,0.4754,1.1885,0.0,0.0,11.0,1.0,2.0,23.0,13448.0,9568.0,324.8896,13150.0,220.0,220.0,0.0,7.4703,4305.0,3273.0,80.0,3358.0,3162.0,64.0,947.0,111.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,7124.0,5086.0,114.0,5833.0,5247.0,112.0,1291.0,-161.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,10407.0,7484.0,160.0,8345.0,7346.0,152.0,2062.0,138.0,8.0,6.0,3.0,1.0,2.0,3.0,3.0,12091.0,9445.0,202.0,11081.0,10025.0,194.0,1010.0,-580.0,8.0,6.0,3.0,3.0,4.0,4.0,3.0
