gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336395,complete,HLL,2026.0,0.0,1.0,16.01,Blue,mid,Ucal,DRX,0.0,Orianna,Rumble,Jayce,Poppy,K'Sante,Sion,1783.0,0.0,0.0,1.0,5.0,7.0,16.0,0.0,0.0,0.0,0.0,1.0,0.2356,0.774,0.0,0.0,17.0,4.0,6.0,43.0,10873.0,6960.0,234.212,10000.0,295.0,295.0,0.0,9.9271,3657.0,5478.0,103.0,3543.0,5022.0,102.0,114.0,456.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5611.0,8529.0,168.0,5452.0,8205.0,168.0,159.0,324.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7572.0,11821.0,235.0,8240.0,11079.0,219.0,-668.0,742.0,16.0,0.0,1.0,0.0,2.0,1.0,0.0,9784.0,15793.0,284.0,9941.0,12931.0,263.0,-157.0,2862.0,21.0,0.0,5.0,0.0,2.0,1.0,2.0
LOLTMNT05_171148,complete,LIT,2026.0,0.0,2.0,16.01,Red,mid,Ucal,DRX,0.0,Cassiopeia,Rumble,Jayce,Malphite,Nautilus,Rakan,1469.0,0.0,0.0,7.0,2.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.2042,1.5929,0.0,0.0,11.0,4.0,2.0,32.0,8059.0,4787.0,195.5208,7800.0,227.0,227.0,0.0,9.2716,3430.0,5001.0,100.0,4023.0,5160.0,103.0,-593.0,-159.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,4945.0,6987.0,142.0,6809.0,9053.0,162.0,-1864.0,-2066.0,-20.0,0.0,0.0,3.0,4.0,2.0,0.0,6890.0,9888.0,202.0,9428.0,12011.0,214.0,-2538.0,-2123.0,-12.0,0.0,0.0,4.0,5.0,2.0,0.0,8059.0,13048.0,227.0,12426.0,16929.0,257.0,-4367.0,-3881.0,-30.0,0.0,2.0,7.0,8.0,8.0,1.0
LOLTMNT06_163424,complete,LEC,2026.0,0.0,1.0,16.01,Red,mid,Ucal,DRX,1.0,Orianna,Malphite,Pantheon,Rumble,Lulu,Ambessa,1766.0,0.0,2.0,5.0,8.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.5776,1.4609,0.0,0.0,15.0,5.0,3.0,43.0,11675.0,7797.0,264.9037,10775.0,285.0,285.0,0.0,9.6829,4149.0,4931.0,101.0,3968.0,5160.0,102.0,181.0,-229.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,6037.0,7519.0,151.0,6652.0,8079.0,156.0,-615.0,-560.0,-5.0,1.0,3.0,2.0,3.0,2.0,0.0,8215.0,10429.0,200.0,8719.0,10639.0,198.0,-504.0,-210.0,2.0,1.0,7.0,3.0,3.0,3.0,1.0,10448.0,13467.0,256.0,11189.0,14431.0,250.0,-741.0,-964.0,6.0,2.0,8.0,4.0,5.0,4.0,2.0
LOLTMNT06_164476,complete,LEC,2026.0,0.0,2.0,16.01,Red,mid,Ucal,DRX,0.0,Taliyah,Rumble,Jayce,Pantheon,Jarvan IV,Wukong,1832.0,1.0,4.0,1.0,10.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7205,1.048,0.0,0.0,16.0,2.0,2.0,40.0,13403.0,9390.0,307.5328,12100.0,295.0,295.0,0.0,9.6616,3645.0,5081.0,107.0,3499.0,4993.0,100.0,146.0,88.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,5516.0,7749.0,161.0,5148.0,7518.0,153.0,368.0,231.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,7524.0,10543.0,208.0,6656.0,9744.0,195.0,868.0,799.0,13.0,1.0,1.0,1.0,0.0,3.0,1.0,10484.0,14258.0,251.0,8375.0,13338.0,219.0,2109.0,920.0,32.0,3.0,5.0,1.0,0.0,7.0,3.0
LOLTMNT03_338312,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,mid,Ucal,DRX,1.0,Syndra,Malphite,Pantheon,Wukong,Xayah,Zeri,2102.0,0.0,4.0,5.0,3.0,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.4282,1.2559,0.0,0.0,19.0,5.0,3.0,40.0,14029.0,9465.0,270.1713,12725.0,313.0,313.0,0.0,8.9343,3759.0,5667.0,109.0,3928.0,4960.0,93.0,-169.0,707.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,6050.0,8042.0,157.0,5944.0,8026.0,145.0,106.0,16.0,12.0,1.0,1.0,1.0,3.0,1.0,0.0,7672.0,10529.0,209.0,8614.0,11027.0,199.0,-942.0,-498.0,10.0,1.0,1.0,2.0,5.0,2.0,0.0,9855.0,12309.0,235.0,10608.0,13273.0,219.0,-753.0,-964.0,16.0,2.0,1.0,4.0,6.0,6.0,1.0
LOLTMNT03_339605,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Ucal,DRX,1.0,Orianna,Malphite,Neeko,Rumble,Gnar,K'Sante,1880.0,1.0,9.0,0.0,5.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5745,0.6383,1.0,0.0,17.0,6.0,3.0,41.0,15442.0,11331.0,361.6277,13925.0,328.0,323.0,5.0,10.4681,3606.0,5015.0,102.0,3551.0,5132.0,102.0,55.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5359.0,7490.0,144.0,5263.0,7922.0,161.0,96.0,-432.0,-17.0,1.0,0.0,0.0,0.0,0.0,0.0,7417.0,10589.0,211.0,7345.0,10945.0,232.0,72.0,-356.0,-21.0,1.0,0.0,0.0,0.0,0.0,0.0,9942.0,13951.0,276.0,9321.0,13392.0,289.0,621.0,559.0,-13.0,2.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT03_339627,complete,LCK,2026.0,0.0,2.0,16.01,Blue,mid,Ucal,DRX,1.0,Taliyah,Malphite,Vi,K'Sante,Jarvan IV,Wukong,1943.0,0.0,2.0,6.0,5.0,9.0,22.0,0.0,0.0,0.0,0.0,1.0,0.2779,0.9573,0.0,0.0,18.0,5.0,2.0,40.0,11637.0,7398.0,228.4508,10850.0,263.0,263.0,0.0,8.1215,3692.0,5005.0,99.0,3648.0,4704.0,90.0,44.0,301.0,9.0,0.0,2.0,0.0,1.0,1.0,1.0,5646.0,8170.0,167.0,5709.0,7825.0,156.0,-63.0,345.0,11.0,0.0,2.0,0.0,1.0,1.0,1.0,7771.0,10218.0,198.0,8294.0,10933.0,204.0,-523.0,-715.0,-6.0,1.0,3.0,1.0,3.0,2.0,1.0,9484.0,11393.0,214.0,11312.0,15983.0,266.0,-1828.0,-4590.0,-52.0,2.0,4.0,4.0,5.0,4.0,1.0
LOLTMNT06_166007,complete,AL,2026.0,0.0,3.0,16.01,Red,mid,Ucal,DRX,0.0,Aurora,Rumble,Varus,Vi,Nautilus,Rell,2003.0,0.0,3.0,7.0,4.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4793,1.1083,0.0,0.0,18.0,2.0,1.0,34.0,10657.0,6295.0,188.5671,10835.0,236.0,236.0,0.0,7.0694,3477.0,4389.0,78.0,3968.0,5309.0,100.0,-491.0,-920.0,-22.0,2.0,1.0,1.0,1.0,0.0,1.0,5067.0,7110.0,119.0,6198.0,7825.0,155.0,-1131.0,-715.0,-36.0,2.0,2.0,1.0,1.0,0.0,2.0,7165.0,9963.0,171.0,8542.0,11241.0,219.0,-1377.0,-1278.0,-48.0,3.0,2.0,2.0,2.0,0.0,2.0,8421.0,11765.0,202.0,10836.0,14527.0,245.0,-2415.0,-2762.0,-43.0,3.0,2.0,4.0,2.0,5.0,2.0
LOLTMNT03_341446,complete,LCK,2026.0,0.0,1.0,16.01,Blue,mid,Ucal,DRX,0.0,Ryze,Rumble,Orianna,Pantheon,Nautilus,Poppy,1806.0,1.0,5.0,2.0,13.0,26.0,16.0,2.0,0.0,0.0,0.0,0.0,0.8638,1.3953,0.0,0.0,16.0,9.0,4.0,55.0,13128.0,9168.0,304.5847,11900.0,271.0,271.0,0.0,9.0033,3630.0,5313.0,107.0,4092.0,5289.0,100.0,-462.0,24.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,5070.0,7407.0,150.0,6993.0,8075.0,146.0,-1923.0,-668.0,4.0,0.0,1.0,2.0,3.0,3.0,0.0,6544.0,9595.0,190.0,9564.0,11290.0,211.0,-3020.0,-1695.0,-21.0,0.0,2.0,2.0,3.0,3.0,0.0,8892.0,15258.0,236.0,11697.0,13833.0,247.0,-2805.0,1425.0,-11.0,0.0,7.0,2.0,5.0,6.0,2.0
LOLTMNT01_325945,complete,CBLOL,2026.0,0.0,2.0,16.01,Blue,mid,Ucal,DRX,0.0,Akali,Rumble,Orianna,Ambessa,Ezreal,Lucian,2054.0,0.0,6.0,4.0,2.0,17.0,24.0,1.0,0.0,0.0,0.0,0.0,0.4966,1.1977,0.0,0.0,19.0,5.0,2.0,50.0,13836.0,9370.0,273.7098,12800.0,273.0,273.0,0.0,7.9747,3318.0,5024.0,90.0,3861.0,5332.0,95.0,-543.0,-308.0,-5.0,0.0,0.0,0.0,1.0,1.0,0.0,5224.0,7584.0,133.0,5801.0,8515.0,157.0,-577.0,-931.0,-24.0,1.0,1.0,0.0,1.0,1.0,0.0,6663.0,9521.0,160.0,8143.0,11626.0,201.0,-1480.0,-2105.0,-41.0,1.0,2.0,3.0,2.0,5.0,1.0,9391.0,12240.0,197.0,9518.0,12489.0,221.0,-127.0,-249.0,-24.0,3.0,2.0,3.0,3.0,5.0,2.0
