gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319634,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Unchained,Dynasty,0.0,Azir,Zed,Trundle,Orianna,Gwen,Fiora,2120.0,1.0,5.0,1.0,13.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7358,0.9057,0.0,0.0,12.0,11.0,2.0,44.0,15864.0,11264.0,318.7925,14050.0,317.0,286.0,31.0,8.9717,3432.0,5447.0,99.0,3773.0,5341.0,109.0,-341.0,106.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5797.0,8110.0,149.0,5580.0,7948.0,159.0,217.0,162.0,-10.0,0.0,1.0,0.0,0.0,0.0,0.0,7574.0,10343.0,187.0,7796.0,10955.0,219.0,-222.0,-612.0,-32.0,0.0,5.0,1.0,0.0,2.0,0.0,9852.0,13680.0,239.0,9418.0,13424.0,262.0,434.0,256.0,-23.0,1.0,6.0,1.0,0.0,2.0,0.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Unchained,Dynasty,0.0,Azir,Tristana,Zoe,Fiora,Jax,Kayle,1396.0,0.0,2.0,5.0,1.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.1719,1.0745,0.0,0.0,9.0,0.0,0.0,14.0,8835.0,5712.0,245.5014,8750.0,208.0,208.0,0.0,8.9398,3968.0,4874.0,95.0,3841.0,4739.0,87.0,127.0,135.0,8.0,1.0,0.0,1.0,2.0,0.0,1.0,6203.0,8073.0,161.0,5376.0,7192.0,132.0,827.0,881.0,29.0,1.0,1.0,1.0,2.0,0.0,1.0,8142.0,10133.0,193.0,7802.0,9645.0,159.0,340.0,488.0,34.0,2.0,1.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_319672,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Orianna,Fiora,Rell,Gwen,Renekton,Olaf,1766.0,0.0,3.0,7.0,2.0,8.0,28.0,1.0,0.0,0.0,0.0,0.0,0.2718,1.2231,0.0,0.0,13.0,6.0,1.0,36.0,11394.0,7516.0,255.3567,10925.0,258.0,257.0,1.0,8.7656,3679.0,4052.0,75.0,5290.0,5465.0,98.0,-1611.0,-1413.0,-23.0,2.0,0.0,3.0,4.0,0.0,0.0,5452.0,6667.0,126.0,7353.0,8193.0,150.0,-1901.0,-1526.0,-24.0,2.0,1.0,4.0,5.0,2.0,0.0,7935.0,8779.0,164.0,9698.0,11097.0,205.0,-1763.0,-2318.0,-41.0,3.0,1.0,5.0,5.0,3.0,1.0,9791.0,11163.0,217.0,12593.0,14052.0,239.0,-2802.0,-2889.0,-22.0,3.0,1.0,6.0,6.0,6.0,1.0
LOLTMNT01_318877,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Unchained,Dynasty,0.0,Viktor,Aatrox,Gwen,Azir,Nami,Nautilus,1543.0,0.0,2.0,4.0,2.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5444,1.4388,0.0,0.0,10.0,5.0,1.0,27.0,10201.0,6778.0,263.5645,10125.0,255.0,254.0,1.0,9.9157,3324.0,5045.0,96.0,3082.0,4195.0,75.0,242.0,850.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4967.0,7649.0,143.0,5358.0,7395.0,127.0,-391.0,254.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,7042.0,11044.0,211.0,7759.0,10619.0,184.0,-717.0,425.0,27.0,0.0,0.0,1.0,1.0,2.0,0.0,9865.0,13808.0,252.0,9814.0,15305.0,207.0,51.0,-1497.0,45.0,2.0,1.0,3.0,2.0,7.0,2.0
LOLTMNT04_147233,complete,NLC,2026.0,0.0,1.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Azir,Rumble,Akali,Jayce,Olaf,Ornn,1490.0,0.0,4.0,6.0,1.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.4027,1.8121,0.0,0.0,11.0,0.0,1.0,17.0,10593.0,7278.0,293.0738,9675.0,217.0,217.0,0.0,8.7383,3870.0,5011.0,84.0,4101.0,5221.0,100.0,-231.0,-210.0,-16.0,2.0,0.0,1.0,1.0,1.0,1.0,5739.0,7545.0,131.0,5876.0,7703.0,142.0,-137.0,-158.0,-11.0,2.0,1.0,3.0,1.0,4.0,2.0,7864.0,9676.0,174.0,8496.0,10527.0,188.0,-632.0,-851.0,-14.0,3.0,1.0,4.0,2.0,7.0,2.0,10593.0,11969.0,217.0,11286.0,14317.0,224.0,-693.0,-2348.0,-7.0,4.0,1.0,6.0,3.0,16.0,2.0
LOLTMNT03_337495,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Viktor,Rumble,Nami,Malphite,Alistar,Lucian,3396.0,1.0,11.0,2.0,13.0,39.0,27.0,1.0,0.0,0.0,0.0,0.0,0.689,1.1661,0.0,0.0,21.0,17.0,1.0,71.0,26819.0,19616.0,346.5724,23025.0,521.0,506.0,15.0,9.2049,3862.0,4893.0,85.0,3936.0,5325.0,106.0,-74.0,-432.0,-21.0,2.0,2.0,0.0,1.0,0.0,1.0,6287.0,7972.0,142.0,5437.0,7399.0,139.0,850.0,573.0,3.0,3.0,4.0,0.0,1.0,0.0,2.0,9469.0,11374.0,210.0,7210.0,10067.0,196.0,2259.0,1307.0,14.0,4.0,4.0,0.0,1.0,0.0,3.0,11203.0,14021.0,259.0,9719.0,14707.0,240.0,1484.0,-686.0,19.0,4.0,4.0,0.0,2.0,0.0,3.0
LOLTMNT01_320481,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Syndra,Aphelios,Jarvan IV,Corki,Rumble,Alistar,1851.0,1.0,7.0,3.0,5.0,23.0,11.0,2.0,0.0,0.0,0.0,0.0,0.7455,1.1021,0.0,0.0,14.0,4.0,2.0,36.0,14697.0,10645.0,345.0567,14100.0,312.0,311.0,1.0,10.1135,3592.0,5047.0,102.0,3963.0,5356.0,100.0,-371.0,-309.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,5815.0,7888.0,156.0,5897.0,8023.0,152.0,-82.0,-135.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,9079.0,10967.0,204.0,7343.0,9958.0,183.0,1736.0,1009.0,21.0,3.0,3.0,2.0,2.0,0.0,2.0,11146.0,13789.0,269.0,8984.0,12086.0,224.0,2162.0,1703.0,45.0,3.0,4.0,2.0,2.0,0.0,2.0
LOLTMNT02_343180,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Orianna,Rumble,Malphite,Sejuani,Karma,Neeko,2228.0,0.0,2.0,4.0,9.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4578,1.0233,0.0,0.0,15.0,3.0,1.0,23.0,14035.0,9214.0,248.1329,14175.0,324.0,310.0,14.0,8.7253,3428.0,4817.0,92.0,4131.0,5474.0,98.0,-703.0,-657.0,-6.0,0.0,1.0,1.0,2.0,0.0,0.0,5537.0,8006.0,149.0,5940.0,8106.0,150.0,-403.0,-100.0,-1.0,1.0,1.0,1.0,2.0,0.0,0.0,7265.0,10371.0,198.0,8076.0,11071.0,211.0,-811.0,-700.0,-13.0,1.0,2.0,1.0,2.0,1.0,0.0,9521.0,13110.0,248.0,9802.0,14763.0,251.0,-281.0,-1653.0,-3.0,2.0,3.0,1.0,3.0,1.0,1.0
LOLTMNT01_324588,complete,CBLOL,2026.0,0.0,2.0,16.01,Blue,mid,Unchained,Dynasty,1.0,Syndra,Rumble,Malphite,Ornn,Cho'Gath,Fiora,2375.0,0.0,7.0,4.0,9.0,17.0,22.0,1.0,0.0,0.0,0.0,0.0,0.4295,0.9853,0.0,2.0,19.0,6.0,2.0,39.0,17247.0,12126.0,306.3411,17050.0,356.0,352.0,4.0,8.9937,3779.0,5066.0,96.0,3937.0,5729.0,113.0,-158.0,-663.0,-17.0,1.0,0.0,0.0,0.0,0.0,0.0,5571.0,7478.0,139.0,5753.0,7933.0,152.0,-182.0,-455.0,-13.0,2.0,2.0,2.0,1.0,1.0,1.0,7747.0,10627.0,204.0,7786.0,10731.0,209.0,-39.0,-104.0,-5.0,2.0,2.0,2.0,1.0,1.0,1.0,10490.0,12579.0,222.0,10204.0,14091.0,252.0,286.0,-1512.0,-30.0,5.0,4.0,3.0,3.0,7.0,1.0
LOLTMNT04_151293,complete,LIT,2026.0,0.0,1.0,16.02,Blue,mid,Unchained,Dynasty,1.0,Taliyah,Aphelios,Rumble,Sion,Bard,Neeko,2231.0,0.0,2.0,5.0,8.0,13.0,22.0,0.0,0.0,0.0,0.0,0.0,0.3496,0.9413,0.0,0.0,15.0,7.0,1.0,35.0,14083.0,9256.0,248.9287,13075.0,338.0,309.0,29.0,9.0901,3531.0,5312.0,99.0,3564.0,5124.0,98.0,-33.0,188.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5026.0,7661.0,145.0,5512.0,7791.0,148.0,-486.0,-130.0,-3.0,0.0,0.0,1.0,1.0,2.0,0.0,7550.0,11328.0,205.0,7072.0,10332.0,193.0,478.0,996.0,12.0,0.0,4.0,1.0,1.0,2.0,1.0,9484.0,13379.0,244.0,9709.0,15027.0,257.0,-225.0,-1648.0,-13.0,1.0,4.0,2.0,1.0,3.0,1.0
